"","Year","Sector","region","SAUP","Gear","FGroup","NomActive","Phase"
"1",1841,"Industrial","Prydz.Bay",36,"Dredges","demersal<30cm",2.94435397050931e-23,"transition"
"2",1841,"Industrial","Prydz.Bay",36,"Gillnets","demersal<30cm",9.24744514699264e-23,"transition"
"3",1841,"Industrial","Prydz.Bay",36,"Lines_Handlines_and_poles","demersal<30cm",9.06832199609715e-22,"transition"
"4",1841,"Industrial","Prydz.Bay",36,"Lines_Longlines","demersal<30cm",2.80883961842725e-22,"transition"
"5",1841,"Industrial","Prydz.Bay",36,"Lines_Unspecified","demersal<30cm",3.44785395317736e-22,"transition"
"6",1841,"Industrial","Prydz.Bay",36,"Others_Multiple_Gears","demersal<30cm",5.31137363392207e-22,"transition"
"7",1841,"Industrial","Prydz.Bay",36,"Others_Others","demersal<30cm",1.15110998823777e-22,"transition"
"8",1841,"Industrial","Prydz.Bay",36,"Others_Support","demersal<30cm",6.20135511439889e-22,"transition"
"9",1841,"Industrial","Prydz.Bay",36,"Others_Unknown","demersal<30cm",7.16974555120579e-24,"transition"
"10",1841,"Industrial","Prydz.Bay",36,"Pots_and_Traps","demersal<30cm",1.90943728794242e-22,"transition"
"11",1841,"Industrial","Prydz.Bay",36,"Seine_Danish_and_Other","demersal<30cm",8.70831070961748e-23,"transition"
"12",1841,"Industrial","Prydz.Bay",36,"Seine_Purse_Seine","demersal<30cm",1.25144904214611e-22,"transition"
"13",1841,"Industrial","Prydz.Bay",36,"Trawl_Bottom","demersal<30cm",3.50640845997447e-23,"transition"
"14",1841,"Industrial","Prydz.Bay",36,"Trawl_Midwater_or_Unsp","demersal<30cm",1.28711866628982e-21,"transition"
"15",1841,"Industrial","Prydz.Bay",124,"Dredges","demersal<30cm",2.34493390851324e-21,"transition"
"16",1841,"Industrial","Prydz.Bay",124,"Gillnets","demersal<30cm",1.37195320894406e-22,"transition"
"17",1841,"Industrial","Prydz.Bay",124,"Lines_Handlines_and_poles","demersal<30cm",9.47907496416161e-21,"transition"
"18",1841,"Industrial","Prydz.Bay",124,"Lines_Longlines","demersal<30cm",4.90753080886383e-21,"transition"
"19",1841,"Industrial","Prydz.Bay",124,"Others_Support","demersal<30cm",4.04698679810785e-20,"transition"
"20",1841,"Industrial","Prydz.Bay",124,"Others_Unknown","demersal<30cm",2.54668403286039e-21,"transition"
"21",1841,"Industrial","Prydz.Bay",124,"Pots_and_Traps","demersal<30cm",6.59085662475431e-22,"transition"
"22",1841,"Industrial","Prydz.Bay",124,"Seine_Danish_and_Other","demersal<30cm",2.22976572679069e-22,"transition"
"23",1841,"Industrial","Prydz.Bay",124,"Seine_Purse_Seine","demersal<30cm",1.21926835637039e-22,"transition"
"24",1841,"Industrial","Prydz.Bay",124,"Trawl_Bottom","demersal<30cm",3.27947180873413e-22,"transition"
"25",1841,"Industrial","Prydz.Bay",124,"Trawl_Midwater_or_Unsp","demersal<30cm",1.79820612926159e-22,"transition"
"26",1841,"Industrial","Prydz.Bay",638,"Others_Others","demersal<30cm",4.45467286104354e-21,"transition"
"27",1841,"Industrial","Prydz.Bay",710,"Gillnets","demersal<30cm",2.74159077100228e-18,"transition"
"28",1841,"Industrial","Prydz.Bay",710,"Gillnets","rays<90cm",5.86592465895984e-20,"transition"
"29",1841,"Industrial","Prydz.Bay",710,"Lines_Handlines_and_poles","demersal<30cm",1.05483154182403e-16,"transition"
"30",1841,"Industrial","Prydz.Bay",710,"Lines_Handlines_and_poles","rays<90cm",1.54673738092554e-18,"transition"
"31",1841,"Industrial","Prydz.Bay",710,"Lines_Longlines","demersal<30cm",8.12104452994171e-18,"transition"
"32",1841,"Industrial","Prydz.Bay",710,"Lines_Longlines","rays<90cm",1.28491527148287e-19,"transition"
"33",1841,"Industrial","Prydz.Bay",710,"Pots_and_Traps","demersal<30cm",1.33364092728272e-17,"transition"
"34",1841,"Industrial","Prydz.Bay",710,"Pots_and_Traps","rays<90cm",1.96460037754836e-19,"transition"
"35",1841,"Industrial","Prydz.Bay",710,"Seine_Purse_Seine","demersal<30cm",1.66336197401567e-18,"transition"
"36",1841,"Industrial","Prydz.Bay",710,"Seine_Purse_Seine","rays<90cm",2.57328409874902e-20,"transition"
"37",1841,"Industrial","Prydz.Bay",710,"Trawl_Midwater_or_Unsp","demersal<30cm",8.74042887195036e-17,"transition"
"38",1841,"Industrial","Prydz.Bay",710,"Trawl_Midwater_or_Unsp","rays<90cm",1.26816939753236e-18,"transition"
"39",1842,"Industrial","Prydz.Bay",36,"Dredges","demersal<30cm",2.94435397050931e-23,"transition"
"40",1842,"Industrial","Prydz.Bay",36,"Gillnets","demersal<30cm",9.24744514699264e-23,"transition"
"41",1842,"Industrial","Prydz.Bay",36,"Lines_Handlines_and_poles","demersal<30cm",9.06832199609715e-22,"transition"
"42",1842,"Industrial","Prydz.Bay",36,"Lines_Longlines","demersal<30cm",2.80883961842725e-22,"transition"
"43",1842,"Industrial","Prydz.Bay",36,"Lines_Unspecified","demersal<30cm",3.44785395317736e-22,"transition"
"44",1842,"Industrial","Prydz.Bay",36,"Others_Multiple_Gears","demersal<30cm",5.31137363392207e-22,"transition"
"45",1842,"Industrial","Prydz.Bay",36,"Others_Others","demersal<30cm",1.15110998823777e-22,"transition"
"46",1842,"Industrial","Prydz.Bay",36,"Others_Support","demersal<30cm",6.20135511439889e-22,"transition"
"47",1842,"Industrial","Prydz.Bay",36,"Others_Unknown","demersal<30cm",7.16974555120579e-24,"transition"
"48",1842,"Industrial","Prydz.Bay",36,"Pots_and_Traps","demersal<30cm",1.90943728794242e-22,"transition"
"49",1842,"Industrial","Prydz.Bay",36,"Seine_Danish_and_Other","demersal<30cm",8.70831070961748e-23,"transition"
"50",1842,"Industrial","Prydz.Bay",36,"Seine_Purse_Seine","demersal<30cm",1.25144904214611e-22,"transition"
"51",1842,"Industrial","Prydz.Bay",36,"Trawl_Bottom","demersal<30cm",3.50640845997447e-23,"transition"
"52",1842,"Industrial","Prydz.Bay",36,"Trawl_Midwater_or_Unsp","demersal<30cm",1.28711866628982e-21,"transition"
"53",1842,"Industrial","Prydz.Bay",124,"Dredges","demersal<30cm",2.34493390851324e-21,"transition"
"54",1842,"Industrial","Prydz.Bay",124,"Gillnets","demersal<30cm",1.37195320894406e-22,"transition"
"55",1842,"Industrial","Prydz.Bay",124,"Lines_Handlines_and_poles","demersal<30cm",9.47907496416161e-21,"transition"
"56",1842,"Industrial","Prydz.Bay",124,"Lines_Longlines","demersal<30cm",4.90753080886383e-21,"transition"
"57",1842,"Industrial","Prydz.Bay",124,"Others_Support","demersal<30cm",4.04698679810785e-20,"transition"
"58",1842,"Industrial","Prydz.Bay",124,"Others_Unknown","demersal<30cm",2.54668403286039e-21,"transition"
"59",1842,"Industrial","Prydz.Bay",124,"Pots_and_Traps","demersal<30cm",6.59085662475431e-22,"transition"
"60",1842,"Industrial","Prydz.Bay",124,"Seine_Danish_and_Other","demersal<30cm",2.22976572679069e-22,"transition"
"61",1842,"Industrial","Prydz.Bay",124,"Seine_Purse_Seine","demersal<30cm",1.21926835637039e-22,"transition"
"62",1842,"Industrial","Prydz.Bay",124,"Trawl_Bottom","demersal<30cm",3.27947180873413e-22,"transition"
"63",1842,"Industrial","Prydz.Bay",124,"Trawl_Midwater_or_Unsp","demersal<30cm",1.79820612926159e-22,"transition"
"64",1842,"Industrial","Prydz.Bay",638,"Others_Others","demersal<30cm",4.45467286104354e-21,"transition"
