"","date","tos","date_tidy"
"1","Jan_1961",1.01776127759861,1961-01-01
"2","Feb_1961",1.21621229773571,1961-02-01
"3","Mar_1961",0.455985485147838,1961-03-01
"4","Apr_1961",-0.44118010035871,1961-04-01
"5","May_1961",-0.988903503661832,1961-05-01
"6","Jun_1961",-1.33256867305609,1961-06-01
"7","Jul_1961",-1.51793000498527,1961-07-01
"8","Aug_1961",-1.67533756413883,1961-08-01
"9","Sep_1961",-1.70473179227553,1961-09-01
"10","Oct_1961",-1.71495510296075,1961-10-01
"11","Nov_1961",-1.56204902744726,1961-11-01
"12","Dec_1961",-0.73134130748253,1961-12-01
"13","Jan_1962",0.789624744561188,1962-01-01
"14","Feb_1962",1.02207050461162,1962-02-01
"15","Mar_1962",0.554169070209473,1962-03-01
"16","Apr_1962",-0.43770562443647,1962-04-01
"17","May_1962",-1.07002850669833,1962-05-01
"18","Jun_1962",-1.39925735478487,1962-06-01
"19","Jul_1962",-1.60745678333979,1962-07-01
"20","Aug_1962",-1.68636899642989,1962-08-01
"21","Sep_1962",-1.73534006809767,1962-09-01
"22","Oct_1962",-1.71267607993,1962-10-01
"23","Nov_1962",-1.57173235715147,1962-11-01
"24","Dec_1962",-0.824510412811853,1962-12-01
"25","Jan_1963",0.535950861546069,1963-01-01
"26","Feb_1963",1.03211919996577,1963-02-01
"27","Mar_1963",0.358604070928313,1963-03-01
"28","Apr_1963",-0.601653073946446,1963-04-01
"29","May_1963",-1.17380041889474,1963-05-01
"30","Jun_1963",-1.45612637123938,1963-06-01
"31","Jul_1963",-1.63495828995032,1963-07-01
"32","Aug_1963",-1.71116314355157,1963-08-01
"33","Sep_1963",-1.78048072888669,1963-09-01
"34","Oct_1963",-1.7765356245942,1963-10-01
"35","Nov_1963",-1.65831133731437,1963-11-01
"36","Dec_1963",-1.13208668730207,1963-12-01
"37","Jan_1964",0.238974451441744,1964-01-01
"38","Feb_1964",0.758613123750086,1964-02-01
"39","Mar_1964",0.173727567792368,1964-03-01
"40","Apr_1964",-0.624412373951779,1964-04-01
"41","May_1964",-1.13319638200219,1964-05-01
"42","Jun_1964",-1.45295281632008,1964-06-01
"43","Jul_1964",-1.63468756576427,1964-07-01
"44","Aug_1964",-1.72133445982588,1964-08-01
"45","Sep_1964",-1.76423345434014,1964-09-01
"46","Oct_1964",-1.7458920901927,1964-10-01
"47","Nov_1964",-1.55571351802057,1964-11-01
"48","Dec_1964",-0.797787806028924,1964-12-01
"49","Jan_1965",0.883181787429474,1965-01-01
"50","Feb_1965",1.152200394123,1965-02-01
"51","Mar_1965",0.551524158290527,1965-03-01
"52","Apr_1965",-0.504238433684778,1965-04-01
"53","May_1965",-1.10557578984565,1965-05-01
