"Species","Gamma_Multiplier","Catchability_Multiplier","Abundance_Multiplier"
"mesozooplankton",0.8,NA,7.75642833345567
"other krill",0.8,NA,0.5
"other macrozooplankton",5.23182017073695,NA,0.5
"antarctic krill",0.8,3.36933907624326,0.795134128125535
"salps",0.8,NA,23.945836217589
"mesopelagic fishes",0.8,NA,2.7766250508018
"bathypelagic fishes",0.8,0.350090044310619,0.5
"shelf and coastal fishes",6.24872800303156,1.64682912371687,0.5
"flying birds",0.8,NA,0.5
"small divers",0.8,NA,2.1335947022929
"squids",5.17681700330605,0.105039462239639,4.39774333243003
"toothfishes",26.2395771988877,0.202714751191138,0.511641123620787
"leopard seals",9.63908840047969,NA,1.16505155185885
"medium divers",1.34322324399697,NA,0.5
"large divers",0.8,NA,0.5
"minke whales",0.8,0.930129462751766,4.09991100284553
"orca",1.56678919758891,0.864219331277909,2.07956589773986
"sperm whales",0.8,0.792628159175329,122.074370520477
"baleen whales",1.24451142015898,0.660778722052241,14.745680204578
