"metric","signal","threshold","first_emergence","permanent_emergence","baseline"
"Biomass","Fishing only (Exp - Unexp)",1,1935,1935,"base1841_2010"
"Biomass","Fishing only (Exp - Unexp)",2,1960,1960,"base1841_2010"
"Biomass","Climate only (Unexp - baseline)",1,1900,NA,"base1841_2010"
"Biomass","Climate only (Unexp - baseline)",2,2001,NA,"base1841_2010"
"Biomass","Combined (Exp - baseline)",1,1900,2006,"base1841_2010"
"Biomass","Combined (Exp - baseline)",2,1937,NA,"base1841_2010"
"Biomass variability","Fishing only (Exp - Unexp)",1,1936,NA,"base1841_2010"
"Biomass variability","Fishing only (Exp - Unexp)",2,1938,NA,"base1841_2010"
"Biomass variability","Climate only (Unexp - baseline)",1,1905,2003,"base1841_2010"
"Biomass variability","Climate only (Unexp - baseline)",2,1917,NA,"base1841_2010"
"Biomass variability","Combined (Exp - baseline)",1,1905,2003,"base1841_2010"
"Biomass variability","Combined (Exp - baseline)",2,1917,NA,"base1841_2010"
"Slope","Fishing only (Exp - Unexp)",1,1935,1935,"base1841_2010"
"Slope","Fishing only (Exp - Unexp)",2,1940,1940,"base1841_2010"
"Slope","Climate only (Unexp - baseline)",1,1900,2010,"base1841_2010"
"Slope","Climate only (Unexp - baseline)",2,1907,NA,"base1841_2010"
"Slope","Combined (Exp - baseline)",1,1900,1948,"base1841_2010"
"Slope","Combined (Exp - baseline)",2,1907,1948,"base1841_2010"
"Slope variability","Fishing only (Exp - Unexp)",1,1935,NA,"base1841_2010"
"Slope variability","Fishing only (Exp - Unexp)",2,1952,NA,"base1841_2010"
"Slope variability","Climate only (Unexp - baseline)",1,1907,2003,"base1841_2010"
"Slope variability","Climate only (Unexp - baseline)",2,2003,2005,"base1841_2010"
"Slope variability","Combined (Exp - baseline)",1,1907,2003,"base1841_2010"
"Slope variability","Combined (Exp - baseline)",2,1943,2005,"base1841_2010"
