"Year","signal","snr","metric","window","align","baseline"
1900,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1900,"climate",1.18149410250201,"Biomass","10yr","trailing","base1841_2010"
1900,"combined",1.18149410250201,"Biomass","10yr","trailing","base1841_2010"
1901,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1901,"climate",-0.157827392993171,"Biomass","10yr","trailing","base1841_2010"
1901,"combined",-0.157827392993171,"Biomass","10yr","trailing","base1841_2010"
1902,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1902,"climate",1.47463813788431,"Biomass","10yr","trailing","base1841_2010"
1902,"combined",1.47463813788431,"Biomass","10yr","trailing","base1841_2010"
1903,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1903,"climate",1.8639785095878,"Biomass","10yr","trailing","base1841_2010"
1903,"combined",1.8639785095878,"Biomass","10yr","trailing","base1841_2010"
1904,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1904,"climate",0.865392750955286,"Biomass","10yr","trailing","base1841_2010"
1904,"combined",0.865392750955286,"Biomass","10yr","trailing","base1841_2010"
1905,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1905,"climate",-1.20505464565313,"Biomass","10yr","trailing","base1841_2010"
1905,"combined",-1.20505464565313,"Biomass","10yr","trailing","base1841_2010"
1906,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1906,"climate",-0.44610502729409,"Biomass","10yr","trailing","base1841_2010"
1906,"combined",-0.44610502729409,"Biomass","10yr","trailing","base1841_2010"
1907,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1907,"climate",-1.46890313911443,"Biomass","10yr","trailing","base1841_2010"
1907,"combined",-1.46890313911443,"Biomass","10yr","trailing","base1841_2010"
1908,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1908,"climate",0.16001895840484,"Biomass","10yr","trailing","base1841_2010"
1908,"combined",0.16001895840484,"Biomass","10yr","trailing","base1841_2010"
1909,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1909,"climate",0.0936111559873234,"Biomass","10yr","trailing","base1841_2010"
1909,"combined",0.0936111559873234,"Biomass","10yr","trailing","base1841_2010"
1910,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1910,"climate",-0.258303441644215,"Biomass","10yr","trailing","base1841_2010"
1910,"combined",-0.258303441644215,"Biomass","10yr","trailing","base1841_2010"
1911,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1911,"climate",0.175571663434912,"Biomass","10yr","trailing","base1841_2010"
1911,"combined",0.175571663434912,"Biomass","10yr","trailing","base1841_2010"
1912,"fishing",-9.14338288082677e-15,"Biomass","10yr","trailing","base1841_2010"
1912,"climate",1.18592101669718,"Biomass","10yr","trailing","base1841_2010"
1912,"combined",1.18592101669717,"Biomass","10yr","trailing","base1841_2010"
1913,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1913,"climate",0.803275562561493,"Biomass","10yr","trailing","base1841_2010"
1913,"combined",0.803275562561493,"Biomass","10yr","trailing","base1841_2010"
1914,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1914,"climate",-0.0877717467019684,"Biomass","10yr","trailing","base1841_2010"
1914,"combined",-0.0877717467019684,"Biomass","10yr","trailing","base1841_2010"
1915,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1915,"climate",0.129204368230709,"Biomass","10yr","trailing","base1841_2010"
1915,"combined",0.129204368230709,"Biomass","10yr","trailing","base1841_2010"
1916,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1916,"climate",-0.270202759210424,"Biomass","10yr","trailing","base1841_2010"
1916,"combined",-0.270202759210424,"Biomass","10yr","trailing","base1841_2010"
1917,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1917,"climate",-0.636772548266889,"Biomass","10yr","trailing","base1841_2010"
1917,"combined",-0.636772548266889,"Biomass","10yr","trailing","base1841_2010"
1918,"fishing",9.14338288082677e-15,"Biomass","10yr","trailing","base1841_2010"
1918,"climate",-1.00941023000426,"Biomass","10yr","trailing","base1841_2010"
1918,"combined",-1.00941023000425,"Biomass","10yr","trailing","base1841_2010"
1919,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1919,"climate",-1.47946974481893,"Biomass","10yr","trailing","base1841_2010"
1919,"combined",-1.47946974481893,"Biomass","10yr","trailing","base1841_2010"
1920,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1920,"climate",1.03403117456383,"Biomass","10yr","trailing","base1841_2010"
1920,"combined",1.03403117456383,"Biomass","10yr","trailing","base1841_2010"
1921,"fishing",9.14338288082677e-15,"Biomass","10yr","trailing","base1841_2010"
1921,"climate",-0.306788108429551,"Biomass","10yr","trailing","base1841_2010"
1921,"combined",-0.306788108429542,"Biomass","10yr","trailing","base1841_2010"
1922,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1922,"climate",1.32639352040225,"Biomass","10yr","trailing","base1841_2010"
1922,"combined",1.32639352040225,"Biomass","10yr","trailing","base1841_2010"
1923,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1923,"climate",1.71579776595705,"Biomass","10yr","trailing","base1841_2010"
1923,"combined",1.71579776595705,"Biomass","10yr","trailing","base1841_2010"
1924,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1924,"climate",0.717306508890601,"Biomass","10yr","trailing","base1841_2010"
1924,"combined",0.717306508890601,"Biomass","10yr","trailing","base1841_2010"
1925,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1925,"climate",-1.35178437603617,"Biomass","10yr","trailing","base1841_2010"
1925,"combined",-1.35178437603617,"Biomass","10yr","trailing","base1841_2010"
1926,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1926,"climate",-0.590752020468608,"Biomass","10yr","trailing","base1841_2010"
1926,"combined",-0.590752020468608,"Biomass","10yr","trailing","base1841_2010"
1927,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1927,"climate",-1.61372482974382,"Biomass","10yr","trailing","base1841_2010"
1927,"combined",-1.61372482974382,"Biomass","10yr","trailing","base1841_2010"
1928,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
1928,"climate",0.0152224221750535,"Biomass","10yr","trailing","base1841_2010"
1928,"combined",0.0152224221750535,"Biomass","10yr","trailing","base1841_2010"
1929,"fishing",0,"Biomass","10yr","trailing","base1841_2010"
