"Year","signal_med","signal_mean","signal_q25","signal_q75","noise","snr_med","snr_mean","snr_q25","snr_q75","metric","window","align","baseline"
1900,0,-0.000847582547169811,-0.015625,0,1686672488924.52,0,-5.02517562084777e-16,-9.26380201408459e-15,0,"Biomass","10yr","trailing","base1901_1929"
1901,0,0.00364829009433962,0,0.0078125,1686672488924.52,0,2.16301037593013e-15,0,4.6319010070423e-15,"Biomass","10yr","trailing","base1901_1929"
1902,0,-0.0037219929245283,-0.015625,0,1686672488924.52,0,-2.20670755524185e-15,-9.26380201408459e-15,0,"Biomass","10yr","trailing","base1901_1929"
1903,0,0.000257959905660377,-0.009765625,0.015625,1686672488924.52,0,1.52940127591019e-16,-5.78987625880287e-15,9.26380201408459e-15,"Biomass","10yr","trailing","base1901_1929"
1904,0,0.000884433962264151,-0.0078125,0.015625,1686672488924.52,0,5.24366151740637e-16,-4.6319010070423e-15,9.26380201408459e-15,"Biomass","10yr","trailing","base1901_1929"
1905,0,0.000147405660377358,-0.001953125,0,1686672488924.52,0,8.73943586234395e-17,-1.15797525176057e-15,0,"Biomass","10yr","trailing","base1901_1929"
1906,0,0.000147405660377358,0,0.0078125,1686672488924.52,0,8.73943586234395e-17,0,4.6319010070423e-15,"Biomass","10yr","trailing","base1901_1929"
1907,0,-0.00243219339622641,0,0,1686672488924.52,0,-1.44200691728675e-15,0,0,"Biomass","10yr","trailing","base1901_1929"
1908,0,-0.00228478773584906,-0.0078125,0,1686672488924.52,0,-1.35461255866331e-15,-4.6319010070423e-15,0,"Biomass","10yr","trailing","base1901_1929"
1909,0,0.00272700471698113,0,0.015625,1686672488924.52,0,1.61679563453363e-15,0,9.26380201408459e-15,"Biomass","10yr","trailing","base1901_1929"
1910,0,-0.000331662735849057,-0.0078125,0.0078125,1686672488924.52,0,-1.96637306902739e-16,-4.6319010070423e-15,4.6319010070423e-15,"Biomass","10yr","trailing","base1901_1929"
1911,0,-0.00132665094339623,-0.015625,0,1686672488924.52,0,-7.86549227610956e-16,-9.26380201408459e-15,0,"Biomass","10yr","trailing","base1901_1929"
1912,0,-0.00217423349056604,0,0,1686672488924.52,0,-1.28906678969573e-15,0,0,"Biomass","10yr","trailing","base1901_1929"
1913,0,0.000663325471698113,-0.0078125,0,1686672488924.52,0,3.93274613805478e-16,-4.6319010070423e-15,0,"Biomass","10yr","trailing","base1901_1929"
1914,0,0.00121609669811321,-0.0078125,0.0078125,1686672488924.52,0,7.21003458643376e-16,-4.6319010070423e-15,4.6319010070423e-15,"Biomass","10yr","trailing","base1901_1929"
1915,0,-0.00313237028301887,-0.015625,0,1686672488924.52,0,-1.85713012074809e-15,-9.26380201408459e-15,0,"Biomass","10yr","trailing","base1901_1929"
1916,0,-0.000331662735849057,0,0.0078125,1686672488924.52,0,-1.96637306902739e-16,0,4.6319010070423e-15,"Biomass","10yr","trailing","base1901_1929"
1917,0,0.00110554245283019,-0.0078125,0.0078125,1686672488924.52,0,6.55457689675797e-16,-4.6319010070423e-15,4.6319010070423e-15,"Biomass","10yr","trailing","base1901_1929"
1918,0,0.00154775943396226,-0.0078125,0,1686672488924.52,0,9.17640765546115e-16,-4.6319010070423e-15,0,"Biomass","10yr","trailing","base1901_1929"
1919,0,-0.000810731132075472,-0.001953125,0,1686672488924.52,0,-4.80668972428918e-16,-1.15797525176057e-15,0,"Biomass","10yr","trailing","base1901_1929"
1920,0,0.000773879716981132,-0.0078125,0.0078125,1686672488924.52,0,4.58820382773058e-16,-4.6319010070423e-15,4.6319010070423e-15,"Biomass","10yr","trailing","base1901_1929"
1921,0,0.00136350235849057,0,0.0078125,1686672488924.52,0,8.08397817266816e-16,0,4.6319010070423e-15,"Biomass","10yr","trailing","base1901_1929"
1922,0,0.00217423349056604,0,0.001953125,1686672488924.52,0,1.28906678969573e-15,0,1.15797525176057e-15,"Biomass","10yr","trailing","base1901_1929"
1923,0,0.00486438679245283,0,0.015625,1686672488924.52,0,2.8840138345735e-15,0,9.26380201408459e-15,"Biomass","10yr","trailing","base1901_1929"
1924,0,0.000147405660377358,-0.0078125,0.015625,1686672488924.52,0,8.73943586234395e-17,-4.6319010070423e-15,9.26380201408459e-15,"Biomass","10yr","trailing","base1901_1929"
1925,0,-0.00095813679245283,-0.015625,0,1686672488924.52,0,-5.68063331052357e-16,-9.26380201408459e-15,0,"Biomass","10yr","trailing","base1901_1929"
1926,0,0.00198997641509434,0,0.0078125,1686672488924.52,0,1.17982384141643e-15,0,4.6319010070423e-15,"Biomass","10yr","trailing","base1901_1929"
1927,0,0.00173201650943396,0,0.0078125,1686672488924.52,0,1.02688371382541e-15,0,4.6319010070423e-15,"Biomass","10yr","trailing","base1901_1929"
1928,0,-0.000184257075471698,0,0.0078125,1686672488924.52,0,-1.09242948279299e-16,0,4.6319010070423e-15,"Biomass","10yr","trailing","base1901_1929"
1929,0,-0.000773879716981132,-0.0078125,0,1686672488924.52,0,-4.58820382773058e-16,-4.6319010070423e-15,0,"Biomass","10yr","trailing","base1901_1929"
1930,0,0.00110554245283019,0,0,1686672488924.52,0,6.55457689675797e-16,0,0,"Biomass","10yr","trailing","base1901_1929"
1931,-25369626515.2969,-146539718300.296,-86456281317.8066,-7696061966.2832,1686672488924.52,-0.0150412286213748,-0.0868809560021552,-0.0512584878721383,-0.00456286683800155,"Biomass","10yr","trailing","base1901_1929"
1932,-136369662340.898,-672864898715.388,-475346334507.727,-42386681169.0059,1686672488924.52,-0.0808512993698337,-0.398930381051292,-0.281824917184026,-0.0251303566325631,"Biomass","10yr","trailing","base1901_1929"
1933,-208168432639.953,-950022281837.879,-724465418569.703,-72774210546.7734,1686672488924.52,-0.123419593315765,-0.563252372986559,-0.429523469035562,-0.0431466162071434,"Biomass","10yr","trailing","base1901_1929"
1934,-438842421870.016,-1419300468842.21,-1488518885333.97,-169260105026.342,1686672488924.52,-0.260182355941454,-0.841479586678508,-0.882518031869429,-0.10035149451822,"Biomass","10yr","trailing","base1901_1929"
1935,-630130062108.891,-1734460875140.03,-1797421021476.62,-211348184198.969,1686672488924.52,-0.373593608863974,-1.02833293750228,-1.06566095865044,-0.125304815005154,"Biomass","10yr","trailing","base1901_1929"
1936,-720445332146.508,-1937892228069.64,-2034333334274.02,-237482144450.055,1686672488924.52,-0.427140026814506,-1.14894399523011,-1.20612231931949,-0.140799204356195,"Biomass","10yr","trailing","base1901_1929"
1937,-787503540065.512,-2095762513292.36,-2097178121338.1,-279176729490.859,1686672488924.52,-0.466897720355689,-1.24254265546757,-1.24338194587815,-0.16551922873235,"Biomass","10yr","trailing","base1901_1929"
1938,-853535875314.492,-2244086414212.94,-2222412369834.61,-313988384102.371,1686672488924.52,-0.506047191093238,-1.33048142360101,-1.31763124401922,-0.18615847840299,"Biomass","10yr","trailing","base1901_1929"
1939,-901519678997.035,-2316381406087.57,-2256472512508.3,-319886985357.93,1686672488924.52,-0.534495988353896,-1.37334391904653,-1.33782493479046,-0.189655660751247,"Biomass","10yr","trailing","base1901_1929"
1940,-1058864135431.86,-2548945377281.99,-2463032086750,-375486496860.551,1686672488924.52,-0.627782893469158,-1.51122722047081,-1.46029066278334,-0.222619684216214,"Biomass","10yr","trailing","base1901_1929"
1941,-1123730053432.18,-2700969694253.78,-2597411369982.87,-410600920577.188,1686672488924.52,-0.666240814865432,-1.60135990359101,-1.53996189956182,-0.243438440641788,"Biomass","10yr","trailing","base1901_1929"
