"year","scenario","n","slope_median","slope_q25","slope_q75","slope_q05","slope_q95","intercept_median","intercept_q25","intercept_q75","intercept_q05","intercept_q95","r_squared_median"
1841,"Climate-Only",2111,-2.07821186459825,-2.08729273522725,-2.07037937557602,-2.09827888648328,-2.05960566148016,11.4654718415435,11.4338844753186,11.4866294510568,11.3731366683172,11.516081554559,0.986858048157323
1841,"Fished",2111,-2.07821186459825,-2.08729273522725,-2.07037937557602,-2.09827888648328,-2.05960566148016,11.4654718415435,11.4338844753186,11.4866294510568,11.3731366683172,11.516081554559,0.986858048157323
1842,"Climate-Only",2111,-2.08128714072095,-2.08983863228041,-2.07374194980738,-2.10068891862701,-2.06401129327589,11.4856925161155,11.4557953617642,11.506014132063,11.398114983383,11.533609871115,0.986804886403392
1842,"Fished",2111,-2.08128714072095,-2.08983863228041,-2.07374194980738,-2.10068891862701,-2.06401129327589,11.4856925161155,11.4557953617642,11.506014132063,11.398114983383,11.533609871115,0.986804886403392
1843,"Climate-Only",2111,-2.08068436549705,-2.0888882390958,-2.07294518784511,-2.09970855630233,-2.06333502613034,11.4817225874883,11.4520590181333,11.5026475918031,11.3960625670446,11.5302654651912,0.986754751446237
1843,"Fished",2111,-2.08068436549705,-2.0888882390958,-2.07294518784511,-2.09970855630233,-2.06333502613034,11.4817225874883,11.4520590181333,11.5026475918031,11.3960625670446,11.5302654651912,0.986754751446237
1844,"Climate-Only",2111,-2.07969405222921,-2.08819372434833,-2.07212996005353,-2.09887168471338,-2.06250015464628,11.4770488111077,11.4466005918879,11.498537377138,11.3886180427764,11.5266390254561,0.986788309566768
1844,"Fished",2111,-2.07969405222921,-2.08819372434833,-2.07212996005353,-2.09887168471338,-2.06250015464628,11.4770488111077,11.4466005918879,11.498537377138,11.3886180427764,11.5266390254561,0.986788309566768
1845,"Climate-Only",2111,-2.07759130959343,-2.08654209202785,-2.06956020875181,-2.0974972396231,-2.05909907393378,11.4629738462267,11.4306771665929,11.484860998176,11.3698753389435,11.5144313090783,0.986833353031365
1845,"Fished",2111,-2.07759130959343,-2.08654209202785,-2.06956020875181,-2.0974972396231,-2.05909907393378,11.4629738462267,11.4306771665929,11.484860998176,11.3698753389435,11.5144313090783,0.986833353031365
1846,"Climate-Only",2111,-2.07936034401331,-2.08812032742891,-2.07162338237918,-2.09897271956441,-2.06123804627099,11.4732267987336,11.4430255279712,11.4944120441773,11.3835356524701,11.5225803044153,0.986869770367919
1846,"Fished",2111,-2.07936034401331,-2.08812032742891,-2.07162338237918,-2.09897271956441,-2.06123804627098,11.4732267987336,11.4430255279712,11.4944120441773,11.3835356524701,11.5225803044153,0.986869770367919
