"group","species","parameter","value","source/derivation","notes"
"","","",".","",""
"small myctophids","Electrona antarctica","k (Von Bertalanffy)","0.17","Fishbase","."
"small myctophids","Electrona antarctica","fishbase Q/B at 1 deg C","4","Fishbase","."
"small myctophids","Electrona antarctica","annual food consumption (x body wt)","15","Gerasimova 1990","Gerasimova 1990 estimates 15 for Electrona in general"
"small myctophids","Electrona antarctica","min depth","0","Williams 2004","."
"small myctophids","Electrona antarctica","max depth","750","Williams 2004","Mainly in upper 250m in pelagic waters"
"small myctophids","Electrona antarctica","water column use","non DVM","Williams 2004","."
"small myctophids","Electrona antarctica","time to maturity","2.5","Williams 2004","Fishbase life history tool estimates 4.8"
"small myctophids","Electrona antarctica","egg size mm","","","."
"small myctophids","Electrona antarctica","egg mass g","1E-3","calculated or assumed","."
"small myctophids","Electrona antarctica","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"small myctophids","Electrona antarctica","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"small myctophids","Electrona antarctica","Lmax cm","10.3","Williams 2004","for female"
"small myctophids","Electrona antarctica","Linf cm","12.9","Fishbase","."
"small myctophids","Electrona antarctica","Lmat cm","7.4","Gon & Heemstra","for female"
"small myctophids","Electrona antarctica","a (W=aL^b)","0.01","Fishbase","."
"small myctophids","Electrona antarctica","b (W=aL^b)","3.14","Fishbase","."
"small myctophids","Electrona antarctica","wmat","5.4","calculated or assumed","."
"small myctophids","Electrona antarctica","wmax","15","Williams 2004","for female"
"small myctophids","Electrona antarctica","winf","30.6","Fishbase","seems much too big"
"small myctophids","Electrona antarctica","distribution","Antarctic","Williams 2004; Duhamel et al. 2014","."
"","","",".","",""
"small myctophids","Electrona carlsbergi","k (Von Bertalanffy)","0.55000000000000004","Fishbase","."
"small myctophids","Electrona carlsbergi","fishbase Q/B at 1 deg C","5.0999999999999801","Fishbase","."
"small myctophids","Electrona carlsbergi","annual food consumption (x body wt)","7.5","Kozlov 1995","Notes that Garasimova 1990 estimated 15, but considered to be an overestimate as based only on summer"
"small myctophids","Electrona carlsbergi","min depth","0","Williams 2004","."
"small myctophids","Electrona carlsbergi","max depth","500","Williams 2004","."
"small myctophids","Electrona carlsbergi","water column use","DVM","Williams 2004","Surface at night, deep during day"
"small myctophids","Electrona carlsbergi","time to maturity","2.5","Williams 2004","fishbase LH tool has tmat as 1.6"
"small myctophids","Electrona carlsbergi","egg size mm","","","."
"small myctophids","Electrona carlsbergi","egg mass g","1E-3","calculated or assumed","."
"small myctophids","Electrona carlsbergi","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"small myctophids","Electrona carlsbergi","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"small myctophids","Electrona carlsbergi","Lmax cm","9.6","Williams 2004","for female"
"small myctophids","Electrona carlsbergi","Linf cm","9.6999999999999904","Fishbase","."
"small myctophids","Electrona carlsbergi","Lmat cm","7.7","Williams 2004","Fishbase LH tool has lmat as 6.4"
"small myctophids","Electrona carlsbergi","a (W=aL^b)","0.01","Fishbase*","used parameters for E. antarctica, as  E. carlsbergi values give unrealistically small weights"
"small myctophids","Electrona carlsbergi","b (W=aL^b)","3.14","Fishbase*","used parameters for E. antarctica, as  E. carlsbergi values give unrealistically small weights"
"small myctophids","Electrona carlsbergi","wmat","6.1","calculated or assumed","."
"small myctophids","Electrona carlsbergi","wmax","14","Williams 2004","."
"small myctophids","Electrona carlsbergi","winf","9.1","Fishbase","."
"small myctophids","Electrona carlsbergi","distribution","Subantarctic","Williams 2004; Duhamel et al. 2014","."
"","","",".","",""
"small myctophids","Krefftichthys anderssoni","k (Von Bertalanffy)","0.45","Fishbase","."
"small myctophids","Krefftichthys anderssoni","fishbase Q/B at 1 deg C","6","Fishbase","."
"small myctophids","Krefftichthys anderssoni","min depth","0","Williams 2004","."
"small myctophids","Krefftichthys anderssoni","max depth","1000","Williams 2004","."
"small myctophids","Krefftichthys anderssoni","water column use","DVM","Williams 2004","migrates to upper 50m at night"
"small myctophids","Krefftichthys anderssoni","time to maturity","2","Fishbase","."
"small myctophids","Krefftichthys anderssoni","egg size mm","","","."
"small myctophids","Krefftichthys anderssoni","egg mass g","1E-3","calculated or assumed","."
"small myctophids","Krefftichthys anderssoni","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"small myctophids","Krefftichthys anderssoni","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"small myctophids","Krefftichthys anderssoni","Lmax cm","7.1","Williams 2004","."
"small myctophids","Krefftichthys anderssoni","Linf cm","7.6","Fishbase","."
"small myctophids","Krefftichthys anderssoni","Lmat cm","5.4","Gon & Heemstra","."
"small myctophids","Krefftichthys anderssoni","a (W=aL^b)","3.8899999999999699E-3","Fishbase","."
"small myctophids","Krefftichthys anderssoni","b (W=aL^b)","3.12","Fishbase","."
"small myctophids","Krefftichthys anderssoni","wmat","0.7","calculated or assumed","."
"small myctophids","Krefftichthys anderssoni","wmax","4","Williams 2004","."
"small myctophids","Krefftichthys anderssoni","winf","4.4000000000000004","Fishbase","."
"small myctophids","Krefftichthys anderssoni","distribution","Broad Antarctic","Williams 2004; Duhamel et al. 2014","."
"","","",".","",""
"other mesopelagics","Cyclothone microdon","k (Von Bertalanffy)","0.84","Fishbase","."
"other mesopelagics","Cyclothone microdon","fishbase Q/B at 1 deg C","5.7","Fishbase","."
"other mesopelagics","Cyclothone microdon","min depth","200","Fishbase","."
"other mesopelagics","Cyclothone microdon","max depth","5300","Fishbase","."
"other mesopelagics","Cyclothone microdon","water column use","non DVM","Fishbase","."
"other mesopelagics","Cyclothone microdon","time to maturity","1.1000000000000001","Fishbase","."
"other mesopelagics","Cyclothone microdon","egg size mm","","","."
"other mesopelagics","Cyclothone microdon","egg mass g","1E-3","calculated or assumed","."
"other mesopelagics","Cyclothone microdon","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"other mesopelagics","Cyclothone microdon","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"other mesopelagics","Cyclothone microdon","Lmax cm","7.2","Gon & Heemstra","."
"other mesopelagics","Cyclothone microdon","Linf cm","8.1","Fishbase","."
"other mesopelagics","Cyclothone microdon","Lmat cm","3.25","Gon & Heemstra","."
"other mesopelagics","Cyclothone microdon","a (W=aL^b)","3.63E-3","Fishbase","."
"other mesopelagics","Cyclothone microdon","b (W=aL^b)","3.07","Fishbase","."
"other mesopelagics","Cyclothone microdon","wmat","0.1","calculated or assumed","."
"other mesopelagics","Cyclothone microdon","wmax","1.6","calculated or assumed","."
"other mesopelagics","Cyclothone microdon","winf","5.3","Fishbase","."
"other mesopelagics","Cyclothone microdon","distribution","Broad Antarctic","Fishbase","need to check against catch data"
"","","",".","",""
"large myctophids","Nannobrachium achirus","k (Von Bertalanffy)","0.21","Fishbase","."
"large myctophids","Nannobrachium achirus","fishbase Q/B at 1 deg C","3.6","Fishbase","."
"large myctophids","Nannobrachium achirus","min depth","130","Duhamel et al 2005","."
"large myctophids","Nannobrachium achirus","max depth","2000","Duhamel et al 2005","."
"large myctophids","Nannobrachium achirus","water column use","DVM","Duhamel et al 2005","136-360m at night, 566-2000 during the day"
"large myctophids","Nannobrachium achirus","time to maturity","3.7","Fishbase","."
"large myctophids","Nannobrachium achirus","egg size mm","","","."
"large myctophids","Nannobrachium achirus","egg mass g","1E-3","calculated or assumed","."
"large myctophids","Nannobrachium achirus","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"large myctophids","Nannobrachium achirus","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"large myctophids","Nannobrachium achirus","Lmax cm","16.2","Fishbase","."
"large myctophids","Nannobrachium achirus","Linf cm","17.2","Fishbase","."
"large myctophids","Nannobrachium achirus","Lmat cm","10.7","Fishbase","."
"large myctophids","Nannobrachium achirus","a (W=aL^b)","5.3699999999999902E-3","Fishbase","."
"large myctophids","Nannobrachium achirus","b (W=aL^b)","3.08","Fishbase","."
"large myctophids","Nannobrachium achirus","wmat","8","calculated or assumed","."
"large myctophids","Nannobrachium achirus","wmax","28.5","calculated or assumed","."
"large myctophids","Nannobrachium achirus","winf","50.9","Fishbase","."
"large myctophids","Nannobrachium achirus","distribution","Broad Antarctic","Fishbase","."
"","","","","",""
"other mesopelagics","Notolepis coatsi","k (Von Bertalanffy)","0.32","Fishbase","."
"other mesopelagics","Notolepis coatsi","fishbase Q/B at 1 deg C","2.2000000000000002","Fishbase","."
"other mesopelagics","Notolepis coatsi","min depth","0","","."
"other mesopelagics","Notolepis coatsi","max depth","2000","Williams 2004","."
"other mesopelagics","Notolepis coatsi","water column use","non DVM","Duhamel et al 2005","."
"other mesopelagics","Notolepis coatsi","time to maturity","2.2000000000000002","Fishbase","."
"other mesopelagics","Notolepis coatsi","egg size mm","","","."
"other mesopelagics","Notolepis coatsi","egg mass g","1E-3","calculated or assumed","."
"other mesopelagics","Notolepis coatsi","preferred predator-prey mass ratio (mean)","500","calculated or assumed","Williams and Fishbase both note as exclusively krill predator"
"other mesopelagics","Notolepis coatsi","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"other mesopelagics","Notolepis coatsi","Lmax cm","38","Williams 2004","."
"other mesopelagics","Notolepis coatsi","Linf cm","39.700000000000003","Fishbase","."
"other mesopelagics","Notolepis coatsi","Lmat cm","22.8","Fishbase","."
"other mesopelagics","Notolepis coatsi","a (W=aL^b)","3.2399999999999699E-3","Fishbase","Williams notes that individuals are 1g at 100mm"
"other mesopelagics","Notolepis coatsi","b (W=aL^b)","3.08","Fishbase","."
"other mesopelagics","Notolepis coatsi","wmat","49.3","calculated or assumed","."
"other mesopelagics","Notolepis coatsi","wmax","240","Williams 2004*","*note that this appears to be a typo, as weight for a 38 cm individual would be expected to be ~240 not 24 g."
"other mesopelagics","Notolepis coatsi","winf","625.70000000000005","Fishbase","seems doubtful"
"other mesopelagics","Notolepis coatsi","distribution","Broad Antarctic","Williams 2004","."
"","","","","",""
"other mesopelagics","Paradiplospinus gracilis","k (Von Bertalanffy)","0.28999999999999698","Fishbase","."
"other mesopelagics","Paradiplospinus gracilis","fishbase Q/B at 1 deg C","1.8","Fishbase","."
"other mesopelagics","Paradiplospinus gracilis","min depth","188","Williams 2004","."
"other mesopelagics","Paradiplospinus gracilis","max depth","3000","Williams 2004","."
"other mesopelagics","Paradiplospinus gracilis","water column use","ontogenetic change","Williams 2004","williams notes that adults are shallower, while  juveniles are 1400 m +; also large specimens confined to antarctic waters"
"other mesopelagics","Paradiplospinus gracilis","time to maturity","2.2999999999999901","Fishbase","."
"other mesopelagics","Paradiplospinus gracilis","egg size mm","","","."
"other mesopelagics","Paradiplospinus gracilis","egg mass g","1E-3","calculated or assumed","."
"other mesopelagics","Paradiplospinus gracilis","preferred predator-prey mass ratio (mean)","100","calculated or assumed","."
"other mesopelagics","Paradiplospinus gracilis","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"other mesopelagics","Paradiplospinus gracilis","Lmax cm","50","Williams 2004","."
"other mesopelagics","Paradiplospinus gracilis","Linf cm","54","Fishbase","."
