"","B.antarcticus","B.elongata","B.macropinna","C.gunnari","C.microdon","C.piriei","D.eleginoides","D.mawsoni","E.antarctica","E.carlsbergi","G.braueri","G.fraseri","G.nicholsi","K.anderssoni","M.gracilis","N.achirus","N.coatsi","P.antarcticum","P.bolini","P.gracilis","Ommastrephiids","Onychoteuthiids","Small.medium.nectonic.squids","Antarctic.Fur.Seals","Elephant.Seals","Crabeater.Seals","Leopard.Seals","Ross.Seals","Weddell.Seals","Adelie.Penguin","Emperor.Penguin","Crested.Penguin","King.Penguin","Gentoo.Penguin","Flying.birds...small","Flying.birds...med","Flying.birds...large","flying.birds...coastal","blue.whale","fin.whale","sei.whale","humpback.whale","minke.whale","Southern.Right.Whales","Orca","Sperm.Whales","Ziphiids","Dolphins"
"B.antarcticus",1,0.625,0.21,0.175,0.716981132075472,0.825,0.95,0.55,0.1875,0,0.16875,0,0.04375,0.0625,0.86575,0.116875,0.5,0.182,0.025,0.703,0.0125,0.5,0.65,0.012375,0.12375,0.01875,0.01875,0.0375,0.09375,0.01875,0.075,0.0061875,0.0165,0.01875,0.00125,0.00125,0.00125,0.000125,0.025,0.0125,0.025,0.025,0.009375,0.025,0.0165,0.25,0.1875,0.0015625
"B.elongata",0.625,1,0.113333333333333,0.0666666666666667,0.490196078431373,0.757575757575758,0.657894736842105,0.566666666666667,0.0833333333333333,0,0.366666666666667,0,0.0333333333333333,0.0833333333333333,0.721917412647993,0.261324041811847,0.5,0.076,0.0471698113207547,0.889046941678521,0,0.5,0.821428571428571,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.166666666666667,0
"B.macropinna",0.21,0.113333333333333,1,0.833333333333333,0.120754716981132,0.0894736842105263,0.205194805194805,0.381818181818182,0.892857142857143,0.148809523809524,0.0777777777777778,0.0744047619047619,0.208333333333333,0.21,0.190977027401052,0.08875,0.42,0.866666666666667,0.119047619047619,0.217333333333333,0.0595238095238095,0.42,0.228571428571429,0.0589285714285714,0.1848,0.0892857142857143,0.0892857142857143,0.178571428571429,0.446428571428571,0.0892857142857143,0.357142857142857,0.0294642857142857,0.0785714285714286,0.0892857142857143,0.00595238095238095,0.00595238095238095,0.00595238095238095,0.000595238095238095,0.119047619047619,0.0595238095238095,0.119047619047619,0.119047619047619,0.0446428571428571,0.119047619047619,0.0785714285714286,0.21,0.28,0.00744047619047619
"C.gunnari",0.175,0.0666666666666667,0.833333333333333,1,0.0943396226415094,0.0526315789473684,0.168831168831169,0.318181818181818,0.933333333333333,0.178571428571429,0.0648148148148148,0.0892857142857143,0.25,0.175,0.152228065319679,0.07125,0.35,0.961538461538462,0.116666666666667,0.170666666666667,0.0714285714285714,0.35,0.178571428571429,0.0707142857142857,0.154,0.107142857142857,0.107142857142857,0.214285714285714,0.535714285714286,0.107142857142857,0.428571428571429,0.0353571428571429,0.0942857142857143,0.107142857142857,0.00714285714285714,0.00714285714285714,0.00714285714285714,0.000714285714285714,0.142857142857143,0.0714285714285714,0.142857142857143,0.142857142857143,0.0535714285714286,0.142857142857143,0.0942857142857143,0.175,0.233333333333333,0.00892857142857143
"C.microdon",0.716981132075472,0.490196078431373,0.120754716981132,0.0943396226415094,1,0.647058823529412,0.695238095238095,0.377358490566038,0.10377358490566,0.0141509433962264,0.117924528301887,0.00235849056603774,0.0235849056603774,0.0377358490566038,0.662718446601942,0.0870406189555126,0.339622641509434,0.099622641509434,0.0196078431372549,0.54773082942097,0,0.339622641509434,0.509803921568627,0,0.0809433962264151,0,0,0,0.0424528301886792,0,0.0283018867924528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169811320754717,0.122641509433962,0
"C.piriei",0.825,0.757575757575758,0.0894736842105263,0.0526315789473684,0.647058823529412,1,0.868421052631579,0.447368421052632,0.0657894736842105,0,0.144736842105263,0,0.0131578947368421,0.0328947368421053,0.852876712328767,0.102179836512262,0.394736842105263,0.06,0.0181159420289855,0.692137320044297,0,0.394736842105263,0.638888888888889,0,0.0868421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197368421052632,0.131578947368421,0
"D.eleginoides",0.95,0.657894736842105,0.205194805194805,0.168831168831169,0.695238095238095,0.868421052631579,1,0.558441558441558,0.181818181818182,0.0292207792207792,0.172077922077922,0.012987012987013,0.0422077922077922,0.0616883116883117,0.911315789473684,0.123026315789474,0.506493506493506,0.176103896103896,0.0263157894736842,0.74,0.00974025974025974,0.506493506493506,0.684210526315789,0.00857142857142857,0.124285714285714,0.00974025974025974,0.00974025974025974,0.0292207792207792,0.0876623376623377,0.00974025974025974,0.0681818181818182,0.00214285714285714,0.0128571428571429,0.00974025974025974,0,0,0,0,0.0194805194805195,0.00649350649350649,0.0194805194805195,0.0194805194805195,0,0.0194805194805195,0.0128571428571429,0.253246753246753,0.188311688311688,0
"D.mawsoni",0.55,0.566666666666667,0.381818181818182,0.318181818181818,0.377358490566038,0.447368421052632,0.558441558441558,1,0.340909090909091,0,0.203703703703704,0,0.0795454545454545,0.113636363636364,0.567395516191531,0.2125,0.909090909090909,0.330909090909091,0.0454545454545455,0.670666666666667,0.0227272727272727,0.909090909090909,0.714285714285714,0.0225,0.225,0.0340909090909091,0.0340909090909091,0.0681818181818182,0.170454545454545,0.0340909090909091,0.136363636363636,0.01125,0.03,0.0340909090909091,0.00227272727272727,0.00227272727272727,0.00227272727272727,0.000227272727272727,0.0454545454545455,0.0227272727272727,0.0454545454545455,0.0454545454545455,0.0170454545454545,0.0454545454545455,0.03,0.454545454545455,0.340909090909091,0.00284090909090909
"E.antarctica",0.1875,0.0833333333333333,0.892857142857143,0.933333333333333,0.10377358490566,0.0657894736842105,0.181818181818182,0.340909090909091,1,0,0.0694444444444444,0,0.233333333333333,0.1875,0.166066980348741,0.0775,0.375,0.970666666666667,0.133333333333333,0.187333333333333,0.0666666666666667,0.375,0.196428571428571,0.066,0.165,0.1,0.1,0.2,0.5,0.1,0.4,0.033,0.088,0.1,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.000666666666666667,0.133333333333333,0.0666666666666667,0.133333333333333,0.133333333333333,0.05,0.133333333333333,0.088,0.1875,0.25,0.00833333333333333
"E.carlsbergi",0,0,0.148809523809524,0.178571428571429,0.0141509433962264,0,0.0292207792207792,0,0,0.5,0.0925925925925926,0.25,0.357142857142857,0.25,0.024218101300858,0.0925,0.0625,0,0.1,0,0.2,0.125,0.0535714285714286,0.02475,0.0275,0.0375,0.0375,0.075,0.1875,0.0375,0.15,0.012375,0.033,0.0375,0.0025,0.0025,0.0025,0.00025,0.05,0.025,0.05,0.05,0.01875,0.05,0.033,0.03125,0.0416666666666667,0.003125
