"group","parameter","value","source/derivation","notes"
"Antarctic Fur Seals","annual prey consumption (g)",1700000,"Boyd, 2002","prey consumption in g per year"
"Antarctic Fur Seals","maximum weight",157000,"Boyd, 2002","mass in g"
"Antarctic Fur Seals","weight at maturity",157000,"Boyd, 2002",""
"Antarctic Fur Seals","wieght at birth",16600,"Boyd, 2002",""
"Antarctic Fur Seals","weight at weaning/fledging",80000,"",""
"Antarctic Fur Seals","preferred PPMR mean",0.00392,"Lea et al 2002","mean prey size/max body size"
"Antarctic Fur Seals","preferred PPMR SD",0.000841,"",""
"Elephant Seals","annual prey consumption (g)",4200426,"Boyd, 1994","prey consumption in g per year"
"Elephant Seals","maximum weight",2024000,"Boyd, 1994","mass in g"
"Elephant Seals","weight at maturity",2024000,"Boyd, 1994",""
"Elephant Seals","wieght at birth",35000,"Boyd, 1994",""
"Elephant Seals","weight at weaning/fledging",135000,"",""
"Elephant Seals","preferred PPMR mean",0.000277,"Slip et al. 1995","mean prey size/max body size"
"Elephant Seals","preferred PPMR SD",0.000206,"",""
"Crabeater Seals","annual prey consumption (g)",2180492,"Mori and Butterworth, 2006","prey consumption in g per year"
"Crabeater Seals","maximum weight",212000,"Laws et al 2003","mass in g"
"Crabeater Seals","weight at maturity",180000,"Laws et al 2003","Matches Gales & Southwell."
"Crabeater Seals","wieght at birth",10000,"Laws et al 2003","Note that Gales & Southwell report 35kg"
"Crabeater Seals","weight at weaning/fledging",40000,"Laws et al 2003","Nte that Gales & Southwell report 100 kg"
"Crabeater Seals","preferred PPMR mean",5.61e-06,"Croxall and Prince 1980","mean prey size/max body size"
"Crabeater Seals","preferred PPMR SD",1.65e-06,"Croxall and Prince 1980",""
"Leopard Seals","annual prey consumption (g)",3661840,"Forcada et al 2009","prey consumption in g per year"
"Leopard Seals","maximum weight",348000,"Forcada et al 2009","mass in g"
"Leopard Seals","weight at maturity",348000,"Forcada et al 2009",""
"Leopard Seals","wieght at birth",104000,"Forcada et al 2009",""
"Leopard Seals","weight at weaning/fledging",2e+05,"Forcada et al 2009",""
"Leopard Seals","preferred PPMR mean",0.089,"Forcada et al 2009","mean prey size/max body size"
"Leopard Seals","preferred PPMR SD",0.156,"Forcada et al 2009",""
"Ross Seals","annual prey consumption (g)",3113450,"Innes et al 1987","prey consumption in g per year"
"Ross Seals","maximum weight",2e+05,"","mass in g"
"Ross Seals","weight at maturity",2e+05,"",""
"Ross Seals","wieght at birth",20000,"",""
"Ross Seals","weight at weaning/fledging",30000,"","Gales & Southwell 2004"
"Ross Seals","preferred PPMR mean",0.0028,"","mean prey size/max body size - assume similar to SES"
"Ross Seals","preferred PPMR SD",0.0021,"",""
"Weddell Seals","annual prey consumption (g)",5145405,"Innes et al 1987","prey consumption in g per year"
"Weddell Seals","maximum weight",375000,"Thomas 2002","mass in g"
"Weddell Seals","weight at maturity",375000,"Thomas 2002",""
"Weddell Seals","wieght at birth",25000,"Thomas 2002",""
"Weddell Seals","weight at weaning/fledging",110000,"",""
"Weddell Seals","preferred PPMR mean",0.000178,"Lake et al 2003","mean prey size/max body size - only used Davis"
"Weddell Seals","preferred PPMR SD",0.000175,"Lake et al 2003",""
"Adelie Penguin","annual prey consumption (g)",23664.1221374046,"Croll and Tershey 1998","prey consumption in g per year"
"Adelie Penguin","maximum weight",6000,"Emmerson et al 2004","mass in g"
"Adelie Penguin","weight at maturity",4000,"Croll and Tershey 1998",""
"Adelie Penguin","wieght at birth",100,"Watson 1975",""
"Adelie Penguin","weight at weaning/fledging",6000,"Croll and Tershey 1998",""
"Adelie Penguin","preferred PPMR mean",0.0002975,"","mean prey size/max body size"
"Adelie Penguin","preferred PPMR SD",8.75e-05,"",""
"Emperor Penguin","annual prey consumption (g)",2317750,"Kirkwood and Roberston 1997",""
"Emperor Penguin","maximum weight",40000,"Kirkwood and Roberston 1997","mass in g"
"Emperor Penguin","weight at maturity",23000,"Kirkwood and Roberston 1997",""
"Emperor Penguin","wieght at birth",450,"Watson 1975",""
"Emperor Penguin","weight at weaning/fledging",12500,"Robetrson 1992",""
"Emperor Penguin","preferred PPMR mean",0.00174389901823282,"Kirkwood and Roberston 1997","mean prey size/max body size"
"Emperor Penguin","preferred PPMR SD",0.00221324402008101,"Kirkwood and Roberston 1997",""
"Crested Penguin","annual prey consumption (g)",197980,"Brown and Klages 1987","based on Macaronis"
"Crested Penguin","maximum weight",4300,"Guinet et al 1996","mass in g"
"Crested Penguin","weight at maturity",4300,"",""
"Crested Penguin","wieght at birth",94,"",""
"Crested Penguin","weight at weaning/fledging",4500,"",""
"Crested Penguin","preferred PPMR mean",0.00039922480620155,"","mean prey size/max body size"
"Crested Penguin","preferred PPMR SD",0.000110516104103746,"",""
"King Penguin","annual prey consumption (g)",1168000,"Cherel 1995",""
"King Penguin","maximum weight",17000,"Cherel 1995","mass in g"
"King Penguin","weight at maturity",17000,"Cherel 1995",""
"King Penguin","wieght at birth",304,"Watson 1975",""
"King Penguin","weight at weaning/fledging",10000,"Watson 1975",""
"King Penguin","preferred PPMR mean",0.00271344537815126,"","mean prey size/max body size"
"King Penguin","preferred PPMR SD",0.00556839068222731,"",""
"Gentoo Penguin","annual prey consumption (g)",66666.6666666667,"Croll and Tershey 1998",""
"Gentoo Penguin","maximum weight",4500,"Croll and Tershey 1998","mass in g"
"Gentoo Penguin","weight at maturity",4500,"Croll and Tershey 1998",""
"Gentoo Penguin","wieght at birth",135,"Watson 1975",""
"Gentoo Penguin","weight at weaning/fledging",6700,"Croll and Tershey 1998",""
"Gentoo Penguin","preferred PPMR mean",0.00951472222222222,"Hindell 1989","mean prey size/max body size"
"Gentoo Penguin","preferred PPMR SD",0.0171664820018834,"Hindell 1989",""
"Flying birds - small","annual prey consumption (g)",7279.39142461964,"",""
"Flying birds - small","maximum weight",40,"","mass in g"
"Flying birds - small","weight at maturity",40,"",""
"Flying birds - small","wieght at birth",6,"",""
"Flying birds - small","weight at weaning/fledging",40,"",""
"Flying birds - small","preferred PPMR mean",0.0096453125,"Croxall et al 1988","mean prey size/max body size"
