"species","yield_total","biomass_final"
"mesozooplankton",0,12680721464800.7
"other krill",0,2699441131380.65
"other macrozooplankton",0,14594439147818.9
"antarctic krill",67211246054.4215,5634370543008.09
"salps",0,927964056456.116
"mesopelagic fishes",0,1674881417171.29
"bathypelagic fishes",84879444.5132661,1646447892661.29
"shelf and coastal fishes",202485939.24897,3865282885867.76
"flying birds",0,4455619123.15242
"small divers",0,28807258690.3611
"squids",2883148.93460497,227527470160.169
"toothfishes",627589074.379528,1015026416731.57
"leopard seals",0,3067783866.36792
"medium divers",0,392231400070.523
"large divers",0,16241646326.7007
"minke whales",23207151411.9093,2801574075.87174
"orca",1024034464.1394,7943993128.85413
"sperm whales",19764105499.906,46371178.4300585
"baleen whales",35628174787.064,154446044242.208
