"time","diff_median","diff_q25","diff_q75","diff_q05","diff_q95","n_pairs"
1901,0,0,0,-2.22044604925031e-16,2.22044604925031e-16,212
1902,0,0,0,-2.22044604925031e-16,2.22044604925031e-16,212
1903,0,0,0,-2.22044604925031e-16,0,212
1904,0,0,0,-2.22044604925031e-16,9.99200722162616e-17,212
1905,0,0,0,-2.22044604925031e-16,2.22044604925031e-16,212
1906,0,0,0,-2.22044604925031e-16,9.99200722162616e-17,212
1907,0,0,0,-3.21964677141295e-16,2.22044604925031e-16,212
1908,0,0,0,0,2.22044604925031e-16,212
1909,0,0,0,-2.22044604925031e-16,0,212
1910,0,0,0,-2.22044604925031e-16,2.22044604925031e-16,212
1911,0,0,0,-9.99200722162639e-17,2.22044604925031e-16,212
1912,0,0,0,0,2.22044604925031e-16,212
1913,0,0,0,-9.99200722162639e-17,2.22044604925031e-16,212
1914,0,0,0,-2.22044604925031e-16,2.22044604925031e-16,212
1915,0,0,0,-2.22044604925031e-16,2.22044604925031e-16,212
1916,0,0,0,-2.22044604925031e-16,2.22044604925031e-16,212
1917,0,0,0,-2.22044604925031e-16,0,212
1918,0,0,0,-2.22044604925031e-16,2.22044604925031e-16,212
1919,0,0,0,-9.99200722162639e-17,2.22044604925031e-16,212
1920,0,0,0,0,2.22044604925031e-16,212
1921,0,0,0,0,2.22044604925031e-16,212
1922,0,0,0,0,0,212
1923,0,0,0,-9.99200722162639e-17,2.22044604925031e-16,212
1924,0,0,0,0,0,212
1925,0,0,0,-9.99200722162639e-17,2.22044604925031e-16,212
1926,0,0,0,-2.22044604925031e-16,2.22044604925031e-16,212
1927,0,0,0,0,9.99200722162616e-17,212
1928,0,0,0,-2.22044604925031e-16,2.22044604925031e-16,212
1929,0,0,0,-2.22044604925031e-16,2.22044604925031e-16,212
1930,0,0,0,0,2.22044604925031e-16,212
1931,-3.36804471164909e-05,-7.46180883188785e-05,-1.24173147464379e-05,-0.000319748110560991,-4.68755889794226e-06,212
1932,-0.000182552907071587,-0.000410261821614577,-7.03569098491341e-05,-0.00177793135683518,-2.39244557982743e-05,212
1933,-0.000238969181318271,-0.000645332461731152,-9.1841478249588e-05,-0.00264348325373056,-2.24085358328409e-05,212
1934,-0.000591799572887908,-0.00115685869440646,-0.000342052405998217,-0.0048671683898509,-0.000112843483897629,212
1935,-0.00101352314879233,-0.00161291418753795,-0.000550761395884281,-0.0061802659411705,-0.000114444984771956,212
1936,-0.00123429919889173,-0.00196756450344227,-0.000682389315843412,-0.00757114854274125,-8.38101234265865e-05,212
