"ensemble","time","slope_mean","slope_median","slope_sd","slope_min","slope_max","slope_q25","slope_q75","n_sims"
"Exploited",1901,-1.04934135182235,-1.04885061967866,0.0152444409067654,-1.09458891128722,-1.00813453240417,-1.05901600658237,-1.04106844133825,212
"Exploited",1902,-1.05328762518383,-1.05232212792466,0.0142263790758867,-1.10223729867997,-1.0150463381971,-1.06228191427184,-1.04449606860658,212
"Exploited",1903,-1.05265049327602,-1.05156255158062,0.0142472794491922,-1.10215790938832,-1.01522213327704,-1.06179120621797,-1.04352655050021,212
"Exploited",1904,-1.05166094783869,-1.05092469409075,0.0142162181993942,-1.09745305103986,-1.01376975441295,-1.06085462180096,-1.04283047476744,212
"Exploited",1905,-1.04955528013851,-1.04955332422742,0.0146013643560066,-1.09380167683096,-1.0101038170398,-1.05894456429054,-1.04093013108247,212
"Exploited",1906,-1.05128924416686,-1.05076400620186,0.0143348985400852,-1.09490305725598,-1.01204927400531,-1.06028192805816,-1.04237200035748,212
"Exploited",1907,-1.0485173670806,-1.04828195944366,0.0154079299171448,-1.09374632080706,-1.00639910235153,-1.05849442046853,-1.0400953079013,212
"Exploited",1908,-1.05175066220881,-1.05100891870045,0.0144631963824858,-1.09781482616008,-1.01180355722708,-1.06102268497959,-1.04266899005756,212
"Exploited",1909,-1.05025861004656,-1.04954058235309,0.0147642216348963,-1.09705630023725,-1.0100256226901,-1.05949365125643,-1.04159082713166,212
"Exploited",1910,-1.0506910936275,-1.0501145475081,0.0144558183092335,-1.09695921490287,-1.01135210917765,-1.05993132698479,-1.04184424526581,212
"Exploited",1911,-1.05163732441732,-1.05107517850526,0.0142953477429409,-1.09803853458631,-1.01301249247855,-1.06088171730946,-1.04273183755855,212
"Exploited",1912,-1.05262420398629,-1.05162818737084,0.0141323396400721,-1.10127519168985,-1.0150728686708,-1.06179088802098,-1.04380695809471,212
"Exploited",1913,-1.05169421890701,-1.0507094157186,0.0141367251968738,-1.09980208940954,-1.01419803258805,-1.06077489713573,-1.04265101934055,212
"Exploited",1914,-1.05110512654039,-1.05070217668804,0.0141707716504144,-1.0956870916501,-1.01296962795289,-1.06028159387457,-1.04225691492814,212
"Exploited",1915,-1.05180267232711,-1.0514435550274,0.0141342442700612,-1.09612694136042,-1.01361303927916,-1.06080884111655,-1.04297003003423,212
"Exploited",1916,-1.05036668885234,-1.04974449630458,0.0144086295760176,-1.09530179419172,-1.01119767545214,-1.05982529975794,-1.04160067277623,212
"Exploited",1917,-1.05068669537293,-1.05050812863394,0.0144811462894615,-1.09500282366277,-1.01102348342882,-1.06023652238811,-1.04191807239661,212
"Exploited",1918,-1.0502048289462,-1.04981766091856,0.014616814368215,-1.09483079547424,-1.01018862743003,-1.05994653805831,-1.04129061697574,212
"Exploited",1919,-1.04951956580107,-1.04879486765769,0.0150221357705536,-1.09457494434348,-1.00806372449168,-1.05935884464693,-1.04108748260924,212
"Exploited",1920,-1.05297084476291,-1.05214937982592,0.0143748018173948,-1.10067092056005,-1.0136904604334,-1.06221384092468,-1.04403601778204,212
"Exploited",1921,-1.04943134980852,-1.0491428844569,0.0151409139578635,-1.09509198812079,-1.00833168059781,-1.05901620471631,-1.04085609809161,212
"Exploited",1922,-1.05336895772676,-1.05245376706614,0.014132604855243,-1.10254640770914,-1.01525649208895,-1.062333285832,-1.04476077111745,212
"Exploited",1923,-1.05273300954631,-1.0518116633831,0.0141524325237653,-1.10246573019166,-1.01543173772897,-1.06181570366165,-1.04374357072233,212
"Exploited",1924,-1.05174776816849,-1.05130802731553,0.0141192477021697,-1.09777092271087,-1.0139769210956,-1.06090878614661,-1.04305039076852,212
"Exploited",1925,-1.04964734171035,-1.0496433957077,0.0144984334436358,-1.0943025516278,-1.01030348287571,-1.05939456619032,-1.04087289518116,212
"Exploited",1926,-1.05137633585139,-1.05095279649909,0.014236738689132,-1.09540252394974,-1.0122550767594,-1.06071018279308,-1.04263055992595,212
"Exploited",1927,-1.0486133049597,-1.04834041605037,0.0153019923394528,-1.09424332063797,-1.00659483133595,-1.05852281628174,-1.04044773472787,212
"Exploited",1928,-1.05183862920882,-1.05114603892303,0.0143680228015327,-1.0981279464429,-1.01201288015888,-1.06109952170278,-1.04303096902624,212
"Exploited",1929,-1.05035002460955,-1.04977366286737,0.0146666772074075,-1.09736450274872,-1.01023135459891,-1.05961538949568,-1.04134778598818,212
"Exploited",1930,-1.05078221774666,-1.05030145200429,0.0143594109626118,-1.09726877883665,-1.01156019496879,-1.06003114098375,-1.04211061733682,212
"Exploited",1931,-1.05179462476067,-1.05125286767664,0.0141779372158086,-1.0983556468354,-1.01335583872007,-1.06100652579491,-1.04294227152968,212
"Exploited",1932,-1.05308729519438,-1.0522521642932,0.0139335624410952,-1.10162025114008,-1.01603313935777,-1.06195091526934,-1.04429677571115,212
"Exploited",1933,-1.05234647911238,-1.05188095196269,0.0138786435838569,-1.10016986811304,-1.01557849612319,-1.06117817536943,-1.04327449457333,212
"Exploited",1934,-1.05228487741764,-1.05236035514717,0.013781350287361,-1.09621370496385,-1.01527162201807,-1.06069706501029,-1.04351490443007,212
"Exploited",1935,-1.0534223940968,-1.05373000545623,0.0136808586075374,-1.09685568949108,-1.01665672377207,-1.06131976800839,-1.04445650335751,212
"Exploited",1936,-1.05227092859572,-1.05262214067045,0.0138735227315572,-1.09616567334361,-1.01476935310969,-1.0603500450437,-1.04324931417481,212
"Exploited",1937,-1.0528283578218,-1.0534460318378,0.0138862825303285,-1.09580758158655,-1.0150568516259,-1.06073505988442,-1.0440893757267,212
"Exploited",1938,-1.05255110209892,-1.05321436917861,0.0139918127949717,-1.09568772117858,-1.01467436010796,-1.06062411086789,-1.04362850644532,212
"Exploited",1939,-1.05191871695914,-1.05267480758335,0.0143113591207256,-1.09545843885361,-1.01273944286371,-1.06031187401864,-1.04322281916851,212
"Exploited",1940,-1.05596736567881,-1.05633934772617,0.0138339253616944,-1.102323196007,-1.01926679384093,-1.06402218052629,-1.04743206508105,212
"Exploited",1941,-1.05294519493074,-1.0536853169841,0.0143620402225078,-1.09667396102505,-1.01450926957394,-1.06145699971705,-1.04486671716069,212
"Exploited",1942,-1.05660190095521,-1.05648978911324,0.0136855228508994,-1.10452719513309,-1.02130443162052,-1.06489342288522,-1.04805049727425,212
"Exploited",1943,-1.05583404928211,-1.05595445927941,0.0137172632449692,-1.1044520475818,-1.02140264821124,-1.0640185339218,-1.04723747972372,212
"Exploited",1944,-1.05479321313093,-1.05511750305888,0.0136458622547458,-1.0997934392025,-1.01989878677498,-1.06270916998484,-1.04644322434231,212
"Exploited",1945,-1.05267250296857,-1.05323507757114,0.0139032631890179,-1.09545506258963,-1.01619466529649,-1.06095292513441,-1.04450748264829,212
"Exploited",1946,-1.0542778514476,-1.05471441146807,0.013781612701432,-1.09714670397006,-1.01809731321653,-1.06254541341849,-1.04566891836267,212
"Exploited",1947,-1.05162446955412,-1.05193736674886,0.0145772105362228,-1.09539602904606,-1.01249593038343,-1.06050194830595,-1.0438174795945,212
"Exploited",1948,-1.05552683081461,-1.05584210935746,0.0138730853197494,-1.10063874985021,-1.01881616117079,-1.0639760238223,-1.04721001730742,212
"Exploited",1949,-1.05544156555295,-1.05573897516303,0.0140034634624115,-1.10064625594265,-1.01866847408453,-1.06396964754027,-1.04697108677098,212
"Exploited",1950,-1.05612813438405,-1.05647619164865,0.0137360340693716,-1.10074038118026,-1.02030038730021,-1.06434174995449,-1.04767885311106,212
"Exploited",1951,-1.05744921338257,-1.05822193233262,0.0136168810664296,-1.10206093684972,-1.02245686824161,-1.06583903806329,-1.04851398241017,212
"Exploited",1952,-1.05934798583661,-1.05978953906519,0.0135262755511657,-1.10586927273085,-1.02559442286711,-1.06759734637938,-1.04931471486547,212
"Exploited",1953,-1.05882610771319,-1.05919311653866,0.0134946517089749,-1.10483260993544,-1.02528301644678,-1.06681027811572,-1.04920468108496,212
"Exploited",1954,-1.05858886237556,-1.0592714937611,0.0134562633545347,-1.10118451080287,-1.02452830150256,-1.06694334314369,-1.04885414115811,212
"Exploited",1955,-1.05982821079263,-1.06028311393776,0.0134598245374659,-1.10304165814771,-1.02586868221453,-1.06791812789631,-1.0499674250148,212
"Exploited",1956,-1.05880577075665,-1.05919878600388,0.013658037648083,-1.10311107881062,-1.02395041762849,-1.06704200224179,-1.04894333909147,212
"Exploited",1957,-1.05969538517509,-1.05984913871604,0.0136983363764604,-1.10246136847603,-1.02449689866796,-1.06795005068619,-1.04979205958586,212
"Exploited",1958,-1.05947473720804,-1.05970385147986,0.0138210530431111,-1.10341756961806,-1.0239987652878,-1.06799541527429,-1.04935721269575,212
"Exploited",1959,-1.05936968488924,-1.05967392990174,0.0141052946849535,-1.1015376862859,-1.02259606564452,-1.06782948413433,-1.04946255724719,212
"Exploited",1960,-1.06309815335467,-1.06346621678629,0.0137463275248054,-1.11113919636438,-1.02878452791062,-1.07115457486736,-1.05287313718809,212
"Exploited",1961,-1.05985434464822,-1.06041602353937,0.0141925871027837,-1.1049241150141,-1.02374273118328,-1.06818479887551,-1.04999150009899,212
"Exploited",1962,-1.06366328686444,-1.06405604267264,0.0135836368140224,-1.11315792402811,-1.030691658505,-1.07168893746623,-1.05381874361612,212
"Exploited",1963,-1.06313466336772,-1.06348819748761,0.0135707288793706,-1.11329229485262,-1.03103499679033,-1.07110838217385,-1.05351026498218,212
"Exploited",1964,-1.06233715828245,-1.06293612229541,0.013473242979547,-1.10855747368525,-1.02979208280665,-1.07005586079147,-1.0528765737325,212
"Exploited",1965,-1.06050795133986,-1.06180223964992,0.0137022466512962,-1.10209432271007,-1.0264340077906,-1.06871464131025,-1.05025836137369,212
"Exploited",1966,-1.06217182685924,-1.06323864457764,0.0135684515734138,-1.10611555194541,-1.02843017938486,-1.07034511014636,-1.05240423807294,212
"Exploited",1967,-1.05957837436701,-1.0609539936553,0.0142955429902299,-1.1002167796868,-1.02286885382796,-1.0679345837069,-1.04922258333186,212
"Exploited",1968,-1.06286207249245,-1.06384137440065,0.0137002607316299,-1.10956234240902,-1.02857374254394,-1.07102589440527,-1.05281323511763,212
"Exploited",1969,-1.06153145238985,-1.06274352386496,0.013885064528692,-1.10871268544012,-1.02696722384176,-1.06963120813197,-1.05160782544762,212
"Exploited",1970,-1.06198832954437,-1.06299883994256,0.013652136579535,-1.10839664420727,-1.02836013922458,-1.06992585995048,-1.05227270217677,212
"Exploited",1971,-1.06303275384346,-1.06423711711612,0.0135659679228217,-1.10966049729759,-1.03021492563969,-1.07083415450874,-1.05290042605463,212
"Exploited",1972,-1.06395734542637,-1.06497003100648,0.0134790796175925,-1.11324605759962,-1.03226158698599,-1.0714707916882,-1.05386179333952,212
"Exploited",1973,-1.06375856183173,-1.06478290950965,0.0134312258294038,-1.11313741702537,-1.03278899888542,-1.07087840923393,-1.05368191124223,212
