"decade","start_year","end_year","scenario","n_sims","total_biomass_median","total_biomass_mean","total_biomass_sd","total_biomass_q05","total_biomass_q25","total_biomass_q75","total_biomass_q95","whale_biomass_median","whale_biomass_mean","whale_biomass_sd","whale_biomass_q05","whale_biomass_q25","whale_biomass_q75","whale_biomass_q95","baleen_biomass_median","baleen_biomass_mean","baleen_biomass_sd","baleen_biomass_q05","baleen_biomass_q25","baleen_biomass_q75","baleen_biomass_q95","seal_biomass_median","seal_biomass_mean","seal_biomass_sd","seal_biomass_q05","seal_biomass_q25","seal_biomass_q75","seal_biomass_q95","fish_biomass_median","fish_biomass_mean","fish_biomass_sd","fish_biomass_q05","fish_biomass_q25","fish_biomass_q75","fish_biomass_q95","krill_biomass_median","krill_biomass_mean","krill_biomass_sd","krill_biomass_q05","krill_biomass_q25","krill_biomass_q75","krill_biomass_q95","ltl_biomass_median","ltl_biomass_mean","ltl_biomass_sd","ltl_biomass_q05","ltl_biomass_q25","ltl_biomass_q75","ltl_biomass_q95","apex_biomass_median","apex_biomass_mean","apex_biomass_sd","apex_biomass_q05","apex_biomass_q25","apex_biomass_q75","apex_biomass_q95","spectrum_slope_median","spectrum_slope_mean","spectrum_slope_sd","spectrum_slope_q05","spectrum_slope_q25","spectrum_slope_q75","spectrum_slope_q95","mean_tl_median","mean_tl_mean","mean_tl_sd","mean_tl_q05","mean_tl_q25","mean_tl_q75","mean_tl_q95","htl_indicator_median","htl_indicator_mean","htl_indicator_sd","htl_indicator_q05","htl_indicator_q25","htl_indicator_q75","htl_indicator_q95","large_fish_indicator_median","large_fish_indicator_mean","large_fish_indicator_sd","large_fish_indicator_q05","large_fish_indicator_q25","large_fish_indicator_q75","large_fish_indicator_q95","mean_weight_median","mean_weight_mean","mean_weight_sd","mean_weight_q05","mean_weight_q25","mean_weight_q75","mean_weight_q95","mean_max_weight_median","mean_max_weight_mean","mean_max_weight_sd","mean_max_weight_q05","mean_max_weight_q25","mean_max_weight_q75","mean_max_weight_q95","predator_prey_ratio_median","predator_prey_ratio_mean","predator_prey_ratio_sd","predator_prey_ratio_q05","predator_prey_ratio_q25","predator_prey_ratio_q75","predator_prey_ratio_q95","exploitation_total_median","exploitation_total_mean","exploitation_total_sd","exploitation_total_q05","exploitation_total_q25","exploitation_total_q75","exploitation_total_q95","exploitation_whale_median","exploitation_whale_mean","exploitation_whale_sd","exploitation_whale_q05","exploitation_whale_q25","exploitation_whale_q75","exploitation_whale_q95","exploitation_krill_median","exploitation_krill_mean","exploitation_krill_sd","exploitation_krill_q05","exploitation_krill_q25","exploitation_krill_q75","exploitation_krill_q95"
"1841-1850",1841,1850,"Climate-only",2111,88754991249974.5,94713811641384.4,30359736527793.1,61398752714138.5,73777438145591,107319307944569,148715982316041,2227553396216.34,9016298814631.04,19817543997611.3,295351879720.336,1004085793939.58,8388777384089.53,38055958397433.5,1432936742857.05,8516960479750.29,19788121020515.9,211437242005.656,919595131813.182,7497681982868.74,37657902211813.2,480381750349.691,600939425178.609,440717414472.296,194085547662.67,328209560209.807,805201947309.34,1315179855070.47,10326645624288.1,10163184652664.7,2712945638215.39,4866828584754.44,8719754691952.23,11951817811898.9,14481258988409,13169117193108.7,16228094170439.1,11104489517446.7,2038898124947.85,7292935359314.92,24281148828508.1,36413761937893,70162963024603.2,74775204604314.4,21925756234879.7,48643526048371.5,57792973011817.9,86174629069375.2,119645797104056,40407039000.3696,502606630213.361,1643218035531.03,27585168991.6009,32733998834.8885,129925953606.627,2940823606304.02,-1.3718999127888,-1.37001007734028,0.045081655237279,-1.4455888829695,-1.39103296521679,-1.34561859642531,-1.29542013139181,3.08456386805922,3.09112266449281,0.190532378825233,2.7845999916623,2.95577170211059,3.22335309853334,3.40565050402442,0.108069880990193,0.10620615269592,0.0341527027021965,0.0413894092069121,0.0853362216170393,0.127914381713461,0.153568680366518,0.487808249193826,0.487208693626927,0.0434679084047066,0.421673372004708,0.46341753616105,0.514110063714259,0.553364995698515,261.098024974079,337.588326186196,419.737576859736,126.058064611401,227.149849236305,294.609024412278,762.627129878163,1757480.31056871,4744942.75098973,7271063.71211438,328214.911629449,1066237.02474963,4772407.29647096,20771809.8185222,0.000648356200628272,0.00704256927549219,0.0230624112133324,0.000307196734410204,0.000462398539378457,0.00186509550694823,0.0423862517460759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1851-1860",1851,1860,"Climate-only",2111,88726238979677.1,94558279827174,29927588133713.1,61445809648687.1,73772840952278.9,107193162732796,148313915549680,2201884541860.78,8806483846855.8,19217069481765.1,294411196231.266,993998161701.736,8227085500692.67,36463392689089.2,1417606216583.34,8315634737118.63,19187866356428.8,211116001150.294,910588608098.388,7395969215413.99,36092324023523.1,479114910789.195,593309087062.28,424031930126.141,195212149534.698,327673251594.145,795386208137.394,1288908378802.41,10366826778136.1,10210670975794,2694962671949.02,4932515988235.32,8773217329683.01,11989724199017.5,14514482503416.7,13175382885500.5,16197262859241.5,11063998667932.9,1925603445607.55,7274273658682.53,24222939763959.3,36306262550252.8,70208107360475.1,74789435770645,21831789548821.5,48693153170710.1,57814329074489.4,86258847160280.4,119409663130340,40132005785.141,494121553903.716,1613764986298.32,27607177915.87,32684151505.6741,128164835058.331,2888643335576.09,-1.37149589613962,-1.36960796813349,0.0446849967288403,-1.44460892542696,-1.39070530653721,-1.34567251396453,-1.29398045488154,3.08428627070353,3.09095929294964,0.188965401060981,2.78684977527657,2.95738523165156,3.22304263144452,3.40300384453241,0.108239620668324,0.106368263995062,0.0338016861187305,0.042190246296553,0.08563783700094,0.127989984105186,0.153609732409108,0.486555949682278,0.485945110397168,0.0428596521501475,0.421592079216851,0.462130038105975,0.512213202000098,0.551634065783887,261.021135732638,333.732976853128,402.053821046454,125.616233073167,227.380954925981,294.686121991073,745.007768122254,1736805.04033057,4692708.27184884,7206284.64118147,327882.124448159,1054733.35275011,4709056.60815886,20531498.4573113,0.000644971084962402,0.00691840339992763,0.0226304490402678,0.000307673623595676,0.000461119174625178,0.00184160494318313,0.0415754253538433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1861-1870",1861,1870,"Climate-only",2111,88744176014369.9,94424545066787.7,29702281410452.8,61271896426523.1,73661147375072.6,106955529813187,148803882121712,2156276930360.57,8602516222389.39,18636885732006,293467615771.8,983634130094.548,8065452842832.21,35653258056946.2,1395068379622.77,8120008028541.42,18607906219661.4,210751562722.412,901544694927.307,7253837819954.34,35221399394217.2,477664245101.867,586065924087.256,408223431110.1,195806582788.102,326364938520.819,789900774193.641,1250569675411.34,10323498161983.3,10198502629363.6,2686220472005.5,4971055986676.46,8753387631749.52,11965872055978.3,14502129669932.9,13287814199644.1,16285880043564.6,11151726818465,1857311636939.87,7310613004849.87,24380241808420,36607533435090.5,70286553174007.2,74879307577336,21968792536307.7,48598031230676.4,57863752159071.2,86255015772849,119874224675766,39907728304.2226,485786015313.043,1584839962247.67,27613569687.6345,32633904411.9367,126432909352.569,2837391499786.6,-1.37152747177702,-1.36975638098654,0.0444988587252341,-1.44404577729314,-1.39122565439075,-1.34645267548649,-1.29270966018042,3.08286443532782,3.08822021585964,0.188824054239454,2.78377386724069,2.95370864576017,3.22124791308103,3.39970773501546,0.107635938236031,0.10617014302095,0.0335255543986382,0.042567259313325,0.0854477977314084,0.12748605775925,0.152926541266455,0.486860272281593,0.48626015418233,0.0427917608216477,0.422507264581015,0.462564606094495,0.512811094480308,0.552562313091483,259.509743152475,329.019582698552,385.916263610932,125.897765104634,225.842833846619,293.574930387495,724.77121439227,1714648.29268183,4644493.3114025,7147379.96640738,328067.147875377,1042626.05032512,4647622.54850258,20374056.8585752,0.000640700920056202,0.00680345135081589,0.0222505986079855,0.000306302612298082,0.000461152196018186,0.00181619941592468,0.0408719725450708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1871-1880",1871,1880,"Climate-only",2111,88649485868684.2,94178104061339.5,29272075458193.3,61182788722791.4,73673869981071.4,106654246774118,147807228905536,2130051292741.4,8404212611364.19,18076324765749.2,292598670499.13,973449059300.499,7875833119255.46,34837840186118.6,1370345715194.15,7929890142578.83,18047572534050.4,210486077149.54,892698770287.179,7160384203952.14,34184098990755.9,476857925410.272,579180786607.822,393343196192.706,197839818812.162,325520439228.583,779732658212.343,1210044143310.86,10398572552460.3,10274704376263.3,2662024665805.8,5113617345343.76,8824834506749.58,12033763519390.4,14534026450110.1,13183139314439.2,16173008041021.5,11035738811434.5,1777641229670.65,7276476863609.53,24234606102121.1,36258504089968.7,70215855650860.5,74760620742284.7,21831711234650.1,48589790727499.8,57774843536295.6,86213124083374,119384628428347,39678688937.9,477605485657.264,1556433272577.11,27641476332.7427,32624348923.8096,124735901139.653,2787065866063.49,-1.37048644565007,-1.36845463207055,0.0441888345526904,-1.44227335865824,-1.38998049588228,-1.3453630604882,-1.2922258355828,3.08282800147305,3.0893052051886,0.187056204845887,2.78608763168331,2.95657499363182,3.22087344384072,3.39519135524107,0.108484453746524,0.106822276741162,0.0333182855800813,0.0438925259702009,0.0861617591607912,0.128167070414151,0.153573213763786,0.486691103832034,0.486279119246388,0.0423207546058604,0.422438971886708,0.462630065358292,0.51234961949888,0.551880947624078,261.279117449889,326.869938527728,370.258219185884,127.165825888111,227.627942887099,294.974203063844,710.918170994313,1692439.6601663,4598160.30889275,7090297.10889721,328029.075567492,1031654.00538075,4599437.08647873,20154058.8987485,0.000638276971947834,0.00669402212207705,0.0218627714049114,0.000307016641735504,0.000460294389172487,0.00179182186025242,0.0401361902722786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1881-1890",1881,1890,"Climate-only",2111,88638805388194.9,94059765062318.3,29088890695090.8,61030594354883.8,73570328343163.1,106720041341021,147663901054849,2088095924131.65,8211406849106.08,17534723373312.9,291711122423.245,962730158276.854,7711153796389.29,33821485697889.8,1348975150799.25,7745127745330.13,17506202170723.7,210255415172.076,883950477938.458,7029900813788.7,33678007879212.7,475598114137.986,572607717967.981,379257790313.567,199624270517.945,326001666636.961,767101319062.707,1191214464740.78,10367199804539.2,10259325955335.9,2652731447200.76,5089624014077.13,8787824089357.43,12002564539412.3,14528703111036.3,13347157342355.5,16272036215363.4,11121277380476.1,1781869157693.39,7337685155928.1,24363213262568.2,36539844748211.8,70233126777012.2,74857317288007.4,21960576579366.6,48600598723424.4,57834649774474.6,86268301766989.8,119816083876685,39442673790.5338,469568340416.109,1528535924844.8,27658107516.0808,32572980411.1906,123066121913.722,2737635065608.05,-1.37069417766993,-1.36872345406198,0.0440158359218161,-1.44130749520298,-1.39052231083799,-1.3462771858109,-1.29207895585914,3.0800244052812,3.086489051973,0.186814364050285,2.78373414164581,2.95345641069913,3.21911615217818,3.38829535853833,0.107919007773949,0.106591904315217,0.0330329886320629,0.0446021409171746,0.0859446356548424,0.127693259977966,0.152957387843163,0.487213951714417,0.486823527849087,0.0422190611924938,0.422962459939832,0.463128711403618,0.512965226435357,0.552466991161169,259.615616796498,322.302837445908,355.257718600918,127.397284851311,225.875896813762,293.613790371894,689.600036431005,1677562.16837762,4550610.05785174,7031878.35773118,326508.253715138,1022339.4009193,4537419.8091211,19988270.0621608,0.000633947932018239,0.00658254055396621,0.0214942225065064,0.000305166520187758,0.000459432964297657,0.00176908186586225,0.0394571000911778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1891-1900",1891,1900,"Climate-only",2111,88542869993271.9,93839331595773.5,28709642231824.5,60962762044412.2,73469338219184.9,106451430886366,146910639924460,2042798892082.79,8023930096172.3,17011456544595.3,290894596336.849,951871635214.608,7561055307023.73,33210670410144.5,1334783585015.37,7565544748666.76,16983170066610.9,210373678734.611,875467005514.991,6821625843220.07,32703386548144.7,473582501942.924,566351704362.137,366018049735.208,201853177683.895,326241707958.851,757193463901.482,1172583968547.73,10434492075716,10335451376075.6,2628450697421.05,5233329622074.66,8874110330372.27,12087143514132.3,14559422727445.7,13302407080142.1,16176894787666.5,11007926203039.2,1728744712329.11,7338178154745.85,24230796452459.8,36140376330451.4,70210034203895.3,74753298892393.9,21817904754570.5,48574430053787.4,57772261769749.1,86235730766114.8,119312965723285,39302058966.8157,461680451328.258,1501138494342.18,27715654796.886,32555705226.7047,121429582727.353,2689097472796,-1.36950209769965,-1.36753128930852,0.0437376903790675,-1.43942704999096,-1.38940724971699,-1.34528123529104,-1.29147990159661,3.08070566475339,3.0874582812691,0.184855436947769,2.78507310591551,2.95443389584155,3.22016122119797,3.38332390215351,0.108769419577882,0.107232616417769,0.032825739229672,0.0467175293451365,0.0868691239295502,0.128187517180211,0.153707997004828,0.487301911844785,0.486678098091715,0.0417417354631247,0.422816770467743,0.462945461375119,0.512606023169966,0.55166463043716,261.211654653631,320.360446475577,340.659039647888,128.532820059288,227.310970633978,294.501317918976,673.496768253933,1658093.44519056,4504510.90069458,6974906.75084275,326528.195757376,1011802.38754867,4483125.88170799,19786596.3225852,0.00063065954202192,0.00647616159039309,0.0211180589168721,0.000306518176494726,0.000458752359135991,0.0017510061014962,0.0387459759879017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1901-1910",1901,1910,"Climate-only",2111,88384982506188.5,93767480111743.6,28656070015710.6,60828715839413.9,73369711634167.4,106409196342041,147192589427534,2014046817929.67,7841628546135.08,16505903199469.8,289781701809.131,942523978146.349,7460136658247.93,32245872621336.9,1311293839964.67,7390999926067.71,16477855270961.5,210588265021.195,866990529639.367,6614988053202.85,32023988136124.8,472746698788.982,560372985234.392,353496039722.819,204225700721.003,326632597803.103,747242845297.826,1152707957002.3,10400152784655.5,10321662621008.9,2620260939223.79,5266869915696.54,8859283033596.07,12056417982108.4,14550693309366.3,13488195999283.6,16317090811390.5,11192461046968.9,1721316758187.03,7330116116564.22,24418463704080.1,36524290201341.6,70264846637855.9,74883809910312.9,21961942085342.9,48420574789956.5,57921294543722.5,86311109279447.6,119749790566410,39103317955.8221,453930523798.631,1474232293429,27746597715.9973,32521558418.3827,119819676894.175,2641422524189.89,-1.37005329402724,-1.3678922716724,0.0436499741608774,-1.43832191609933,-1.39005752019948,-1.3461638528359,-1.29244784547428,3.07894811390415,3.08443568449322,0.184293189625934,2.78294238870756,2.95250911733644,3.21734416514645,3.37992627076727,0.108361868453634,0.106998519806412,0.0325495145645191,0.0475334753637006,0.086628930961215,0.127706097344336,0.153083697858169,0.487872489200363,0.487217175740146,0.0416704951203244,0.423412798336689,0.463342470067852,0.513319433768286,0.552407385179962,259.471692281652,315.872603682024,326.012765251605,128.767747106326,225.848489960206,293.217737154033,651.248631569048,1634882.51611648,4456994.41134574,6917014.10424571,325899.335291797,1002039.86485219,4430162.20898167,19613319.5906577,0.000626797157365715,0.00636748713509029,0.0207605435751379,0.000304813237401916,0.000457029604243353,0.00172510932676106,0.0380904986975012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1911-1920",1911,1920,"Climate-only",2111,88444609925161.9,93717979227499.5,29533396956263.7,60788992197156.8,73291220740240.1,106366568545327,146564684998908,1968378024910.5,7664344180293.99,16017478770423.1,287243734223.338,933125396973.884,7294741577074.21,31266686788527.9,1294901299910.82,7221327883941.74,15989673130573.3,210899433849.655,858456212299.008,6519635141168.02,31157697728980,472249248427.812,554678307288.588,341744568823.941,205769750517.51,326886379175.167,737080660138.669,1122652274109.92,10478022749717.2,10404617006028.5,2611589581443.7,5377827100083.05,8957734670033.38,12132995740417.4,14585876964541.4,13573695848446.8,16388335184346.4,13340927149546.8,1728855881262.4,7329552060345.97,24309479768580.5,36123586716473.2,70284337087123.2,74933120071559.6,22771921904849.2,48418937331196.6,57811846817617.2,86260101147056.3,119425088436198,38861546881.0282,446324534162.536,1447808250279.97,27744650528.2337,32473036676.6822,118242112136.889,2594609269867.74,-1.36906514044722,-1.36681525785982,0.0435580693699118,-1.43675235318103,-1.38890355989309,-1.34489810722734,-1.29173001271172,3.08022651698139,3.08499059741216,0.182239794328808,2.78441976886371,2.95428381767543,3.21772093135811,3.3752175340359,0.109068263571067,0.107627825688174,0.0323603531277154,0.0487313528675421,0.0874272258578933,0.128243562721527,0.153586497543765,0.48773410065551,0.487025585920462,0.0412838123831152,0.424366700896174,0.463207240741702,0.512616292281165,0.551629545144821,261.152420781009,313.892667444314,311.742807440693,130.04762110623,227.537702013283,294.273268127663,636.438719721975,1609497.11672749,4410069.22933051,6860489.83015547,325211.102549138,991977.785869718,4371537.36442117,19420864.5898251,0.000624032513901059,0.00626377505477502,0.0203963608493575,0.000305849075506178,0.000456245032476256,0.00167777397141207,0.0374038998539405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1921-1930",1921,1930,"Climate-only",2111,88321902617789.1,93821139914819.3,30562462033186.1,60715265415951.5,73225172396276.2,106281618317189,148199838561732,1922343813767.41,7491934983728.56,15545601572221.6,285667188869.649,922402883104.206,7075227380641.82,30192206428642.9,1260912717243.36,7056399035797.67,15518042103093.6,211185408086.631,850191554001.583,6351142637781.73,30110247431930.3,471457258003.05,549229011442.879,330642829635.705,206942357307.026,326839790248.344,729758872104.732,1084442085984.41,10455763224119.6,10401732840209.3,2659371572671.24,5438939280024.31,8933131401949.38,12148160459150.3,14574122524719.2,13624665810806.2,16700990473005.5,15401028266715,1685147032784.94,7323694586988.92,24511841020239.6,36656401402250.7,70362026404973.5,75217250941633.7,23852350266786.1,48324382734918.8,57938460265737.3,86360141809511.4,120014129369160,38647681807.3755,438851412405.811,1421857969256.83,27732458277.7966,32431406135.1759,116676695980.431,2548627732927.29,-1.36970897463398,-1.3672659054586,0.0436149613489653,-1.43771916562107,-1.38957349466856,-1.34539581317126,-1.29305533847395,3.07779356370836,3.08154656462189,0.181890869801256,2.78179535477966,2.95131538496945,3.2154894266339,3.36752060806148,0.10861634189798,0.107370936437888,0.0320985641517195,0.0494703029941692,0.0870049607758279,0.127828816802873,0.152936086920806,0.48835234412607,0.487572297765935,0.0412055852686335,0.425165067686086,0.46344243483129,0.513431095771265,0.55247523639718,259.39534032277,309.612412697627,298.78215875464,129.413708415438,226.01577903464,293.15094526298,618.575991271126,1585094.63660857,4362028.58865494,6803408.08136999,325618.00624245,982632.992782389,4321621.92648501,19248720.8691668,0.00062235438685668,0.00615867206357114,0.020049649741127,0.000303029699897672,0.000452833441229694,0.00165666388097232,0.0367712047273484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1931-1940",1931,1940,"Climate-only",2111,88130314192275.5,94114602018049.5,33987692337152.1,60536831327974.1,73165303358278,106189305966468,147939661038085,1899816229442.96,7324253779804.68,15089724396280.1,284916118742.092,912963274525.027,6915447280010.37,29404642864111.4,1246045344013.97,6896058767326.78,15062414970747.4,211484216664.902,841280370813.984,6235610449684.02,29146973515153.9,470506941076.478,544031356710.706,320245866603.179,207645185422.316,326261205930.209,714110258704.899,1064526948997.47,10528877615785.6,10499580400546.9,2730914850703.45,5579731206115.75,9017737561986.31,12211763507147.3,14628224572031.9,13591658427985,17123012149314.7,21646341311017.9,1675181011090.85,7301164651385.78,24366371248023,36314246571018.5,70367709199644.8,75584460341979.7,27481601495421.6,48355983907631.5,57841527550000.2,86320450394668.5,120387375952079,38510596568.3041,431517155659.93,1396372712935.21,27725072157.109,32425326147.8943,115083180428.553,2503477539307.37,-1.36885579454777,-1.36628925581339,0.04375200792542,-1.43842769595024,-1.38841698036403,-1.34440097964379,-1.29335884262078,3.07842981145156,3.08159544106382,0.180680964291825,2.78333360413446,2.95185018914701,3.21496818018324,3.36509156901717,0.109248674385004,0.107951876750394,0.0319671257428664,0.0504376223238464,0.0875605778212631,0.128572923414061,0.153519176011031,0.487915869962504,0.487375137960512,0.0408815318320473,0.426072673838496,0.463767709886301,0.512978828076807,0.551577857533642,261.218499030265,307.983724986559,286.593515050049,130.355664005994,227.55370554782,293.913153388774,578.60206856864,1554476.85196493,4314210.78979653,6747524.91894569,324515.539124183,969862.607476868,4269178.93475647,19057431.0786671,0.00061925440882376,0.0060581014102187,0.019696954559506,0.000299797513055265,0.000450514505241455,0.00163759759460936,0.0361082853164346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
