"decade","metric_name","metric_group","scoring_method","fishing_median","climate_median","depletion_ratio","score","category","deviation"
"1841-1850","Total Biomass","Biomass","depletion",88754991249974.5,88754991249974.5,1,1,"good",0.937086045972136
"1841-1850","Baleen Whale Biomass","Biomass","depletion",1432936742857.05,1432936742857.05,1,0.1,"critical",0.168245085352217
"1841-1850","All Whale Biomass","Biomass","depletion",2227553396216.34,2227553396216.34,1,0.25,"bad",0.24705851503076
"1841-1850","Seal Biomass","Biomass","depletion",480381750349.691,480381750349.691,1,1,"good",0.799384647141288
"1841-1850","Fish Biomass","Biomass","depletion",10326645624288.1,10326645624288.1,1,1,"good",1.01608363689236
"1841-1850","Krill Biomass","Biomass","depletion",13169117193108.7,13169117193108.7,1,1,"good",0.811501156870123
"1841-1850","LTL Biomass","Biomass","depletion",70162963024603.2,70162963024603.2,1,1,"good",0.93831856958309
"1841-1850","Apex Predator Biomass","Biomass","depletion",40407039000.3696,40407039000.3696,1,0.1,"critical",0.0803949581469238
"1841-1850","Size Spectrum Slope","Structure","range",-1.3718999127888,-1.3718999127888,1,0.685949956394398,"moderate",-1.3718999127888
"1841-1850","Mean Trophic Level","Trophic","trophic",3.08456386805922,3.08456386805922,1,1,"good",0.997878183059853
"1841-1850","High TL Indicator","Trophic","depletion",0.108069880990193,0.108069880990193,1,1,"good",1.01754821398727
"1841-1850","Large Fish Indicator","Structure","lfi",0.487808249193826,0.487808249193826,1,1,"good",1.62602749731275
"1841-1850","Mean Individual Weight","Structure","depletion",261.098024974079,261.098024974079,1,1,"good",0.773421367746202
"1841-1850","Mean Max Weight","Structure","depletion",1757480.31056871,1757480.31056871,1,0.25,"bad",0.370390203380668
"1841-1850","Predator-Prey Ratio","Structure","default",0.000648356200628273,0.000648356200628272,1,1,"good",-0.277256918876176
"1841-1850","Total Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1841-1850","Whale Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1841-1850","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1851-1860","Total Biomass","Biomass","depletion",88726238979677.1,88726238979677.1,1,1,"good",0.938323319140785
"1851-1860","Baleen Whale Biomass","Biomass","depletion",1417606216583.34,1417606216583.34,1,0.1,"critical",0.170474805760233
"1851-1860","All Whale Biomass","Biomass","depletion",2201884541860.78,2201884541860.78,1,0.25,"bad",0.250029930236791
"1851-1860","Seal Biomass","Biomass","depletion",479114910789.195,479114910789.195,1,1,"good",0.807530039968699
"1851-1860","Fish Biomass","Biomass","depletion",10366826778136.1,10366826778136.1,1,1,"good",1.01529339283503
"1851-1860","Krill Biomass","Biomass","depletion",13175382885500.5,13175382885500.5,1,1,"good",0.813432676866334
"1851-1860","LTL Biomass","Biomass","depletion",70208107360475.1,70208107360475.1,1,1,"good",0.938743642561774
"1851-1860","Apex Predator Biomass","Biomass","depletion",40132005785.141,40132005785.141,1,0.1,"critical",0.0812188933433191
"1851-1860","Size Spectrum Slope","Structure","range",-1.37149589613962,-1.37149589613962,1,0.685747948069808,"moderate",-1.37149589613962
"1851-1860","Mean Trophic Level","Trophic","trophic",3.08428627070353,3.08428627070353,1,1,"good",0.997841116102265
"1851-1860","High TL Indicator","Trophic","depletion",0.108239620668324,0.108239620668324,1,1,"good",1.01759318619085
"1851-1860","Large Fish Indicator","Structure","lfi",0.486555949682278,0.486555949682278,1,1,"good",1.62185316560759
"1851-1860","Mean Individual Weight","Structure","depletion",261.021135732638,261.021135732638,1,1,"good",0.782125692803533
"1851-1860","Mean Max Weight","Structure","depletion",1736805.04033057,1736805.04033057,1,0.25,"bad",0.37010718325482
"1851-1860","Predator-Prey Ratio","Structure","default",0.000644971084962402,0.000644971084962402,1,1,"good",-0.277212012178923
"1851-1860","Total Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
