"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_090","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1841-1850",1841,1850,"total_biomass","biomass","absolute",2111,1.00009890818926,1.00046740729629,0.00165553099690453,0.998923916808705,0.999527328770114,1.00092035226691,1.00298772187224,2111,0,0,0,0,NA
"1851-1860",1851,1860,"total_biomass","biomass","absolute",2111,0.999901091810743,0.999532592703711,0.00165553099690453,0.997012278127763,0.999079647733088,1.00047267122989,1.0010760831913,2111,0,0,0,0,NA
"1861-1870",1861,1870,"total_biomass","biomass","absolute",2111,0.99938517563317,0.998328335498279,0.00491987855901716,0.990011258286005,0.997587523015165,1.00099634417736,1.00269498891985,2111,0,0,0,0,NA
"1871-1880",1871,1880,"total_biomass","biomass","absolute",2111,0.998975358569649,0.996410837982991,0.00728617892709041,0.984491989682414,0.996003498087005,0.999912960146429,1.00083502907935,2111,0,0,0,0,NA
"1881-1890",1881,1890,"total_biomass","biomass","absolute",2111,0.998373905339478,0.995329404533102,0.0102729645803452,0.978132414171046,0.994603416295986,1.00041717558327,1.00239895038122,2111,0,0,0,0,NA
"1891-1900",1891,1900,"total_biomass","biomass","absolute",2111,0.998226938288536,0.993622671034848,0.0126443548904858,0.973217403263841,0.99284433530177,0.999587565030686,1.00072341090786,2111,0,0,0,0,NA
"1901-1910",1901,1910,"total_biomass","biomass","absolute",2111,0.997590987451555,0.992878725811093,0.0168821904017868,0.967065984788202,0.991605990890505,1.00007891303642,1.00231163204413,2111,0.00568450971103742,0,0,0,NA
"1911-1920",1911,1920,"total_biomass","biomass","absolute",2111,0.99742396141922,0.992265562893564,0.0432325700095869,0.962287546145433,0.989868536665375,0.999340191566138,1.00062434811049,2111,0.00900047370914259,0,0,0,NA
"1921-1930",1921,1930,"total_biomass","biomass","absolute",2111,0.997005402499931,0.992993548299347,0.0696860277107959,0.956550045120675,0.988782588353762,0.999822102104334,1.00223245191212,2111,0.0132638559924207,0,0,0,NA
"1931-1940",1931,1940,"total_biomass","biomass","absolute",2111,0.992096653352686,0.986192015322577,0.15259915112155,0.906730425495389,0.97492763019516,0.997434101181722,0.999727441324517,2111,0.0435812411179536,0.00284225485551871,0,0,NA
"1941-1950",1941,1950,"total_biomass","biomass","absolute",2111,0.988833335434613,0.985011706245511,0.227947361147599,0.880327304912325,0.964874668954056,0.99627062508554,1.00082707528325,2111,0.0814779725248697,0.00521080056845097,0,0,NA
"1951-1960",1951,1960,"total_biomass","biomass","absolute",2111,0.987126769457637,0.983310701283083,0.25449557553247,0.864226600781692,0.960573614466585,0.99522357929173,0.999267815866479,2111,0.0937944102321175,0.00663192799621033,0,0,NA
"1961-1970",1961,1970,"total_biomass","biomass","absolute",2111,0.986456766021606,0.982579334672988,0.266834517701737,0.849150759665612,0.957337430210165,0.995068539977387,1.00057447471424,2111,0.100900047370914,0.00710563713879678,0,0,NA
"1971-1980",1971,1980,"total_biomass","biomass","absolute",2111,0.981609817743943,0.972215746133438,0.262388041577558,0.811637927576849,0.946903319233987,0.991823432151238,0.998034789886603,2111,0.132638559924207,0.025106584557082,0,0,NA
"1981-1990",1981,1990,"total_biomass","biomass","absolute",2111,0.977924017618344,0.970401316566838,0.291021602365642,0.80281864656804,0.940356666443506,0.991429235163386,1.00701928341097,2111,0.154429180483183,0.0355281856939839,0.000473709142586452,0,NA
"1991-2000",1991,2000,"total_biomass","biomass","absolute",2111,0.999000225496599,1.00395772681406,0.387307675343451,0.82320776646227,0.965300477839897,1.01426271113795,1.0260976532311,2111,0.117953576504027,0.0307910942681194,0.000473709142586452,0,NA
"2001-2010",2001,2010,"total_biomass","biomass","absolute",2111,0.978132398271154,0.983317229117505,0.396354880123223,0.802710596964674,0.942241896457521,0.989290008984524,1.00406320261409,2111,0.151586925627665,0.034580767408811,0.000473709142586452,0,NA
"1841-1850",1841,1850,"whale_biomass","biomass","absolute",2111,1.00616055440746,1.00753353097421,0.00478842975903072,1.00140323234449,1.00510241653193,1.00789844324058,1.01719668188788,2111,0,0,0,0,0
"1851-1860",1851,1860,"whale_biomass","biomass","absolute",2111,0.993839445592543,0.992466469025787,0.00478842975903071,0.98280331811212,0.992101556759422,0.994897583468067,0.998596767655508,2111,0,0,0,0,0
"1861-1870",1861,1870,"whale_biomass","biomass","absolute",2111,0.981691244224905,0.977743655755984,0.0139631169609631,0.949583268759416,0.976583345804279,0.984841832451851,0.995697847870319,2111,0.000947418285172904,0,0,0,0
