"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1841-1850",1841,1850,"total_biomass","biomass","climate",2111,1.00009890818926,1.00046740729629,0.00165553099690453,0.998923916808705,0.999527328770114,1.00092035226691,1.00298772187224,2111,0,0,0,NA
"1851-1860",1851,1860,"total_biomass","biomass","climate",2111,0.999901091810743,0.999532592703711,0.00165553099690453,0.997012278127764,0.999079647733088,1.00047267122989,1.0010760831913,2111,0,0,0,NA
"1861-1870",1861,1870,"total_biomass","biomass","climate",2111,0.99938517563317,0.998328335498279,0.00491987855901716,0.990011258286005,0.997587523015165,1.00099634417736,1.00269498891985,2111,0,0,0,NA
"1871-1880",1871,1880,"total_biomass","biomass","climate",2111,0.998975358569649,0.996410837982991,0.00728617892709041,0.984491989682414,0.996003498087005,0.999912960146429,1.00083502907935,2111,0,0,0,NA
"1881-1890",1881,1890,"total_biomass","biomass","climate",2111,0.998373905339478,0.995329404533102,0.0102729645803452,0.978132414171046,0.994603416295986,1.00041717558327,1.00239895038122,2111,0,0,0,NA
"1891-1900",1891,1900,"total_biomass","biomass","climate",2111,0.998226938288536,0.993622671034848,0.0126443548904858,0.973217403263841,0.99284433530177,0.999587565030686,1.00072341090786,2111,0,0,0,NA
"1901-1910",1901,1910,"total_biomass","biomass","climate",2111,0.997590987451555,0.992878725811093,0.0168821904017868,0.967065984788202,0.991605990890505,1.00007891303641,1.00231163204413,2111,0,0,0,NA
"1911-1920",1911,1920,"total_biomass","biomass","climate",2111,0.99742396141922,0.992265562893564,0.0432325700095869,0.962287546145433,0.989868536665375,0.999340191566138,1.00062434811049,2111,0,0,0,NA
"1921-1930",1921,1930,"total_biomass","biomass","climate",2111,0.99700540249993,0.992993548299347,0.0696860277107953,0.956550045120675,0.988782588353762,0.999822102104334,1.00223245191212,2111,0,0,0,NA
"1931-1940",1931,1940,"total_biomass","biomass","climate",2111,0.996686624063409,0.995944177820113,0.150228649574157,0.952473636819652,0.98707267523197,0.999135316766054,1.00054497672093,2111,0,0,0,NA
"1941-1950",1941,1950,"total_biomass","biomass","climate",2111,0.99637244996623,1.00142185823079,0.225129515813051,0.947148458305046,0.986038589628718,0.999529229082088,1.00215597824052,2111,0,0,0,NA
"1951-1960",1951,1960,"total_biomass","biomass","climate",2111,0.996043341340057,1.00268533262869,0.251401006602199,0.944155165332593,0.984388257644207,0.99893394311477,1.00050745064972,2111,0,0,0,NA
"1961-1970",1961,1970,"total_biomass","biomass","climate",2111,0.995636613322079,1.00345739584784,0.263602806103215,0.939622272253167,0.983714366523728,0.999320248440207,1.00210946427139,2111,0,0,0,NA
"1971-1980",1971,1980,"total_biomass","biomass","climate",2111,0.995385184986364,1.00475806074563,0.277380892243527,0.93597511835384,0.982045895916153,0.998771598679416,1.00046517758696,2111,0,0,0,NA
"1981-1990",1981,1990,"total_biomass","biomass","climate",2111,0.99424530405657,1.00876181391012,0.303553798523808,0.93007697312228,0.981040329148131,1.00086375910842,1.01314288450351,2111,0,0,0,NA
"1991-2000",1991,2000,"total_biomass","biomass","climate",2111,1.01126037952308,1.03444891359846,0.381215914481295,0.941985307958958,0.994378313559609,1.0212621481085,1.03091845441915,2111,0.000473709142586452,0,0,NA
"2001-2010",2001,2010,"total_biomass","biomass","climate",2111,0.988588058916925,1.01093874402587,0.37470395190981,0.918290344177308,0.973985576832237,0.993992184451955,1.00782665010865,2111,0.00284225485551871,0,0,NA
"1841-1850",1841,1850,"whale_biomass","biomass","climate",2111,1.00616055440746,1.00753353097421,0.00478842975903072,1.00140323234449,1.00510241653193,1.00789844324058,1.01719668188788,2111,0,0,0,0
"1851-1860",1851,1860,"whale_biomass","biomass","climate",2111,0.993839445592543,0.992466469025787,0.00478842975903072,0.98280331811212,0.992101556759422,0.994897583468067,0.998596767655508,2111,0,0,0,0
"1861-1870",1861,1870,"whale_biomass","biomass","climate",2111,0.981691244224905,0.977743655755984,0.0139631169609631,0.949583268759416,0.976583345804279,0.984841832451851,0.995697847870319,2111,0,0,0,0
"1871-1880",1871,1880,"whale_biomass","biomass","climate",2111,0.969733894976958,0.963376103034006,0.0227911559618959,0.917394160395004,0.961322487375404,0.974900617882603,0.993029858294194,2111,0,0,0,0
"1881-1890",1881,1890,"whale_biomass","biomass","climate",2111,0.957906095147137,0.949329166774402,0.0312375434924391,0.886268140353006,0.946329833159806,0.965124584040519,0.990257831682465,2111,0,0,0,0
"1891-1900",1891,1900,"whale_biomass","biomass","climate",2111,0.946267135737177,0.935618831827612,0.0393626315593773,0.856105951738889,0.931703904739828,0.955453109933951,0.987714207854924,2111,0.000947418285172904,0,0,0
"1901-1910",1901,1910,"whale_biomass","biomass","climate",2111,0.934784839048833,0.922212015242136,0.0471303125067747,0.826900741345651,0.917242815686098,0.945941475762753,0.985048700785443,2111,0.00189483657034581,0,0,0
"1911-1920",1911,1920,"whale_biomass","biomass","climate",2111,0.923443963301878,0.90912527879221,0.0546014760772952,0.798628133387063,0.903028289318889,0.936524968758617,0.98260759782206,2111,0.00757934628138323,0,0,0
"1921-1930",1921,1930,"whale_biomass","biomass","climate",2111,0.912280598782684,0.896326278627215,0.0617380105098191,0.771305915694554,0.889059918369733,0.927308002804902,0.980041383824046,2111,0.01468498342018,0,0,0.000947418285172904
"1931-1940",1931,1940,"whale_biomass","biomass","climate",2111,0.901245854002112,0.883831990508628,0.0686010638923536,0.74491724507896,0.876263668554466,0.918128179162178,0.977696563336225,2111,0.0672666982472762,0,0,0.000947418285172904
"1941-1950",1941,1950,"whale_biomass","biomass","climate",2111,0.89035350271438,0.871610764088181,0.0751504083048668,0.719473743182171,0.862905782716489,0.909146261113943,0.975223637509418,2111,0.137849360492658,0,0,0.000947418285172904
"1951-1960",1951,1960,"whale_biomass","biomass","climate",2111,0.879643816927263,0.85967998268911,0.0814476362312078,0.694811326398548,0.850272867088166,0.900257346161061,0.972969263984111,2111,0.155376598768356,0.000947418285172904,0,0.00189483657034581
"1961-1970",1961,1970,"whale_biomass","biomass","climate",2111,0.869069317958816,0.84800826173839,0.0874511680868571,0.670936156251859,0.838036912853116,0.891498607580601,0.970583899308307,2111,0.163429654192326,0.000947418285172904,0,0.00189483657034581
"1971-1980",1971,1980,"whale_biomass","biomass","climate",2111,0.858680275336134,0.836612245514499,0.0932246441010312,0.648006617407222,0.825539680127486,0.882807878909024,0.968414412841722,2111,0.170061582188536,0.000947418285172904,0,0.00378967314069162
"1981-1990",1981,1990,"whale_biomass","biomass","climate",2111,0.848421728130803,0.825454999158736,0.0987077879976822,0.625584833636391,0.813948214590991,0.874302142636402,0.965993281201509,2111,0.172430127901468,0.000947418285172904,0,0.00710563713879678
"1991-2000",1991,2000,"whale_biomass","biomass","climate",2111,0.838503551713165,0.814582930968503,0.104015666994772,0.603892835543159,0.803341552856184,0.865886837598226,0.964017119810692,2111,0.179535765040265,0.000947418285172904,0,0.00900047370914259
"2001-2010",2001,2010,"whale_biomass","biomass","climate",2111,0.828619811669407,0.803924911346382,0.109055608139274,0.582903395831785,0.791510362462857,0.857585612726154,0.96179438640949,2111,0.18427285646613,0.00189483657034581,0.000947418285172904,0.0127901468498342
"1841-1850",1841,1850,"baleen_biomass","biomass","climate",2111,1.00588709936571,1.00728094543274,0.00511038351199285,1.00014937703424,1.00494319366102,1.00638140761903,1.01747159128145,2111,0,0,0,0
"1851-1860",1851,1860,"baleen_biomass","biomass","climate",2111,0.994112900634288,0.992719054567263,0.00511038351199286,0.982528408718552,0.993618592380971,0.995056806338985,0.99985062296576,2111,0,0,0,0
"1861-1870",1861,1870,"baleen_biomass","biomass","climate",2111,0.982556796440135,0.9784997832426,0.0149017784764011,0.948807677664347,0.98104234927012,0.985325954066416,0.999566200561723,2111,0,0,0,0
"1871-1880",1871,1880,"baleen_biomass","biomass","climate",2111,0.971169567013454,0.964633451936501,0.0243272699315113,0.916144921714316,0.968621861124461,0.975723689883989,0.999443563146384,2111,0,0,0,0
"1881-1890",1881,1890,"baleen_biomass","biomass","climate",2111,0.95991542397783,0.95108456014373,0.0333441401316335,0.884851339464551,0.956366916425869,0.966268627416982,0.999202267126738,2111,0.000947418285172904,0,0,0
"1891-1900",1891,1900,"baleen_biomass","biomass","climate",2111,0.948806871609108,0.937869659916829,0.0420225230195557,0.854328285561303,0.944275634136281,0.956906333864886,0.999154145698481,2111,0.000947418285172904,0,0,0
"1901-1910",1901,1910,"baleen_biomass","biomass","climate",2111,0.937801861488167,0.924954621837774,0.0503180321597518,0.824793919787885,0.932344184829178,0.947696574078949,0.998909719602336,2111,0.00331596399810516,0,0,0
"1911-1920",1911,1920,"baleen_biomass","biomass","climate",2111,0.926998594589902,0.912356871352541,0.0583020411037505,0.79619819662148,0.92055680922174,0.938582623191395,0.998910264173058,2111,0.00900047370914259,0,0,0
"1921-1930",1921,1930,"baleen_biomass","biomass","climate",2111,0.916364577923659,0.900042696365835,0.0659273990803748,0.768627030697288,0.908915680936954,0.929607483782793,0.998672064182676,2111,0.0184746565608716,0,0,0.000947418285172904
"1931-1940",1931,1940,"baleen_biomass","biomass","climate",2111,0.905834074005892,0.8880302354064,0.073266461077807,0.741930391361476,0.897426641660519,0.920736256384522,0.99869294422359,2111,0.0814779725248697,0,0,0.000947418285172904
"1941-1950",1941,1950,"baleen_biomass","biomass","climate",2111,0.895498835889446,0.876286132904073,0.0802691428675506,0.716136907360827,0.886086375996549,0.912004638350439,0.998475164518595,2111,0.144481288488868,0,0,0.000947418285172904
"1951-1960",1951,1960,"baleen_biomass","biomass","climate",2111,0.885330956989941,0.864829251501425,0.0870089943139795,0.691473178797592,0.874949714642522,0.903384285713139,0.998509905414055,2111,0.160113690194221,0.000947418285172904,0,0.00189483657034581
"1961-1970",1961,1970,"baleen_biomass","biomass","climate",2111,0.875263333408634,0.85362616218259,0.0934336937416311,0.667337665346878,0.863901791611951,0.894894518674037,0.998207921105401,2111,0.167693036475604,0.000947418285172904,0,0.00284225485551871
"1971-1980",1971,1980,"baleen_biomass","biomass","climate",2111,0.865424038487567,0.842695311415737,0.0996196049690238,0.644032515549275,0.852995534122461,0.88649765436113,0.998169174968977,2111,0.172430127901468,0.000947418285172904,0,0.00615821885362387
"1981-1990",1981,1990,"baleen_biomass","biomass","climate",2111,0.855739204015113,0.831997911031085,0.105490793337406,0.621707922822223,0.842240903071551,0.878238245917473,0.997769114968975,2111,0.178588346755092,0.000947418285172904,0,0.00757934628138323
"1991-2000",1991,2000,"baleen_biomass","biomass","climate",2111,0.846142702485271,0.821587325105316,0.11118881165815,0.599982611748983,0.83167560248788,0.870120462917452,0.997910192600372,2111,0.183799147323543,0.00142112742775936,0,0.00994789199431549
"2001-2010",2001,2010,"baleen_biomass","biomass","climate",2111,0.836567138505797,0.811378307432836,0.116592133669556,0.578758259951207,0.821180112547337,0.862081205963043,0.99778390003428,2111,0.186641402179062,0.00189483657034581,0.000947418285172904,0.0151586925627665
"1841-1850",1841,1850,"seal_biomass","biomass","climate",2111,1.00163564945422,1.00312882747084,0.00695669009014298,0.992864351916625,0.999992225396508,1.00580147578566,1.01735688654348,2111,0,0,0,NA
"1851-1860",1851,1860,"seal_biomass","biomass","climate",2111,0.998364350545784,0.996871172529156,0.00695669009014298,0.982643113456518,0.994198524214338,1.00000777460349,1.00713564808338,2111,0,0,0,NA
"1861-1870",1861,1870,"seal_biomass","biomass","climate",2111,0.995189989160462,0.991159501268105,0.020660360222471,0.949516796584078,0.983264491065531,1.00007484968581,1.02276011209474,2111,0,0,0,NA
"1871-1880",1871,1880,"seal_biomass","biomass","climate",2111,0.992319746214435,0.985757342066757,0.0335784195511176,0.918007204225048,0.972664261088557,1.00016805814944,1.03727160208036,2111,0,0,0,NA
"1881-1890",1881,1890,"seal_biomass","biomass","climate",2111,0.989409206669487,0.980762600576298,0.046337500461133,0.887911626005293,0.962052006736155,1.00026369077618,1.05283694493662,2111,0,0,0,NA
"1891-1900",1891,1900,"seal_biomass","biomass","climate",2111,0.986801249475198,0.976027248151948,0.0583796727568749,0.859314207979791,0.952056988414083,1.00042245503039,1.06735166699301,2111,0.000947418285172904,0,0,NA
"1901-1910",1901,1910,"seal_biomass","biomass","climate",2111,0.984073424064692,0.971654536563429,0.0703292478104886,0.831912496041045,0.94182616880755,1.00069622929236,1.08221524108775,2111,0.00331596399810516,0,0,NA
"1911-1920",1911,1920,"seal_biomass","biomass","climate",2111,0.981605321549222,0.967507478096513,0.0816343071741136,0.80588685259521,0.932994963279487,1.00082973737743,1.09636350830398,2111,0.00710563713879678,0,0,NA
"1921-1930",1921,1930,"seal_biomass","biomass","climate",2111,0.979224323688007,0.96368279276096,0.0929145153301444,0.78114001416101,0.923688050104412,1.00115650516489,1.11115764102623,2111,0.0270014211274278,0,0,NA
"1931-1940",1931,1940,"seal_biomass","biomass","climate",2111,0.977015101313045,0.96005094055113,0.103629516064525,0.757619505180122,0.915140690503383,1.00147707453917,1.12553627793827,2111,0.0450023685457129,0,0,NA
"1941-1950",1941,1950,"seal_biomass","biomass","climate",2111,0.974877910972438,0.956702921417119,0.114396519777347,0.735435368608935,0.907301470216858,1.00198042719387,1.14103020946249,2111,0.0592136428233065,0,0,NA
"1951-1960",1951,1960,"seal_biomass","biomass","climate",2111,0.972574785566961,0.953514467015982,0.124688903297922,0.713967924810624,0.898841003230473,1.00222913890141,1.15579266726087,2111,0.0772145902415917,0.000473709142586452,0,NA
"1961-1970",1961,1970,"seal_biomass","biomass","climate",2111,0.97023366980946,0.950575471018933,0.135084049914206,0.693355182063983,0.891799687363808,1.00270900174343,1.17091044273744,2111,0.0942681193747039,0.00189483657034581,0,NA
"1971-1980",1971,1980,"seal_biomass","biomass","climate",2111,0.968354196697861,0.947792582663015,0.144975677220446,0.673920907385198,0.884864956389662,1.00302792166729,1.18514042655613,2111,0.107058266224538,0.00189483657034581,0,NA
"1981-1990",1981,1990,"seal_biomass","biomass","climate",2111,0.966232430421072,0.945335146874375,0.1550299597971,0.655514485777698,0.877031251110973,1.00395193194421,1.20068881073461,2111,0.111321648507816,0.00189483657034581,0.00142112742775936,NA
"1991-2000",1991,2000,"seal_biomass","biomass","climate",2111,0.964583013535798,0.943591811167916,0.164499362091577,0.638743374271962,0.870393696375587,1.00488174095719,1.2170443943443,2111,0.120795831359545,0.00284225485551871,0.00189483657034581,NA
"2001-2010",2001,2010,"seal_biomass","biomass","climate",2111,0.963057179328722,0.941569779291843,0.17364107763655,0.62190782162638,0.863499113880397,1.00551239776143,1.23236549111453,2111,0.134533396494552,0.00378967314069162,0.00189483657034581,NA
"1841-1850",1841,1850,"fish_biomass","biomass","climate",2111,0.998207257108676,0.997028805141394,0.00372227475685265,0.990327949419349,0.996440994612036,0.998974158892168,0.999800768264242,2111,0,0,0,NA
"1851-1860",1851,1860,"fish_biomass","biomass","climate",2111,1.00179274289132,1.00297119485861,0.00372227475685265,1.00019923173576,1.00102584110783,1.00355900538796,1.00967205058065,2111,0,0,0,NA
"1861-1870",1861,1870,"fish_biomass","biomass","climate",2111,0.999861250065864,1.00225411963325,0.00841435189638006,0.994184925542738,0.997303740136767,1.00450893283193,1.01944113189549,2111,0,0,0,NA
"1871-1880",1871,1880,"fish_biomass","biomass","climate",2111,1.00557832129848,1.011416630762,0.0162540581695215,0.999845654907403,1.00232677754689,1.01449294206098,1.04463392816858,2111,0,0,0,NA
"1881-1890",1881,1890,"fish_biomass","biomass","climate",2111,1.00309643403961,1.01042026423826,0.0210784170308095,0.994074975785139,0.99849710596151,1.01484858956799,1.05373827905994,2111,0,0,0,NA
"1891-1900",1891,1900,"fish_biomass","biomass","climate",2111,1.00891882711459,1.01961408530839,0.0298377108942325,0.999476801347356,1.00325867344253,1.02461316905568,1.07972739300488,2111,0,0,0,NA
"1901-1910",1901,1910,"fish_biomass","biomass","climate",2111,1.00639267498012,1.01881893780457,0.0369096235368729,0.993535701956753,0.999574735820516,1.0244747860694,1.08970471648585,2111,0,0,0,NA
"1911-1920",1911,1920,"fish_biomass","biomass","climate",2111,1.0122957281733,1.02894165567329,0.0654150797858656,0.999050239236435,1.00427238133503,1.03474291821386,1.11487719151262,2111,0,0,0,NA
"1921-1930",1921,1930,"fish_biomass","biomass","climate",2111,1.00966075449043,1.02950958173618,0.105190363903701,0.993175304788312,1.00050649805339,1.03400021332112,1.12468683599827,2111,0,0,0,NA
"1931-1940",1931,1940,"fish_biomass","biomass","climate",2111,1.01554502785113,1.04112679133281,0.136915233912448,0.998602220980632,1.00526801395436,1.04419304325177,1.14877056287195,2111,0,0,0,NA
"1941-1950",1941,1950,"fish_biomass","biomass","climate",2111,1.01299654181983,1.04405507808978,0.180447252647129,0.99277325282094,1.00141561532488,1.04303683507558,1.16029604219905,2111,0,0,0,NA
"1951-1960",1951,1960,"fish_biomass","biomass","climate",2111,1.01880289492929,1.05645465835206,0.219744249313229,0.998209399958111,1.00626083527555,1.05335485358708,1.18659906864607,2111,0,0,0,NA
"1961-1970",1961,1970,"fish_biomass","biomass","climate",2111,1.01590215704104,1.05672661292294,0.235205683321601,0.992693062194276,1.00237290685428,1.0523764821163,1.20328348369364,2111,0,0,0,NA
"1971-1980",1971,1980,"fish_biomass","biomass","climate",2111,1.02174255482592,1.06724894161536,0.246497212405313,0.99804595588275,1.00718316815115,1.06221447781649,1.2266881952433,2111,0,0,0,NA
"1981-1990",1981,1990,"fish_biomass","biomass","climate",2111,1.01152835025643,1.05904334287661,0.264861595227645,0.983549105639948,0.996417530351563,1.05145163905845,1.21757598359814,2111,0,0,0,NA
"1991-2000",1991,2000,"fish_biomass","biomass","climate",2111,1.03056183899627,1.08696280086772,0.301993862021319,1.00066039869919,1.01363095998386,1.07693365211439,1.26709541067503,2111,0,0,0,NA
"2001-2010",2001,2010,"fish_biomass","biomass","climate",2111,1.01191727727887,1.07166287735803,0.329217937976552,0.984108768665327,0.996453770743038,1.0572509223037,1.24267122904825,2111,0,0,0,NA
"1841-1850",1841,1850,"krill_biomass","biomass","climate",2111,1.00109344582429,1.00183374462492,0.0121974421632222,0.994191690796469,0.999866731893184,1.0023636027487,1.01459911102164,2111,0,0,0,NA
"1851-1860",1851,1860,"krill_biomass","biomass","climate",2111,0.99890655417571,0.998166255375078,0.0121974421632222,0.985400888978359,0.997636397251302,1.00013326810682,1.00580830920353,2111,0,0,0,NA
