"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1841-1850",1841,1850,"total_biomass","biomass","climate",170,1.00019347405421,1.00068968105485,0.00198812269080915,0.999006735083691,0.999581939703375,1.00113082703532,1.0032373429508,170,0,0,0,NA
"1851-1860",1851,1860,"total_biomass","biomass","climate",170,0.99980652594579,0.999310318945152,0.00198812269080913,0.996762657049205,0.998869172964683,1.00041806029663,1.00099326491631,170,0,0,0,NA
"1861-1870",1861,1870,"total_biomass","biomass","climate",170,0.999068080481407,0.997622650606038,0.00590838176906948,0.989726038330772,0.997140208018691,1.0006800841758,1.00217114927168,170,0,0,0,NA
"1871-1880",1871,1880,"total_biomass","biomass","climate",170,0.998314160946515,0.995314718423958,0.00907869918782346,0.98478891686553,0.99532709344637,0.999713092681921,1.00065538667371,170,0,0,0,NA
"1881-1890",1881,1890,"total_biomass","biomass","climate",170,0.997595795910045,0.993729343714567,0.0127245497707439,0.977879496407834,0.992944874141392,1.00003677223539,1.0018124438917,170,0,0,0,NA
"1891-1900",1891,1900,"total_biomass","biomass","climate",170,0.997054494305788,0.99156862465319,0.0157216141161068,0.972940810820956,0.991252482710669,0.999312287351067,1.00042623338964,170,0,0,0,NA
"1901-1910",1901,1910,"total_biomass","biomass","climate",170,0.996724598747118,0.99011200195032,0.0190899547668287,0.96646127930068,0.989098287985431,0.999528186798199,1.00157127196834,170,0,0,0,NA
"1911-1920",1911,1920,"total_biomass","biomass","climate",170,0.995789598077528,0.988089277268892,0.0218577221389243,0.961588488795153,0.987269093249901,0.998894055928451,1.00022290278465,170,0,0,0,NA
"1921-1930",1921,1930,"total_biomass","biomass","climate",170,0.99563239732756,0.986760713479196,0.0249498192004046,0.955521861743786,0.985319910547452,0.99902081742785,1.00134583705045,170,0,0,0,NA
"1931-1940",1931,1940,"total_biomass","biomass","climate",170,0.994509783782751,0.984888946936671,0.0274598237649083,0.950724319909142,0.983600516000623,0.998567132248171,1.00006250638023,170,0,0,0,NA
