"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1841-1850",1841,1850,"spectrum_slope","structural","absolute",2111,-7.17083778072336e-05,-0.000201054603393721,0.000639873417703231,-0.00146992909360022,-0.000336081954085854,6.41161186126782e-05,0.000290466268323408,-0.00159780863440089,-1.3718999127888,-1.39103296521679,-1.34561859642531,2111,0.0999526290857414,0.0217906205589768,0.0506868782567504,0.049265750828991,-1.37155434443264,0.0448792028427867
"1851-1860",1851,1860,"spectrum_slope","structural","absolute",2111,7.17083778074556e-05,0.000201054603393726,0.000639873417703232,-0.000290466268323297,-6.41161186126782e-05,0.000336081954085632,0.00146992909360033,0.00159780863440584,-1.37149589613962,-1.39070530653721,-1.34567251396453,2111,0.0980577925153956,0.0203694931312174,0.0473709142586452,0.0506868782567504,-1.37155434443264,0.0448792028427867
"1861-1870",1861,1870,"spectrum_slope","structural","absolute",2111,-0.000397572993852346,5.26417503423077e-05,0.0019920245376053,-0.00135725770314554,-0.000748211946389521,0.000416791446950837,0.003840303054917,-0.00885873564298942,-1.37152747177702,-1.39122565439075,-1.34645267548649,2111,0.098531501657982,0.019895783988631,0.0464234959734723,0.0521080056845097,-1.37155434443264,0.0448792028427867
"1871-1880",1871,1880,"spectrum_slope","structural","absolute",2111,0.000609656163800043,0.00135439066633813,0.00323657493406341,-0.000737834732737697,0.000171497550570554,0.00192025913939364,0.0073567945136408,0.0135843804074615,-1.37048644565007,-1.38998049588228,-1.3453630604882,2111,0.0947418285172904,0.0194220748460445,0.0421601136901942,0.0525817148270962,-1.37155434443264,0.0448792028427867
"1881-1890",1881,1890,"spectrum_slope","structural","absolute",2111,3.84332706391266e-05,0.00108556867490556,0.00470267554381907,-0.00179909569283832,-0.000554117248990016,0.00186596448063514,0.00951712367244795,0.000856371508508286,-1.37069417766993,-1.39052231083799,-1.3462771858109,2111,0.0937944102321175,0.0175272382756987,0.0412126954050213,0.0525817148270962,-1.37155434443264,0.0448792028427867
"1891-1900",1891,1900,"spectrum_slope","structural","absolute",2111,0.00103317011609549,0.00227773342836684,0.0061864966746075,-0.00120019832593887,0.000288141936409914,0.00336849288742835,0.0130102941549634,0.0230211334126126,-1.36950209769965,-1.38940724971699,-1.34528123529104,2111,0.0895310279488394,0.0165798199905258,0.0364756039791568,0.0530554239696826,-1.37155434443264,0.0448792028427867
"1901-1910",1901,1910,"spectrum_slope","structural","absolute",2111,0.000452043110471756,0.00191675106448099,0.00805158572040847,-0.00243902709632238,-0.00045033294760366,0.00325979048923919,0.0150436446196925,0.0100724407261706,-1.37005329402724,-1.39005752019948,-1.3461638528359,2111,0.0881099005210801,0.0161061108479394,0.0364756039791568,0.0516342965419233,-1.37155434443264,0.0448792028427867
"1911-1920",1911,1920,"spectrum_slope","structural","absolute",2111,0.00142757599175924,0.00299376487706608,0.010450084840777,-0.00194242142633827,0.000392848532899226,0.00472918955201251,0.0183585263160772,0.0318092992150527,-1.36906514044722,-1.38890355989309,-1.34489810722734,2111,0.0876361913784936,0.0161061108479394,0.0355281856939839,0.0521080056845097,-1.37155434443264,0.0448792028427867
"1921-1930",1921,1930,"spectrum_slope","structural","absolute",2111,0.000807034260587036,0.00254311727828815,0.0124711649651411,-0.0030150735329092,-0.000343866193862286,0.00461132878719284,0.0200784660727411,0.017982366206773,-1.36970897463398,-1.38957349466856,-1.34539581317126,2111,0.0866887730933207,0.0170535291331123,0.0360018948365703,0.0506868782567504,-1.37155434443264,0.0448792028427867
"1931-1940",1931,1940,"spectrum_slope","structural","absolute",2111,0.00223913739489046,0.00445437184481728,0.0158097320767719,-0.00243991177098513,0.000679498668981093,0.00739964571574048,0.025544000297347,0.049892539373621,-1.36816047122349,-1.38766006664783,-1.34349352717668,2111,0.0862150639507342,0.0189483657034581,0.0322122216958787,0.0540028422548555,-1.37155434443264,0.0448792028427867
"1941-1950",1941,1950,"spectrum_slope","structural","absolute",2111,0.00400587925116214,0.00987510462802195,0.0249251065297051,-0.00203602970791783,0.000884341216566664,0.0137691393081372,0.0455902304493313,0.0892591444904862,-1.36344904075038,-1.38390429188779,-1.3392278490761,2111,0.078635717669351,0.0213169114163903,0.0189483657034581,0.0596873519658929,-1.37155434443264,0.0448792028427867
"1951-1960",1951,1960,"spectrum_slope","structural","absolute",2111,0.00528614312198927,0.0126381184197537,0.0284767989663494,-0.00153814051230927,0.00180395444852788,0.0166728543373966,0.0557330027244985,0.117786029767659,-1.36123314773675,-1.38174124865284,-1.33745452571267,2111,0.0833728090952155,0.025106584557082,0.0170535291331123,0.0663192799621033,-1.37155434443264,0.0448792028427867
"1961-1970",1961,1970,"spectrum_slope","structural","absolute",2111,0.00483116141173112,0.0130737518304205,0.0308904946930219,-0.00208092967263307,0.00123831241233019,0.0173046489862754,0.0625528108169019,0.107648111056135,-1.36157650732763,-1.38199033540153,-1.33738737062178,2111,0.083846518237802,0.0279488394126007,0.0165798199905258,0.0672666982472762,-1.37155434443264,0.0448792028427867
"1971-1980",1971,1980,"spectrum_slope","structural","absolute",2111,0.00783198142282071,0.0152782295843113,0.0339394488564031,-0.00332525037240317,0.0028396524697657,0.0205291368170681,0.06855010167645,0.174512489677154,-1.36076376914934,-1.38027359286757,-1.33556984450942,2111,0.0900047370914259,0.0303173851255329,0.0156324017053529,0.0743723353860729,-1.37155434443264,0.0448792028427867
"1981-1990",1981,1990,"spectrum_slope","structural","absolute",2111,0.00886215181242589,0.0171107545968342,0.0383797166842119,-0.00524135252901758,0.0027612351852635,0.0244574687245901,0.0797051402512214,0.197466783077014,-1.36040386594597,-1.38192708747792,-1.33210486526012,2111,0.117953576504027,0.0416864045476078,0.0189483657034581,0.0990052108005685,-1.37155434443264,0.0448792028427867
