"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1841-1850",1841,1850,"mean_tl","structural","absolute",170,0.000590570894909215,0.00076307217797292,0.00059777835299508,0.000152613701620785,0.000285620672161757,0.0011173442657112,0.00199127781012363,0.00714147174819569,3.53148261042158,3.49514626530576,3.5955100290673,170,0.105882352941176,0.0235294117647059,0.0529411764705882,0.0529411764705882,3.52960976073355,0.0826959646039941
"1851-1860",1851,1860,"mean_tl","structural","absolute",170,-0.000590570894909215,-0.000763072177972902,0.000597778352995031,-0.00199127781012343,-0.00111734426571075,-0.000285620672161757,-0.000152613701620785,-0.00714147174819569,3.52850161099353,3.49444246776159,3.59325729187055,170,0.105882352941176,0.0235294117647059,0.0529411764705882,0.0529411764705882,3.52960976073355,0.0826959646039941
"1861-1870",1861,1870,"mean_tl","structural","absolute",170,-0.000960627013250948,-0.00144159385017601,0.00177386932616771,-0.00471897905507068,-0.00217729039894843,-0.000337860106151,0.000879705679951124,-0.0116163710992562,3.52765197910351,3.49343453702239,3.59221388856127,170,0.1,0.0235294117647059,0.0529411764705882,0.0470588235294118,3.52960976073355,0.0826959646039941
"1871-1880",1871,1880,"mean_tl","structural","absolute",170,-0.00131600742172466,-0.00244374572323596,0.00272095048471246,-0.00786514451359737,-0.00359432489359746,-0.000441410958805233,-0.000173888907206998,-0.0159138045976805,3.52743081122914,3.49366048035893,3.59076961895565,170,0.0941176470588235,0.0235294117647059,0.0529411764705882,0.0411764705882353,3.52960976073355,0.0826959646039941
"1881-1890",1881,1890,"mean_tl","structural","absolute",170,-0.00154935536778944,-0.0031151817874097,0.00382575240822093,-0.010714720938799,-0.00483229143969688,-0.000585829850868524,0.000739982036834783,-0.0187355619492297,3.52642963234758,3.49265954312538,3.59126131188905,170,0.1,0.0235294117647059,0.0588235294117647,0.0411764705882353,3.52960976073355,0.0826959646039941
"1891-1900",1891,1900,"mean_tl","structural","absolute",170,-0.0020359583261651,-0.00407858655665767,0.00480127608407671,-0.0138532476325391,-0.00618525241659873,-0.000528144211778603,-0.000184722704800544,-0.0246198026217444,3.52487778101654,3.4921807729632,3.58983572454128,170,0.0941176470588235,0.0235294117647059,0.0529411764705882,0.0411764705882353,3.52960976073355,0.0826959646039941
"1901-1910",1901,1910,"mean_tl","structural","absolute",170,-0.00207746600768743,-0.00471089087843932,0.0058546118468174,-0.0166438097532424,-0.00713163267772166,-0.000668377132989506,0.000603540924273347,-0.025121733782728,3.5243351396883,3.49089888098948,3.59064740972806,170,0.1,0.0235294117647059,0.0588235294117647,0.0411764705882353,3.52960976073355,0.0826959646039941
"1911-1920",1911,1920,"mean_tl","structural","absolute",170,-0.00264983258247309,-0.00563099453985405,0.00681037163516467,-0.019740192533824,-0.00852553918656662,-0.000610559443375069,-0.000120956181495635,-0.0320430699993928,3.52372196036156,3.49105622096175,3.58906270811671,170,0.1,0.0235294117647059,0.0588235294117647,0.0411764705882353,3.52960976073355,0.0826959646039941
"1921-1930",1921,1930,"mean_tl","structural","absolute",170,-0.00257684359282706,-0.00622979932547924,0.00781801603316848,-0.0224907844470344,-0.00943824569842011,-0.000738245622085465,0.000563543757891359,-0.0311604514823279,3.52319910366493,3.49076814159295,3.5884508431074,170,0.0941176470588235,0.0235294117647059,0.0588235294117647,0.0352941176470588,3.52960976073355,0.0826959646039941
"1931-1940",1931,1940,"mean_tl","structural","absolute",170,-0.00784820306280065,-0.0131697899815834,0.0157177602602241,-0.0438039758885263,-0.0187136657487627,-0.00247222930170687,-0.000811478607400784,-0.094904305190505,3.51737000170436,3.4865796364762,3.57074144065793,170,0.0941176470588235,0.0235294117647059,0.0647058823529412,0.0294117647058824,3.52960976073355,0.0826959646039941
"1941-1950",1941,1950,"mean_tl","structural","absolute",170,-0.00914498091098337,-0.0198735979422978,0.0315772068246907,-0.0866337576357757,-0.023293267009305,-0.00307594688619284,-0.000911857000316155,-0.110585576391495,3.51196628675081,3.48281176028961,3.55913994164804,170,0.1,0.0294117647058824,0.0705882352941176,0.0294117647058824,3.52960976073355,0.0826959646039941
"1951-1960",1951,1960,"mean_tl","structural","absolute",170,-0.00979809811349286,-0.0242381674324556,0.0395135785123723,-0.109026119735833,-0.0264508431712684,-0.00395462552290282,-0.00125251602779433,-0.118483388644331,3.50533406501851,3.47886034199473,3.55375541695902,170,0.1,0.0294117647058824,0.0705882352941176,0.0294117647058824,3.52960976073355,0.0826959646039941
"1961-1970",1961,1970,"mean_tl","structural","absolute",170,-0.0107860339454013,-0.0250132926318777,0.0404221713152993,-0.111761266275891,-0.0282481721531205,-0.00372815969346108,-0.00122636835962438,-0.130429991318831,3.5050708585339,3.47718525032829,3.55252312102871,170,0.1,0.0294117647058824,0.0705882352941176,0.0294117647058824,3.52960976073355,0.0826959646039941
"1971-1980",1971,1980,"mean_tl","structural","absolute",170,-0.0126831973691841,-0.0320585124210483,0.0474194584434785,-0.126860657758596,-0.039003358792269,-0.00388967905679838,-0.00117786125673026,-0.153371418181287,3.50432642768745,3.47377477867078,3.54793947530423,170,0.0823529411764706,0.0235294117647059,0.0705882352941176,0.0117647058823529,3.52960976073355,0.0826959646039941
"1981-1990",1981,1990,"mean_tl","structural","absolute",170,-0.0137407206084197,-0.0369646634586484,0.0557693963864947,-0.146895238137871,-0.0431954281360105,-0.0044117880239114,-0.000807893644874326,-0.166159505777819,3.49881877264339,3.46999772371058,3.54577801045052,170,0.105882352941176,0.0294117647058824,0.1,0.00588235294117647,3.52960976073355,0.0826959646039941
"1991-2000",1991,2000,"mean_tl","structural","absolute",170,-0.019243265740162,-0.0402598728818837,0.0591941105264746,-0.154260056511509,-0.0441750166107981,-0.00876177783509391,-0.00556200443890068,-0.232698969439587,3.49560456984128,3.46581639255669,3.53816887566866,170,0.111764705882353,0.0411764705882353,0.1,0.0117647058823529,3.52960976073355,0.0826959646039941
"2001-2010",2001,2010,"mean_tl","structural","absolute",170,-0.0102630354365065,-0.030870262249481,0.0624139441978786,-0.14885932147475,-0.038353375159378,-0.00049521581101275,0.00403969205967717,-0.12410563787064,3.5021233031574,3.47156371807204,3.54936385852497,170,0.0823529411764706,0.0294117647058824,0.0705882352941176,0.0117647058823529,3.52960976073355,0.0826959646039941
"1841-1850",1841,1850,"htl_indicator","structural","absolute",170,6.35610773270373e-05,-8.25147173455072e-06,0.00048635090613844,-0.000801657379932514,-0.000283794270154271,0.00026079435916377,0.000741226390395511,0.000948026629657082,0.180582036360546,0.140389950540453,0.219014366375866,170,0.111764705882353,0.0235294117647059,0.0529411764705882,0.0588235294117647,0.180272429182467,0.0670456665864212
"1851-1860",1851,1860,"htl_indicator","structural","absolute",170,-6.35610773270096e-05,8.25147173455196e-06,0.00048635090613844,-0.000741226390395486,-0.000260794359163749,0.000283794270154264,0.000801657379932529,-0.000948026629656668,0.17956732981576,0.140348534875412,0.218887634054405,170,0.105882352941176,0.0235294117647059,0.0529411764705882,0.0529411764705882,0.180272429182467,0.0670456665864212
"1861-1870",1861,1870,"htl_indicator","structural","absolute",170,0.000239044483645409,0.000438156110013969,0.00123078069287113,-0.00114855858524224,-0.000410577642752256,0.00129051328001982,0.00247772045195579,0.00356539797150474,0.179298434961029,0.140370254134452,0.219785326511074,170,0.105882352941176,0.0235294117647059,0.0529411764705882,0.0529411764705882,0.180272429182467,0.0670456665864212
"1871-1880",1871,1880,"htl_indicator","structural","absolute",170,0.000361503810265812,0.000915610989964396,0.00191169958852815,-0.00173574818451079,-0.000139816120179402,0.00198264995017303,0.00417162659225961,0.00539190418518454,0.180259921730994,0.141344745174353,0.220011264670773,170,0.0882352941176471,0.0176470588235294,0.0352941176470588,0.0529411764705882,0.180272429182467,0.0670456665864212
"1881-1890",1881,1890,"htl_indicator","structural","absolute",170,0.000683971308447218,0.0013084680405841,0.00261291463749028,-0.00225746570098192,-0.000190112419579589,0.00276169327155717,0.00558711437253052,0.0102015736925456,0.180754609312254,0.14156406972492,0.22081923261973,170,0.0823529411764706,0.0235294117647059,0.0294117647058824,0.0529411764705882,0.180272429182467,0.0670456665864212
"1891-1900",1891,1900,"htl_indicator","structural","absolute",170,0.000767131445173985,0.00178140985177342,0.00335699701723587,-0.00283085169541565,2.45862272227615e-05,0.0036014165719056,0.00764218679370838,0.0114419243514443,0.181223122674739,0.142418514250636,0.220898078126954,170,0.0823529411764706,0.0176470588235294,0.0294117647058824,0.0529411764705882,0.180272429182467,0.0670456665864212
"1901-1910",1901,1910,"htl_indicator","structural","absolute",170,0.00114428362584285,0.00218052187947112,0.0040273219546704,-0.00332459906836447,-4.60044082443156e-05,0.00435003518843598,0.00904417330607493,0.0170672272214324,0.18112617315905,0.142285447506781,0.221447410509961,170,0.0823529411764706,0.0235294117647059,0.0294117647058824,0.0529411764705882,0.180272429182467,0.0670456665864212
"1911-1920",1911,1920,"htl_indicator","structural","absolute",170,0.00122702049720787,0.00265714515907556,0.00478377520719113,-0.0038454368669828,0.000171916855965966,0.0052642015236859,0.0110880053705208,0.0183012647898168,0.18159159577717,0.14322886040987,0.221176986944157,170,0.0823529411764706,0.0117647058823529,0.0294117647058824,0.0529411764705882,0.180272429182467,0.0670456665864212
"1921-1930",1921,1930,"htl_indicator","structural","absolute",170,0.00156919289278179,0.00305805953552764,0.00543704223235892,-0.00430324600061954,0.000120013418710055,0.00586705730900847,0.012354769137474,0.0234048369219973,0.181490521880988,0.14300628610667,0.221722958769692,170,0.0764705882352941,0.0235294117647059,0.0235294117647059,0.0529411764705882,0.180272429182467,0.0670456665864212
