"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1841-1850",1841,1850,"spectrum_slope","structural","climate",2111,-7.17083778072336e-05,-0.000201054603393722,0.000639873417703231,-0.00146992909360022,-0.000336081954085854,6.41161186126782e-05,0.000290466268323408,-0.00159780863440089,-1.3718999127888,-1.39103296521679,-1.34561859642531,2111,0.0999526290857414,0.0217906205589768,NA,NA,-1.37155434443264,0.0448792028427867
"1851-1860",1851,1860,"spectrum_slope","structural","climate",2111,7.17083778074556e-05,0.000201054603393724,0.000639873417703228,-0.000290466268323297,-6.41161186126782e-05,0.000336081954085854,0.00146992909360033,0.00159780863440584,-1.37149589613962,-1.39070530653721,-1.34567251396453,2111,0.0980577925153956,0.0203694931312174,NA,NA,-1.37155434443264,0.0448792028427867
"1861-1870",1861,1870,"spectrum_slope","structural","climate",2111,-0.000397572993852346,5.26417503423055e-05,0.0019920245376053,-0.00135725770314576,-0.000748211946389521,0.000416791446950837,0.00384030305491712,-0.00885873564298942,-1.37152747177702,-1.39122565439075,-1.34645267548649,2111,0.098531501657982,0.019895783988631,NA,NA,-1.37155434443264,0.0448792028427867
"1871-1880",1871,1880,"spectrum_slope","structural","climate",2111,0.000609656163800043,0.00135439066633813,0.0032365749340634,-0.000737834732737586,0.000171497550570554,0.00192025913939375,0.0073567945136408,0.0135843804074615,-1.37048644565007,-1.38998049588228,-1.3453630604882,2111,0.0947418285172904,0.0194220748460445,NA,NA,-1.37155434443264,0.0448792028427867
"1881-1890",1881,1890,"spectrum_slope","structural","climate",2111,3.84332706391266e-05,0.00108556867490556,0.00470267554381907,-0.00179909569283832,-0.000554117248990016,0.00186596448063503,0.00951712367244795,0.000856371508508286,-1.37069417766993,-1.39052231083799,-1.3462771858109,2111,0.0937944102321175,0.0175272382756987,NA,NA,-1.37155434443264,0.0448792028427867
"1891-1900",1891,1900,"spectrum_slope","structural","climate",2111,0.00103317011609572,0.00227773342836684,0.0061864966746075,-0.00120019832593887,0.000288141936409914,0.00336849288742846,0.0130102941549634,0.0230211334126175,-1.36950209769965,-1.38940724971699,-1.34528123529104,2111,0.0895310279488394,0.0165798199905258,NA,NA,-1.37155434443264,0.0448792028427867
"1901-1910",1901,1910,"spectrum_slope","structural","climate",2111,0.000452043110471756,0.00191675106448099,0.00805158572040846,-0.00243902709632238,-0.00045033294760366,0.00325979048923908,0.0150436446196925,0.0100724407261706,-1.37005329402724,-1.39005752019948,-1.3461638528359,2111,0.0881099005210801,0.0161061108479394,NA,NA,-1.37155434443264,0.0448792028427867
"1911-1920",1911,1920,"spectrum_slope","structural","climate",2111,0.00142757599175924,0.00299376487706608,0.010450084840777,-0.00194242142633827,0.000392848532899226,0.00472918955201251,0.0183585263160772,0.0318092992150527,-1.36906514044722,-1.38890355989309,-1.34489810722734,2111,0.0876361913784936,0.0161061108479394,NA,NA,-1.37155434443264,0.0448792028427867
"1921-1930",1921,1930,"spectrum_slope","structural","climate",2111,0.000807034260586814,0.00254311727828816,0.0124711649651411,-0.0030150735329092,-0.000343866193862286,0.00461132878719284,0.0200784660727411,0.017982366206768,-1.36970897463398,-1.38957349466856,-1.34539581317126,2111,0.0866887730933207,0.0170535291331123,NA,NA,-1.37155434443264,0.0448792028427867
"1931-1940",1931,1940,"spectrum_slope","structural","climate",2111,0.00180372335634615,0.00351976692349225,0.0151674472172683,-0.00253361895707815,0.00047870610942824,0.00602328103543437,0.0229771706221381,0.0401906282218215,-1.36816047122349,-1.38766006664783,-1.34349352717668,2111,0.0885836096636665,0.0184746565608716,NA,NA,-1.37155434443264,0.0448792028427867
"1941-1950",1941,1950,"spectrum_slope","structural","climate",2111,0.0011663548867995,0.00300682302147911,0.0174541609738549,-0.00344954787240215,-0.000251545488327065,0.00578265046767112,0.0249230555229539,0.0259887612283418,-1.36344904075038,-1.38390429188779,-1.3392278490761,2111,0.0876361913784936,0.0194220748460445,NA,NA,-1.37155434443264,0.0448792028427867
"1951-1960",1951,1960,"spectrum_slope","structural","climate",2111,0.00215548330207205,0.00410094424858941,0.0184768114536537,-0.00294952769482704,0.000564123115055493,0.00718964319490856,0.0275561216432414,0.0480285558908605,-1.36123314773675,-1.38174124865284,-1.33745452571267,2111,0.0871624822359072,0.0203694931312174,NA,NA,-1.37155434443264,0.0448792028427867
"1961-1970",1961,1970,"spectrum_slope","structural","climate",2111,0.00147055063319401,0.00363947106695989,0.0197754363794743,-0.00389801798608047,-0.000167579772616944,0.00695428197151138,0.0291990083573315,0.0327668617097634,-1.36157650732763,-1.38199033540153,-1.33738737062178,2111,0.0857413548081478,0.0203694931312174,NA,NA,-1.37155434443264,0.0448792028427867
"1971-1980",1971,1980,"spectrum_slope","structural","climate",2111,0.00245116153313973,0.00461017222382069,0.021812721278729,-0.00343791566432372,0.000652790532774228,0.00835306281354109,0.0315589210145591,0.0546168687916814,-1.36076376914934,-1.38027359286757,-1.33556984450942,2111,0.0828990999526291,0.0217906205589768,NA,NA,-1.37155434443264,0.0448792028427867
"1981-1990",1981,1990,"spectrum_slope","structural","climate",2111,0.00283214112878727,0.00501664590627934,0.0237577111402456,-0.00414866145224047,0.000326930363470646,0.00892883324272509,0.0354191012977879,0.0631058697434612,-1.36040386594597,-1.38192708747792,-1.33210486526012,2111,0.0876361913784936,0.0232117479867361,NA,NA,-1.37155434443264,0.0448792028427867
"1991-2000",1991,2000,"spectrum_slope","structural","climate",2111,0.000122942991134245,0.0017493617668547,0.0260233397829967,-0.00847692009622036,-0.002307743568708,0.00603320520864525,0.0322857855070833,0.00273942011770838,-1.36452013907467,-1.38326123696937,-1.33960814417466,2111,0.0814779725248697,0.0274751302700142,NA,NA,-1.37155434443264,0.0448792028427867
"2001-2010",2001,2010,"spectrum_slope","structural","climate",2111,0.00377126588844745,0.00592136331991966,0.0272262972624849,-0.0037659565193362,0.00149051910223175,0.0104253553107386,0.0378661382790587,0.0840314811664173,-1.36145671014085,-1.38104537644257,-1.33488071187054,2111,0.0833728090952155,0.0255802936996684,NA,NA,-1.37155434443264,0.0448792028427867
"1841-1850",1841,1850,"spectrum_intercept","structural","climate",2111,-2.58950739961961e-05,-0.000208493630016894,0.00517750853891771,-0.0060229334262516,-0.00114271350368433,0.000948342193746399,0.00597948575124008,-6.84212055174186e-05,29.0581422690654,28.8148722132163,29.2778015665242,2111,0.098531501657982,0.0222643297015632,NA,NA,29.0570903212911,0.378465620422366
"1851-1860",1851,1860,"spectrum_intercept","structural","climate",2111,2.58950739961961e-05,0.000208493630016926,0.00517750853891762,-0.00597948575124008,-0.000948342193746399,0.00114271350368433,0.00602293342625515,6.84212055174186e-05,29.0564092706448,28.8171164893514,29.2786387997212,2111,0.101847465656087,0.0203694931312174,NA,NA,29.0570903212911,0.378465620422366
"1861-1870",1861,1870,"spectrum_intercept","structural","climate",2111,0.00306403980329506,0.00195188215408887,0.0164422980354217,-0.0198772776297904,-0.000709791333685317,0.00561595385247138,0.0149730197134321,0.0080959528103916,29.0613709037705,28.8159879103136,29.2837930134516,2111,0.107058266224538,0.0194220748460445,NA,NA,29.0570903212911,0.378465620422366
"1871-1880",1871,1880,"spectrum_intercept","structural","climate",2111,-0.00121759334249916,-0.00176815700301511,0.0275522138363282,-0.032402532530698,-0.00481695699330231,0.00106492994601837,0.0230392732995295,-0.00321718348192453,29.055657065111,28.8145492181355,29.2787436417339,2111,0.103268593083847,0.0189483657034581,NA,NA,29.0570903212911,0.378465620422366
"1881-1890",1881,1890,"spectrum_intercept","structural","climate",2111,0.0019082461931923,0.00023560695851752,0.0407873194435337,-0.045569483539289,-0.0049596167492183,0.0053978238579635,0.0302522161084475,0.00504205954311702,29.0615791977283,28.8164013338927,29.2819108157477,2111,0.108005684509711,0.019895783988631,NA,NA,29.0570903212911,0.378465620422366
"1891-1900",1891,1900,"spectrum_intercept","structural","climate",2111,-0.00213510842377573,-0.00274631663555852,0.055822148606147,-0.0567694496740589,-0.00880167466958248,0.000856476689961028,0.0409949963745291,-0.00564148580099022,29.055933337532,28.8181486715662,29.2759332170463,2111,0.10279488394126,0.0194220748460445,NA,NA,29.0570903212911,0.378465620422366
"1901-1910",1901,1910,"spectrum_intercept","structural","climate",2111,0.00104948067473032,6.36510846287371e-05,0.0759350656523687,-0.0692511688799442,-0.00861824212108786,0.00536553484300661,0.050493579092338,0.00277298813445486,29.0630620838309,28.8193358462172,29.2793899876897,2111,0.108005684509711,0.0213169114163903,NA,NA,29.0570903212911,0.378465620422366
"1911-1920",1911,1920,"spectrum_intercept","structural","climate",2111,-0.00286192309740585,-0.0017653456485283,0.107169896688372,-0.0791931771096994,-0.0126598067909978,0.00069920156586889,0.057768471319056,-0.00756191036377876,29.0644126466268,28.8216167960999,29.2779883356585,2111,0.103742302226433,0.0213169114163903,NA,NA,29.0570903212911,0.378465620422366
"1921-1930",1921,1930,"spectrum_intercept","structural","climate",2111,0.000316246454037383,0.00209326119786892,0.133632911217369,-0.0908283066753448,-0.0119714454461324,0.00516698096946477,0.068306956967211,0.000835601536764299,29.0691165045021,28.8239581044636,29.2822895429299,2111,0.111321648507816,0.0222643297015632,NA,NA,29.0570903212911,0.378465620422366
"1931-1940",1931,1940,"spectrum_intercept","structural","climate",2111,-0.00366779999615474,0.00140813518390473,0.168880172965635,-0.100292823882805,-0.0162368675893134,0.000681274765826245,0.0738958743561167,-0.00969123692678212,29.0789046957564,28.828584976757,29.2896184483859,2111,0.108479393652297,0.024159166271909,NA,NA,29.0570903212911,0.378465620422366
"1941-1950",1941,1950,"spectrum_intercept","structural","climate",2111,-0.000403908803548347,0.00624100484491022,0.202878225029039,-0.107666488529583,-0.0152086925132728,0.00499822368051639,0.0833428195319303,-0.00106722719780356,29.0644382205103,28.8081181572118,29.2796909321357,2111,0.114163903363335,0.024159166271909,NA,NA,29.0570903212911,0.378465620422366
"1951-1960",1951,1960,"spectrum_intercept","structural","climate",2111,-0.0043832317285819,0.0041499793763788,0.218736119168318,-0.119745776309902,-0.019636485798225,0.000641279192937105,0.0894204964516412,-0.0115815849368041,29.0448294019003,28.793329459476,29.2693249267276,2111,0.110374230222643,0.0265277119848413,NA,NA,29.0570903212911,0.378465620422366
"1961-1970",1961,1970,"spectrum_intercept","structural","climate",2111,-0.000996991196537067,0.00747178153500823,0.231188784705833,-0.126049111134668,-0.018056770501973,0.00495142440974661,0.0992358711711887,-0.00263429791964836,29.0502119488688,28.7917299210908,29.2727329829019,2111,0.116532449076267,0.0317385125532923,NA,NA,29.0570903212911,0.378465620422366
"1971-1980",1971,1980,"spectrum_intercept","structural","climate",2111,-0.00513570822155174,0.00589812178768633,0.251360902103332,-0.135920777621948,-0.0227851179203995,0.000644005380104673,0.110217854739924,-0.0135698143884781,29.0425019353154,28.7739617625597,29.2659627488666,2111,0.113216485078162,0.0331596399810516,NA,NA,29.0570903212911,0.378465620422366
"1981-1990",1981,1990,"spectrum_intercept","structural","climate",2111,-0.0134025656026822,-0.00371814943251797,0.272484310521754,-0.16940904359609,-0.0395416085278431,0.00112630775534583,0.0915910549771404,-0.035412901144693,29.0321261011661,28.7287968188155,29.273774987188,2111,0.120322122216959,0.0364756039791568,NA,NA,29.0570903212911,0.378465620422366
