"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_50","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1841-1850",1841,1850,"spectrum_slope","structural","climate",2111,0.000186720443710486,0.000190884313714532,0.000131213765128037,-3.69109787657917e-05,0.000128760816851869,0.000249661605114748,0.000430151239214527,0.0158995119871488,-1.15979043883123,-1.16802258995102,-1.15101080002143,2111,0.503079109426812,0.10279488394126,0.0213169114163903,NA,NA,-1.15995027326598,0.0117437845803952
"1851-1860",1851,1860,"spectrum_slope","structural","climate",2111,-0.000186720443710708,-0.000190884313714533,0.00013121376512804,-0.000430151239214527,-0.000249661605114526,-0.00012876081685198,3.69109787659028e-05,-0.0158995119871677,-1.16013527390861,-1.16827986719383,-1.15139070369894,2111,0.493131217432496,0.0971103742302226,0.019895783988631,NA,NA,-1.15995027326598,0.0117437845803952
"1861-1870",1861,1870,"spectrum_slope","structural","climate",2111,0.000181123831624275,0.000275257078192364,0.000366919843563345,-0.000176491916393351,3.27825907235901e-05,0.000450412059085026,0.000967871260086239,0.015422952488982,-1.15971186385995,-1.16798736688031,-1.15086229332634,2111,0.507816200852676,0.104689720511606,0.0203694931312174,NA,NA,-1.15995027326598,0.0117437845803952
"1871-1880",1871,1880,"spectrum_slope","structural","climate",2111,-0.000229788377896112,-0.000145665885736154,0.000477163261174269,-0.00074823709988614,-0.000418121979011921,1.50615109124619e-05,0.000850173489847728,-0.0195668079845159,-1.16003858160341,-1.16826462780354,-1.15142370531583,2111,0.498815727143534,0.0966366650876362,0.0184746565608716,NA,NA,-1.15995027326598,0.0117437845803952
"1881-1890",1881,1890,"spectrum_slope","structural","climate",2111,0.000146997122628445,0.000295389466534418,0.000682431126776165,-0.000533816079420713,-9.87931775157103e-05,0.000552203280640651,0.00169171450727112,0.0125170145639284,-1.15963122907965,-1.16794226835674,-1.15100356835979,2111,0.504026527711985,0.104689720511606,0.0184746565608716,NA,NA,-1.15995027326598,0.0117437845803952
"1891-1900",1891,1900,"spectrum_slope","structural","climate",2111,-0.000301903351842991,-0.000130253971252982,0.00086146030418905,-0.001162502943166,-0.000596220648339862,0.000120604400329016,0.00160926137698891,-0.0257075008295862,-1.16005174229254,-1.16818151979434,-1.15148277902462,2111,0.493604926575083,0.098531501657982,0.0161061108479394,NA,NA,-1.15995027326598,0.0117437845803952
"1901-1910",1901,1910,"spectrum_slope","structural","climate",2111,8.56690396322524e-05,0.000321416083099765,0.001297186829068,-0.000950102164058775,-0.000242673055448117,0.000615427890853226,0.00237388972035668,0.00729484086205619,-1.15956480906583,-1.16789261871731,-1.15093735032764,2111,0.501657981999053,0.105637138796779,0.0184746565608716,NA,NA,-1.15995027326598,0.0117437845803952
"1911-1920",1911,1920,"spectrum_slope","structural","climate",2111,-0.000367198525182522,-5.32420032096331e-06,0.00527905836611623,-0.00160880304599509,-0.000766510795793707,0.000224489869939282,0.00234584008832539,-0.031267477930029,-1.1599333340262,-1.16813612416273,-1.15141660112564,2111,0.495026054002842,0.0975840833728091,0.0161061108479394,NA,NA,-1.15995027326598,0.0117437845803952
"1921-1930",1921,1930,"spectrum_slope","structural","climate",2111,1.72905389808076e-05,0.000505939853445777,0.00642249985971462,-0.00138746702092596,-0.000408658598814005,0.000693050064747625,0.00308623470352065,0.00147231404513942,-1.1596426363182,-1.16788158380642,-1.15085290447704,2111,0.503552818569398,0.105637138796779,0.019895783988631,NA,NA,-1.15995027326598,0.0117437845803952
"1931-1940",1931,1940,"spectrum_slope","structural","climate",2111,-0.000438198415127156,0.00038638438209776,0.0102959401357646,-0.00204357919608744,-0.000935904847770175,0.000314846935780544,0.00302455985499206,-0.0373132197825455,-1.16175278949986,-1.16975799609517,-1.15313682412685,2111,0.499763145428707,0.0999526290857414,0.0194220748460445,NA,NA,-1.15995027326598,0.0117437845803952
