"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1841-1850",1841,1850,"mean_tl","structural","climate",170,0.000590570894909215,0.00076307217797292,0.00059777835299508,0.000152613701620785,0.000285620672161757,0.0011173442657112,0.00199127781012363,0.00714147174819569,3.53148261042158,3.49514626530576,3.5955100290673,170,0.105882352941176,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1851-1860",1851,1860,"mean_tl","structural","climate",170,-0.000590570894909215,-0.000763072177972902,0.000597778352995031,-0.00199127781012343,-0.00111734426571075,-0.000285620672161757,-0.000152613701620785,-0.00714147174819569,3.52850161099353,3.49444246776159,3.59325729187055,170,0.105882352941176,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1861-1870",1861,1870,"mean_tl","structural","climate",170,-0.000960627013250948,-0.00144159385017601,0.00177386932616771,-0.00471897905507068,-0.00217729039894843,-0.000337860106151,0.000879705679951124,-0.0116163710992562,3.52765197910351,3.49343453702239,3.59221388856127,170,0.1,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1871-1880",1871,1880,"mean_tl","structural","climate",170,-0.00131600742172466,-0.00244374572323596,0.00272095048471246,-0.00786514451359737,-0.00359432489359746,-0.000441410958805233,-0.000173888907206998,-0.0159138045976805,3.52743081122914,3.49366048035893,3.59076961895565,170,0.0941176470588235,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1881-1890",1881,1890,"mean_tl","structural","climate",170,-0.00154935536778944,-0.0031151817874097,0.00382575240822093,-0.010714720938799,-0.00483229143969688,-0.000585829850868524,0.000739982036834783,-0.0187355619492297,3.52642963234758,3.49265954312538,3.59126131188905,170,0.1,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1891-1900",1891,1900,"mean_tl","structural","climate",170,-0.0020359583261651,-0.00407858655665767,0.00480127608407671,-0.0138532476325391,-0.00618525241659873,-0.000528144211778603,-0.000184722704800544,-0.0246198026217444,3.52487778101654,3.4921807729632,3.58983572454128,170,0.0941176470588235,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1901-1910",1901,1910,"mean_tl","structural","climate",170,-0.00207746600768743,-0.00471089087843932,0.0058546118468174,-0.0166438097532424,-0.00713163267772166,-0.000668377132989506,0.000603540924273347,-0.025121733782728,3.5243351396883,3.49089888098948,3.59064740972806,170,0.1,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1911-1920",1911,1920,"mean_tl","structural","climate",170,-0.00264983258247309,-0.00563099453985405,0.00681037163516467,-0.019740192533824,-0.00852553918656662,-0.000610559443375069,-0.000120956181495635,-0.0320430699993928,3.52372196036156,3.49105622096175,3.58906270811671,170,0.1,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1921-1930",1921,1930,"mean_tl","structural","climate",170,-0.00257684359282706,-0.00622979932547924,0.00781801603316848,-0.0224907844470344,-0.00943824569842011,-0.000738245622085465,0.000563543757891359,-0.0311604514823279,3.52319910366493,3.49076814159295,3.5884508431074,170,0.0941176470588235,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1931-1940",1931,1940,"mean_tl","structural","climate",170,-0.00326402961642769,-0.00710727438975969,0.00873885496814404,-0.0252096114560717,-0.0107674336645921,-0.000675406138425427,-4.76407100510113e-05,-0.039470240562017,3.51737000170436,3.4865796364762,3.57074144065793,170,0.0941176470588235,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1941-1950",1941,1950,"mean_tl","structural","climate",170,-0.00305528433720315,-0.00766975503792571,0.00969484004374965,-0.0278823568356512,-0.0116001359629925,-0.000802187188230885,0.000565797889493487,-0.036945990676014,3.51196628675081,3.48281176028961,3.55913994164804,170,0.1,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1951-1960",1951,1960,"mean_tl","structural","climate",170,-0.00392496913472939,-0.00849741595813901,0.010558773598902,-0.030283988841709,-0.0128490502253602,-0.000763055359746745,2.1105268888388e-05,-0.0474626440785216,3.50533406501851,3.47886034199473,3.55375541695902,170,0.1,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1961-1970",1961,1970,"mean_tl","structural","climate",170,-0.00358265439691818,-0.00900379654100904,0.0114322111682524,-0.0324400591998241,-0.0134886519091132,-0.000831484776070202,0.000552347916135009,-0.0433232070521752,3.5050708585339,3.47718525032829,3.55252312102871,170,0.1,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1971-1980",1971,1980,"mean_tl","structural","climate",170,-0.00441059200478033,-0.00971924874509257,0.0121998933313166,-0.0345934074272451,-0.0146017843259983,-0.000827822639346332,9.24896527629166e-05,-0.0533350330442522,3.50432642768745,3.47377477867078,3.54793947530423,170,0.0941176470588235,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
"1981-1990",1981,1990,"mean_tl","structural","climate",170,-0.00451124312763485,-0.00968771303145399,0.013718001910904,-0.0370404600970377,-0.0139037654808687,-0.0010732850192765,0.00301274357467904,-0.0545521555887016,3.49881877264339,3.46999772371058,3.54577801045052,170,0.1,0.0235294117647059,NA,NA,3.52960976073355,0.0826959646039941
