"","Year","species","effort_standard"
"1",1930,"baleen whales",0.168538466064261
"2",1931,"baleen whales",0.791453644166385
"3",1932,"baleen whales",0.552852793984007
"4",1932,"sperm whales",0.00706471536165235
"5",1933,"baleen whales",1
"6",1933,"sperm whales",0.146334625625497
"7",1934,"baleen whales",0.656832819053955
"8",1934,"sperm whales",0.239262861367656
"9",1935,"baleen whales",0.512635831042265
"10",1935,"sperm whales",0.164531467846764
"11",1936,"baleen whales",0.449130012317722
"12",1936,"sperm whales",0.163102075020066
"13",1937,"baleen whales",0.462825439669873
"14",1937,"sperm whales",0.158975176450274
"15",1938,"baleen whales",0.222611804111602
"16",1938,"sperm whales",0.0949149905394169
"17",1939,"baleen whales",0.44497869804372
"18",1939,"sperm whales",0.575069755215587
"19",1940,"baleen whales",0.223718304671999
"20",1940,"sperm whales",0.425915133868553
"21",1946,"baleen whales",0.0243787508621257
"22",1946,"sperm whales",0.0147572786117468
"23",1947,"baleen whales",0.341213859402188
"24",1947,"sperm whales",0.563571249207354
"25",1948,"baleen whales",0.577311039427008
"26",1948,"sperm whales",1
"27",1949,"baleen whales",0.0315338818951002
"28",1949,"sperm whales",0.243817170027638
"29",1950,"baleen whales",0.181552635627546
"30",1950,"sperm whales",0.304450220451803
"31",1950,"shelf and coastal fishes",0.034370644692199
"32",1951,"baleen whales",0.21938112243329
"33",1951,"sperm whales",0.783000257004428
"34",1951,"shelf and coastal fishes",0.0515694066472483
"35",1952,"baleen whales",0.386551053282895
"36",1952,"sperm whales",0.215843216584389
"37",1952,"shelf and coastal fishes",0.41012497143617
"38",1953,"baleen whales",0.329532963447083
"39",1953,"sperm whales",0.185358974423526
"40",1953,"shelf and coastal fishes",0.0588155475654864
"41",1954,"baleen whales",0.256309947670497
"42",1954,"sperm whales",0.444271022104497
"43",1954,"shelf and coastal fishes",0.0439852514638234
"44",1955,"baleen whales",0.168691279674003
"45",1955,"sperm whales",0.313132656594167
"46",1955,"shelf and coastal fishes",0.158006520586708
"47",1956,"baleen whales",0.292049376577697
"48",1956,"sperm whales",0.432093949040361
"49",1956,"shelf and coastal fishes",0.226564439710195
"50",1957,"baleen whales",0.0451374281208178
