Year,Sector,region,SAUP,FGroup,Reported,IUU,Discards
1950,industrial,Prydz.Bay,710,demersal<30cm,2.89522997,0.097869999,0.453210004
1950,artisanal,Prydz.Bay,710,demersal<30cm,0.619409992,4.018399935,0.06825
1950,industrial,Prydz.Bay,710,rays<90cm,0.135859999,0.0087,0.08461
1951,industrial,Prydz.Bay,548,demersal<30cm,0.53846997,3.886859894,0.01508
1951,industrial,Prydz.Bay,710,demersal<30cm,1.825259977,0.087569999,0.401160005
1951,artisanal,Prydz.Bay,710,demersal<30cm,1.438040039,9.249150119,0.08755
1951,industrial,Prydz.Bay,710,rays<90cm,0.06298,0.00401,0.039219999
1952,industrial,Prydz.Bay,710,demersal<30cm,23.6970399,0.908800019,1.720219966
1952,artisanal,Prydz.Bay,710,demersal<30cm,995.4667246,6346.758413,7.676319826
1952,industrial,Prydz.Bay,710,rays<90cm,0.102129999,0.00653,0.063650001
1953,industrial,Prydz.Bay,710,demersal<30cm,10.81279017,0.654379995,3.988310023
1953,artisanal,Prydz.Bay,710,demersal<30cm,2.125379991,13.43148978,0.141220005
1953,industrial,Prydz.Bay,710,rays<90cm,0.077869999,0.00492,0.048510001
1954,artisanal,Prydz.Bay,16,demersal<30cm,1E-04,0.00046,9E-05
1954,artisanal,Prydz.Bay,76,demersal<30cm,0.00138,0.00756,0.0012
1954,artisanal,Prydz.Bay,356,demersal<30cm,0.00195,0.01341,0.0017
1954,industrial,Prydz.Bay,710,demersal<30cm,7.423040019,0.323730003,1.136990025
1954,artisanal,Prydz.Bay,710,demersal<30cm,4.541350013,28.44543005,0.396859996
1954,industrial,Prydz.Bay,710,rays<90cm,0.218019998,0.01391,0.135800001
1955,artisanal,Prydz.Bay,104,demersal<30cm,0.00546,0.042490002,0.00015
1955,industrial,Prydz.Bay,710,demersal<30cm,6.950459953,0.429620002,0.397560001
1955,artisanal,Prydz.Bay,710,demersal<30cm,6.279080028,38.9784595,2.923930067
1955,industrial,Prydz.Bay,710,rays<90cm,0.342739998,0.0219,0.213570004
1956,artisanal,Prydz.Bay,638,demersal<30cm,0.0048,0.021749999,0.00419
1956,industrial,Prydz.Bay,710,demersal<30cm,110.0482506,7.796430009,67.138122
