"w","dw","n_mean","n_median","n_q05","n_q25","n_q75","n_q95","n_density_mean","n_density_median","n_density_q05","n_density_q95","biomass_mean","biomass_median","biomass_q05","biomass_q95","biomass_density_mean","biomass_density_median","biomass_density_q05","biomass_density_q95","n_sims","period","scenario"
3.16227766016838e-08,1.37395504584151e-08,460598701313.348,479651874691.174,250354962551.645,321736220433.007,576165003759.862,594928764310.381,33523564159353184256,34910303371490750464,18221481358461054976,43300453396275781632,14565.4098346577,15167.9240799378,7916.91905189358,18813.299407703,1060108180303.44,1103960724613.66,576213834350.36,1369280564502.05,2112,"pre_whaling","fished"
4.53623270600988e-08,1.97091479158781e-08,313127655255.406,312629611535.958,179110021783.816,224643610411.241,393842501739.896,413447537192.486,15887427330287798272,15862157657465102336,9087659321868548096,20977443517961732096,14204.1991092576,14181.6066871658,8124.84738789887,18754.9424043179,720690674700.068,719544383536.783,412237374369.357,951585653746.531,2112,"pre_whaling","fished"
6.50714749759769e-08,2.82724324020403e-08,209482768608.148,203260507497.962,125256768627.183,152008166759.429,262443648197.825,282152910388.692,7409435651989771264,7189353381681198080,4430349919879679488,9979789017669746688,13631.3527353835,13226.461027258,8150.64268529547,18360.1060477569,482142906614.564,467821828669.523,288289403946.272,649399591328.826,2112,"pre_whaling","fished"
9.33439073780173e-08,4.0556316150227e-08,137848046105.197,132847330823.014,84649195171.9331,100696000408.713,172060424523.933,189006789920.581,3398929172821971968,3275626176966521856,2087201284711832320,4660353993209587712,12867.2752478842,12400.4889437602,7901.48663375262,17642.6322921631,317269329892.335,305759746467.772,194827523399.42,435015651490.929,2112,"pre_whaling","fished"
1.33900223528244e-07,5.81773353027263e-08,89217637494.4116,86189254705.8011,55145370383.768,65628009856.6377,109945523576.323,124434390159.792,1533546303387165440,1481491963447870208,947884087451213312,2138880880540439296,11946.2616031636,11540.7604708395,7383.97742093436,16661.7926569969,205342192814.454,198372105060.967,126921891188.583,286396628004.653,2112,"pre_whaling","fished"
1.92077558830971e-07,8.34543830457565e-08,56819718528.2844,54686744093.048,34596461002.9294,42446394697.9796,69463508492.8997,80422808728.9638,680847625428267776,655289058491562112,414555350363812352,963673875401719808,10913.7928283757,10504.0963058067,6645.20377363355,15447.4167749894,130775549828.125,125866322683.704,79626779698.1988,185100125496.343,2112,"pre_whaling","fished"
2.75531941876727e-07,1.19713871618686e-07,35646931927.0856,34218842973.2964,20989433885.1629,26906233571.186,43099465517.2719,51181080111.318,297767764462822272,285838579193984576,175330006467576320,427528401005527552,9821.86837581739,9428.38425320716,5783.25947727211,14102.0223904198,82044530370.7333,78757658788.6032,48309017151.2704,117797730536.505,2112,"pre_whaling","fished"
3.95245813495413e-07,1.71727481947565e-07,22065517584.7418,20839252816.4255,12524175204.8391,16862846351.5333,26633565620.0129,32153632673.6848,128491475764369520,121350715564492624,72930523774075744,187236383536459968,8721.30344797861,8236.62743206469,4950.1278171957,12708.5887029433,50785717865.7144,47963362291.5384,28825484197.7312,74004396726.8073,2112,"pre_whaling","fished"
5.66973295442978e-07,2.46340107936565e-07,13507175205.3109,12656673319.4899,7527628895.74494,10355286926.8286,16273827122.6594,19964392840.3645,54831408975387592,51378857570157288,30557869600687908,81044020836044896,7658.20763828082,7175.99578129644,4267.9645618923,11319.2776002197,31087944640.5572,29130440192.6475,17325496029.2188,45949795569.3618,2112,"pre_whaling","fished"
8.13313403379543e-07,3.53370631712445e-07,8198909100.40914,7636724617.57989,4507990396.31406,6301612539.99257,9882184823.37366,12294236131.9942,23202010480262556,21611090261157508,12757116726051084,34791335296925872,6668.28266445327,6211.05048939624,3666.40901162849,9999.06703046393,18870506108.9502,17576589371.0445,10375534021.7747,28296259318.4616,2112,"pre_whaling","fished"
1.16668403509199e-06,5.06904070160624e-07,4950127998.81388,4580333231.81213,2702789855.23163,3776818602.95862,5986226515.94666,7545388638.37728,9765413793669734,9035897522702382,5331955323174256,14885239796923236,5775.23530787801,5343.80165695651,3153.30177430733,8803.08446295925,11393152369.1416,10542037382.4641,6220707151.37115,17366371629.5862,2112,"pre_whaling","fished"
1.67358810525261e-06,7.27145136821956e-07,2982174704.73543,2749179662.93699,1623005495.65835,2236206615.96634,3620701075.88285,4621526884.97452,4101209722407355,3780785325681326,2232024135857970,6355714493496114,4990.93211363044,4600.99438309373,2716.24269229343,7734.53242279851,6863735808.56731,6327477349.57389,3735489044.40864,10636848176.6967,2112,"pre_whaling","fished"
2.40073324207457e-06,1.04307714443145e-06,1798227190.22424,1648247114.0562,957742583.396043,1324090413.789,2178062936.43746,2833749754.16155,1723963754573883,1580177576371512,918189597489535,2716721164191697,4317.06379237368,3957.00163786819,2299.28445730925,6803.07723453626,4138777093.7372,3793584835.97591,2204328289.22019,6522122808.32252,2112,"pre_whaling","fished"
3.44381038650601e-06,1.49627615470344e-06,1088219435.73254,990335427.490448,573777159.806236,791737020.38128,1327149484.89656,1748404664.77203,727285155425221,661866744569444,383470095411605,1168503995252513,3747.62139557343,3410.52743131648,1975.97974248063,6021.17414435749,2504632172.20501,2279343569.43117,1320598297.49294,4024106195.52438,2112,"pre_whaling","fished"
4.94008654120945e-06,2.14638231034622e-06,662238122.993618,598015191.196508,342612929.162537,472664926.503266,822579556.855598,1079696801.32783,308536890097085,278615411762337,159623440573023,503030982003233,3271.51363847658,2954.24679746866,1692.53752020019,5333.79563682648,1524198938.23523,1376384245.82065,788553610.436337,2485016584.00555,2112,"pre_whaling","fished"
7.08646885155566e-06,3.07894836637309e-06,406456494.670611,363907003.170262,212208103.520117,286265034.895235,507686613.044366,672432863.943364,132011468301888,118191979815151,68922267693008.4,218396927758639,2880.34128899578,2578.81564282903,1503.80611564301,4765.17454509702,935495158.169455,837563783.463765,488415503.185085,1547663025.83705,2112,"pre_whaling","fished"
1.01654172179288e-05,4.4166982727613e-06,250701904.772326,225523637.658538,132099019.333736,173979981.184915,316000363.99063,420373217.196906,56762289223707.4,51061590294584.8,29908997892932.5,95178160525348.8,2548.48945934014,2292.54186930403,1342.84164560667,4273.26914004953,577012352.203727,519062369.155396,304037442.151811,967525711.775167,2112,"pre_whaling","fished"
1.45821154906901e-05,6.33567741689399e-06,155460740.973935,140046790.572575,80961964.9747032,107551900.95641,197968788.2248,263385846.476519,24537351058846.7,22104469870757.9,12778738506922.6,41571852407479.7,2266.94647915017,2042.17847422977,1180.59672361433,3840.72283193377,357806486.975708,322329932.515871,186341040.733274,606205552.96779,2112,"pre_whaling","fished"
2.0917792907584e-05,9.08841986750539e-06,96893560.8023923,87425623.8863039,49943111.2732573,67012613.8441726,124487342.135145,164567199.773592,10661210883183.8,9619452573805.96,5495246918754.63,18107350031437.6,2026.79943894284,1828.75109527004,1044.69965877442,3442.382604245,223009001.39852,201217716.823199,114948437.022549,378765798.062747,2112,"pre_whaling","fished"
3.00062127750894e-05,1.30371813861319e-05,64035309.821294,58690888.3429026,32513509.3325608,44515209.3540189,83014880.5736399,107416865.411982,4911744948905.18,4501808067603.79,2493906341377.32,8239270608464.87,1921.45713161652,1761.09128357615,975.607279097674,3223.17331918508,147382864.03382,135082210.749133,74832684.3205127,247229306.989137,2112,"pre_whaling","fished"
4.30433941612213e-05,1.87016116082627e-05,44543101.1606993,41562271.5997936,23273140.7286044,31499246.5293578,57629974.0666351,72723247.3801422,2381778752212.95,2222389838393.96,1244445730993.68,3888608581092.11,1917.28626042314,1788.98123870565,1001.75496975089,3130.25540166747,102519841.636324,95659201.7938842,53565168.1114103,167378911.894655,2112,"pre_whaling","fished"
6.17450057694841e-05,2.68271389641283e-05,26752258.4075975,25478156.8806281,14501004.8147683,19584946.5374854,33796095.2163859,41995565.2827151,997208775910.436,949715767853.445,540534897670.535,1565413491869.9,1651.81834972384,1573.1489435902,895.364625951184,2593.01642067399,61572661.62197,58640205.5654809,33375330.3752747,96656465.0871351,2112,"pre_whaling","fished"
8.85721447336123e-05,3.84830676668889e-05,15533365.0427483,14939977.9288534,8894048.96471051,11894908.5459024,19318501.5252256,23418459.8985944,403641548984.759,388222115195.558,231115903796.906,608539321794.865,1375.82345676634,1323.26588743137,787.764992170174,2074.2232195766,35751397.6971775,34385665.37589,20470431.2813392,53899632.886109,2112,"pre_whaling","fished"
0.000127055212400501,5.52032961485229e-05,8777191.79535418,8614132.01456755,5293528.34006918,6928433.86431947,10674172.4429963,12516717.6745712,158997603544.169,156043798388.261,95891526582.5268,226738592581.416,1115.18796783866,1094.47037275684,672.570367595563,1590.31422269975,20201474.2894751,19826177.9480015,12183518.2773513,28808320.0398225,2112,"pre_whaling","fished"
0.000182258508549024,7.91881752265693e-05,4804773.74368625,4833289.89820377,2866545.81768837,3879151.10908624,5838998.11185218,6464544.33506739,60675394147.4098,61035500368.2684,36199164957.2268,81635222892.4502,875.710896439767,880.908208231685,522.452365419325,1178.21820895843,11058606.8429311,11124239.265664,6597605.81582427,14878713.9694451,2112,"pre_whaling","fished"
0.000261446683775594,0.00011359407015919,2538537.30253748,2624792.50112322,1449139.57300224,2079557.69153355,3044373.68705881,3448664.95813671,22347445592.7144,23106773949.0702,12757176241.4308,30359550928.1759,663.692159389064,686.243295017711,378.872735689416,901.642016757939,5842665.54107069,6041189.42173668,3335321.42266288,7937403.91108784,2112,"pre_whaling","fished"
0.000375040753934783,0.000162948732413795,1290784.27519487,1350608.99184765,625139.052856739,969509.016363225,1583173.40539311,1898191.26483409,7921413416.81031,8288551692.55256,3836415562.09993,11649009088.4156,484.096707736245,506.533414573641,234.452621697468,711.899083075797,2970852.86006965,3108544.67580234,1438812.18481709,4368853.15111251,2112,"pre_whaling","fished"
0.000537989486348578,0.000233747143297641,629856.80182271,597383.092405218,241994.290880995,405812.926024491,868341.620984509,1043431.8803933,2694607484.55301,2555680826.62957,1035282345.98723,4463934256.79069,338.856337285757,321.385823036408,130.190384250355,561.355381372524,1449670.49652571,1374929.41518935,556971.017543419,2401549.69790464,2112,"pre_whaling","fished"
0.000771736629646219,0.000335306241358541,293508.488788285,248079.642245587,81248.5337117962,152895.865769033,447186.155227632,565603.198902689,875344543.540539,739859900.133256,242311426.660614,1686825740.58588,226.511251910026,191.452146990449,62.7024695704389,436.496706438281,675535.447811183,570976.985739228,187000.603735829,1301785.21184024,2112,"pre_whaling","fished"
0.00110704287100476,0.000480991014084091,129227.923581004,91564.3212440589,24707.4064492921,53367.3296867888,204974.686957483,299518.436823708,268670141.015173,190365970.595972,51367709.0129016,622711086.181214,143.060851535098,101.365629071625,27.3521581707058,331.579750220176,297429.364262691,210743.290630172,56866.2560625797,689367.868652543,2112,"pre_whaling","fished"
0.00158803388508885,0.000689973305275457,52533.5481704347,29153.1666571902,7489.87329500016,16234.5503702567,82956.4823439523,147801.29906422,76138522.7062687,42252600.8387403,10855308.803592,214213068.729107,83.4250545985977,46.2962165092605,11.8941725874823,234.713471174133,120910.554018162,67098.5618650532,17238.5982132074,340177.611770688,2112,"pre_whaling","fished"
0.00227800719036431,0.000989754793858809,18675.090087126,8074.5709577706,2589.98072412189,4803.63895450283,27324.9352298638,63167.2396663132,18868400.7422853,8158152.91612768,2616790.27996843,63821099.9918876,42.5419894991742,18.3939307009082,5.89999471245463,143.895426155327,42982.3525616012,18584.3310030304,5961.06707344352,145384.924678479,2112,"pre_whaling","fished"
0.00326776198422312,0.00141978616343049,4856.85514428804,2156.85589503758,972.737130315534,1588.99408904197,5906.83020864033,17452.6892183605,3420835.66482498,1519141.3683214,685129.32114031,12292477.3236213,15.8710466033829,7.04809169925132,3.17867341508739,57.0312343502191,11178.4767397897,4964.19241206135,2238.83954989889,40168.8900900543,2112,"pre_whaling","fished"
0.0046875481476536,0.00203665873848369,683.193285207909,678.332603843603,288.713954356899,488.744597280204,878.186798090164,1104.1487952016,335448.090688258,333061.494803312,141758.630889655,542137.36171807,3.20250141856571,3.17971674064013,1.35336056194743,5.17575063968121,1572.42907613968,1561.24179302,664.500407640713,2541.29498569535,2112,"pre_whaling","fished"
0.00672420688613729,0.00292155179694075,450.228698494352,444.141087224634,198.208336503074,325.114959547915,565.149777794249,727.436665679871,154106.012758631,152022.321729743,67843.512721775,248989.823299245,3.02743091475235,2.98649655713239,1.33279386120379,4.89143463659334,1036.24071218675,1022.22954262171,456.193815423502,1674.25908440689,2112,"pre_whaling","fished"
0.00964575868307804,0.00419091561140109,311.87568993758,304.868368920324,139.726987314246,227.819558320291,379.562951769685,522.063531888017,74417.0770437715,72745.0507690852,33340.4440151761,124570.28017166,3.00827764425637,2.94068671670906,1.34777280114672,5.03569884582723,717.809167064246,701.681205106857,321.593877357062,1201.57486161925,2112,"pre_whaling","fished"
