"w","n_unfished","n_density_unfished","biomass_unfished","biomass_density_unfished","n_mean","n_median","n_q05","n_q95","n_density_mean","biomass_mean","biomass_median","biomass_q05","biomass_q95","biomass_density_mean","period","n_ratio","n_ratio_median","biomass_ratio","biomass_ratio_median","n_diff","biomass_diff","log_n_ratio","log_biomass_ratio","period_label"
3.16227766016838e-08,574585959789.093,41819851495736262656,18170.0034448745,1322459821365.26,460598701313.348,479651874691.174,250354962551.645,594928764310.381,33523564159353184256,14565.4098346577,15167.9240799378,7916.91905189358,18813.299407703,1060108180303.44,"pre_whaling",0.801618441011707,0.834778272109599,0.801618441011707,0.834778272109599,-113987258475.745,-3604.59361021687,-0.0960323005368299,-0.0960323005368299,"Pre-Whaling (1841-1860)"
4.53623270600988e-08,397451507631.694,20165839199547478016,18029.3252797183,914769393211.234,313127655255.406,312629611535.958,179110021783.816,413447537192.486,15887427330287798272,14204.1991092576,14181.6066871658,8124.84738789887,18754.9424043179,720690674700.068,"pre_whaling",0.787838640042529,0.786585546998761,0.787838640042529,0.786585546998761,-84323852376.2875,-3825.12617046065,-0.103562722757998,-0.103562722757998,"Pre-Whaling (1841-1860)"
6.50714749759769e-08,270367482809.824,9562936749308919808,17593.2108919773,622274399379.505,209482768608.148,203260507497.962,125256768627.183,282152910388.692,7409435651989771264,13631.3527353835,13226.461027258,8150.64268529547,18360.1060477569,482142906614.564,"pre_whaling",0.774807556112428,0.751793467859206,0.774807556112428,0.751793467859206,-60884714201.6753,-3961.85815659382,-0.11080615258647,-0.11080615258647,"Pre-Whaling (1841-1860)"
9.33439073780173e-08,180912579630.368,4460774468771752448,16887.0870765353,416386118847.255,137848046105.197,132847330823.014,84649195171.9331,189006789920.581,3398929172821971968,12867.2752478842,12400.4889437602,7901.48663375262,17642.6322921631,317269329892.335,"pre_whaling",0.761959430277551,0.734317818553254,0.761959430277552,0.734317818553254,-43064533525.1707,-4019.81182865105,-0.118068151594312,-0.118068151594312,"Pre-Whaling (1841-1860)"
1.33900223528244e-07,119176754533.391,2048508305051332352,15957.7940713917,274295719945.838,89217637494.4116,86189254705.8011,55145370383.768,124434390159.792,1533546303387165440,11946.2616031636,11540.7604708395,7383.97742093436,16661.7926569969,205342192814.454,"pre_whaling",0.748616102558948,0.72320525125269,0.748616102558948,0.723205251252689,-29959117038.9794,-4011.53246822817,-0.125740835547427,-0.125740835547427,"Pre-Whaling (1841-1860)"
1.92077558830971e-07,77400936192.0662,927464003294214656,14866.9828750038,178145021656.352,56819718528.2844,54686744093.048,34596461002.9294,80422808728.9638,680847625428267776,10913.7928283757,10504.0963058067,6645.20377363355,15447.4167749894,130775549828.125,"pre_whaling",0.734096011284533,0.706538535365332,0.734096011284533,0.706538535365332,-20581217663.7818,-3953.19004662805,-0.134247135664039,-0.134247135664039,"Pre-Whaling (1841-1860)"
2.75531941876727e-07,49659697648.6006,414819911653823168,13682.8329261301,114296135787.11,35646931927.0856,34218842973.2964,20989433885.1629,51181080111.318,297767764462822272,9821.86837581739,9428.38425320716,5783.25947727211,14102.0223904198,82044530370.7333,"pre_whaling",0.717824183693758,0.68906667969334,0.717824183693758,0.68906667969334,-14012765721.5151,-3860.96455031268,-0.143981914256015,-0.143981914256015,"Pre-Whaling (1841-1860)"
3.95245813495413e-07,31547501449.4223,183706772449240064,12469.0178741247,72609332721.3167,22065517584.7418,20839252816.4255,12524175204.8391,32153632673.6848,128491475764369520,8721.30344797861,8236.62743206469,4950.1278171957,12708.5887029433,50785717865.7144,"pre_whaling",0.699437881637559,0.660567457294058,0.699437881637559,0.660567457294058,-9481983864.68056,-3747.71442614605,-0.155250849949803,-0.155250849949803,"Pre-Whaling (1841-1860)"
5.66973295442978e-07,19896647478.3901,80769013397987296,11280.86778909,45793873695.9349,13507175205.3109,12656673319.4899,7527628895.74494,19964392840.3645,54831408975387592,7658.20763828082,7175.99578129644,4267.9645618923,11319.2776002197,31087944640.5572,"pre_whaling",0.678866890514153,0.636120900932506,0.678866890514153,0.636120900932506,-6389472273.07914,-3622.66015080922,-0.168215372085142,-0.168215372085142,"Pre-Whaling (1841-1860)"
8.13313403379543e-07,12490852178.3372,35347737070865740,10158.9774962742,28748788338.8711,8198909100.40914,7636724617.57989,4507990396.31406,12294236131.9942,23202010480262556,6668.28266445327,6211.05048939624,3666.40901162849,9999.06703046393,18870506108.9502,"pre_whaling",0.656393093389452,0.61138539697269,0.656393093389452,0.61138539697269,-4291943077.92808,-3490.69483182096,-0.182835997269508,-0.182835997269508,"Pre-Whaling (1841-1860)"
