"year","median","q05","q25","q75","q95"
1841,0,0,0,0,0
1842,0,0,0,0,0
1843,0,0,0,0,0
1844,0,0,0,0,0
1845,0,0,0,0,0
1846,0,0,0,0,0
1847,0,0,0,0,0
1848,0,0,0,0,0
1849,0,0,0,0,0
1850,0,0,0,0,0
1851,0,0,0,0,0
1852,0,0,0,0,0
1853,0,0,0,0,0
1854,0,0,0,0,0
1855,0,0,0,0,0
1856,0,0,0,0,0
1857,0,0,0,0,0
1858,0,0,0,0,0
1859,0,0,0,0,0
1860,0,0,0,0,0
1861,0,0,0,0,0
1862,0,0,0,0,0
1863,0,0,0,0,0
1864,0,0,0,0,0
1865,0,0,0,0,0
1866,0,0,0,0,0
1867,0,0,0,0,0
1868,0,0,0,0,0
1869,0,0,0,0,0
1870,0,0,0,0,0
1871,0,0,0,0,0
1872,0,0,0,0,0
1873,0,0,0,0,0
1874,0,0,0,0,0
1875,0,0,0,0,0
1876,0,0,0,0,0
1877,0,0,0,0,0
1878,0,0,0,0,0
1879,0,0,0,0,0
1880,0,0,0,0,0
1881,0,0,0,0,0
1882,0,0,0,0,0
1883,0,0,0,0,0
1884,0,0,0,0,0
1885,0,0,0,0,0
1886,0,0,0,0,0
1887,0,0,0,0,0
1888,0,0,0,0,0
1889,0,0,0,0,0
1890,0,0,0,0,0
1891,0,0,0,0,0
1892,0,0,0,0,0
1893,0,0,0,0,0
1894,0,0,0,0,0
1895,0,0,0,0,0
1896,0,0,0,0,0
1897,0,0,0,0,0
1898,0,0,0,0,0
1899,0,0,0,0,0
1900,0,0,0,0,0
1901,0,0,0,0,0
1902,0,0,0,0,0
1903,0,0,0,0,0
1904,0,0,0,0,0
1905,0,0,0,0,0
1906,0,0,0,0,0
1907,0,0,0,0,0
1908,0,0,0,0,0
1909,0,0,0,0,0
1910,0,0,0,0,0
1911,0,0,0,0,0
1912,0,0,0,0,0
1913,0,0,0,0,0
1914,0,0,0,0,0
1915,0,0,0,0,0
1916,0,0,0,0,0
1917,0,0,0,0,0
1918,0,0,0,0,0
1919,0,0,0,0,0
1920,0,0,0,0,0
1921,0,0,0,0,0
1922,0,0,0,0,0
1923,0,0,0,0,0
1924,0,0,0,0,0
1925,0,0,0,0,0
1926,0,0,0,0,0
1927,0,0,0,0,0
1928,0,0,0,0,0
1929,0,0,0,0,0
1930,0.000724926180980784,9.12431915242529e-06,0.000168660867258664,0.00308379063975964,0.0207798831100145
1931,0.00334709602610344,4.28138283288266e-05,0.000788097674779435,0.0136830043234181,0.0910194178828581
1932,0.0023141343020785,4.90650770596743e-05,0.000635622693440307,0.00769264138109626,0.0457266961749764
1933,0.00478300121136953,0.000206168921136978,0.00152986868187055,0.0131233060662457,0.0808595679485391
1934,0.00296363054221911,0.000226173325995847,0.00111465805425574,0.00846536821657913,0.0451919238942701
1935,0.00197383117685856,0.000144057090124305,0.000767210117150052,0.00542998786006116,0.0284568278633844
1936,0.00159431424116271,0.000125545541100897,0.000620143138454366,0.00440419704184735,0.0226668230330812
1937,0.0015143391541184,0.000112428594942545,0.000556667381130432,0.00417578568938433,0.0209120319389189
1938,0.000676499254430339,5.49929903544665e-05,0.000257102754977036,0.00192484646836183,0.0100239080489804
1939,0.0015683522375184,0.000195376259837002,0.000696165886724282,0.00529939303803868,0.0306069921252967
1940,0.000737720828275147,9.96890800733553e-05,0.000326511253850729,0.00254716513794703,0.0154342548935999
1941,0,0,0,0,0
1942,0,0,0,0,0
1943,0,0,0,0,0
1944,0,0,0,0,0
1945,0,0,0,0,0
1946,6.1844940102304e-05,4.69426863626046e-06,2.37411077415093e-05,0.000179566245182094,0.000914942680000689
1947,0.00100304980367772,0.000112494149226251,0.000411442288891104,0.00328995568874223,0.0187766880340309
1948,0.00154952073100011,0.000148472902743052,0.000631624473072807,0.00503486501085136,0.0263095084000979
1949,9.45039569907506e-05,1.27032086563545e-05,4.45433753486849e-05,0.000380846777007003,0.00235044057213779
1950,0.000414793980977321,3.12584070662141e-05,0.000155018732429644,0.00121804721468931,0.00603154669857144
1951,0.000531056266550982,4.74027408802484e-05,0.000218638993723928,0.00176309763165836,0.00861403981504565
1952,0.000730933639584957,4.03675459899084e-05,0.00025717339699695,0.00166810948405874,0.00997401675183916
1953,0.000571380638660014,2.95261659284151e-05,0.000190751339059363,0.00130856833725088,0.00820046190332154
1954,0.000479646560684019,2.58607173727704e-05,0.00017111409645469,0.00127127237676459,0.00701428897253361
1955,0.000310331820195844,1.76613459115949e-05,0.000115689592881582,0.000801038890588696,0.0045063403695056
1956,0.0005077885452551,2.8269864931888e-05,0.000183082982085529,0.00123060723706931,0.00722200992603454
1957,8.79011769686138e-05,6.53287770232162e-06,3.77334770139399e-05,0.000285724097915082,0.00144772154747674
1958,0.000379649647691479,2.12880626555806e-05,0.000137130440357056,0.000934887048179082,0.00545609907122033
1959,0.000476391213366764,2.68532385748849e-05,0.000180787462895184,0.00110446258087064,0.00657649654508739
1960,0.00028885726601103,1.47580320433855e-05,0.00010225734300768,0.00065732471867359,0.00426789866560582
1961,4.57026034134461e-05,2.56311471517345e-06,1.5719021647342e-05,0.00010412072668466,0.000643743638335798
1962,0.000103510149441898,6.19502034288326e-06,3.57235459075275e-05,0.0002355242956398,0.00145467035615932
1963,9.35045775512873e-05,7.26030351400434e-06,4.14751777595188e-05,0.000305099283131169,0.00143432456426418
1964,0.000108544572844808,1.48748338191849e-05,4.98749306219979e-05,0.00047770821522159,0.00724339982879612
1965,3.23056348350299e-05,5.27479720674969e-06,1.58463960142766e-05,0.000122307105400334,0.00507158013152666
1966,2.60011866231924e-05,2.30783662954729e-06,1.13953302394384e-05,7.41823240367332e-05,0.000390648855229797
1967,0.000237229578121719,2.27483121386817e-05,9.70377395778672e-05,0.000959369120413633,0.00743360753351278
1968,3.13724586987418e-05,3.06990265750772e-06,1.36153642930776e-05,9.39637661375097e-05,0.000536524741603776
1969,1.71219038481906e-05,1.62832658780615e-06,7.02416529377845e-06,4.97377127082167e-05,0.000276357617333912
1970,3.75010972361376e-05,7.06692858897029e-06,1.79266878486652e-05,0.000154496756869211,0.00466828097541653
1971,5.75315806959057e-06,3.61963141207246e-07,2.51195010507056e-06,1.24887017321249e-05,0.000106683991464857
1972,0.000330180161082823,3.81807441807668e-05,0.000143023869150618,0.000849016012535884,0.161895278292656
1973,0.00038943298242817,6.40141540676789e-05,0.000186463861011482,0.000862693387387829,0.189424060826312
1974,0.000269944419981977,5.19680990632362e-05,0.000150977018863193,0.0010630520236425,0.0600341985228653
1975,0.00185208465124852,8.98040553779804e-05,0.000595561283077173,0.00657791532052573,0.0674841395944583
1976,0.00314523996230557,9.88574626557894e-05,0.00100023734145264,0.0110871861695604,0.0803394371027996
1977,0.00589293650409937,0.000191349234275095,0.00188229513196673,0.0208801695862334,0.128489021633746
1978,0.010761396036318,0.000326506085227433,0.00348984201596625,0.0358066347102617,0.187347010495356
1979,0.0154874822720361,0.000317253200754402,0.0050861554684424,0.0492990143413686,0.22083203609894
1980,0.000608567946864562,9.25890616698026e-05,0.000299093783520084,0.00160319618977103,0.0221403826586462
1981,0.000490117681400587,3.38908747586586e-05,0.000168496886563104,0.0014892669225409,0.0129584199543867
1982,0.00143275212521652,3.8930565282011e-05,0.000483415725529547,0.0042968087307398,0.0204542287812856
1983,0.00115441471855614,3.19087364297492e-05,0.00038634520982976,0.00357026632334121,0.0182072616579687
1984,0.00186169635759604,4.57826022787813e-05,0.000627378592866697,0.00574247506038626,0.0311354213126576
1985,0.00011470060036059,1.0861535984812e-05,4.59588832953917e-05,0.000350448498156476,0.00292975992355684
1986,0.000110545266770843,8.22613602835364e-06,4.16489202878268e-05,0.000351248456744063,0.00259636534179595
1987,0.000427717634739037,1.80400477857774e-05,0.000141077113529459,0.00139977622509109,0.00844468359071054
1988,2.8536243341709e-05,9.58225973480181e-07,1.00041206625764e-05,8.58277385399817e-05,0.000520621443718737
1989,7.28362509495153e-05,4.20253731638404e-06,2.94210095017284e-05,0.000213218009357911,0.0013896103001887
1990,8.26524034344643e-05,4.13539947653288e-06,3.03246705270098e-05,0.000257338315488849,0.00154166866405129
1991,0.000275296632105395,1.29146388200549e-05,0.000101836996095306,0.000720247090293056,0.00544824903511535
1992,0.000102854145186125,1.50815877973864e-05,4.46368075370515e-05,0.000340102323860818,0.00345425232871715
1993,1.34927006731171e-05,3.08340320385794e-07,4.10157466930242e-06,4.44990858419107e-05,0.000289326785128543
1994,8.94779586407688e-05,1.23976319431542e-05,3.83088574858433e-05,0.000286483188674673,0.00285230880331412
1995,1.43244254618692e-05,3.45436471524298e-06,9.81069789785883e-06,2.4904118898515e-05,0.000767924671333586
1996,3.17788129657214e-05,5.71771719254893e-06,2.13131933665633e-05,4.14160066695374e-05,0.00187292206549647
1997,4.0770695115526e-06,1.09473040410845e-06,2.90165586432097e-06,6.52034427107598e-06,0.000222021031433992
1998,2.21408194229148e-05,4.07165416875898e-06,1.50721055653217e-05,2.85371606679333e-05,0.0011033466892798
1999,2.61112675946085e-06,6.6730036212159e-07,1.81550501251115e-06,3.50014930059886e-06,0.000121606738092313
2000,9.14570526216291e-06,2.28504892306767e-06,6.35402529968295e-06,1.33515134695686e-05,0.000432732495271709
2001,1.23797846920031e-05,3.23428081458414e-06,8.68247771716008e-06,1.78979935791425e-05,0.000520765823770559
2002,1.51785241187214e-05,2.60286670900627e-06,1.01249982986469e-05,1.96553429798832e-05,0.000594871207941942
2003,3.07860531712781e-05,6.53828791002714e-06,1.66882357288996e-05,7.34022457752614e-05,0.00108751931630725
2004,2.8872185520482e-05,8.61337703210058e-06,1.90834702532548e-05,6.08746100571606e-05,0.00108847502810654
2005,1.54308689976099e-05,6.79974439219058e-07,5.69845040579729e-06,3.6882128707989e-05,0.000263336180707822
2006,0.000191021073273392,5.43845504422738e-05,0.000126038026505053,0.000380417318998061,0.00498920104623745
2007,2.50112935314701e-05,2.80848355836118e-06,1.04813136491142e-05,6.19906002853586e-05,0.000570992407754292
2008,7.59124877579238e-05,1.55231778440648e-05,3.96290481614874e-05,0.000170179055675234,0.00269965768711676
2009,2.57242019371412e-05,1.04646861366447e-06,9.13843314850104e-06,6.20531415584021e-05,0.000427783065354254
2010,7.52396988763574e-05,1.72297917293116e-05,4.33458345294121e-05,0.000147168648901681,0.00218327568454196
