"year","median","q05","q25","q75","q95"
1841,1.78792930688192,0.913054430378991,1.29082356634689,2.33748552833078,3.52313876752651
1842,1.80070477495641,0.917525096456012,1.30246576854773,2.34923981318684,3.53031578693376
1843,1.826982942847,0.934881682564633,1.32717941079342,2.36982757879803,3.54161313687692
1844,1.8380950663188,0.947270665918974,1.34192306963224,2.38176429139429,3.5500085124763
1845,1.81952204486016,0.936555258051657,1.32500649597472,2.36077461470014,3.52959823954417
1846,1.80033288972559,0.928221427360401,1.30901261716899,2.34781673441668,3.51806555425552
1847,1.78246203161502,0.91372989089248,1.29070303756048,2.33800479002325,3.50124675391639
1848,1.78232730200936,0.911198967368552,1.2911907440298,2.3400143395862,3.50131328286351
1849,1.79582777082627,0.913806016363744,1.29799693447295,2.35219220210022,3.50521365196172
1850,1.80052318924363,0.916870218192527,1.30393486465837,2.3481992193578,3.50022010899308
1851,1.80122286362936,0.919610148090355,1.30700502773304,2.34587749128944,3.49755999701436
1852,1.81363934894328,0.928107215745221,1.31824025238448,2.35399615391506,3.50036483847997
1853,1.82626886427182,0.938035604837878,1.33009714684543,2.36074609847773,3.50086963081109
1854,1.82030358081461,0.941024790761717,1.32941149798262,2.36071400199918,3.4973204072006
1855,1.81100166940066,0.936582032150021,1.32143215926486,2.35460445646137,3.4896728518583
1856,1.80693720244268,0.933119454119396,1.31720543196784,2.3541203094046,3.48801235568543
1857,1.79181859892347,0.923670096448068,1.30382787137496,2.34248082358696,3.47857654125709
1858,1.7767703824856,0.909374482441429,1.28837375269592,2.32557940842809,3.45863819634235
1859,1.76207025964149,0.89545417003816,1.27052462902636,2.31262739997262,3.44407620800758
1860,1.77708311626662,0.900034937192649,1.279130399386,2.3290368803817,3.45876814623824
1861,1.78882618319168,0.901938524250514,1.28566080533198,2.3436686835715,3.46724972748787
1862,1.8064484408232,0.915768890270473,1.30509809112607,2.35439440302063,3.4741538166319
1863,1.82982185201856,0.929172501867605,1.32398453798309,2.36913898138125,3.48960864334755
1864,1.83812174659583,0.941538288203552,1.33534765128576,2.37256830795086,3.48929599402682
1865,1.8165833093536,0.931245252068455,1.31973951334193,2.35132366319616,3.4586714849658
1866,1.79818251381386,0.922928955193309,1.30614120190768,2.33564990205148,3.44155576091375
1867,1.77847953672004,0.908119284461415,1.2859343135011,2.324390797399,3.43105559538195
1868,1.78065809955091,0.905520636929894,1.28564362299914,2.32846826482236,3.42833753937544
1869,1.79092648700466,0.908491965501383,1.29400674956977,2.34029065181843,3.43558310079091
1870,1.79503099276953,0.91220451554032,1.29716104475869,2.33793922797467,3.42899069075538
1871,1.79740851460248,0.913873146237897,1.30073711261587,2.33592715862349,3.42561411230569
1872,1.80810632793507,0.921841038570273,1.3099747714604,2.34696424406656,3.43260330797433
1873,1.81827288182835,0.933209987536527,1.32316443175094,2.35008122086753,3.43557337655243
1874,1.81511586737184,0.936493299621078,1.32474013563402,2.34593693205266,3.42998858322411
1875,1.80930701786235,0.93425459258805,1.31650813218268,2.34387117323374,3.42306649075572
1876,1.8032574712174,0.930215620478693,1.31144660101574,2.34185397736967,3.41669850432199
1877,1.78862119857765,0.920591575962357,1.29737039829608,2.32902718282121,3.39971926871031
1878,1.7711464088068,0.906745008002865,1.28057967950006,2.31196342225381,3.39079334534934
1879,1.75414326479194,0.892983215877664,1.26668334585278,2.29922231953959,3.38496845436587
1880,1.76559513086757,0.894805197199529,1.27197293342441,2.3224725021962,3.39429819659694
1881,1.78053079813243,0.898193285734317,1.27874006595933,2.33338529660727,3.3975890409146
1882,1.79990430224502,0.911276282205486,1.29719611456695,2.34818396285113,3.40386557474393
1883,1.82257605387242,0.925346118296109,1.31630102111427,2.36294107081461,3.42141652935237
1884,1.82873415561249,0.936571027856942,1.32990446735351,2.36792749615293,3.41472712734654
1885,1.80498725162561,0.927508093613073,1.3144790136354,2.34594212659882,3.39387574333492
1886,1.78838230390073,0.920665606098214,1.30176469935906,2.33028417118535,3.38912420904487
1887,1.76886002912903,0.907280381065249,1.28196357343045,2.3185028045571,3.37720643612534
1888,1.76751255750567,0.904473024114091,1.27949936151631,2.31977185554724,3.3732932412455
1889,1.78012124781946,0.90694530764611,1.28510692954326,2.33342606118687,3.38576678045961
1890,1.78293224296269,0.908773997802051,1.29106969219041,2.33041359074877,3.38148966340001
1891,1.78664754480594,0.911039431507905,1.29467284188905,2.33132099725563,3.378081843936
1892,1.79913172150944,0.919060318618073,1.30396835986909,2.34228275569144,3.38410251838635
1893,1.80819837128934,0.929156872746405,1.3176290683728,2.34699238285396,3.38595969771658
1894,1.80312368579542,0.93250575250459,1.31835760462757,2.34382105398621,3.38299316831424
1895,1.79669842025494,0.929959891180132,1.31177928935256,2.33548683384804,3.38440561092307
1896,1.79186213284547,0.927155932194388,1.30683379453629,2.33140817127797,3.37459961835524
1897,1.77945696686682,0.91823731832849,1.29435794978826,2.31853677425886,3.35383954101964
1898,1.76128504522601,0.904650966375556,1.27863398365098,2.30381484752355,3.32829417543843
1899,1.74395675700931,0.890323874450796,1.26184098072567,2.29071720387398,3.31255826548374
1900,1.7554620803501,0.892072830405195,1.26489805707623,2.31107122504323,3.33940492065651
1901,1.76728247810589,0.892711925468895,1.27204352958688,2.32423316695045,3.35291438750103
1902,1.78193561166281,0.904441816565301,1.29169785846343,2.33621710798849,3.37452229432393
1903,1.80370267905821,0.919476669308169,1.31112077245468,2.35438017488668,3.39234153512372
1904,1.81490180201255,0.931621334770815,1.32367652338018,2.35908549025966,3.38273493274473
1905,1.79126862516951,0.924056209246396,1.30835180179899,2.33427586283385,3.33836421015167
1906,1.7745844234933,0.914462045310327,1.29347907759548,2.31999267004455,3.32198374092239
1907,1.76204197790075,0.903793608564379,1.27757677276478,2.30728610666468,3.31552613555109
1908,1.76085497166353,0.901348348288735,1.27299825540151,2.30933817780964,3.32559092939894
1909,1.7681284677334,0.903567046564306,1.2793641363884,2.32172838526521,3.33484297131072
1910,1.76841600264792,0.906056729771263,1.28589801585603,2.31957163645481,3.33089874715181
1911,1.76911390862976,0.907768115802676,1.28853981369562,2.31863277812585,3.3273072098609
1912,1.78248658594297,0.914879558973292,1.29968615607605,2.33182956825755,3.33723236307716
1913,1.79466850069882,0.923421372192535,1.31158658638177,2.33803912689857,3.34122338753526
1914,1.79198117769008,0.926762772764009,1.31066775261056,2.3308384016204,3.32379567622557
1915,1.78394380977528,0.923210263030658,1.30358700863364,2.3255351863556,3.31003809419302
1916,1.77931653034536,0.920958495821024,1.29915773688418,2.32355575105651,3.33213039404826
1917,1.76598530361517,0.91294405837311,1.28637510416512,2.31417838189868,3.32772435540511
1918,1.74799740271514,0.900167698706095,1.26995704791061,2.2958903678923,3.31108069646759
1919,1.73392043575812,0.886517248413338,1.25386924112818,2.28335373419528,3.29436788003357
1920,1.74333511837416,0.888057435721603,1.26002811295397,2.30169780806857,3.31084479631333
1921,1.75095052742781,0.888945908071008,1.26736411356079,2.31809265272029,3.31947317515858
1922,1.77088544453552,0.89992829716838,1.28822255117227,2.32725264556825,3.33818888311012
1923,1.79228899155041,0.913304430712886,1.30945745194757,2.34547406144931,3.35809591221924
1924,1.80032490868017,0.92484722773717,1.31957703602026,2.35068402356802,3.36698828666544
1925,1.77902329804668,0.91764761797314,1.30318042665551,2.32414533186283,3.33956221626307
1926,1.7637433443769,0.909334708371432,1.28962640011388,2.30749963290021,3.32115210431543
1927,1.74523260895231,0.896138714272978,1.27108366966677,2.29920371508601,3.31100221350304
1928,1.74414217161216,0.894749288521341,1.2680916313784,2.29990335332578,3.30418039729183
1929,1.75347762156063,0.897958349098367,1.2757835046843,2.31002483792009,3.30645841561651
1930,1.75522031263254,0.899746184150505,1.28172873711488,2.31010611354394,3.30356498816842
1931,1.75163856631596,0.900703522193694,1.28292082487827,2.30609347067679,3.28291360307295
1932,1.7541236872259,0.89680586177629,1.28078894345973,2.30112794369249,3.27383959417845
1933,1.75439592318136,0.901925226312531,1.28578977972464,2.29958330645454,3.260379317802
1934,1.7358801382332,0.903842717151973,1.27332352605631,2.28498578152968,3.21331896367853
1935,1.71542586224969,0.899384112607885,1.26007661516726,2.27110518490079,3.18897830415358
1936,1.7066903719915,0.893848028657818,1.25098852962102,2.25904196080775,3.16897493443277
1937,1.68822193965094,0.885579302741172,1.23612097104349,2.24519251198934,3.14611158566405
1938,1.66202484267755,0.873374717044964,1.21502069587606,2.22248906751419,3.09505022914884
1939,1.64096207470416,0.860991337803274,1.1984050363754,2.20575145685685,3.0664295981909
1940,1.65004941038226,0.859941773625574,1.20167941322061,2.21622002256576,3.08316774777597
1941,1.65548967286982,0.858307177936331,1.20368252298297,2.21873782703979,3.08522736871409
1942,1.66826686802139,0.869958694997257,1.21966934771843,2.23342762669008,3.09507555381524
1943,1.69086854140569,0.883506833604744,1.23746268262348,2.25227911470804,3.10583908390005
1944,1.6993127847603,0.893976915273875,1.24827549265709,2.25399932858228,3.10387823392152
1945,1.67622455992591,0.888754328695462,1.23256658978966,2.22026983032699,3.06023780312192
1946,1.65694601687527,0.881321909303578,1.21879290537993,2.20732802010433,3.05196951259992
1947,1.63935372191272,0.869830029429281,1.19880500143889,2.19625328454328,3.04727785398545
1948,1.63689258472807,0.867888709912668,1.19176548164496,2.19115831310575,3.04181407235295
1949,1.64502553730068,0.868442342070754,1.19219565588645,2.20145558851909,3.04424154814316
1950,1.64778180348555,0.869615133489761,1.19624672656626,2.20303851308516,3.04845798528708
1951,1.64937139341968,0.871853153845662,1.20041124189898,2.20342011138832,3.04379339647629
1952,1.65671237652245,0.877813111747477,1.21042105983655,2.21330368768724,3.04832662737056
1953,1.66614128008816,0.886165930651296,1.21835327631377,2.21876145716442,3.04944046194532
1954,1.6576082347927,0.889345642319341,1.21803480617644,2.2131091298461,3.0367731229941
1955,1.64555499417087,0.885620324154755,1.21059287220222,2.20576030139569,3.02785246792018
1956,1.64035748612783,0.882570092421749,1.20400894842991,2.20089246006623,3.02486071436592
1957,1.62537647044505,0.874871940923958,1.18979691919723,2.18596380775974,3.00451492280845
1958,1.60447438674134,0.862266175518902,1.17438419671229,2.16906312806025,2.98301077481234
1959,1.58736974147722,0.845283930843746,1.15743848133723,2.15285974459393,2.9751380085267
1960,1.59479787832448,0.844872943574499,1.16205228629722,2.1699481168318,3.00508089599412
1961,1.60483030434525,0.845272202980301,1.16576016729471,2.18322706472484,3.02402365528094
1962,1.62035204338059,0.858465285831918,1.18580203169948,2.19400057635031,3.03839080825852
1963,1.64123157092734,0.874758823383629,1.2031270238944,2.21209495964399,3.04848701885884
1964,1.65481610634933,0.885126762453737,1.2129253595336,2.21739281788726,3.04096981695252
1965,1.63265550275219,0.880054521409108,1.1989266357448,2.19115085246926,2.997472383374
1966,1.61593198307829,0.870734644027385,1.18667440527249,2.17195120916363,2.9767376569351
1967,1.59776468299125,0.861416177251974,1.16935068573503,2.16316993112759,2.97099324449347
1968,1.59334257948637,0.856509713438115,1.16671588491973,2.16081338078642,2.97981163362801
1969,1.60051692484443,0.856648236297411,1.17230364925166,2.17372066666876,2.98821188238881
1970,1.60855916214265,0.858744817054172,1.17724799491545,2.1728035342728,2.98370744494369
1971,1.6098195167333,0.862704727004789,1.17947868669408,2.1719762613826,2.97766601646662
1972,1.62652373808224,0.870880563481642,1.18910981259554,2.18507515041111,2.98669421844124
1973,1.62976546537958,0.880807256500824,1.19486183318846,2.18034891182196,2.87631765854482
1974,1.62141035216028,0.880721004146057,1.18892317598451,2.15886732419815,2.7417682401363
1975,1.60517221177673,0.876081683612794,1.18293068373443,2.14905159846679,2.73094590057457
1976,1.59633411531465,0.871796205296871,1.17379535574752,2.13937726122262,2.71879802561356
1977,1.57954229782427,0.861672247148424,1.15654923402401,2.11239510271775,2.69400057762125
1978,1.54621354491282,0.845122156710502,1.13186975276039,2.07856543396152,2.64588666939372
1979,1.48178946560443,0.816773375568985,1.10223288341956,2.02308406276213,2.60476286950909
1980,1.46431617105363,0.801740930860159,1.08176376891202,2.0015408553362,2.59875214796233
1981,1.48520575072964,0.802896634975315,1.08887770527981,2.03121016983446,2.63804241299101
1982,1.50205036086329,0.80674625773143,1.096331158044,2.04868141222417,2.65215297720022
1983,1.52730837080491,0.808753911667422,1.09969153897718,2.07079370150193,2.67752932651135
1984,1.56175584351028,0.815595071010125,1.11339362790437,2.10521238647329,2.71191927751752
1985,1.56933030284925,0.817448485612216,1.11461291805799,2.10892545594009,2.71127286432276
1986,1.56568026980478,0.816491609260065,1.11811201001044,2.10288411098379,2.71420166295016
1987,1.55751181700711,0.807178663172114,1.10913946979078,2.1091354001344,2.71868877076545
1988,1.55001761182171,0.801269112965234,1.10246656797756,2.10052035532788,2.71098053743361
