"w","n_mean","n_median","n_q05","n_q95"
3.16227766016838e-08,8.86037542344768e+24,9.11135081081342e+24,4.84882096562385e+24,1.17909760166895e+25
4.53623270600988e-08,6.02289307287186e+24,5.97547762517067e+24,3.46402071363449e+24,8.17137477243506e+24
6.50714749759769e-08,4.02992741743352e+24,3.90709581027948e+24,2.39431984511937e+24,5.57518252357324e+24
9.33439073780173e-08,2.65291636452761e+24,2.56247704924444e+24,1.60246874175207e+24,3.73562743071009e+24
1.33900223528244e-07,1.71810281213374e+24,1.64907612919886e+24,1.03221631344099e+24,2.45568777190884e+24
1.92077558830971e-07,1.09512182242497e+24,1.05033396835168e+24,6.25888945181247e+23,1.58902481291378e+24
2.75531941876727e-07,6.87740230616089e+23,6.54927785937753e+23,3.72458875208615e+23,1.01317233682329e+24
3.95245813495413e-07,4.26195662200759e+23,4.01210568189365e+23,2.24160171675218e+23,6.36556434750049e+23
5.66973295442978e-07,2.61207176377448e+23,2.46279990379268e+23,1.34266139541742e+23,3.96270569681234e+23
8.13313403379543e-07,1.58749825581854e+23,1.48997424804099e+23,7.91261981884499e+22,2.44581003685108e+23
1.16668403509199e-06,9.59615441858962e+22,8.90702833527463e+22,4.69380140525598e+22,1.499851955739e+23
1.67358810525261e-06,5.78764053041958e+22,5.34238253083311e+22,2.75601175719852e+22,9.18065910803083e+22
2.40073324207457e-06,3.49333829697372e+22,3.21311456159949e+22,1.67746289952344e+22,5.63754667856958e+22
3.44381038650601e-06,2.11570337862794e+22,1.92786589531836e+22,1.02240279207158e+22,3.46991880012991e+22
4.94008654120945e-06,1.28819727153947e+22,1.16397015802828e+22,6.29890734042141e+21,2.14631765917885e+22
7.08646885155566e-06,7.90751017888345e+21,7.12329664262191e+21,3.92185817850168e+21,1.34591854396334e+22
1.01654172179288e-05,4.87640610577463e+21,4.36860952709693e+21,2.43498330850371e+21,8.40641771817858e+21
1.45821154906901e-05,3.02193969957421e+21,2.72013084652942e+21,1.48110054314522e+21,5.25642519363217e+21
2.0917792907584e-05,1.88134458142934e+21,1.70969083378246e+21,9.22307861019718e+20,3.26687330918498e+21
3.00062127750894e-05,1.24116747202125e+21,1.13850028301148e+21,6.13080440974183e+20,2.13392413038991e+21
4.30433941612213e-05,8.61094117985536e+20,8.02788081410764e+20,4.24425057779944e+20,1.44008980321269e+21
6.17450057694841e-05,5.15475709323965e+20,4.92326532413275e+20,2.65981090431965e+20,8.27184522450056e+20
8.85721447336123e-05,2.98193256219374e+20,2.86666248147288e+20,1.60429094984517e+20,4.59857494938842e+20
0.000127055212400501,1.67848058078893e+20,1.65499757776149e+20,95552100321243856806,2.45044048696896e+20
0.000182258508549024,91560172923810512896,9.2669905348794e+19,50786502296381702144,1.2579213110819e+20
0.000261446683775594,48247475098948730880,50439572277463916544,25234859204979146752,6.7092643405065e+19
0.000375040753934783,24502925753523564544,25901290111994425344,10897226681881311232,36693583813154119680
0.000537989486348578,11963820390571677696,11396177169338755072,4121686130334458880,20192545117455613952
0.000771736629646219,5589948567743616000,4662480483082613760,1375741532757608448,10977853556468125696
0.00110704287100476,2473276957665015296,1716658187611947520,423557912686781824,5868566035132680192
0.00158803388508885,1012899778519292672,554605558707065472,128311775576663920,2910634861644637184
0.00227800719036431,363741355885566016,155093038919259680,47170275192565400,1262485935579719680
0.00326776198422312,95659090943200384,41743091615506176,17729273848834246,349405540890455616
0.0046875481476536,13319480322411268,13214563501827484,5499166548198140,21636932827053840
0.00672420688613729,8832638523930117,8752896954122492,3795595978997829,14446784017432548
0.00964575868307804,6152113109989573,6033479679004508,2703818184056615,10353595968860400
0.0138366742944791,4447689455978076,4349724688100953,2021933822223260,7796446103105066
0.0198484703818451,3056812211186248,2927182303277113,1379746977617718,5637041124948038
0.0284722880740333,2118152414070005,2007936432334052,916419046054039,4091254105129104
0.0408430056611436,1485297542852791,1384675458690615,608139868179604,3019090111252649
0.0585885864563713,1051228565203858,947132929166513,404583392080466,2255135573787569
0.0840443157253079,748557107106048,640502158868229,269280078523328,1696635483866162
0.12056011986217,534635811281370,426645171948115,179893799579917,1304709290413711
0.172941410442158,382038495820194,273582464232786,117126676374664,1012964500680064
0.248081467403285,273020546241214,175923852891240,73169829240697.8,796800019146138
0.355868581802455,180547317654910,99975890625763.7,40644492996906.8,589972931101772
0.510487336437021,28995600681679.2,28465315362463.4,11697731806219.7,42087326276437
0.732285270429473,15883742965146.2,14876074640140.8,5779716126875.78,25364713469989.2
1.05045057734576,6919330703928.72,5521036649483.41,2353276338812.12,11831082498657.7
1.50685321691489,1863068694486.72,1307657370836,91802031656.0979,2474386108337.1
2.16155492347296,1456932801962.52,988824393008.827,63159613274.8017,2140180581335.17
3.10071321794452,1179332584019.75,787220641083.509,39344609123.2781,2042770715548.05
4.44791957656499,917869345933.712,568906160396.278,18328834951.1761,2095239397140.51
