"year","median","mean","q25","q75","q05","q95","relative","relative_q25","relative_q75"
1841,2236751696757.33,9108100203021.31,1008168706940.22,8438291239752.96,293111106517.738,38413272261401.2,1.01384278583243,0.456968277665843,3.82478784327249
1842,2232790421832.16,9086587926104.91,1007113527260.11,8427596527177.64,293018389125.602,38323627873031.8,1.01204727584739,0.456490000927312,3.81994029707112
1843,2229800322014.26,9065137725440.74,1006062932964.79,8416916286143.1,292925720069.864,38234230527736.7,1.01069196621079,0.456013802586348,3.81509931032256
1844,2226820068896.04,9043751170509.96,1005020484353.08,8404512709764.17,292832039295.831,38149780823915.3,1.00934111974525,0.455541296404226,3.80947719480185
1845,2223841429586.46,9022422321314.51,1004011304917.78,8393894839158.37,292727852267.857,38068137649536.2,1.00799100476378,0.45508386999808,3.80466447842828
1846,2220871097687.06,9001155110971.43,1003028171294.4,8375184656669.74,292636852358.198,37986705017878.1,1.00664465524627,0.454638249264668,3.79618379478101
1847,2217909105536.35,8979950086861.66,1002052909062.12,8348326910278.38,292537175479.977,37905487764870,1.00530208585063,0.454196196362719,3.78401010001548
1848,2214947779734.36,8958801131224.97,1001068957943.04,8332254132392.1,292446301062.866,37777965024630.7,1.00395981848802,0.453750205086556,3.77672486136699
1849,2211992565877.87,8937711942295,1000085296058.93,8321840364151.99,292359401696.886,37621061836439.4,1.00262032146055,0.453304344910683,3.77200465759164
1850,2209039428324.18,8916679719784.49,999099570409.024,8311436772285.82,292267713191.055,37409118010553.2,1.00128176554988,0.452857549300595,3.76728906641737
1851,2206094897301.99,8895708974275.79,998119181491.638,8300209309777.57,292177113269.127,37223811505056.1,0.999947110684598,0.452413172648219,3.7622000429537
1852,2203156032585.2,8874797394068.21,997139772949.474,8285871446778.86,292087862627.867,37039328817913.9,0.998615024161104,0.451969240366287,3.75570118168691
1853,2200221429534.67,8853943791195.43,996159903546.931,8271562203546.46,291998158762.743,36855666087797.5,0.997284869304676,0.451525099192161,3.74921529277804
1854,2197296309672.08,8833152099049.65,995188162280.047,8251042043586.21,291906139058.588,36672822961108.6,0.995959012851911,0.451084642222997,3.73991420845563
1855,2194378199296.57,8812420368923.17,994221000303.753,8228880286562.14,291811640179.672,36490794960918.8,0.994636333559095,0.450646260889111,3.72986904451866
1856,2189988102869.08,8791744851411.48,993249066692.118,8206779955642.06,291723098469.542,36355047300338.5,0.992646453502861,0.450205716736672,3.71985172292667
1857,2184462597423.19,8771128760934.51,992160588122.765,8184748055443.63,291621494233.923,36276944969982.2,0.990141931502269,0.449712346754357,3.70986541863249
1858,2179244162117.25,8750565264408.98,990944538921.225,8163489375042.81,291513040524.418,36199045254159.5,0.987776593858428,0.449161153382296,3.70022958833808
1859,2174040903366.64,8730061356691.08,989757514257.002,8153324002699.15,291404264867.16,36121347513949.2,0.985418135226311,0.44862311583697,3.69562197389841
1860,2170585096031.47,8709618240900.59,988739576264.207,8143179680970.66,291310578677.477,36043853806698.9,0.983851736353753,0.448161719477278,3.69102390098022
1861,2168023693719.02,8689231950889.41,987784779251.856,8133045169834.46,291209966825.867,35966560385697.4,0.982690740584821,0.44772894275722,3.68643027486684
1862,2165464606873.19,8668903137127.04,986826905237.395,8122932562976.39,291123996922.898,35889469966192,0.981530794337446,0.447294771337699,3.68184657721104
1863,2162129840283.49,8648632873546.83,985872525906.107,8112832157054.58,291038741488.844,35812579416437.4,0.980019259081073,0.446862183938133,3.67726840982096
1864,2159480338760.73,8628422547315.17,984925119209.477,8095786519053.53,290952282729.773,35735887794416.6,0.978818330963394,0.446432756994579,3.66954220706796
1865,2156833547595.99,8608266179415.83,983976647443.943,8076627054576.3,290854966579.722,35659393597158.1,0.977618631357992,0.446002847291841,3.6608578793132
1866,2154191698702.95,8588167673458.06,982953654791.52,8044346540374.91,290770714799.86,35583099522915.3,0.97642117191475,0.445539159828399,3.64622622999178
1867,2151661242787.69,8568127719325.42,981790926490.345,8007323411493.51,290677440500.306,35507001337870.4,0.97527420308568,0.445012134990667,3.62944491618759
1868,2149128714746.69,8548140019271.52,980680615676.672,7973759848590.05,290592778350.935,35431102212632.3,0.974126295033117,0.444508869201216,3.61423170491973
1869,2146598515010.82,8528208407543.52,979689784127.142,7958956706629.03,290511842601.199,35355400063197.2,0.972979442321373,0.444059759262048,3.60752194866623
1870,2144069580462.26,8508330105099.67,978724036840.717,7944187050782.5,290425825307.289,35279893280681.3,0.971833163075617,0.443622019158531,3.6008273705193
1871,2141546549447.74,8488509716600.89,977764082605.432,7929451005998.83,290340685824.4,35204581575679.2,0.970689559699253,0.443186904846297,3.59414802711373
1872,2139026584513.85,8468744912358.04,976742498480.762,7914749287915.66,290256714531.086,35129464791615.6,0.969547346072019,0.44272385582015,3.58748424282351
