"time","median","q05","q25","q75","q95"
0,4.44900364858153,3.0638834921227,3.68948851190719,5.41963834264626,7.58056579326891
365,4.67946967243738,3.25639302326218,3.89759538846764,5.6419535442206,7.8190171860044
730,4.72835795704221,3.30149576315201,3.95369779368145,5.6737214490957,7.80471247044009
1095,4.63534559872312,3.23877896910351,3.87734359182533,5.56291569202679,7.62157445738131
1460,4.44027247118494,3.07644755214842,3.70288040959099,5.37752887443425,7.42235414019046
1825,4.49990039504023,3.11896025756617,3.74501513643628,5.44823863066405,7.55981640739821
2190,4.39739937796523,3.01991718291925,3.63789763555297,5.36172818170784,7.48253263330954
2555,4.54757141154132,3.12977703352065,3.76624146189598,5.50881393896678,7.74063587202229
2920,4.55541347082536,3.11868685069863,3.77617764258887,5.50806156081024,7.68270075602495
3285,4.5275041118353,3.12401575020689,3.7647936223999,5.46428418458163,7.60600653848145
3650,4.57424764103159,3.16350371056012,3.79903594983931,5.50629289597602,7.61746306313126
4015,4.66810271217533,3.23027107213888,3.88823777420083,5.60321859661063,7.70378163845407
4380,4.6406778630901,3.22628450871606,3.87272347249837,5.56163187211006,7.61406402585159
4745,4.5503563297152,3.17101960882646,3.80518904267364,5.4770881208818,7.49463675925451
5110,4.55783352949972,3.17292092560356,3.80643634068224,5.50351033647799,7.54712185609326
5475,4.52527832876784,3.13892359784475,3.76838686795952,5.4712255412578,7.53999058488334
5840,4.48139559341071,3.09978832850072,3.72648514769997,5.43393764709408,7.54708251333316
6205,4.44158120776967,3.06025462713061,3.67728663067676,5.39332100375331,7.56006095739319
6570,4.39530732759225,3.01547722154898,3.62745128225344,5.35607903219668,7.54973904252501
6935,4.63023752431101,3.17374672149824,3.83290696942852,5.6025673989651,7.82901561249536
7300,4.50637396170867,3.08312823218298,3.73372628573059,5.48158031764581,7.6672989905515
7665,4.66732823784357,3.22731385784945,3.8802644047583,5.61832062905438,7.79374108485433
8030,4.71345430906357,3.27592747823347,3.94060627912354,5.65328727922296,7.76814568198894
8395,4.63110298424304,3.22409017481671,3.87560428810102,5.5470314733507,7.59080193506186
8760,4.42580850083747,3.07003979782693,3.6908569194382,5.35745021596264,7.38045484963036
9125,4.49844812790021,3.10430836856503,3.73360548448018,5.44151591630023,7.53861537001979
9490,4.38566054668944,3.01216154921651,3.62813723541089,5.3477595146444,7.47804538681487
9855,4.54466842755666,3.12338054797132,3.76071775974628,5.50433926692811,7.6923104865609
10220,4.5513552751977,3.1141810559952,3.76666283031333,5.50381948783166,7.65541655330228
10585,4.5204027283057,3.11771006755682,3.75313133343091,5.44553669859736,7.57883633501622
10950,4.57179717012206,3.15763905923672,3.79203541806117,5.49020019324371,7.59738572398722
11315,4.66676588337083,3.22478951101207,3.87812178701406,5.59013942568299,7.67048775406797
11680,4.63623467303632,3.22078156774999,3.8660287476031,5.54223259629688,7.59450161232219
12045,4.54402381559673,3.16057804663317,3.79499741688531,5.4589583021675,7.46213580504194
12410,4.55591610084334,3.15884871667937,3.79878727622559,5.49190993416405,7.54038210699963
12775,4.51748660131361,3.12203257379935,3.76425761408987,5.45081351602883,7.51769245437927
13140,4.47721124744738,3.08718102574572,3.71865186378779,5.42089388542066,7.52063420191955
13505,4.43320815441198,3.05139870841362,3.67347137443074,5.38665941792952,7.50700741970853
