"year","median","q05","q25","q75","q95"
1841,4.41629882970173,3.00789877081587,3.64598099960017,5.34055048414301,7.56593657880797
1842,4.63839050793152,3.20227374836825,3.8664684751243,5.56401692492429,7.79891142481597
1843,4.68836997427892,3.24405127740368,3.92233722035298,5.59659944101452,7.77208465915166
1844,4.5965205899386,3.1879665319867,3.8413624102761,5.4880226534367,7.57371567506767
1845,4.39396342726326,3.03028093933546,3.65857626762929,5.29496834796656,7.36796273658463
1846,4.46450762840341,3.06685795810367,3.70521181734855,5.37300734820256,7.546655668146
1847,4.34798285226651,2.96766761309549,3.59489290937992,5.27271388003103,7.48487774217554
1848,4.50925552292633,3.07435013028957,3.72443703120775,5.4359049079292,7.71117435504569
1849,4.50673209838861,3.08067209310712,3.73789162795499,5.428503182625,7.66801258811763
1850,4.48450424072946,3.08368619094961,3.72517352925846,5.38704461183632,7.58641768387764
1851,4.5219714336534,3.10399623694127,3.76302589140677,5.43034143369861,7.62569067869816
1852,4.62492801993522,3.19667153982551,3.85908619977552,5.51873195076045,7.71938580543718
1853,4.59774850538107,3.18143598810353,3.8442254228867,5.48282737101089,7.63153657244595
1854,4.51795542630201,3.11551189111536,3.7676713142413,5.39054183581934,7.53102986341348
1855,4.52836111635073,3.11423019618885,3.76892548366039,5.42219280818214,7.57983936653958
1856,4.49124080322501,3.07920988962866,3.73019472296181,5.39012536828581,7.56355345830486
1857,4.44414783895199,3.05096969789194,3.68767114127775,5.35541363493874,7.5706657589651
1858,4.40398646437043,3.00179365744911,3.64405742514334,5.32882692918053,7.59049728110671
1859,4.35004454652453,2.95804301681564,3.59033281605966,5.29081544442098,7.57655238344157
1860,4.58547173806744,3.13841444033152,3.80045089315145,5.51850763245276,7.83634771152037
1861,4.46527280940078,3.04464606166607,3.70304111175923,5.40335281720162,7.67181439088047
1862,4.63045978893875,3.19964515980002,3.85720304381391,5.54374166043374,7.79825798408624
1863,4.67835804738773,3.23838666463288,3.91553070764026,5.57042166434366,7.77090863868602
1864,4.59084416614718,3.17748796497552,3.84029153822462,5.47957995777674,7.6607358656234
1865,4.38189533769859,3.02439981142899,3.65832390769915,5.27975856302071,7.44842879054772
1866,4.46158062557811,3.0610348844132,3.70220530440139,5.3546369325798,7.58081604409156
1867,4.33793776075466,2.96334531210984,3.59316762808987,5.26680214717199,7.52546291515922
1868,4.50441127049692,3.06888737742285,3.72231624582592,5.4268722906701,7.75483003235431
1869,4.50083923943489,3.07799092880456,3.73746944855829,5.41917477335173,7.70567393113209
1870,4.47907512020768,3.08023935080228,3.72107403944378,5.37441030305372,7.61414384229265
1871,4.52106998958235,3.09696383934438,3.75820923348469,5.40761827969126,7.62860363587404
1872,4.61554664161821,3.19269992197278,3.85763716632038,5.50498794657688,7.70935989322439
1873,4.59055624829104,3.17993134454588,3.84335733149035,5.46039426813927,7.64122693027875
1874,4.51054155874433,3.10569226448379,3.76464326568409,5.380109724658,7.54156653468492
1875,4.5258909553962,3.11150739264267,3.76429655983836,5.40300560426092,7.60226303121632
1876,4.48606897829786,3.07703012528671,3.72558902970353,5.36976059646115,7.58467002289986
1877,4.43773000084007,3.04485674326402,3.68262987517955,5.34686817618172,7.56193895313548
1878,4.39934263064392,2.99830887880264,3.63982522828986,5.31127576469922,7.58508608560292
1879,4.34675333422912,2.9538414374795,3.58843774310119,5.2694434487342,7.56365858361138
1880,4.57276801642455,3.13451816988803,3.79824831661775,5.50889086490422,7.85285113031524
1881,4.45545035276462,3.04135829679177,3.70195755748944,5.38032130370937,7.68909870091055
1882,4.62329402686563,3.19564118842757,3.85393955879351,5.52610128782223,7.80638586749493
1883,4.67328675031335,3.23300445976156,3.90896299925339,5.5562295308737,7.77674226001745
1884,4.57932066668645,3.17038230294389,3.83682846359539,5.45500730224199,7.63001867952956
1885,4.37030760379306,3.01720918712483,3.65617505235752,5.26252649898161,7.42540256747496
1886,4.45437193553182,3.05931194287344,3.6955132737871,5.34571371548996,7.55770528673682
1887,4.33407463998585,2.96242041369222,3.58822397639994,5.2495589395451,7.48409992945548
1888,4.49239710423001,3.06593443501306,3.72063675843617,5.41286492130435,7.73063628365275
1889,4.4899247331669,3.07621300130908,3.73448663959934,5.40577207391303,7.67060920727322
1890,4.46674366331524,3.07475809952923,3.71755691233084,5.35534566426813,7.60002681659619
1891,4.51320022417519,3.09490043504449,3.75679272514847,5.39231813411906,7.61905440612215
1892,4.60552352392126,3.18610869943024,3.85424686497846,5.49456232799873,7.70348414333008
