"","species","w_min","w_mat","w_inf","beta","k_vb","h","min_depth","max_depth","water.column.use","p_time_prydz","pc_annual_offspring","biomass_observed"
"1","mesozooplankton",3.16227766016838e-08,3.16227766016838e-05,0.00316227766016838,500,NA,33,0,500,"non DVM",1,NA,10
"2","other krill",2.92339150375042e-07,0.00158489319246111,0.34203142159817,500,NA,33,0,2000,"non DVM",1,NA,1.9
"3","other macrozooplankton",1e-05,0.01,1,500,NA,33,0,1000,"non DVM",1,NA,8.8
"4","antarctic krill",1.10429239098723e-06,0.0158489319246111,4.17320640011521,500,NA,33,0,3500,"non DVM",1,NA,4
"5","salps",3.16227766016838e-05,0.251188643150958,25.1188643150958,1000,NA,33,0,500,"non DVM",1,NA,0.652
"6","mesopelagic fishes",0.001,11.275,240,441.666666666667,0.360833333333333,NA,0,5300,"DVM",1,NA,1.2
"7","bathypelagic fishes",0.000696909970321336,62.55,603.7,425,0.1825,NA,0,4000,"DVM",1,NA,1.93
"8","shelf and coastal fishes",0.00359136400182873,46.75,2422.2,350,0.15,NA,0,728,"ontogenetic",1,NA,0.802
"9","flying birds",40,1718.54166666667,4191.25,58.1350328006655,NA,189,0,10,"diving",0.3875,0.5,0.003
"10","small divers",4500,4266.66666666667,6000,293.787941282899,NA,66,0,100,"diving",0.61,0.6,0.016
"11","squids",0.00359136400182873,128.054276533042,20718.3514706015,50,NA,NA,0,2000,"non DVM",1,NA,0.15
"12","toothfishes",0.0335103216382911,12765.2,157569.3,100,0.06,NA,0,3850,"non DVM",1,NA,0.75
"13","leopard seals",2e+05,348000,348000,11.2359550561798,NA,33,0,100,"diving",0.75,0.5,0.002
"14","medium divers",10000,294750,1283000,686.18858722533,NA,38.5,0,1500,"diving",0.535625,0.6,0.265
"15","large divers",135000,2024000,2024000,3610.1083032491,NA,41,0,1500,"diving",0.33,0.5,0.022
"16","minke whales",6e+05,6e+06,6e+06,5042016.80672269,NA,18,0,50,"diving",0.75,0.5,0.014
"17","orca",490000,4900000,6e+06,0.557945143932341,NA,18,0,200,"diving",0.33,0.5,0.006
"18","sperm whales",3650000,36500000,36500000,44082.1256038647,NA,5.2,0,2000,"diving",0.5,0.5,0.011
"19","baleen whales",2250000,50700000,1.03e+08,219112.60118368,NA,8.3,0,200,"diving",0.5,0.5,0.127
