"Species","min_biomass_g","median_biomass_g","max_biomass_g","ObsBiomass_g","min_biomass_t","median_biomass_t","max_biomass_t","ObsBiomass_t"
"antarctic krill",3838177.76270678,13286020207811.2,1030218688122236,5.897364e+12,3.83817776270678,13286020.2078112,1030218688.12224,5897364
"baleen whales",1163646111.28883,863068460499.301,117006996619908,187241300000,1163.64611128883,863068.460499301,117006996.619908,187241.3
"bathypelagic fishes",257835680119.639,2551542258912.78,15976491659312.1,1.769209e+12,257835.680119639,2551542.25891278,15976491.6593121,1769209
"flying birds",3907107517.26377,6016098013.90338,6640460168.59654,4423023000,3907.10751726377,6016.09801390338,6640.46016859654,4423.023
"large divers",483.092067601982,18402181920.9961,4484703267767.79,16217750000,0.000483092067601982,18402.1819209961,4484703.26776779,16217.75
"leopard seals",53.9350780297542,3374733172.527,49675418499.2454,2948682000,5.39350780297542e-05,3374.733172527,49675.4184992454,2948.682
"medium divers",14335848.5555728,412441967567.042,1932385335291.23,390700400000,14.3358485555728,412441.967567042,1932385.33529123,390700.4
"mesopelagic fishes",2210316547.02021,1913231346177.1,10578155625088.9,1.769209e+12,2210.31654702021,1913231.3461771,10578155.6250889,1769209
"mesozooplankton",7.26604719919911e-186,17221393556542.5,30976099188904.4,1.29742e+13,7.26604719919911e-192,17221393.5565425,30976099.1889044,12974200
"minke whales",2.62870728040916e-08,21418548666.9415,237085415283600,20640770000,2.62870728040916e-14,21418.5486669415,237085415.2836,20640.77
"orca",2265613044.69243,8868504273.13184,359337394376.099,8846046000,2265.61304469243,8868.50427313184,359337.394376099,8846.046
"other krill",927930.227236455,11576854408427.8,131869538688648,2.801248e+12,0.927930227236455,11576854.4084278,131869538.688648,2801248
"other macrozooplankton",1093044305866.62,18730839527121.6,39818647897632.4,1.474341e+13,1093044.30586662,18730839.5271216,39818647.8976324,14743410
"salps",96332240413.2698,1104372584579.21,3127583740766.08,961270300000,96332.2404132698,1104372.58457921,3127583.74076608,961270.3
"shelf and coastal fishes",1120412427955.47,5002591347642.34,26977521096663.6,4.0279e+12,1120412.42795547,5002591.34764234,26977521.0966636,4027900
"small divers",10500813759.6679,37582838115.4816,48602649765.5942,23589460000,10500.8137596679,37582.8381154816,48602.6497655942,23589.46
"sperm whales",94861294.3094297,20306566143.988,14752344305267,16217750000,94.8612943094297,20306.566143988,14752344.305267,16217.75
"squids",35072346010.4917,147151734097.399,447755813597.067,221151200000,35072.3460104917,147151.734097399,447755.813597067,221151.2
"toothfishes",477617742.41017,1095734421738.18,5390254921576.69,1.105756e+12,477.61774241017,1095734.42173818,5390254.92157669,1105756
