"Year","Species","min_biomass_t","median_biomass_t","max_biomass_t","q05_biomass_t","q95_biomass_t","ObsBiomass_t"
1841,"antarctic krill",149569.523178143,12805936.2567954,57553117.3244909,1998946.6050322,36172145.7576294,5897364
1841,"baleen whales",104753.621601598,908415.976059412,117006996.619908,176394.393741479,19961804.5571354,187241.3
1841,"bathypelagic fishes",341458.010133773,2354802.67098407,7666947.2743028,944429.634764478,4477585.99775894,1769209
1841,"flying birds",3964.8992367295,6027.32203833424,6640.46016859654,5439.66799404783,6337.25416462668,4423.023
1841,"large divers",1908.19125535109,19040.6670109715,4484703.26776779,5454.65864466953,352118.619440766,16217.75
1841,"leopard seals",417.40665537906,3251.63119782556,49675.4184992454,1723.15051299887,4649.03519388723,2948.682
1841,"medium divers",55735.3947988794,421549.178278897,1932385.33529123,151386.690347473,912676.049507903,390700.4
1841,"mesopelagic fishes",40215.8456258288,1741167.46985023,4644766.26011625,524263.605850491,3559749.4845083,1769209
1841,"mesozooplankton",4639989.47579938,16888694.125059,28093905.4845567,8115071.60618766,24118062.6054459,12974200
1841,"minke whales",1462.64450525586,27407.7155688604,237085415.2836,6373.34694370534,24141746.2274888,20640.77
1841,"orca",4198.11109182719,8938.0854342378,359337.394376099,6686.34470323727,20246.4562197641,8846.046
1841,"other krill",179690.527304362,11152673.4455988,126700598.203348,1350073.34587315,77651546.9150545,2801248
1841,"other macrozooplankton",1441416.30021724,17942596.3136983,37055942.7367574,7506904.69314501,27149244.0836739,14743410
1841,"salps",106840.873841188,1044140.61917727,2883622.02821722,382432.253764122,2053032.33657234,961270.3
1841,"shelf and coastal fishes",1121405.69538104,4876612.19320052,7574611.61051149,2463916.98753332,6277238.80033705,4027900
1841,"small divers",11167.8078122368,38009.4259564602,48602.6497655942,22311.4280782445,43114.5065901026,23589.46
1841,"sperm whales",10561.124989541,25089.0427580529,14752344.305267,14394.3720737714,2952986.57123285,16217.75
1841,"squids",35679.4670867711,140293.072943895,429621.248944598,86587.2811858758,295302.718535637,221151.2
1841,"toothfishes",2460.05441365488,993375.038144474,2765156.26430446,128510.575418189,1825847.49398472,1105756
1842,"antarctic krill",155121.875701653,13173733.7181472,57656407.7649815,2043175.85497408,36514192.7403233,5897364
1842,"baleen whales",104837.554937643,907521.927531301,116857599.617445,176415.014880523,19936517.7833532,187241.3
1842,"bathypelagic fishes",335427.721712094,2339483.37771055,7648803.01843057,954726.366689209,4462925.4124357,1769209
1842,"flying birds",3967.09032967617,6028.71761606987,6640.11435339024,5449.32939952529,6337.98001239918,4423.023
1842,"large divers",1913.01941697592,19030.0038699676,4460903.02996521,5464.50254152824,349419.888948603,16217.75
1842,"leopard seals",418.204010250588,3252.16966321461,49228.6110040041,1727.25055237446,4649.93634378656,2948.682
1842,"medium divers",55862.0003025896,421383.710619504,1924894.04417777,151434.963880844,909536.06285896,390700.4
1842,"mesopelagic fishes",39374.2929641132,1745842.18492355,4639886.31229163,524924.764852214,3536734.06658824,1769209
1842,"mesozooplankton",6921592.28836164,18272407.2998587,30078071.8491284,10161861.5615558,25593432.0922074,12974200
1842,"minke whales",1482.70096483995,27389.2105601743,236300391.90494,6381.78524847461,24058578.8541334,20640.77
1842,"orca",4208.11226259555,8938.79000258852,358383.222773782,6692.40276077752,20216.532515815,8846.046
1842,"other krill",211741.689799884,12194630.7947983,127014907.596026,1593515.98476656,78730686.3442622,2801248
1842,"other macrozooplankton",1499944.22244983,19739816.9991811,39118331.1576485,8058283.48898846,29702089.6249105,14743410
1842,"salps",108771.141678756,1070182.92027556,2883201.18255403,397483.699749497,2067077.60453693,961270.3
1842,"shelf and coastal fishes",1120412.42795547,4868050.69248522,7569498.38157787,2456330.12882615,6270141.70622442,4027900
1842,"small divers",11191.2723127348,38045.7486209858,48593.4587272199,22339.5960185155,43143.4955819087,23589.46
1842,"sperm whales",10569.0418581659,25076.5131085403,14725719.2898459,14399.7499564972,2947682.55609473,16217.75
1842,"squids",35355.445529099,139916.340050782,429715.680371209,86345.8382552376,295342.097569787,221151.2
1842,"toothfishes",2459.90707469676,993943.693135298,2765156.97612626,129789.152335672,1826657.41155922,1105756
1843,"antarctic krill",166833.691705711,13543542.731114,57632951.1397596,2122360.79459982,36761612.9527337,5897364
1843,"baleen whales",104919.3700101,906629.075684578,116708390.731856,176433.518317696,19911262.8823511,187241.3
1843,"bathypelagic fishes",337893.484802298,2348067.21864109,7650210.00341595,971324.102208803,4476189.26350918,1769209
1843,"flying birds",3967.6351849352,6029.59034864846,6639.5843024515,5454.4488834181,6337.58050529255,4423.023
1843,"large divers",1918.47807181228,19020.9258964338,4437215.51605664,5476.37830361435,346740.448199577,16217.75
1843,"leopard seals",419.163213011419,3253.18590067206,48786.1643627869,1731.22919635161,4650.82544425323,2948.682
1843,"medium divers",56000.8553456836,421208.834781129,1917444.35995999,151684.166052688,908721.345434032,390700.4
1843,"mesopelagic fishes",40249.6645888374,1771278.64782054,4656089.32818882,533188.930767459,3549683.48515227,1769209
1843,"mesozooplankton",6797151.66941159,18134119.8398226,29585197.2473526,9886862.02939197,25257637.6605522,12974200
1843,"minke whales",1504.50223582034,27385.1010177117,235517952.019232,6397.01870644295,23975685.423268,20640.77
1843,"orca",4217.98847426756,8939.37304076934,357431.652167544,6698.2929598315,20186.3379161091,8846.046
1843,"other krill",247609.387553517,12224395.6834633,124168198.995509,1747922.63475368,75700294.8221921,2801248
1843,"other macrozooplankton",1615110.32211894,20324042.4585541,39731532.753504,8639387.73078489,29873140.2362763,14743410
1843,"salps",112175.437763594,1089197.67629041,2889474.42342287,409430.74425973,2082040.33999255,961270.3
1843,"shelf and coastal fishes",1125443.47156793,4866364.39383492,7568490.99743462,2455773.06755975,6266917.21602302,4027900
1843,"small divers",11210.149525494,38094.3519452147,48585.860112184,22367.7646918651,43157.7053217215,23589.46
1843,"sperm whales",10576.9585052377,25063.779998991,14699142.126415,14404.8002952901,2942387.65443251,16217.75
1843,"squids",35140.7166713303,139705.651047472,429684.391761101,86215.3356753853,295366.066684224,221151.2
1843,"toothfishes",2474.63951820646,994610.260741807,2765120.16655962,131067.406177099,1827344.6131855,1105756
1844,"antarctic krill",175521.035372919,13560005.7258998,57512235.219824,2168660.00453136,36672586.5547583,5897364
1844,"baleen whales",104995.757423909,905737.513279574,116559366.03637,176446.952473978,19886038.9801342,187241.3
1844,"bathypelagic fishes",346785.26403068,2377966.26565654,7671182.22164117,989045.352270249,4504764.12764173,1769209
1844,"flying birds",3966.74507627947,6028.36012276087,6638.9381175927,5451.89190403743,6335.52459017025,4423.023
1844,"large divers",1925.51208752841,19003.6383870588,4413640.67521937,5493.8118005708,344083.374773806,16217.75
1844,"leopard seals",420.445022640942,3255.60317095564,48348.6479166378,1735.15860090331,4651.22013869641,2948.682
1844,"medium divers",56173.5629201817,421028.38126356,1910043.09785417,152067.339511126,908097.479105905,390700.4
1844,"mesopelagic fishes",41322.2851642008,1793389.94277579,4681419.59560987,543896.938961696,3583385.84744293,1769209
1844,"mesozooplankton",5384239.67517467,17673704.1428121,29134873.5735083,9132008.33449811,24930901.8113396,12974200
1844,"minke whales",1529.72411579279,27383.2706323879,234738079.747054,6427.7139883111,23893063.8052992,20640.77
1844,"orca",4227.50457013337,8939.62311919919,356482.639865894,6703.76756881844,20155.3720915574,8846.046
1844,"other krill",251154.487792153,11576611.8163868,121784191.417223,1678023.1668704,73434415.1416185,2801248
1844,"other macrozooplankton",1686380.21020848,19449660.8908486,39071207.8262479,8644925.3216909,28937928.2867084,14743410
1844,"salps",113929.152599074,1088202.57789415,2898871.07958982,411857.629577331,2085404.06916624,961270.3
1844,"shelf and coastal fishes",1138212.39084057,4869151.32014765,7572674.88405461,2466142.40280746,6269685.00694777,4027900
1844,"small divers",11213.8809068169,38112.4309356212,48578.7502436025,22364.8127216647,43156.5257419116,23589.46
1844,"sperm whales",10584.8793158129,25050.6539227389,14672612.5253643,14409.1647908236,2937101.37896828,16217.75
1844,"squids",35487.7455073341,139820.013960671,429785.337603668,86351.7073859415,295783.46939684,221151.2
1844,"toothfishes",2485.59528857228,995956.609431192,2765230.43265931,132458.682634743,1828108.14818514,1105756
1845,"antarctic krill",172375.683969409,13161836.6435902,57381891.2870392,2118505.53393342,36273872.0883897,5897364
1845,"baleen whales",105066.421159684,904847.095608765,116410524.706069,176454.872991842,19860845.7663873,187241.3
1845,"bathypelagic fishes",349282.466632141,2383114.24362824,7680856.01331845,977165.205775237,4511124.03281788,1769209
1845,"flying birds",3964.74675520634,6027.14012365266,6638.14290727837,5442.7196026212,6333.38658118077,4423.023
1845,"large divers",1932.79832734255,18995.2546016418,4390176.74994408,5509.38954644741,341443.482852775,16217.75
1845,"leopard seals",421.796051512857,3255.36248064417,47915.2333973057,1742.52639181827,4651.07425319508,2948.682
1845,"medium divers",56352.4797001951,420832.088774845,1902678.25348551,152473.761006009,907479.034783925,390700.4
1845,"mesopelagic fishes",40521.5299435353,1779330.77376575,4680566.39796215,538790.221647384,3593554.65746366,1769209
1845,"mesozooplankton",4033254.33772494,16672320.0506041,27749759.5807119,7666808.12405252,23811285.2276356,12974200
1845,"minke whales",1556.31881592188,27384.3287498325,233960764.913143,6463.09517791077,23810712.0474661,20640.77
1845,"orca",4236.9032585327,8939.821631159,355536.20706566,6709.10855832282,20124.317601105,8846.046
1845,"other krill",221618.142160371,10779754.2992232,121439426.559001,1502347.8140681,73365509.2127248,2801248
1845,"other macrozooplankton",1612957.89238959,17991433.2292029,37241677.2408901,7873191.8140634,27128475.0658789,14743410
1845,"salps",112376.127332579,1063180.20073969,2896172.60901435,398234.67117314,2068154.05135654,961270.3
1845,"shelf and coastal fishes",1137305.86412535,4868347.09037534,7573075.62148237,2464670.63246189,6268996.90292977,4027900
1845,"small divers",11182.1961219705,38066.6408881701,48567.1611914479,22321.6903711687,43119.4837896237,23589.46
1845,"sperm whales",10592.8008214993,25037.4264380372,14646130.6980225,14413.2453018911,2931824.24294984,16217.75
1845,"squids",35893.2568353978,139844.214699625,429858.083498377,86624.2910656309,296235.724413937,221151.2
1845,"toothfishes",2467.372111785,997058.398329017,2765303.65264406,133767.107925183,1828834.55218533,1105756
1846,"antarctic krill",168488.341544908,13054639.0965508,57433471.4806578,2071565.49395638,36173169.4364417,5897364
1846,"baleen whales",105147.419858633,903957.716816114,116261887.136277,176473.04602276,19835687.790448,187241.3
1846,"bathypelagic fishes",347742.01208161,2377276.08655389,7677925.35174403,977186.44152924,4502324.88132914,1769209
1846,"flying birds",3965.81409911097,6027.51571152612,6637.69418068051,5446.96631544388,6332.93183159219,4423.023
1846,"large divers",1939.12263866171,18987.6491400181,4366826.21333644,5524.27657805597,338817.077367062,16217.75
1846,"leopard seals",423.056762134988,3258.32543205753,47486.6164100319,1745.45541919795,4650.86745788023,2948.682
1846,"medium divers",56512.1469859091,420664.539376244,1895347.94306071,152666.048499957,906851.54794068,390700.4
1846,"mesopelagic fishes",39412.8334042362,1772419.95801186,4669880.12085569,539503.686188766,3583262.63089515,1769209
1846,"mesozooplankton",4782537.16752507,17139026.3714112,28934122.4030007,8721020.06342198,24760048.9514353,12974200
1846,"minke whales",1581.45754526476,27380.3193366161,233186030.493447,6484.0087243412,23728634.9385669,20640.77
1846,"orca",4246.58075264952,8940.16633032435,354592.396912089,6714.7459920532,20094.060437162,8846.046
1846,"other krill",202478.001935573,11167724.9087502,123789477.823966,1498987.2041617,76173337.027887,2801248
1846,"other macrozooplankton",1570710.91020331,18386305.2916416,37937262.2861449,7606479.82678207,28041405.9329762,14743410
1846,"salps",111290.076273384,1060851.90619101,2895614.58983005,397403.676428933,2064338.35525436,961270.3
1846,"shelf and coastal fishes",1144272.18919236,4869919.90749667,7571321.36950808,2469714.71511565,6267093.15283527,4027900
1846,"small divers",11195.7430156552,38070.8704252541,48557.3946035462,22322.3199316084,43104.9945488518,23589.46
1846,"sperm whales",10600.7614821865,25024.7593638229,14619697.3217007,14418.1386263722,2926557.78927924,16217.75
1846,"squids",36068.7221672785,139872.921201059,430056.347233558,86769.7328429917,296548.961811993,221151.2
1846,"toothfishes",2458.62809830519,998467.528071534,2765422.34503194,134757.217926683,1829579.33402042,1105756
1847,"antarctic krill",156094.262853625,12772179.1960515,57543249.4936919,1962426.50712011,36305095.7237498,5897364
1847,"baleen whales",105217.075628059,903069.669255379,116113425.454261,176480.278646914,19810559.04363,187241.3
1847,"bathypelagic fishes",342240.561518475,2362305.25949148,7684211.07624222,970478.067589797,4496630.47886312,1769209
1847,"flying birds",3963.60962379904,6026.62146794763,6636.84498209284,5437.44606669714,6331.26422092035,4423.023
1847,"large divers",1947.50849584571,18988.8280930672,4343584.4646853,5542.67204261116,336213.943241298,16217.75
1847,"leopard seals",424.746140124383,3260.3322012815,47062.3042718955,1752.11774792955,4650.72881042257,2948.682
1847,"medium divers",56715.6166154811,420667.361258324,1888058.48701467,152911.002799395,906247.047961604,390700.4
1847,"mesopelagic fishes",37606.3614340069,1754268.96073804,4663953.25922039,527871.615787269,3573252.0793944,1769209
1847,"mesozooplankton",3787231.99139562,16199251.6771853,27729375.4764678,6678927.44633237,23749086.0162772,12974200
1847,"minke whales",1611.70507465553,27387.7264991186,232413827.383637,6531.20668012129,23646824.7681323,20640.77
1847,"orca",4255.6522151589,8939.62209903216,353651.074875104,6719.90842120626,20062.6085848221,8846.046
1847,"other krill",173548.560850597,10855626.032058,126567320.542948,1317211.00079364,76658481.5892648,2801248
1847,"other macrozooplankton",1463184.48539165,18005373.3343084,37640152.7953628,7398849.99679474,27069116.338979,14743410
