"Species","gamma_min","gamma_median","gamma_max","catchability_min","catchability_median","catchability_max","abundance_scaling_min","abundance_scaling_median","abundance_scaling_max"
"antarctic krill",7.98322363306526e-13,3.71300388664478e-12,2.11557359789414e-10,6.98570699240539e-06,0.0303879493045783,1,0.5,1.16941894179815,1260653.52302043
"baleen whales",3.57378675698687e-10,3.30850916867169e-09,3.89898952839314e-07,5.04902453719816e-07,0.0571540848729054,1,0.5,0.545850655070298,1847.36618034917
"bathypelagic fishes",2.48856704e-12,1.23659410152383e-11,9.59437486647186e-10,1.07680395622088e-09,0.00100852373424155,1,0.5,0.837070044939824,2840734.5951374
"flying birds",6.49697452038149e-11,4.35517670459236e-10,4.31641592767981e-08,0,0,0,0.5,1.57134979226781,866472.343524126
"large divers",1.12948208085083e-11,8.22433507070885e-11,7.97477684994562e-09,0,0,0,0.5,0.827641769592918,3389.8393083388
"leopard seals",1.55986944787806e-11,1.5552054927596e-10,3.24187207313315e-08,0,0,0,0.5,1.13362211864075,342005.570767775
"medium divers",3.89466956011211e-11,3.02726622106308e-10,3.78408277632885e-08,0,0,0,0.5,0.959712680619433,1412.15818796043
"mesopelagic fishes",2.38576206061627e-12,7.83585247571635e-12,8.47518554820176e-10,0,0,0,0.5,1.54301824710704,1106008.79295747
"mesozooplankton",1.28555237614677e-13,5.78454284602976e-13,6.20459666564445e-11,0,0,0,0.5,1.16928436005718,2847212.32145716
"minke whales",2.557228992e-11,6.01848099504767e-10,6.82445681264025e-08,3.2453823179705e-05,0.4978624632647,1,0.5,1.15618656670658,166632.611597623
"orca",2.1145499889604e-09,3.6198245466723e-09,4.18489300974813e-07,2.44996059389055e-07,0.163485218146473,1,0.5,0.5,12640436.0552988
"other krill",5.65024425849105e-13,2.20366884683969e-12,1.28820937035728e-10,0,0,0,0.5,1.75417351281902,203487.824516396
"other macrozooplankton",5.20592739649546e-13,1.12625504113832e-12,1.4078188014229e-10,0,0,0,0.5,0.821507512247535,385837.313989314
"salps",2.31592875959935e-12,9.08084173838286e-12,9.16148478653431e-10,0,0,0,0.5,1.17984805391356,3428433.2972065
"shelf and coastal fishes",2.53514867594014e-11,2.38628535551055e-10,2.55616044368077e-08,2.47364618709439e-10,2.15478527900517e-05,0.0648986275352489,0.5,1.17406488051199,657209.355801672
"small divers",1.40589481995014e-12,7.76538010750475e-12,8.32863725416918e-10,0,0,0,0.5,1.66609779094082,6722282.9594698
"sperm whales",3.840882112e-11,1.09131047338419e-10,1.36413809173023e-08,0.000143323315128879,0.618143657746941,1,0.5,1.08663602675219,1450.88351887287
"squids",8.59720040149346e-11,5.38576814088767e-10,5.18793116480804e-08,1.27057358998651e-09,3.65709559733926e-05,0.170454247986416,0.5,1.12554422391914,1863936.43067437
"toothfishes",1.18339161587458e-11,1.17503154587756e-10,1.04200898188492e-08,2.31297221527556e-08,0.000687294936826654,1,0.5,0.839437116238114,427574.155163951
