"catchability_sd","abundance_sd","gamma_sd","filename"
1,3,2,"seed_rerun_results_mean_nsims_100_SD_1_3_2_tol_0.002_tmax_1500_20250909_194747.rds"
1,4,2,"seed_rerun_results_mean_nsims_1000_SD_1_4_2_tol_0.002_tmax_1000_20250910_135327.rds"
1,3,2,"seed_rerun_results_mean_nsims_1200_SD_1_3_2_tol_0.002_tmax_1000_20250909_202109.rds"
2,4,3,"seed_rerun_results_mean_nsims_1200_SD_2_4_3_tol_0.002_tmax_1000_20250910_063938.rds"
3,5,4,"seed_rerun_results_mean_nsims_1500_SD_3_5_4_tol_0.002_tmax_1000_20250910_222203.rds"
1,3,2,"seed_rerun_results_mean_nsims_400_SD_1_3_2_tol_0.002_tmax_1500_20250909_104035.rds"
3,5,5,"seed_rerun_results_mean_nsims_825_SD_3_5_5_tol_0.002_tmax_1000.rds"
1,2,1,"seed_rerun_results_median_nsims_100_SD_1_2_1_tol_0.002_tmax_1200_20250909_143547.rds"
1,2,2,"seed_rerun_results_median_nsims_100_SD_1_2_2_tol_0.002_tmax_1000_20250909_210338.rds"
1,3,2,"seed_rerun_results_median_nsims_100_SD_1_3_2_tol_0.002_tmax_1500_20250909_180831.rds"
1,4,2,"seed_rerun_results_median_nsims_100_SD_1_4_2_tol_0.002_tmax_1000_20250916_063501.rds"
2,4,3,"seed_rerun_results_median_nsims_100_SD_2_4_3_tol_0.002_tmax_1000_20250916_074152.rds"
2,4,3,"seed_rerun_results_median_nsims_100_SD_2_4_3_tol_0.002_tmax_500_20250916_082728.rds"
3,4,3,"seed_rerun_results_median_nsims_100_SD_3_4_3_tol_0.002_tmax_500_20250916_094434.rds"
3,4,3,"seed_rerun_results_median_nsims_100_SD_3_4_3_tol_0.002_tmax_500_20250916_094639.rds"
4,5,4,"seed_rerun_results_median_nsims_100_SD_4_5_4_tol_0.002_tmax_1000_20250916_101734.rds"
1,3,2,"seed_rerun_results_median_nsims_1000_SD_1_3_2_tol_0.002_tmax_1000_20250909_224339.rds"
4,5,4,"seed_rerun_results_median_nsims_1585_SD_4_5_4_tol_0.002_tmax_750.rds"
3,4,3,"seed_rerun_results_median_nsims_2000_SD_3_4_3_tol_0.002_tmax_500_20250916_221027.rds"
3,4,3,"seed_rerun_results_median_nsims_2000_SD_3_4_3_tol_0.002_tmax_500_20250916_225551.rds"
1,4,2,"seed_rerun_results_median_nsims_50_SD_1_4_2_tol_0.002_tmax_1000_20250916_051255.rds"
1,4,2,"seed_rerun_results_median_nsims_50_SD_1_4_2_tol_0.002_tmax_1000_20250916_051542.rds"
1,4,2,"seed_rerun_results_median_nsims_50_SD_1_4_2_tol_0.002_tmax_1000_20250916_055123.rds"
1,4,2,"seed_rerun_results_median_nsims_50_SD_1_4_2_tol_0.002_tmax_1000_20250916_055217.rds"
1,4,2,"seed_rerun_results_median_nsims_50_SD_1_4_2_tol_0.002_tmax_1000_20250916_064722.rds"
1,4,2,"seed_rerun_results_median_nsims_50_SD_1_4_2_tol_0.002_tmax_1000_20250916_064805.rds"
2,4,3,"seed_rerun_results_median_nsims_50_SD_2_4_3_tol_0.002_tmax_500_20250916_090906.rds"
3,4,3,"seed_rerun_results_median_nsims_50_SD_3_4_3_tol_0.002_tmax_1000_20250916_072800.rds"
3,4,3,"seed_rerun_results_median_nsims_50_SD_3_4_3_tol_0.002_tmax_1000_20250916_074517.rds"
3,4,3,"seed_rerun_results_median_nsims_50_SD_3_4_3_tol_0.002_tmax_1000_20250916_081042.rds"
3,4,3,"seed_rerun_results_median_nsims_50_SD_3_4_3_tol_0.002_tmax_1000_20250916_082740.rds"
3,4,3,"seed_rerun_results_median_nsims_50_SD_3_4_3_tol_0.002_tmax_500_20250916_090841.rds"
1,4,2,"seed_rerun_results_nsim_75_SD_1_4_2_tol_0.002_tmax_1000_CV_0.15_slope_0.02.rds"
