"Year","Species","min_yield_t","median_yield_t","max_yield_t","q05_yield_t","q95_yield_t","ObsYield_t"
1841,"antarctic krill",0,0,0,0,0,NA
1841,"baleen whales",0,0,0,0,0,NA
1841,"bathypelagic fishes",0,0,0,0,0,NA
1841,"minke whales",0,0,0,0,0,NA
1841,"orca",0,0,0,0,0,NA
1841,"shelf and coastal fishes",0,0,0,0,0,NA
1841,"sperm whales",0,0,0,0,0,NA
1841,"squids",0,0,0,0,0,NA
1841,"toothfishes",0,0,0,0,0,NA
1842,"antarctic krill",0,0,0,0,0,NA
1842,"baleen whales",0,0,0,0,0,NA
1842,"bathypelagic fishes",0,0,0,0,0,NA
1842,"minke whales",0,0,0,0,0,NA
1842,"orca",0,0,0,0,0,NA
1842,"shelf and coastal fishes",0,0,0,0,0,NA
1842,"sperm whales",0,0,0,0,0,NA
1842,"squids",0,0,0,0,0,NA
1842,"toothfishes",0,0,0,0,0,NA
1843,"antarctic krill",0,0,0,0,0,NA
1843,"baleen whales",0,0,0,0,0,NA
1843,"bathypelagic fishes",0,0,0,0,0,NA
1843,"minke whales",0,0,0,0,0,NA
1843,"orca",0,0,0,0,0,NA
1843,"shelf and coastal fishes",0,0,0,0,0,NA
1843,"sperm whales",0,0,0,0,0,NA
1843,"squids",0,0,0,0,0,NA
1843,"toothfishes",0,0,0,0,0,NA
1844,"antarctic krill",0,0,0,0,0,NA
1844,"baleen whales",0,0,0,0,0,NA
1844,"bathypelagic fishes",0,0,0,0,0,NA
1844,"minke whales",0,0,0,0,0,NA
1844,"orca",0,0,0,0,0,NA
1844,"shelf and coastal fishes",0,0,0,0,0,NA
1844,"sperm whales",0,0,0,0,0,NA
1844,"squids",0,0,0,0,0,NA
1844,"toothfishes",0,0,0,0,0,NA
1845,"antarctic krill",0,0,0,0,0,NA
1845,"baleen whales",0,0,0,0,0,NA
1845,"bathypelagic fishes",0,0,0,0,0,NA
1845,"minke whales",0,0,0,0,0,NA
1845,"orca",0,0,0,0,0,NA
1845,"shelf and coastal fishes",0,0,0,0,0,NA
1845,"sperm whales",0,0,0,0,0,NA
1845,"squids",0,0,0,0,0,NA
1845,"toothfishes",0,0,0,0,0,NA
1846,"antarctic krill",0,0,0,0,0,NA
1846,"baleen whales",0,0,0,0,0,NA
1846,"bathypelagic fishes",0,0,0,0,0,NA
1846,"minke whales",0,0,0,0,0,NA
1846,"orca",0,0,0,0,0,NA
1846,"shelf and coastal fishes",0,0,0,0,0,NA
1846,"sperm whales",0,0,0,0,0,NA
1846,"squids",0,0,0,0,0,NA
1846,"toothfishes",0,0,0,0,0,NA
1847,"antarctic krill",0,0,0,0,0,NA
1847,"baleen whales",0,0,0,0,0,NA
1847,"bathypelagic fishes",0,0,0,0,0,NA
1847,"minke whales",0,0,0,0,0,NA
1847,"orca",0,0,0,0,0,NA
1847,"shelf and coastal fishes",0,0,0,0,0,NA
1847,"sperm whales",0,0,0,0,0,NA
1847,"squids",0,0,0,0,0,NA
1847,"toothfishes",0,0,0,0,0,NA
1848,"antarctic krill",0,0,0,0,0,NA
1848,"baleen whales",0,0,0,0,0,NA
1848,"bathypelagic fishes",0,0,0,0,0,NA
1848,"minke whales",0,0,0,0,0,NA
