"Year","Species","n","min_t","q05_t","q25_t","median_t","q75_t","q95_t","max_t","ObsYield_t"
1841,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1841,"other krill",2111,0,0,0,0,0,0,0,NA
1841,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1841,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1841,"salps",2111,0,0,0,0,0,0,0,NA
1841,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1841,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1841,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1841,"flying birds",2111,0,0,0,0,0,0,0,NA
1841,"small divers",2111,0,0,0,0,0,0,0,NA
1841,"squids",2111,0,0,0,0,0,0,0,NA
1841,"toothfishes",2111,0,0,0,0,0,0,0,NA
1841,"leopard seals",2111,0,0,0,0,0,0,0,NA
1841,"medium divers",2111,0,0,0,0,0,0,0,NA
1841,"large divers",2111,0,0,0,0,0,0,0,NA
1841,"minke whales",2111,0,0,0,0,0,0,0,NA
1841,"orca",2111,0,0,0,0,0,0,0,NA
1841,"sperm whales",2111,0,0,0,0,0,0,0,NA
1841,"baleen whales",2111,0,0,0,0,0,0,0,NA
1842,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1842,"other krill",2111,0,0,0,0,0,0,0,NA
1842,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1842,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1842,"salps",2111,0,0,0,0,0,0,0,NA
1842,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1842,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1842,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1842,"flying birds",2111,0,0,0,0,0,0,0,NA
1842,"small divers",2111,0,0,0,0,0,0,0,NA
1842,"squids",2111,0,0,0,0,0,0,0,NA
1842,"toothfishes",2111,0,0,0,0,0,0,0,NA
1842,"leopard seals",2111,0,0,0,0,0,0,0,NA
1842,"medium divers",2111,0,0,0,0,0,0,0,NA
1842,"large divers",2111,0,0,0,0,0,0,0,NA
1842,"minke whales",2111,0,0,0,0,0,0,0,NA
1842,"orca",2111,0,0,0,0,0,0,0,NA
1842,"sperm whales",2111,0,0,0,0,0,0,0,NA
1842,"baleen whales",2111,0,0,0,0,0,0,0,NA
1843,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1843,"other krill",2111,0,0,0,0,0,0,0,NA
1843,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1843,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1843,"salps",2111,0,0,0,0,0,0,0,NA
