microzooplankton,mesozooplankton,other.macrozooplankton,euphausiids,salps,mesopelagic.fishes,bathypelagic.fishes,shelf.and.coastal.fishes,flying.birds,small.divers,squids,toothfishes,leopard.seals,medium.divers,large.divers,minke.whales,orca,sperm.whales,baleen.whales
1,1,0.5,1,1,0.125,0.125,0.13736263736263737,0.05,0.1,0.25,0.25,0.1,0.16666666666666666,0.16666666666666666,0.05,0.2,0.125,0.2
1,1,0.5,1,1,0.125,0.125,0.13736263736263737,0.05,0.1,0.25,0.25,0.1,0.16666666666666666,0.16666666666666666,0.05,0.2,0.125,0.2
0.5,0.5,1,0.5,0.5,0.25,0.25,0.1456,0.025,0.05,0.5,0.5,0.05,0.3333333333333333,0.3333333333333333,0.025,0.1,0.25,0.1
1,1,0.5,1,1,0.125,0.125,0.13736263736263737,0.05,0.1,0.25,0.25,0.1,0.16666666666666666,0.16666666666666666,0.05,0.2,0.125,0.2
1,1,0.5,1,1,0.125,0.125,0.13736263736263737,0.05,0.1,0.25,0.25,0.1,0.16666666666666666,0.16666666666666666,0.05,0.2,0.125,0.2
0.125,0.125,0.25,0.125,0.125,1,1,0.0728,0.0125,0.025,0.5,0.5,0.025,0.375,0.375,0.0125,0.05,0.5,0.05
0.125,0.125,0.25,0.125,0.125,1,1,0.0728,0.0125,0.025,0.5,0.5,0.025,0.375,0.375,0.0125,0.05,0.5,0.05
0.13736263736263737,0.13736263736263737,0.1456,0.13736263736263737,0.13736263736263737,0.0728,0.0728,1,0.006868131868131869,0.013736263736263738,0.0728,0.0728,0.013736263736263738,0.04853333333333334,0.04853333333333334,0.006868131868131869,0.027472527472527476,0.0364,0.027472527472527476
0.05,0.05,0.025,0.05,0.05,0.0125,0.0125,0.006868131868131869,0,0,0.0125,0.0125,0,0,0,0,0,0,0
0.1,0.1,0.05,0.1,0.1,0.025,0.025,0.013736263736263738,0,0,0.025,0.025,1,0,0,0,1,0,0
0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.0728,0.0125,0.025,1,1,0.025,0.375,0.375,0.0125,0.05,0.5,0.05
0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.0728,0.0125,0.025,1,1,0.025,0.375,0.375,0.0125,0.05,0.5,0.05
0.1,0.1,0.05,0.1,0.1,0.025,0.025,0.013736263736263738,0,1,0.025,0.025,1,0.26666666666666666,0.26666666666666666,1,1,0.2,1
0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.375,0.375,0.04853333333333334,0,0,0.375,0.375,0.26666666666666666,0,0,0,0.5333333333333333,0,0
0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.375,0.375,0.04853333333333334,0,0,0.375,0.375,0.26666666666666666,0,0,0,0.5333333333333333,0,0
0.05,0.05,0.025,0.05,0.05,0.0125,0.0125,0.006868131868131869,0,0,0.0125,0.0125,1,0,0,0,1,0,0
0.2,0.2,0.1,0.2,0.2,0.05,0.05,0.027472527472527476,0,1,0.05,0.05,1,0.5333333333333333,0.5333333333333333,1,1,0.4,1
0.125,0.125,0.25,0.125,0.125,0.5,0.5,0.0364,0,0,0.5,0.5,0.2,0,0,0,0.4,0,0
0.2,0.2,0.1,0.2,0.2,0.05,0.05,0.027472527472527476,0,0,0.05,0.05,1,0,0,0,1,0,0
