"period","start_year","end_year","fishing_median","fishing_mean","climate_median","climate_mean","median_diff","median_ratio","mean_diff","mean_ratio","metric"
"Pre-whaling",1841,1880,565311.209468186,1737632.24418722,565311.209468186,1737632.24418722,1.16415321826935e-10,100,0,100,"LTL"
"Early whaling",1900,1920,533587.667234629,1732479.86548086,533587.667234629,1732479.86548086,-1.16415321826935e-10,100,0,100,"LTL"
"Peak whaling",1930,1965,341500.580449466,1674454.05229747,512548.652508096,1883641.12839781,-171048.07205863,66.6279344952667,-209187.076100341,88.894536600065,"LTL"
"Post-whaling",1970,1976,253841.961649016,1303525.39315789,497703.592889442,1910300.5236856,-243861.631240426,51.0026379707899,-606775.130527701,68.2366662729573,"LTL"
"Krill fishing",1977,1995,211342.02307703,733633.320574225,494636.756743333,1950915.86382191,-283294.733666303,42.7267121166848,-1217282.54324768,37.6045596931593,"LTL"
"Modern",2001,2010,200688.136217869,674195.256895647,485579.633018981,1969472.35195112,-284891.496801111,41.3296033382077,-1295277.09505547,34.2322783169683,"LTL"
"Pre-whaling",1841,1880,9345.91961761852,1013209.97565209,9345.91961761785,1013209.97565209,6.71207089908421e-10,100.000000000007,4.65661287307739e-10,100,"Krill"
"Early whaling",1900,1920,9032.07771410059,1032299.44912742,9032.07771410015,1032299.44912742,4.38376446254551e-10,100.000000000005,0,100,"Krill"
"Peak whaling",1930,1965,8521.14473846947,1181118.80336673,8878.82312519394,1200486.64176327,-357.678386724474,95.9715563461384,-19367.838396535,98.3866677293395,"Krill"
"Post-whaling",1970,1976,6224.72719251826,900308.299739912,8636.70339063785,1239158.25338427,-2411.97619811959,72.0729531972331,-338849.953644363,72.654828169128,"Krill"
"Krill fishing",1977,1995,2819.74036464825,352567.137374517,8846.79171432698,1283973.27725823,-6027.05134967873,31.8730275980366,-931406.13988371,27.4590712765753,"Krill"
"Modern",2001,2010,3275.08513837946,300901.794927011,8909.65858192282,1315004.74289646,-5634.57344354337,36.7588175042354,-1014102.94796945,22.882183243251,"Krill"
