"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,5045307070426.01,21975564763178.9,41257102333468.2,550897678649.582,3031212929986.96,22717127844867.1,97225503864453.4,3.42207608038168,14.9053473810868,5045307.07042601,21975564.7631789
1842,2111,5050688741529.68,21973465268621.6,41242379718737.5,552949296291.331,3031937817174.05,22747441661647.3,97375784663347.3,3.42572630180513,14.903923358722,5050688.74152968,21973465.2686216
1843,2111,5053433879648.14,21934940649951.3,41141738877233.9,553016772648.692,3028928463769.46,22716526275123.6,97254466979240.8,3.42758824427194,14.8777932988035,5053433.87964814,21934940.6499513
1844,2111,5069486629663.62,21919368866505.5,41078632167378.1,554979140642.246,3033952083269.49,22733937072213.5,97095809044209.1,3.43847632919631,14.8672314386601,5069486.62966362,21919368.8665055
1845,2111,5017048774927.24,21747397955107.4,40704620810945.2,547436710668.388,3009069603948.11,22459460463125.7,96395806751830.1,3.40290935063682,14.7505888767303,5017048.77492724,21747397.9551074
1846,2111,5056256461390.71,21830309636347.7,40855172143154.6,555477649415.177,3027653148093.05,22630113914233.7,96716156895349.5,3.42950271435896,14.8068253113409,5056256.4613907,21830309.6363477
1847,2111,5022918319426.11,21745285440051.8,40665363205593.6,552725046398.663,3015687446786.24,22554481169231.2,96479182117131.4,3.40689048152775,14.7491560229633,5022918.31942611,21745285.4400518
1848,2111,5015015146523.78,21702284958366.8,40566941615099,552494503833.612,3012186751877.81,22512901115998.9,96289838692436.9,3.40153000325147,14.7199901232936,5015015.14652378,21702284.9583668
1849,2111,5031680296530.27,21691877479749.1,40524268152379,554485816119.345,3015823190878.11,22496761449841.8,96141733682648.5,3.41283346019019,14.7129310517371,5031680.29653027,21691877.4797491
1850,2111,4989717952962.69,21572839633688.1,40264146008070.6,549722327737.105,2999463693837.85,22302036118593.5,95793517440710.4,3.38437169756704,14.6321913544344,4989717.95296269,21572839.6336881
1851,2111,5013935635994.98,21576787105566.6,40251311839891.8,552840078624.111,3005201479747.5,22425069094736.4,95666002038349.8,3.40079780457505,14.6348688027848,5013935.63599498,21576787.1055666
1852,2111,5013929501799.84,21539547489215.8,40157132068155.2,553260674227.867,3004624742139.23,22389119126640,95442004906538.8,3.40079364393979,14.6096103202826,5013929.50179984,21539547.4892158
1853,2111,5002491061299.41,21482976998920.3,40018388451029.5,552700610282.266,2998442841367.45,22334418470287.7,95183651199198.3,3.3930353027552,14.5712403025625,5002491.06129941,21482976.9989203
1854,2111,5009033382607.19,21472757009570.3,39971531443042.3,555173526362.432,3002714371265.86,22295275361163.4,95081923471750.5,3.39747275739275,14.5643083991901,5009033.38260719,21472757.0095703
1855,2111,5004832648395.74,21426626594606.9,39859260184917.1,555112470878.744,2998644233473.45,22241601243681.8,94862287327617.8,3.39462352901787,14.5330195623719,5004832.64839574,21426626.5946069
1856,2111,5000015850899.6,21399003011524.3,39782652073039.8,556294874858.844,2998026700067.13,22197168171735.2,94704261816004.7,3.39135644392959,14.5142833384707,5000015.8508996,21399003.0115243
1857,2111,4955878357540.96,21271563369570.1,39511553909327.6,550753989911.504,2978878994897.61,22112739338172.2,94203150352320.2,3.36141934433144,14.4278449623053,4955878.35754096,21271563.3695701
1858,2111,4943108321107.18,21089332980846.4,39135253128788.6,541922506746.477,2956732377967.74,21743373358168,93575102768752.8,3.35275782272024,14.3042437135279,4943108.32110718,21089332.9808464
1859,2111,4937886669188.02,21067255722689.5,39080454490202.4,542984303913.443,2955485049846.15,21757668121659,93441470501296.8,3.34921613737122,14.2892693906562,4937886.66918802,21067255.7226895
1860,2111,4934308283583.25,21151341516156.7,39239296403846.9,550395979778.86,2967882929195.47,21913849092431.4,93627974591371.2,3.34678902884967,14.3463021893556,4934308.28358325,21151341.5161567
1861,2111,4927470527489.33,21022769591569.1,38960317364491.9,544527574773.791,2953067201216.88,21769075261272.7,93173394381029,3.34215118991423,14.2590958208237,4927470.52748933,21022769.5915691
1862,2111,4931899188242.75,21074807976432.3,39043381202850.7,550504400597.147,2964180632496.15,21784267349515.4,93271297457020.8,3.34515501382838,14.2943918512965,4931899.18824275,21074807.9764323
1863,2111,4939595913824.86,21039273255360,38947034082221.9,550990652966.832,2962975562171.31,21736423248918.3,93098305591305.9,3.35037546525862,14.2702897466461,4939595.91382486,21039273.25536
1864,2111,4943091294327.77,21025946853829.7,38890446506994.6,553272449675.753,2968816510846.75,21710920166148.6,92988578649444,3.35274627398124,14.2612508597602,4943091.29432777,21025946.8538297
1865,2111,4905715010063.38,20862568530492.7,38538636196239,545966991478.622,2946770824161.63,21566452317244.3,92395229302767.4,3.327395093851,14.1504363851325,4905715.01006337,20862568.5304927
1866,2111,4932262061758.46,20941746050792.4,38681188503193.2,554169160672.482,2964052052877.89,21601435242260.3,92450947245365,3.34540113973528,14.2041400536188,4932262.06175846,20941746.0507924
1867,2111,4911402093336.7,20860619549197.9,38503242891085.9,551506313655.404,2952641566086.46,21510256884118.8,92133853904228.5,3.33125246692366,14.1491144512687,4911402.0933367,20860619.5491979
1868,2111,4903168873593.76,20819508875352.8,38411256821557.8,551314623736.927,2948601396932,21460317334514.5,92020038695812.9,3.32566812806112,14.1212303499345,4903168.87359376,20819508.8753527
1869,2111,4909105207235.2,20809708307628.2,38372587722250,553307177748.348,2950573674846.24,21421258109577.2,91924569447946.7,3.32969455996625,14.1145829273066,4909105.2072352,20809708.3076282
1870,2111,4878960332543.79,20696187021026.1,38128254710680.1,548036147526.005,2936190708249.03,21300547983816.1,91606370789248,3.30924822177759,14.0375849420359,4878960.33254379,20696187.0210261
1871,2111,4895389190200.99,20700054462475.9,38117284471323.7,550122111767.822,2938593584000.12,21268937715443,91479464991104.7,3.32039140890811,14.0402081082164,4895389.19020099,20700054.4624759
1872,2111,4891517105628.7,20664720819335.4,38029829741614.3,549303962007.345,2937010995944.98,21207651589230.1,91289888865284.7,3.31776509344087,14.0162423885217,4891517.1056287,20664720.8193353
1873,2111,4879763724976.99,20611048287472.8,37900525564549.9,547412119128.111,2932046994284.17,21148669024568.5,91066709727719.1,3.30979313807117,13.9798379665714,4879763.72497699,20611048.2874728
1874,2111,4876764436666.23,20601579453342.2,37857783231210.5,548426324493.207,2936738753612.12,21201949967991.2,90968229874900.3,3.30775881337237,13.9734155486025,4876764.43666623,20601579.4533422
1875,2111,4861310918456.19,20557720984734.8,37752965625517.7,547071389129.764,2933216690937.61,21191460858077.2,90849514877198.7,3.29727716888847,13.943667702882,4861310.91845619,20557720.9847348
1876,2111,4858602976247.24,20531611470149.4,37682029751223.2,546989579700.091,2932527505058.32,21180443780122.2,90748518297428,3.29544045525916,13.9259584249162,4858602.97624724,20531611.4701494
1877,2111,4836895025649.19,20410006682135.1,37426938994742.4,539156773003.178,2916608375683.37,20939134959160.5,90574969517900.3,3.28071662230732,13.8434776501061,4836895.02564919,20410006.6821351
1878,2111,4785483310642.99,20235959729043.1,37072010620871.6,528389393582.575,2895360034825.11,20755910827452,90222397269322,3.24584564265865,13.725426973165,4785483.31064299,20235959.7290431
1879,2111,4773311418344.28,20214778835458.3,37020611736743.4,529553362587.553,2894597869859.31,20740931152949.5,90104349585509.1,3.23758982375467,13.7110606267195,4773311.41834428,20214778.8354583
1880,2111,4802304379597.52,20295277360164.5,37171807623133.5,538123939625.241,2905563890836.23,20871391554041.8,90236879290904.8,3.25725485460794,13.7656602917266,4802304.37959752,20295277.3601645
1881,2111,4764480720757.12,20172909335105.6,36910241782445.8,530977063858.895,2890852121909.41,20721670737062.5,89855873573059.2,3.23160023410942,13.6826618367838,4764480.72075712,20172909.3351056
1882,2111,4789449655457.25,20223047788114.4,36990112862453.4,538269641291.21,2900643764574.59,20836062420057,90005314926091.2,3.24853589193901,13.7166692021143,4789449.65545725,20223047.7881144
1883,2111,4794823751545.94,20189696272842.6,36901089234557.2,538832906369.09,2899180072337.01,20829762213212.9,89832214537449.4,3.25218097546357,13.6940478985815,4794823.75154594,20189696.2728426
1884,2111,4796086573769.83,20177553955949.3,36849642762613,541578638784.817,2903114837890.56,20902635264340.6,89723928704349,3.25303750880551,13.6858121397623,4796086.57376983,20177553.9559493
1885,2111,4757907555710.17,20021848687122.8,36518526262154.6,532439073632.516,2882355990526.49,20655278691352.6,89127816949620.4,3.22714185911548,13.5802020612076,4757907.55571017,20021848.6871228
1886,2111,4783602008519.63,20097578687579.4,36653781306399.4,542524512014.66,2898250370206.76,20839018172557.4,89347132941555.8,3.24456961348808,13.6315673833797,4783602.00851963,20097578.6875794
1887,2111,4764538744999.09,20020278804043,36486942557655.6,539160249055.049,2887406634441.39,20759340075489.3,89003247088693.9,3.23163959016204,13.5791372579634,4764538.74499909,20020278.804043
1888,2111,4755632618748.08,19981192829665.8,36401004997722.4,538900750260.726,2884203483666.94,20704059803631.8,88838949431325.9,3.22559883958194,13.5526264477932,4755632.61874808,19981192.8296658
1889,2111,4759618821392.12,19972208130605.3,36366087738429.3,541364754515.128,2886671453451.83,20739645105468.9,88756817246639.8,3.2283025578154,13.5465324037012,4759618.82139212,19972208.1306053
1890,2111,4734743777975.95,19864142220771.6,36136678092729,535505768091.545,2871549037429.15,20588933229210.5,88498967014720.1,3.21143058354611,13.4732346321316,4734743.77797595,19864142.2207716
1891,2111,4744554616610.51,19868125527262.8,36127479552241,539221198153.158,2875986734476.85,20613710609933.7,88483795406180.1,3.21808497261523,13.475936385994,4744554.61661051,19868125.5272628
1892,2111,4744648808095.06,19834773481631.9,36046424534417.3,539647701920.52,2874190793803.63,20601951751389.7,88386608912442,3.21814885979231,13.453314722735,4744648.80809506,19834773.4816319
1893,2111,4739825080842.25,19784009964960.9,35926128988629.4,538850882685.963,2869921804301.09,20545746946727.2,88178819667498.1,3.21487707446395,13.4188833960128,4739825.08084225,19784009.9649609
1894,2111,4743417257530.84,19775357438950.2,35887315631816.5,541808708429.809,2873885773321.09,20613664427624.1,88067210140092.2,3.21731353705204,13.4130146546492,4743417.25753084,19775357.4389502
1895,2111,4735637409279.33,19733740799626.4,35789549392838.9,541632273644.434,2870860971478.52,20584065342758.2,87835447339451.4,3.21203670608043,13.3847873725457,4735637.40927933,19733740.7996264
1896,2111,4734895245808.41,19709124950559.3,35723964287612.1,543022626902.212,2870311306593.87,20583978381750.8,87688993499387.7,3.21153331950235,13.3680912018043,4734895.24580841,19709124.9505593
1897,2111,4704328516558.36,19593146923245.7,35484005943745.6,536194628365.374,2852560988576.29,20396954476379.3,87109686744087.6,3.1908008503856,13.2894268851275,4704328.51655836,19593146.9232456
1898,2111,4648921202598.28,19426984249425.6,35149309399530,526166940467.212,2832989334641.68,20255952420644.7,86648139727529.1,3.15321977927649,13.1767238714962,4648921.20259828,19426984.2494256
1899,2111,4643145530945.4,19406655368792.8,35101027320712.7,527348097971.426,2832392239172.23,20237853087551.5,86538555782543.8,3.14930231943994,13.1629354191417,4643145.5309454,19406655.3687928
1900,2111,4672738830593.06,19483715071899.4,35244979418363.6,535788308630.54,2844027274597.19,20327910363267.4,86499160617204.9,3.16937454129883,13.2152026375848,4672738.83059306,19483715.0718994
1901,2111,4637558922274.39,19367331247497.6,34999982094563.1,528791419974.365,2830677632602.67,20180760206447.3,86325796642262.7,3.14551309518923,13.1362630812665,4637558.92227439,19367331.2474976
1902,2111,4668911264152.09,19415680558772.2,35076986130690.1,535946781984.089,2839662804034.31,20267771578063.6,86263070553659.3,3.16677842110617,13.1690569269743,4668911.26415209,19415680.5587722
1903,2111,4669316078082.3,19384477179933.3,34995098767292.6,536508578282.723,2837939803831.68,20262199447442.9,86162324503031.7,3.16705299390189,13.1478926380894,4669316.0780823,19384477.1799333
1904,2111,4679839396897.9,19373526054344,34948754175032,539250067513.165,2842528797878.34,20289756011214,86075829120432.3,3.17419063628964,13.1404648275697,4679839.3968979,19373526.054344
1905,2111,4637063452825.68,19225268536310.7,34637507860396.2,530115794090.249,2823776782640.12,20083877766328.5,85892563834436.9,3.14517703355308,13.0399063285296,4637063.45282568,19225268.5363107
1906,2111,4672031099739.4,19297645321377.2,34765723024879,539630036768.138,2839333672752.55,20247972237852,85857955998819,3.16889450930239,13.0889972681878,4672031.0997394,19297645.3213772
1907,2111,4651858751138.66,19224020779768,34609404504881.2,536655968652.749,2827855355792.02,20161364632662.5,85721109112251.5,3.15521222779442,13.0390600137743,4651858.75113866,19224020.779768
1908,2111,4642370552309.57,19186919028365.7,34529353678166.6,535990417567.809,2825044251543.58,20136063436769.5,85614605212545.2,3.14877667534822,13.0138950408119,4642370.55230957,19186919.0283657
1909,2111,4647033357498.01,19178741312259.7,34498087037044.5,537493477393.056,2827400527802.88,20162693118104.4,85500914944002.2,3.15193931220661,13.0083483483534,4647033.35749801,19178741.3122597
1910,2111,4623424857540.32,19076045134795.7,34283279908872.1,532539998222.289,2814938246018.65,19991396254318.1,85358094240632.9,3.13592639527784,12.9386927005324,4623424.85754032,19076045.1347957
1911,2111,4631619514685.26,19080193829921.3,34275955980974.9,534886609353.297,2817671349748.91,20080597260974.2,85254735572247.9,3.14148457832025,12.9415066324014,4631619.51468526,19080193.8299213
1912,2111,4629691857681.67,19048869664083.7,34201397990670.3,534798861524.27,2815444044037.09,20066255802568.2,85147658810091,3.14017710806501,12.9202604174229,4629691.85768166,19048869.6640837
1913,2111,4622763416271.4,19001077941663.5,34090254162779.8,533756279561.868,2812158886306.34,20028932178157.4,85038676130444.5,3.13547776007816,12.8878447670271,4622763.4162714,19001077.9416635
1914,2111,4628453691848.08,18993323437272.9,34055543768586.3,535771483528.627,2814760197154.04,20039364394644.5,84934575239250.8,3.13933729839167,12.8825851260142,4628453.69184808,18993323.4372729
1915,2111,4622812970598.42,18953995138146.2,33964879127512.1,535334371410.72,2810451362568.8,19989879560112.7,84789819397977.3,3.13551137124886,12.8559099544449,4622812.97059842,18953995.1381462
1916,2111,4622135601037.7,18930928592929.5,33904706500015.8,536090440921.039,2811614354307.87,19943821419252.5,84619471646403.3,3.13505193238043,12.8402646286914,4622135.6010377,18930928.5929295
1917,2111,4589448256369.53,18820588270748.6,33679794758188.5,530615107895.187,2795336889636.98,19798878823412.9,84284599961457.1,3.11288111527084,12.7654241934183,4589448.25636953,18820588.2707486
1918,2111,4538511474062.06,18662329893676.4,33365248328249.8,522606610487.95,2775110684226.13,19608022188631.5,83895966137848.5,3.07833226781461,12.6580824203332,4538511.47406206,18662329.8936764
1919,2111,4533595279988.51,18642899100292.2,33320043851086,523300932550.496,2773383539812.56,19574113694963.4,83777097073599.9,3.07499776509539,12.6449031128431,4533595.27998851,18642899.1002922
1920,2111,4560143089292.98,18716651615560.4,33457063309832.3,529468146988.777,2786553781591.94,19663226953430.4,83736765845324.1,3.09300432484275,12.69492716784,4560143.08929298,18716651.6155604
1921,2111,4527497861771.78,18606394138865.9,33228918763869.5,523935875969.708,2771515180458.64,19516083434994.6,83457308995237.2,3.07086207449415,12.6201429241037,4527497.86177178,18606394.1388659
1922,2111,4556313219467.68,18653157657515.1,33303643021894.6,529140377800.707,2782901228414.72,19607956085901.5,83383112959103.2,3.09040664233558,12.6518611756134,4556313.21946768,18653157.6575151
1923,2111,4556902463620.92,18624331026036.3,33229530634876.9,529556784309.295,2781640709704.19,19577127781052.1,83141041614655.8,3.09080630845979,12.632308961113,4556902.46362092,18624331.0260363
1924,2111,4568541638727.44,18614819277255.5,33189037667329.3,531959338147.342,2784323364089.35,19542297579876.4,82947811842504.4,3.09870080173273,12.6258574354613,4568541.63872744,18614819.2772555
1925,2111,4525786517369.5,18474289626809.6,32898466327927.3,524571271618.846,2765805451240.53,19442786365312.4,82605401599388.4,3.06970132240065,12.5305405105126,4525786.5173695,18474289.6268096
1926,2111,4561037636030.2,18543376272570.5,33019608718972.5,533309726054.019,2780865030924.92,19470150322439.2,82769362368246.2,3.09361106828759,12.5773998502182,4561037.6360302,18543376.2725705
1927,2111,4541412004324.91,18473598476719.6,32874147125294.8,530801427155.726,2770918529308.18,19443907910778.4,82407709385945.4,3.08029960797733,12.5300717247364,4541412.00432491,18473598.4767196
1928,2111,4532255513722.78,18438689656274.8,32800657090059.4,530657573413.445,2768057753650.34,19419740470390.1,82177750078577,3.07408904298448,12.5063941491655,4532255.51372278,18438689.6562748
1929,2111,4536088759047.61,18431485308187.9,32773529277976.3,532646897788.87,2772072968363.05,19383874147736.8,82354062047889.2,3.07668901498881,12.5015076621948,4536088.75904761,18431485.3081879
1930,2111,4512539479628.31,18334496232884.6,32574689165086.6,527561315377.147,2757591713813,19326952419442.3,81596866981248,3.06071626552359,12.43572296564,4512539.47962831,18334496.2328846
1931,2111,4520722708807.33,18338945972475.9,32569817351859.8,530723005919.461,2761560802992.26,19291443620730.8,81600972899800.4,3.0662666973294,12.4387410866793,4520722.70880733,18338945.9724759
1932,2111,4518445321515.28,18309835483322.5,32502774652071.3,531082556125.308,2759738673019.09,19249182794310.4,81510203199144.7,3.06472201581268,12.4189963402785,4518445.32151528,18309835.4833225
1933,2111,4511948145133.28,18265237807330.8,32402155544536,530432367441.26,2756067191532.19,19203903638952.3,81222980238258.6,3.06031518158505,12.3887471130022,4511948.14513328,18265237.8073307
1934,2111,4516575260212.52,18258480506229.8,32372348400727.6,533092590171.43,2759307220192.46,19166267157516.2,81684479888270.9,3.06345361094382,12.3841638442055,4516575.26021252,18258480.5062298
1935,2111,4509629535168.17,18221536084437.1,32289635728065,533238008203.52,2755696082061.78,19116880010989.4,81713902397225.4,3.05874254000138,12.3591055830619,4509629.53516817,18221536.0844371
1936,2111,4509029048499.96,18200075614144.5,32235613658919.2,534556672252.141,2755182333137.35,19072645534075.9,81924358999775.3,3.05833524842622,12.3445496083637,4509029.04849996,18200075.6141445
1937,2111,4478859693662.06,18095625774905.1,32027567136491.8,528158274488.355,2738384159032.63,19000870162922.6,81123858701933.1,3.03787230610969,12.273704505881,4478859.69366206,18095625.7749051
1938,2111,4430300101217.15,17945655755170.4,31735850083515.6,520900285484.604,2714270257620.44,18896229025018.3,80890958318153.4,3.0049358331737,12.1719844697871,4430300.10121715,17945655.7551704
1939,2111,4418503204980,17927233927073.3,31694682364882.7,521344782761.524,2713327169400.42,18860049334418.5,80669675357243.6,2.99693436252536,12.1594895123132,4418503.20498,17927233.9270733
1940,2111,4442449564045.1,17997453067765.1,31824210901543.8,527289298072.695,2723826008737.03,18877197179721.6,80570443313567.8,3.01317643885987,12.20711698838,4442449.5640451,17997453.0677651
1941,2111,4403603915150.52,17893474280666.3,31614673428901.4,523003592070.407,2712106202736.98,18808800173877.4,80332234358221.7,2.9868286340477,12.1365913860269,4403603.91515052,17893474.2806663
1942,2111,4435717381805.13,17938257470781.2,31685997832265.9,527788013381.806,2720331652080.22,18798426876654.6,80337698177637.8,3.0086102074114,12.1669664418077,4435717.38180513,17938257.4707812
