"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,9401365851.65575,1016862809178.75,4282581428468.21,1220352385.59851,4075238462.74869,41860135327.0519,5094406669399.87,0.000482121325725936,0.0521468107271156,9401.36585165575,1016862.80917875
1842,2111,9337078593.97946,1027249254319.03,4343070092888.28,1223143020.95535,4077546007.78377,41342614147.9548,5065086027680.04,0.000478824543280998,0.0526794489394372,9337.07859397946,1027249.25431902
1843,2111,9541906516.81401,1053852245106.87,4441185696493.12,1276954881.20955,4164079635.94403,41353001327.2717,5124771945779.12,0.000489328539323796,0.0540437048772753,9541.90651681401,1053852.24510687
1844,2111,9598159239.58927,1049069937611.76,4401146834611.84,1297778554.02631,4211602336.05196,41140323526.2152,5086518458671.84,0.000492213294337911,0.0537984583390648,9598.15923958927,1049069.93761176
1845,2111,9780448647.53396,1060807830895.99,4433090710703.17,1332443610.42513,4321366374.39857,41984438654.6917,5210938124196.71,0.000501561469104306,0.0544004015844099,9780.44864753396,1060807.83089599
1846,2111,9246178908.25757,1006694748241.52,4242002113592.75,1242169031.24669,4073668125.66774,39534216455.8438,4913428398724.48,0.000474163020936286,0.0516253717046931,9246.17890825757,1006694.74824152
1847,2111,9286089093.96131,1017015008334.89,4333337568554.55,1212269951.89493,4060933957.04372,39694396946.1259,4938765855957.96,0.000476209697126221,0.0521546158120455,9286.08909396131,1017015.00833489
1848,2111,9271900050.80455,1014907704049.65,4324422846275.97,1197634234.17511,4057006318.47561,39654057274.1113,4940228334743.34,0.000475482053887413,0.0520465489256233,9271.90005080455,1014907.70404965
1849,2111,9229864541.67495,1014697139558.45,4327536972836.94,1182918476.72576,4031922484.95725,39223914602.4159,4914488505932.67,0.000473326386752561,0.0520357507465873,9229.86454167495,1014697.13955845
1850,2111,9503313100.61003,1033811324564.34,4374545101712.62,1219989653.15815,4126185023.80061,40140751489.7145,5034135159356.74,0.000487349389774873,0.0530159653622739,9503.31310061002,1033811.32456434
1851,2111,9333901123.33228,1015611232985.89,4295937872495.97,1202436161.91315,4086624536.72793,39323975476.1069,4925959737478.98,0.000478661596068322,0.05208262733261,9333.90112333227,1015611.23298589
1852,2111,9352734886.98819,1024734390251.54,4331933325080.95,1221143543.25576,4137691778.38693,39259748357.9636,4919634754076.77,0.000479627430101958,0.0525504815513612,9352.73488698819,1024734.39025154
1853,2111,9490038165.85908,1035406052731.34,4357258285836.27,1255331465.08139,4181742744.8739,39566410340.7559,4954019778724.17,0.000486668623890209,0.0530977462939148,9490.03816585908,1035406.05273134
1854,2111,9349252418.21577,1018977434390.9,4288013036860.35,1249409013.09287,4151910095.23411,38764239837.2419,4866395731361.32,0.000479448841959783,0.0522552530456872,9349.25241821577,1018977.4343909
1855,2111,9252997202.13321,1013908196395.03,4284564838810.74,1243946716.36305,4131042096.49004,38526109671.9079,4821590422422.31,0.000474512677032472,0.0519952921228219,9252.99720213321,1013908.19639503
1856,2111,9211894790.77105,1006685698762.31,4269932071624.52,1227111494.43491,4079407123.25289,38094689221.5753,4770610532239.84,0.000472404861065182,0.0516249076288365,9211.89479077105,1006685.69876231
1857,2111,9387186889.40677,1021361682792.08,4339491864091.46,1240194061.51363,4110355703.47223,38672369173.7603,4871060412629.92,0.000481394199456757,0.0523775221944659,9387.18688940677,1021361.68279208
1858,2111,9663668581.72264,1041224684234.03,4411426179044.88,1267336074.36365,4217034615.40479,39874391383.2564,5042033708585.1,0.000495572747780648,0.053396137653027,9663.66858172264,1041224.68423403
1859,2111,9500480278.70257,1017813104057.62,4332609934840.65,1212591983.51754,4125149830.36897,39198651398.8751,4932600489674.91,0.000487204116856542,0.0521955437978265,9500.48027870257,1017813.10405762
