"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,5967989798492.82,7377550955279.82,5101406992102.79,850100211412.417,3423504239226.26,11259665167834.6,16681136981092.9,4.04790329950318,5.00396513105165,5967989.79849282,7377550.95527982
1842,2111,5955603705652.83,7264129393798.45,4963602156965.53,851234972945.561,3411476313829.49,11068429986380.1,16244724832529.5,4.03950219498259,4.9270347862526,5955603.70565283,7264129.39379845
1843,2111,6086706474200.49,7291146115880.32,4902324704606.63,866172509567.325,3478424595248.13,11071232071689.7,16131073561170.8,4.12842515686703,4.94535939506554,6086706.47420049,7291146.11588032
1844,2111,6161516740393.83,7386626926167.74,4943744961484.84,891986832797.492,3554454431760.29,11167294965032.1,16350211261549.5,4.17916665167273,5.01012108200731,6161516.74039383,7386626.92616774
1845,2111,6241737416727.87,7572515624398.8,5118651272864.14,895465422280.511,3611101481138.67,11458827563193.9,16977941336682.5,4.23357786070378,5.13620364922281,6241737.41672787,7572515.6243988
1846,2111,6029128943014.25,7386143017538.97,5035900920759.89,860850699551.576,3494456310049.67,11200615644061.3,16618888452454.5,4.08937209438946,5.00979286171854,6029128.94301425,7386143.01753897
1847,2111,5970134016216.33,7386220381807.63,5107100512349.41,833681201111,3429243813276.78,11273505842998.2,16713350545496.4,4.04935765621137,5.0098453355144,5970134.01621633,7386220.38180763
1848,2111,5938744910265.72,7324453785161.2,5067228106229.6,814098876151.13,3391358796459.31,11208415850184.2,16538033765538.2,4.02806739435837,4.96795095921581,5938744.91026572,7324453.7851612
1849,2111,5961163917314.66,7282362530863.22,5009280276465.09,807569277100.74,3381897273121.02,11123922503981.5,16395357308312.1,4.04327351495662,4.9394017604226,5961163.91731466,7282362.53086322
1850,2111,6093937643433.22,7390435504626.57,5057838971558.8,827185345223.671,3449676318620.92,11293712524614.3,16592191570273.3,4.13332983579323,5.01270432323768,6093937.64343322,7390435.50462657
1851,2111,6079170205928.71,7339377294313.14,5010838007282.48,826101041252.388,3437606282744.35,11185422613372.3,16463371933562.5,4.12331353867844,4.97807311491245,6079170.20592871,7339377.29431314
1852,2111,6112394748148.83,7331464340217.73,4959816841837.6,839237427155.766,3468414934528.42,11175759033896.2,16293008884188.6,4.14584872030882,4.97270600235477,6112394.74814883,7331464.34021773
1853,2111,6210096632962.14,7401385111685.34,4958142577205.1,858723268901.902,3545293944246.84,11213076830962.3,16375821760989.1,4.21211689355593,5.0201311037849,6210096.63296214,7401385.11168534
1854,2111,6184925692281.78,7433870644726.6,4988807626514.9,861328038575.328,3560212446449.22,11240202277591.8,16495888283810.2,4.19504422130415,5.04216503829616,6184925.69228178,7433870.6447266
1855,2111,6143689992218.15,7437246436611.82,5021055641722.17,862998792625.947,3544799219656.54,11298319962200,16588215656087,4.16707531854446,5.04445473375008,6143689.99221815,7437246.43661182
1856,2111,6130950959064.41,7421414802075.67,5021818557838.74,861766480847.13,3524506275467.26,11302229229230.6,16562371127008.7,4.1584348255013,5.03371662463139,6130950.95906441,7421414.80207567
1857,2111,6135851904211.49,7488440921450.94,5113978324773,852572936565.805,3518795416856.21,11431477686059.6,16806614957831.4,4.16175898534429,5.07917837288045,6135851.90421149,7488440.92145094
1858,2111,6143575311505.44,7549018600870.55,5192962534510.16,840667889909.097,3515435172282.53,11516103608851.1,17037966094385.6,4.16699753415624,5.12026634331579,6143575.31150544,7549018.60087055
1859,2111,6017101980969.02,7440078158840.93,5173756591027.89,799889565308.179,3417881760877.63,11375188079291.4,16863981884436.6,4.08121457720366,5.04637540354703,6017101.98096902,7440078.15884093
1860,2111,5891423056658.26,7224345742331.48,5007378841851.7,777583816896.598,3324917850628.41,11034074881713.5,16280572155282.4,3.99597044147742,4.9000507632437,5891423.05665826,7224345.74233148
1861,2111,6020265941183.69,7346360071544.5,5077392851656.59,789567503731.359,3383658479636.93,11218707887544.6,16542356156836.1,4.08336059377287,4.98280931720986,6020265.94118369,7346360.0715445
1862,2111,6055336066938.59,7292615094765.9,4985300958523.66,796704889228.008,3394153203812.73,11095677105953.2,16343748789089.7,4.10714757775751,4.94635575810881,6055336.06693859,7292615.0947659
1863,2111,6157042277205.73,7338242281493.89,4940033574443.19,818869487061.318,3480846804929.6,11144996075320.1,16235688974813.8,4.17613176138066,4.9773032707453,6157042.27720573,7338242.28149389
1864,2111,6228310940867.54,7433383259610.39,4976736868770.76,836479948633.353,3558723462348.59,11249744337682.3,16430614319562.8,4.22447109648822,5.04183446001325,6228310.94086754,7433383.25961039
1865,2111,6323687392086.97,7626774766231.64,5151322912711.45,846112469007.361,3638766812738.87,11535378751844.5,17085620084558.6,4.28916199989485,5.17300595061227,6323687.39208697,7626774.76623164
1866,2111,6123877678689.89,7440316546846.71,5065140855085.21,812736131345.757,3521092819055,11283820401577.6,16705628815715.2,4.15363723771495,5.04653709477435,6123877.67868989,7440316.54684671
1867,2111,6044661988713.69,7437493065762.15,5131927246361.11,786849355920.491,3460821873999.92,11345033988113.5,16779417039024.3,4.09990767991509,5.04462201469141,6044661.98871369,7437493.06576215
1868,2111,6019359107083.74,7372128456169.69,5087444687328.89,764899945326.755,3415996178608.1,11267208960780.9,16590845036765.8,4.08274551618909,5.00028721725143,6019359.10708374,7372128.45616969
1869,2111,6025481056253.03,7326818445738.87,5025571570680.32,753637584255.036,3398644307657.66,11186027843495.6,16435242214012.3,4.0868978453784,4.96955483550879,6025481.05625303,7326818.44573887
1870,2111,6141209568426.28,7433364818180.66,5071395332907.63,769322762745.976,3467272836700.92,11336790379991,16634337272601.5,4.1653929236359,5.04182195176059,6141209.56842628,7433364.81818066
1871,2111,6135974558712.21,7380089310329.16,5022176580515.42,764569051611.812,3466386159425.83,11215239652340.6,16516304590021.5,4.16184217810684,5.0056868189443,6135974.55871221,7380089.31032916
1872,2111,6183104595794.01,7370786959086.45,4969517085204.39,775520868232.253,3505473631067.57,11203700932120.7,16347308025288.7,4.19380902775817,4.99937732118041,6183104.59579401,7370786.95908645
1873,2111,6299354788596.74,7440315155052.69,4966701693591.73,805843907456.532,3582517646784.89,11280077321266.6,16397951729421.7,4.27265794588683,5.04653615076342,6299354.78859674,7440315.15505269
1874,2111,6271513350144.04,7472181401231.79,4996645698666.12,819394889107.426,3605130110730.59,11317933970511.6,16552091456882.7,4.25377395741151,5.06815004210816,6271513.35014404,7472181.40123178
1875,2111,6208339667249.19,7474849510510.06,5028436198533.46,811027440884.759,3586208585452.81,11347431500538,16611556005320.6,4.21092519793534,5.06995973828989,6208339.66724919,7474849.51051006
1876,2111,6178335951972.12,7458539424101.53,5028838398895.44,807120229225.859,3568581208657.67,11330838724009.8,16584643567681.5,4.19057460382104,5.05889711003189,6178335.95197212,7458539.42410153
1877,2111,6182065086545.38,7525570429652.15,5120818852047.33,802972635017.984,3564232639039.92,11469584425158.1,16811785732993.9,4.19310396071559,5.1043621724229,6182065.08654538,7525570.42965215
1878,2111,6225122608416.95,7586500473003.87,5199533106554.04,796771562819.146,3561709641764.98,11582417537975.1,17046839580828.6,4.22230854898355,5.14568914043893,6225122.60841695,7586500.47300387
1879,2111,6086775926279.58,7476830701049.94,5180038957603.87,762372731144.394,3452438345096.27,11424909295164.4,16888665031169.3,4.12847226406888,5.07130351869068,6086775.92627958,7476830.70104994
1880,2111,5955019777419.38,7259807188126.7,5013164180621.66,722446311459.863,3342295557838.4,11056042787189.8,16296808201966.8,4.03910613448271,4.92410316753499,5955019.77741938,7259807.1881267
1881,2111,6059617794459.47,7382615705443.69,5082954186288.92,731640596773.089,3403281539778.3,11252293365753.4,16555394401225.1,4.11005174139461,5.00740039478227,6059617.79445947,7382615.70544369
1882,2111,6095713655184.94,7328892952182.19,4990388987063.9,729689139229.516,3419696251702.47,11122747814238.5,16374313760896.4,4.13453444975412,4.97096190920702,6095713.65518494,7328892.95218219
1883,2111,6208521614082.15,7375216814320.54,4944763396711.65,748685519720.117,3518731970705.84,11165006986945.1,16276535563899.2,4.211048606857,5.00238195527394,6208521.61408215,7375216.81432054
1884,2111,6321660566413.17,7471344899620.51,4981406563709.76,776871692289.51,3603480496018.29,11272068514076.4,16472052932108.6,4.28778726659109,5.06758266888088,6321660.56641317,7471344.89962051
1885,2111,6405326238532.97,7666232118894.97,5156093487106.68,797164470834.384,3691162098791,11582086567835.1,17107378302162.6,4.34453510994605,5.19976865521271,6405326.23853297,7666232.11889497
1886,2111,6186956400825.86,7478967281573.11,5069893105600.45,757404835251.891,3560666958767.36,11322651707265.8,16711945867803.3,4.19642158823899,5.07275269532158,6186956.40082586,7478967.28157311
