"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,21227695206.7424,29916233876.339,27435344120.6555,2440214940.90961,10353417360.1523,42033412420.9152,80576955222.3415,0.00108859975419192,0.00153416583981225,21227.6952067424,29916.233876339
1842,2111,21476413739.288,30061775156.4748,27332206204.7576,2489243829.90594,10583760670.9441,42247514735.963,80224578523.0846,0.00110135455073272,0.00154162949520384,21476.413739288,30061.7751564748
1843,2111,22089965990.8525,30530241474.3129,27406188574.5098,2583245727.14392,10956923592.825,42856091669.8853,80760991632.8009,0.00113281876876167,0.00156565340893912,22089.9659908525,30530.2414743129
1844,2111,22174731674.6154,30530433156.8116,27196940310.6528,2610946780.16709,11057266701.7376,42933727796.3368,80387716632.7233,0.00113716572690335,0.00156566323881085,22174.7316746154,30530.4331568116
1845,2111,22244503054.2391,30693513903.0662,27507181212.7042,2603110655.31697,10972294769.5792,43232104354.0868,81902562469.0499,0.00114074374637124,0.0015740263540034,22244.5030542391,30693.5139030662
1846,2111,21474112120.3256,29809067045.9872,26792346798.305,2527709320.40833,10609152504.4296,42113397280.7215,79440107980.2291,0.00110123651899106,0.00152867010492242,21474.1121203256,29809.0670459872
1847,2111,21112377836.7984,29719424846.5098,27033334435.0386,2432833594.8744,10307083749.39,41756829733.9898,80137148763.54,0.00108268604291274,0.00152407306905178,21112.3778367984,29719.4248465098
1848,2111,21032940081.5149,29726947058.254,27054464668.3081,2417219762.51098,10276223207.2059,41843404855.0611,79973746754.8959,0.00107861231187256,0.0015244588235002,21032.9400815149,29726.947058254
1849,2111,21079953421.6007,29764683023.2034,26985667092.9788,2407394133.76791,10327480475.5875,42022032721.6944,79753309405.3967,0.00108102325238978,0.00152639400118992,21079.9534216007,29764.6830232034
1850,2111,21492756777.6842,30154252249.3471,27224524558.4302,2442117799.61406,10575185396.0424,42347642005.6248,80818201870.8604,0.00110219265526586,0.00154637191022293,21492.7567776842,30154.2522493471
1851,2111,21494239067.5633,29927287852.5084,26895444077.2784,2461166622.73553,10565264993.2258,42136729211.6643,79893437610.2327,0.00110226867013145,0.00153473271038504,21494.2390675633,29927.2878525084
1852,2111,21734405822.1064,30054086085.3656,26795508582.7998,2510645235.50762,10763640724.3947,42241608640.6499,80007731507.349,0.00111458491395417,0.0015412351838649,21734.4058221064,30054.0860853656
1853,2111,21973965016.2447,30254643217.0718,26759720783.2124,2554526257.53366,10973645386.1667,42501274245.3595,80343621011.2715,0.00112687000083306,0.00155152016497804,21973.9650162447,30254.6432170717
1854,2111,21769027963.5197,29969317737.3159,26465318406.3494,2535462695.29805,10900420659.5744,42058974977.5589,79520917651.0785,0.00111636040838563,0.00153688808909312,21769.0279635197,29969.3177373159
1855,2111,21571908410.3926,29768374414.0019,26360545792.3683,2498536331.30758,10765509795.9447,41820396822.6508,78932029597.8032,0.00110625171335347,0.00152658330328215,21571.9084103926,29768.3744140019
1856,2111,21341726078.4405,29586231629.8626,26248312263.3329,2469560174.56323,10629529434.936,41679627849.0309,78596273347.6026,0.00109444749120208,0.00151724264768526,21341.7260784405,29586.2316298626
1857,2111,21286737336.9263,29725370192.3079,26595220385.7855,2428062069.3836,10583337183.8876,41820772803.2124,79522024884.3061,0.00109162755573981,0.00152437795857989,21286.7373369263,29725.3701923079
1858,2111,21500341187.3434,30099854039.8779,27173198612.4666,2401489794.28367,10507636821.1545,42346625437.578,80652897020.8214,0.00110258159935094,0.00154358225845528,21500.3411873434,30099.8540398779
1859,2111,21086911014.049,29823297034.6946,27162311391.1113,2307621135.02224,10245452054.7528,42164883037.1883,80475751840.8399,0.00108138005200252,0.00152939984793306,21086.911014049,29823.2970346946
