"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,40279718508.0558,48587442449.2043,33662971107.5902,10104285206.8487,25591624665.0892,65410247701.816,107162290850.447,0.0273204899735243,0.0329553627344043,40279.7185080558,48587.4424492043
1842,2111,40871073820.5804,49040343695.3715,33627619414.5305,10335010344.7696,26147265600.4923,66148921326.6987,107071395851.703,0.0277215880319278,0.0332625516724906,40871.0738205804,49040.3436953714
1843,2111,41667989648.6898,49932593078.0347,33828647368.7726,10487466727.1747,26966750950.4782,67408775928.7686,108171754359.007,0.0282621114441569,0.033867736892642,41667.9896486899,49932.5930780347
1844,2111,41660910676.1972,49723160627.8939,33545228308.7224,10467686862.0852,26962453803.6625,67121330245.067,107613520969.709,0.0282573099955826,0.0337256853251004,41660.9106761972,49723.1606278939
1845,2111,41575698825.1536,49687313645.9036,33820223239.9372,10310475116.7232,26507566800.0133,66856661245.8549,108520335737.33,0.0281995134267809,0.0337013714235062,41575.6988251536,49687.3136459036
1846,2111,40218919529.062,48269854869.2775,32857866105.3322,10167156478.4644,25816209593.6573,64692229720.8577,105672525121.304,0.0272792519024174,0.0327399528801529,40218.919529062,48269.8548692775
1847,2111,40206237420.5501,48219135287.2813,33053808865.6037,10070100408.1062,25547678738.8976,64688142516.1086,105771691755.065,0.027270650019602,0.0327055513529647,40206.2374205501,48219.1352872813
1848,2111,40291928368.9671,48340816627.6202,33072859964.8102,10143294956.0918,25666420686.5251,65032172548.6878,105865114099.124,0.0273287715453664,0.032788084050854,40291.9283689671,48340.8166276202
1849,2111,40482710518.2799,48534641713.0749,33008692685.518,10238859287.0041,26013498596.3661,65230696504.8243,106126402115.485,0.0274581731894317,0.0329195496245949,40482.7105182799,48534.6417130749
1850,2111,40939313210.4793,49075465111.5747,33315921155.6254,10304436849.8721,26309437356.3231,66050100410.4738,106975344305.693,0.0277678727041297,0.0332863734452035,40939.3132104793,49075.4651115747
1851,2111,40692006315.9511,48690381650.5603,32916176845.1189,10287207462.4523,26281058946.3806,65388506551.0337,105759041983.467,0.0276001320698204,0.0330251832178311,40692.0063159511,48690.3816505603
1852,2111,41073528230.5444,48995940100.8951,32863431212.2567,10387553272.296,26564766119.8993,65891275885.919,106110333422.588,0.0278589066101698,0.0332324340847166,41073.5282305444,48995.9401008951
1853,2111,41447020847.6271,49303735354.9996,32870863524.3482,10473396339.9537,26854872891.2943,66502841247.7476,106655744884.937,0.0281122351258136,0.033441202106568,41447.0208476271,49303.7353549996
1854,2111,41003487986.0212,48688710520.5594,32456832206.3118,10373441519.1507,26439631214.8835,65463110811.7173,105409282468.186,0.0278114004738532,0.033024049741925,41003.4879860212,48688.7105205594
1855,2111,40670405283.7437,48332832748.2562,32279905742.4479,10272859610.1753,26193629731.39,65026347177.9348,104823016794.318,0.0275854807563133,0.0327826688318755,40670.4052837437,48332.8327482562
1856,2111,40373271561.1227,48085585948.1371,32107250019.2627,10222076069.8776,26090191774.6224,64726234321.0979,104505546579.565,0.0273839441222368,0.0326149689577493,40373.2715611227,48085.5859481371
1857,2111,40428207880.7708,48263118740.375,32462118427.5628,10169945140.5734,25951993269.7701,65116079235.8107,105597493784.538,0.0274212057324396,0.032735383971805,40428.2078807708,48263.118740375
1858,2111,40620666856.0775,48864122199.6005,33137221123.7675,10198997931.3218,26012112447.9926,65953664021.2415,107662964935.88,0.0275517447158273,0.0331430260703599,40620.6668560774,48864.1221996005
1859,2111,40161453741.7284,48422588427.9041,33028219397.4511,10071489036.9343,25606346661.6687,65321259504.2164,106637160538.572,0.0272402746323465,0.0328435473393903,40161.4537417284,48422.5884279041
