"period","krill_median","krill_mean","ltl_median","ltl_mean","krill_proportion_median","krill_proportion_mean","scenario"
"Pre-whaling",9345.91961761852,1013209.97565209,565311.209468186,1737632.24418722,1.65323444168225,58.3098051409618,"Fishing"
"Early whaling",9032.07771410059,1032299.44912742,533587.667234629,1732479.86548086,1.69270735976906,59.5850762652817,"Fishing"
"Peak whaling",8521.14473846947,1181118.80336673,341500.580449466,1674454.05229747,2.49520651685405,70.537546357044,"Fishing"
"Post-whaling",6224.72719251826,900308.299739912,253841.961649016,1303525.39315789,2.45220575514032,69.0671853778657,"Fishing"
"Krill fishing",2819.74036464825,352567.137374517,211342.02307703,733633.320574225,1.3342071413883,48.0576777917554,"Fishing"
"Modern",3275.08513837946,300901.794927011,200688.136217869,674195.256895647,1.63192762666548,44.6312536093064,"Fishing"
"Pre-whaling",9345.91961761785,1013209.97565209,565311.209468186,1737632.24418722,1.65323444168213,58.3098051409618,"Climate-only"
"Early whaling",9032.07771410015,1032299.44912742,533587.667234629,1732479.86548086,1.69270735976897,59.5850762652817,"Climate-only"
"Peak whaling",8878.82312519394,1200486.64176327,512548.652508096,1883641.12839781,1.73228884355592,63.7322377211195,"Climate-only"
"Post-whaling",8636.70339063785,1239158.25338427,497703.592889442,1910300.5236856,1.73531063750154,64.8671891160625,"Climate-only"
"Krill fishing",8846.79171432698,1283973.27725823,494636.756743333,1950915.86382191,1.78854312659129,65.81387240057,"Climate-only"
"Modern",8909.65858192282,1315004.74289646,485579.633018981,1969472.35195112,1.83485014116614,66.7693934161456,"Climate-only"
