"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,5045307070426.01,21975564763178.9,41257102333468.2,550897678649.582,3031212929986.96,22717127844867.1,97225503864453.4,0.258733695919283,1.12695203913738,5045307.07042601,21975564.7631789
1842,2111,5050688741529.68,21973465268621.6,41242379718737.5,552949296291.331,3031937817174.05,22747441661647.3,97375784663347.3,0.259009679052804,1.12684437274983,5050688.74152968,21973465.2686216
1843,2111,5053433879648.14,21934940649951.3,41141738877233.9,553016772648.692,3028928463769.46,22716526275123.6,97254466979240.8,0.259150455366571,1.12486875127955,5053433.87964814,21934940.6499513
1844,2111,5069486629663.62,21919368866505.5,41078632167378.1,554979140642.246,3033952083269.49,22733937072213.5,97095809044209.2,0.259973673316083,1.12407019828233,5069486.62966362,21919368.8665055
1845,2111,5017048774927.24,21747397955107.4,40704620810945.3,547436710668.388,3009069603948.11,22459460463125.6,96395806751830.1,0.257284552560371,1.11525117718499,5017048.77492724,21747397.9551074
1846,2111,5056256461390.71,21830309636347.7,40855172143154.6,555477649415.177,3027653148093.05,22630113914233.7,96716156895349.5,0.259295203148241,1.11950305827424,5056256.4613907,21830309.6363477
1847,2111,5022918319426.11,21745285440051.8,40665363205593.6,552725046398.663,3015687446786.24,22554481169231.2,96479182117131.4,0.257585554842364,1.11514284307958,5022918.31942611,21745285.4400518
1848,2111,5015015146523.78,21702284958366.8,40566941615099,552494503833.612,3012186751877.81,22512901115998.9,96289838692436.8,0.257180263924296,1.11293769017266,5015015.14652378,21702284.9583668
1849,2111,5031680296530.26,21691877479749.1,40524268152379,554485816119.345,3015823190878.11,22496761449841.8,96141733682648.5,0.258034887001552,1.11240397332047,5031680.29653026,21691877.4797491
1850,2111,4989717952962.68,21572839633688.1,40264146008070.6,549722327737.105,2999463693837.85,22302036118593.5,95793517440710.3,0.255882971946804,1.10629946839426,4989717.95296268,21572839.6336881
1851,2111,5013935635994.98,21576787105566.6,40251311839891.9,552840078624.111,3005201479747.5,22425069094736.4,95666002038349.9,0.257124904409999,1.10650190284957,5013935.63599498,21576787.1055666
1852,2111,5013929501799.84,21539547489215.8,40157132068155.2,553260674227.867,3004624742139.23,22389119126640,95442004906539.1,0.257124589835889,1.10459217893414,5013929.50179984,21539547.4892158
1853,2111,5002491061299.41,21482976998920.3,40018388451029.5,552700610282.266,2998442841367.45,22334418470287.7,95183651199198.1,0.25653800314356,1.10169112814976,5002491.06129941,21482976.9989203
1854,2111,5009033382607.19,21472757009570.3,39971531443042.3,555173526362.432,3002714371265.85,22295275361163.4,95081923471750.5,0.256873506800369,1.10116702613181,5009033.38260719,21472757.0095703
1855,2111,5004832648395.74,21426626594606.9,39859260184917.1,555112470878.744,2998644233473.46,22241601243681.7,94862287327617.8,0.256658084533115,1.09880136382599,5004832.64839574,21426626.5946069
1856,2111,5000015850899.6,21399003011524.3,39782652073039.8,556294874858.844,2998026700067.13,22197168171735.2,94704261816004.4,0.256411069276903,1.09738476982176,5000015.8508996,21399003.0115243
1857,2111,4955878357540.95,21271563369570.1,39511553909327.6,550753989911.504,2978878994897.62,22112739338172.2,94203150352320.2,0.254147608079023,1.0908494035677,4955878.35754095,21271563.3695701
1858,2111,4943108321107.18,21089332980846.4,39135253128788.6,541922506746.477,2956732377967.74,21743373358167.9,93575102768752.8,0.253492734415753,1.08150425542802,4943108.32110718,21089332.9808464
1859,2111,4937886669188.01,21067255722689.5,39080454490202.4,542984303913.443,2955485049846.15,21757668121659,93441470501296.8,0.253224957394257,1.08037208834305,4937886.66918801,21067255.7226895
1860,2111,4934308283583.26,21151341516156.7,39239296403846.9,550395979778.86,2967882929195.47,21913849092431.4,93627974591371.3,0.253041450440167,1.08468418031573,4934308.28358326,21151341.5161567
1861,2111,4927470527489.33,21022769591569.1,38960317364491.9,544527574773.791,2953067201216.88,21769075261272.7,93173394381029,0.252690796281504,1.0780907482856,4927470.52748933,21022769.5915691
1862,2111,4931899188242.75,21074807976432.3,39043381202850.7,550504400597.147,2964180632496.15,21784267349515.4,93271297457020.8,0.252917907089372,1.08075938340679,4931899.18824275,21074807.9764323
1863,2111,4939595913824.86,21039273255360,38947034082221.9,550990652966.832,2962975562171.31,21736423248918.3,93098305591306,0.253312610965377,1.07893709001846,4939595.91382486,21039273.25536
1864,2111,4943091294327.75,21025946853829.7,38890446506994.5,553272449675.753,2968816510846.75,21710920166148.6,92988578649443.9,0.253491861247577,1.07825368481178,4943091.29432775,21025946.8538297
1865,2111,4905715010063.38,20862568530492.7,38538636196239,545966991478.622,2946770824161.63,21566452317244.2,92395229302767.5,0.251575128721199,1.06987530925604,4905715.01006338,20862568.5304927
1866,2111,4932262061758.45,20941746050792.4,38681188503193.2,554169160672.482,2964052052877.89,21601435242260.3,92450947245364.9,0.252936515987613,1.07393569491243,4932262.06175844,20941746.0507924
1867,2111,4911402093336.7,20860619549197.9,38503242891085.9,551506313655.404,2952641566086.46,21510256884118.8,92133853904228.8,0.251866774017266,1.06977536149733,4911402.0933367,20860619.5491979
1868,2111,4903168873593.76,20819508875352.8,38411256821557.8,551314623736.927,2948601396932,21460317334514.5,92020038695812.9,0.251444557620193,1.06766712181296,4903168.87359376,20819508.8753527
1869,2111,4909105207235.19,20809708307628.2,38372587722250,553307177748.348,2950573674846.24,21421258109577.2,91924569447946.7,0.25174898498642,1.06716452859632,4909105.20723519,20809708.3076282
1870,2111,4878960332543.79,20696187021026.1,38128254710680.1,548036147526.005,2936190708249.03,21300547983816.1,91606370789248.1,0.250203093976604,1.06134292415519,4878960.33254379,20696187.0210261
1871,2111,4895389190200.99,20700054462475.9,38117284471323.7,550122111767.822,2938593584000.12,21268937715443,91479464991104.6,0.251045599497487,1.06154125448594,4895389.19020099,20700054.4624759
1872,2111,4891517105628.71,20664720819335.3,38029829741614.3,549303962007.345,2937010995944.98,21207651589230.1,91289888865284.8,0.250847031057883,1.05972927278643,4891517.10562871,20664720.8193353
1873,2111,4879763724976.99,20611048287472.8,37900525564549.9,547412119128.111,2932046994284.17,21148669024568.5,91066709727719.1,0.250244293588564,1.05697683525502,4879763.72497699,20611048.2874728
1874,2111,4876764436666.23,20601579453342.2,37857783231210.5,548426324493.207,2936738753612.12,21201949967991.2,90968229874900.3,0.250090483931602,1.05649125401755,4876764.43666623,20601579.4533422
1875,2111,4861310918456.19,20557720984734.8,37752965625517.7,547071389129.764,2933216690937.61,21191460858077.2,90849514877198.5,0.249297995818266,1.05424210178127,4861310.91845619,20557720.9847348
1876,2111,4858602976247.24,20531611470149.4,37682029751223.2,546989579700.091,2932527505058.32,21180443780122.2,90748518297427.7,0.249159126987038,1.05290315231535,4858602.97624724,20531611.4701494
1877,2111,4836895025649.19,20410006682135.1,37426938994742.4,539156773003.178,2916608375683.37,20939134959160.5,90574969517900.2,0.248045898751241,1.04666700934026,4836895.02564919,20410006.6821351
1878,2111,4785483310642.99,20235959729043.1,37072010620871.6,528389393582.575,2895360034825.11,20755910827452,90222397269322,0.245409400545794,1.03774152456631,4785483.31064299,20235959.7290431
1879,2111,4773311418344.28,20214778835458.3,37020611736743.4,529553362587.553,2894597869859.31,20740931152949.5,90104349585509.2,0.244785200940732,1.0366553248953,4773311.41834428,20214778.8354583
1880,2111,4802304379597.52,20295277360164.5,37171807623133.5,538123939625.241,2905563890836.24,20871391554041.8,90236879290904.8,0.246272019466539,1.04078345436741,4802304.37959752,20295277.3601645
1881,2111,4764480720757.12,20172909335105.6,36910241782445.8,530977063858.895,2890852121909.41,20721670737062.5,89855873573059.2,0.244332344654211,1.03450817103106,4764480.72075712,20172909.3351056
1882,2111,4789449655457.25,20223047788114.4,36990112862453.4,538269641291.21,2900643764574.59,20836062420057,90005314926090.9,0.245612802843961,1.03707937374945,4789449.65545725,20223047.7881144
1883,2111,4794823751545.94,20189696272842.6,36901089234557.2,538832906369.09,2899180072337.01,20829762213212.9,89832214537449.3,0.245888397515176,1.03536903963295,4794823.75154594,20189696.2728426
1884,2111,4796086573769.84,20177553955949.2,36849642762613,541578638784.817,2903114837890.56,20902635264340.6,89723928704348.8,0.245953157629223,1.03474635671535,4796086.57376984,20177553.9559493
1885,2111,4757907555710.17,20021848687122.8,36518526262154.6,532439073632.516,2882355990526.49,20655278691352.6,89127816949620.4,0.243995259267188,1.0267614711345,4757907.55571017,20021848.6871228
1886,2111,4783602008519.62,20097578687579.4,36653781306399.4,542524512014.66,2898250370206.76,20839018172557.4,89347132941555.6,0.245312923513827,1.03064506090151,4783602.00851962,20097578.6875794
1887,2111,4764538744999.08,20020278804043,36486942557655.6,539160249055.049,2887406634441.38,20759340075489.2,89003247088693.8,0.244335320256363,1.0266809643099,4764538.74499908,20020278.804043
1888,2111,4755632618748.08,19981192829665.8,36401004997722.4,538900750260.726,2884203483666.94,20704059803631.8,88838949431325.9,0.243878595833235,1.02467655536748,4755632.61874808,19981192.8296658
1889,2111,4759618821392.13,19972208130605.3,36366087738429.3,541364754515.128,2886671453451.83,20739645105468.9,88756817246639.8,0.244083016481647,1.0242158015695,4759618.82139213,19972208.1306053
1890,2111,4734743777975.96,19864142220771.6,36136678092729,535505768091.545,2871549037429.15,20588933229210.5,88498967014720.2,0.242807373229536,1.01867396003957,4734743.77797596,19864142.2207716
1891,2111,4744554616610.5,19868125527262.8,36127479552241,539221198153.158,2875986734476.85,20613710609933.7,88483795406179.9,0.243310493159513,1.01887823216732,4744554.6166105,19868125.5272628
1892,2111,4744648808095.06,19834773481631.9,36046424534417.3,539647701920.52,2874190793803.63,20601951751389.7,88386608912442.1,0.243315323492054,1.01716787085292,4744648.80809506,19834773.4816319
1893,2111,4739825080842.25,19784009964960.9,35926128988629.4,538850882685.963,2869921804301.08,20545746946727.2,88178819667498.1,0.243067952863705,1.01456461358774,4739825.08084225,19784009.9649609
1894,2111,4743417257530.83,19775357438950.2,35887315631816.5,541808708429.809,2873885773321.09,20613664427624.1,88067210140092.3,0.243252167052863,1.01412089430514,4743417.25753083,19775357.4389502
1895,2111,4735637409279.32,19733740799626.4,35789549392838.9,541632273644.434,2870860971478.52,20584065342758.2,87835447339451.4,0.242853200475863,1.01198670767315,4735637.40927932,19733740.7996264
1896,2111,4734895245808.42,19709124950559.3,35723964287612.1,543022626902.212,2870311306593.87,20583978381750.8,87688993499387.7,0.242815140810688,1.01072435643894,4734895.24580842,19709124.9505593
1897,2111,4704328516558.36,19593146923245.7,35484005943745.6,536194628365.373,2852560988576.28,20396954476379.3,87109686744087.6,0.241247616233762,1.00477676529465,4704328.51655836,19593146.9232456
1898,2111,4648921202598.28,19426984249425.6,35149309399530,526166940467.212,2832989334641.69,20255952420644.7,86648139727529.1,0.23840621551786,0.996255602534648,4648921.20259828,19426984.2494256
1899,2111,4643145530945.4,19406655368792.8,35101027320712.7,527348097971.426,2832392239172.23,20237853087551.5,86538555782543.8,0.238110027227969,0.99521309583553,4643145.5309454,19406655.3687928
1900,2111,4672738830593.06,19483715071899.4,35244979418363.6,535788308630.54,2844027274597.19,20327910363267.4,86499160617204.9,0.239627632338106,0.99916487548202,4672738.83059306,19483715.0718994
1901,2111,4637558922274.39,19367331247497.6,34999982094563.1,528791419974.365,2830677632602.67,20180760206447.9,86325796642262.7,0.23782353447561,0.993196474230647,4637558.92227439,19367331.2474976
1902,2111,4668911264152.09,19415680558772.2,35076986130690.1,535946781984.089,2839662804034.31,20267771578063.6,86263070553659.3,0.239431346879594,0.995675926090882,4668911.26415209,19415680.5587722
1903,2111,4669316078082.3,19384477179933.3,34995098767292.6,536508578282.723,2837939803831.68,20262199447442.9,86162324503031.8,0.239452106568323,0.994075752817091,4669316.0780823,19384477.1799333
1904,2111,4679839396897.9,19373526054344,34948754175032,539250067513.165,2842528797878.34,20289756011214,86075829120432.4,0.239991763943482,0.993514156633025,4679839.3968979,19373526.054344
1905,2111,4637063452825.68,19225268536310.7,34637507860396.2,530115794090.249,2823776782640.12,20083877766328.5,85892563834436.9,0.237798125785932,0.985911206990292,4637063.45282568,19225268.5363107
1906,2111,4672031099739.4,19297645321377.2,34765723024879,539630036768.138,2839333672752.55,20247972237852,85857955998818.9,0.239591338448174,0.989622836993705,4672031.0997394,19297645.3213772
1907,2111,4651858751138.66,19224020779768,34609404504881.2,536655968652.749,2827855355792.02,20161364632662.5,85721109112251.7,0.238556859032752,0.985847219475282,4651858.75113866,19224020.779768
1908,2111,4642370552309.57,19186919028365.7,34529353678166.6,535990417567.809,2825044251543.58,20136063436769.5,85614605212545.3,0.238070284733824,0.983944565557214,4642370.55230957,19186919.0283657
1909,2111,4647033357498.01,19178741312259.7,34498087037044.5,537493477393.056,2827400527802.88,20162693118104.4,85500914944002.3,0.238309402948616,0.983525195500496,4647033.35749801,19178741.3122597
1910,2111,4623424857540.32,19076045134795.7,34283279908872.1,532539998222.29,2814938246018.65,19991396254318.1,85358094240632.9,0.237098710643093,0.978258724861317,4623424.85754032,19076045.1347957
1911,2111,4631619514685.26,19080193829921.3,34275955980974.9,534886609353.297,2817671349748.91,20080597260974.2,85254735572247.9,0.237518949471039,0.978471478457504,4631619.51468526,19080193.8299213
1912,2111,4629691857681.67,19048869664083.7,34201397990670.3,534798861524.27,2815444044037.09,20066255802568.2,85147658810093.5,0.237420095265726,0.97686511097865,4629691.85768166,19048869.6640837
1913,2111,4622763416271.4,19001077941663.5,34090254162779.8,533756279561.868,2812158886306.34,20028932178157.4,85038676130444.5,0.23706479057802,0.974414253418643,4622763.4162714,19001077.9416635
1914,2111,4628453691848.07,18993323437272.9,34055543768586.3,535771483528.627,2814760197154.03,20039364394644.5,84934575239250.8,0.237356599581952,0.974016586526816,4628453.69184807,18993323.4372729
1915,2111,4622812970598.42,18953995138146.2,33964879127512.1,535334371410.72,2810451362568.8,19989879560112.7,84789819397977.3,0.23706733182556,0.971999750674163,4622812.97059842,18953995.1381462
1916,2111,4622135601037.7,18930928592929.5,33904706500015.8,536090440921.039,2811614354307.87,19943821419252.5,84619471646403.4,0.23703259492501,0.970816850919463,4622135.6010377,18930928.5929295
1917,2111,4589448256369.53,18820588270748.6,33679794758188.5,530615107895.187,2795336889636.98,19798878823412.9,84284599961457.1,0.235356320839463,0.965158372858901,4589448.25636953,18820588.2707486
1918,2111,4538511474062.06,18662329893676.4,33365248328249.8,522606610487.95,2775110684226.13,19608022188631.5,83895966137848.5,0.232744178157029,0.957042558650073,4538511.47406206,18662329.8936764
1919,2111,4533595279988.51,18642899100292.2,33320043851086,523300932550.496,2773383539812.56,19574113694963.4,83777097073599.9,0.232492065640437,0.956046107707293,4533595.27998851,18642899.1002922
1920,2111,4560143089292.98,18716651615560.4,33457063309832.3,529468146988.777,2786553781591.94,19663226953430.4,83736765845324.1,0.233853491758615,0.959828287977458,4560143.08929298,18716651.6155604
1921,2111,4527497861771.78,18606394138865.9,33228918763869.6,523935875969.708,2771515180458.64,19516083434994.6,83457308995237.2,0.232179377526758,0.954174058403378,4527497.86177178,18606394.1388659
1922,2111,4556313219467.68,18653157657515.1,33303643021894.6,529140377800.706,2782901228414.72,19607956085901.5,83383112959103.2,0.23365708817783,0.956572187564877,4556313.21946768,18653157.6575151
1923,2111,4556902463620.92,18624331026036.3,33229530634876.9,529556784309.295,2781640709704.19,19577127781052.1,83141041614655.8,0.233687305826714,0.955093898771091,4556902.46362092,18624331.0260363
1924,2111,4568541638727.45,18614819277255.5,33189037667329.3,531959338147.342,2784323364089.35,19542297579876.4,82947811842503.8,0.234284186601407,0.954606116782334,4568541.63872745,18614819.2772555
1925,2111,4525786517369.5,18474289626809.6,32898466327927.3,524571271618.846,2765805451240.53,19442786365312.4,82605401599388.5,0.232091616275359,0.947399468041518,4525786.51736951,18474289.6268096
1926,2111,4561037636030.2,18543376272570.5,33019608718972.5,533309726054.019,2780865030924.92,19470150322439.2,82769362368246.2,0.233899365950266,0.950942372952334,4561037.6360302,18543376.2725705
1927,2111,4541412004324.9,18473598476719.6,32874147125294.8,530801427155.726,2770918529308.18,19443907910778.4,82407709385945.3,0.232892923298713,0.947364024447157,4541412.0043249,18473598.4767196
1928,2111,4532255513722.78,18438689656274.8,32800657090059.4,530657573413.445,2768057753650.34,19419740470390.1,82177750078577,0.232423359678091,0.945573828526915,4532255.51372278,18438689.6562748
1929,2111,4536088759047.6,18431485308187.9,32773529277976.3,532646897788.87,2772072968363.05,19383874147736.8,82354062047889.2,0.232619936361416,0.945204374778868,4536088.7590476,18431485.3081879
1930,2111,4512539479628.31,18334496232884.6,32574689165086.6,527561315377.147,2757591713813,19326952419442.3,81596866981248.1,0.23141228100658,0.940230576045362,4512539.47962831,18334496.2328846
1931,2111,4406090476282.76,18029884109754.7,32271414415420.6,525808728371.587,2709016806824.3,18650591912804.7,79741928539083.7,0.22595335775809,0.924609441525881,4406090.47628276,18029884.1097547
1932,2111,4007063739481.79,16879102619861.7,31356619812043.4,469551425148.363,2500603573990.09,16497029647657.3,76266703450577,0.205490448178553,0.865595006146753,4007063.73948179,16879102.6198617
1933,2111,3770998253295.68,16258530152654.5,30910388962813.7,440043592621.833,2307755947501.42,15515875924992,74085988234643.9,0.193384525810035,0.833770777059204,3770998.25329568,16258530.1526545
1934,2111,3490193083074.81,15431681984106.9,30421666251395,351307808294.833,2000285626806,14165672326859.1,71514936884641.8,0.178984260670503,0.791368306877274,3490193.08307481,15431681.9841069
1935,2111,3309572311001.97,14957318208270.1,30108538955867.5,308001724686.258,1835396024607.06,13303938883082,69874796552513.7,0.16972165697446,0.767041959398467,3309572.31100197,14957318.2082701
1936,2111,3171989642029.53,14638863599372.5,29892561469055.6,294097495249.564,1722259767037.1,12841119753100.7,67983687378387.7,0.162666135488694,0.750710953813975,3171989.64202953,14638863.5993725
1937,2111,3086100449095.34,14318504672135.8,29578510943542.4,272472496095.113,1622016555480.38,12356697522790.1,66441135089425.1,0.158261561492069,0.734282290878757,3086100.44909534,14318504.6721358
1938,2111,2993985395750.26,13980942845428.3,29203130912295.8,253923722637.56,1479989690969.86,11778461974925.2,65035808866015.4,0.153537712602578,0.71697142797068,2993985.39575026,13980942.8454283
1939,2111,2965766897218.66,13860882689230.1,29102989350680.2,246066698869.561,1431420597954.65,11555575801352.6,64293544557459.3,0.152090610113777,0.710814496883596,2965766.89721866,13860882.6892301
1940,2111,2879906374107.89,13687651669677.4,29098084244347.1,220604091221.786,1349169537992.72,11301452386179.7,63438666688610.4,0.147687506364507,0.701930854855249,2879906.37410789,13687651.6696774
1941,2111,2814971222999.43,13505595935255.4,28862956875689,202679839526.219,1300840500770.99,11167928083082.3,62406376154179.2,0.144357498615355,0.692594663346432,2814971.22299943,13505595.9352554
1942,2111,2828960244481.19,13533055213132.8,28909723001419.2,203742298228.452,1304168699006.31,11175958306621.1,62509996023169.6,0.145074884332369,0.694002831442706,2828960.24448119,13533055.2131328
1943,2111,2827871733562.78,13509737994472.5,28839933387054.1,204485268732.116,1304384825593.96,11146665711731.3,62428215799660.4,0.14501906325963,0.692807076639615,2827871.73356278,13509737.9944725
1944,2111,2825604459931.49,13497175909912.3,28792604703635.2,205322523017.042,1305808819496.97,11146983442392.2,62356942527780.5,0.144902792816999,0.69216286717499,2825604.45993149,13497175.9099123
1945,2111,2810124147250.43,13399004089642,28552751777594.8,205065809303.743,1298614059336.62,11033302196989.9,62024469030132.5,0.144108930628227,0.687128414853434,2810124.14725043,13399004.089642
1946,2111,2820474709646.55,13436446452257.6,28626809868427.6,206734918111.996,1302169935279.5,11108761769630.5,62041271521881.1,0.144639728699823,0.689048536013209,2820474.70964655,13436446.4522576
1947,2111,2810043957636.62,13373087198793,28490667948786.9,204982084306.986,1293768046672.82,11042497005113.7,61758721016540,0.14410481834034,0.685799343527845,2810043.95763662,13373087.198793
1948,2111,2735577759044.51,13197456838417.9,28345485294882.7,184309492471.013,1249952927686.37,10764853927513.5,60984039991098.9,0.14028603892536,0.676792658380403,2735577.75904451,13197456.8384179
1949,2111,2625273501298.94,12961622570579.8,28191886343674,161992333235.686,1144005023878.3,10376907419058.9,60165631397457.9,0.134629410323023,0.664698593363068,2625273.50129894,12961622.5705798
1950,2111,2612073145119.74,12882181244235.1,28018516952720.8,157002981092.212,1137039175669.67,10288236586592.8,59866826322585.6,0.133952468980499,0.660624679191545,2612073.14511974,12882181.2442351
1951,2111,2598932053567.48,12814302098983.5,27963076857982.6,151317827562.93,1114768641378.25,10045732140979.7,59579089344020.6,0.133278566849614,0.657143697383767,2598932.05356748,12814302.0989834
1952,2111,2571683080763.14,12711015848511.4,27855642168976.8,143339860241.406,1084027721623.86,9930869264786.87,59307455875364.1,0.131881183628879,0.651846966590329,2571683.08076314,12711015.8485114
1953,2111,2543121688420.17,12553615616634.1,27694685445196.1,134209263957.209,1050054826082.47,9723302972713.41,58934998196498.3,0.13041649684206,0.643775159827391,2543121.68842017,12553615.6166341
1954,2111,2518980581581.52,12441407042997.2,27597865347554,129225791563.206,1029140346075.61,9500331648608.15,58536071691528.6,0.129178491363155,0.638020873999858,2518980.58158152,12441407.0429972
1955,2111,2495094317448.27,12334586895507.6,27476243452463.6,122055930669.939,999737593418.252,9395105324984.36,58069923699817,0.127953554740937,0.63254291771834,2495094.31744826,12334586.8955076
1956,2111,2479384258181.87,12265263164253.7,27389337073595.2,118902150337.528,985765790937.824,9341028020405.89,57797572185813.6,0.127147910675994,0.628987854577115,2479384.25818187,12265263.1642537
1957,2111,2425446075229.46,12112911390825.7,27170582268101.7,113593577509.701,948620489814.657,9170043813739.72,57198683964728.9,0.124381850011767,0.621174943119267,2425446.07522946,12112911.3908257
1958,2111,2403436756590.31,12005144941504.2,26928096409854.9,112763292970.021,936880128559.55,9087832130188.28,56704344910631.9,0.123253167004632,0.615648458538676,2403436.75659031,12005144.9415042
1959,2111,2380746294814.38,11925157764784.8,26843929187976.2,108990817575.065,913749001775.798,9061894026728.14,56178633326546.2,0.122089553580225,0.611546552040244,2380746.29481438,11925157.7647848
1960,2111,2364450365182.49,11881048933815.1,26880172855016.5,106263161442.746,881518067900.978,8982886909810.17,55498741419636.3,0.121253864881153,0.609284560708465,2364450.36518249,11881048.9338151
1961,2111,2337138401411.17,11761959044005.3,26677809323220.6,104544127853.865,852637330967.221,8812183936764.28,54916808761749.1,0.119853251354419,0.603177386872064,2337138.40141117,11761959.0440053
1962,2111,2338629517140.09,11774996298735.1,26709440805113.6,105126099832.19,856372986514.922,8801841439674.5,54978343605543.3,0.119929718827697,0.603845964037695,2338629.51714009,11774996.2987351
1963,2111,2335461585404.46,11736510360351.6,26633004564298,105135662089.717,850956008512.405,8759924964871.09,54833783636117.3,0.119767260789973,0.601872326171875,2335461.58540446,11736510.3603516
1964,2111,2333481307835.79,11709434135668.8,26572298107067.8,105292994131.763,844212201028.253,8715477873213.37,54750833805120.9,0.119665708094143,0.600483801829168,2333481.30783579,11709434.1356688
1965,2111,2322874818272.36,11549886243966.7,26118099432472.3,104682073172.807,835948285668.317,8649560692055.29,54175105543735.9,0.119121785552429,0.592301858664959,2322874.81827236,11549886.2439667
1966,2111,2328055378696.82,11530914501323.8,26013437993000.5,105205066634.388,840036965719.753,8627206654350.15,54069344582259.1,0.119387455317786,0.591328948785838,2328055.37869682,11530914.5013238
1967,2111,2320508544074.5,11482275732162.1,25893527062085.5,105616806904.339,833885890381.447,8603393048194.47,53886815667590.9,0.119000438157667,0.588834652931388,2320508.5440745,11482275.7321621
1968,2111,2299975703509.03,11372730508071.5,25629908421340,103390171835.151,816569205869.614,8544538489621.94,53482651807189.1,0.117947471974822,0.583216949131873,2299975.70350903,11372730.5080715
1969,2111,2300512204009.04,11358097244189.3,25591194128066.7,103842777806.237,814783336262.104,8531401878716.03,53412396185259,0.117974984820977,0.582466525343041,2300512.20400904,11358097.2441893
1970,2111,2289344768252.5,11298195343838.2,25439672712361.7,104365247421.645,809313203260.876,8486189006855.05,53315787341260.2,0.11740229580782,0.579394633017342,2289344.7682525,11298195.3438382
1971,2111,2292044218267.32,11248927609527.5,25268891653588.6,104895860247.846,809780343954.738,8468932756640.89,53253034141321.8,0.117540729141914,0.576868082539874,2292044.21826732,11248927.6095275
1972,2111,2290960812676.05,11228122917764.6,25209504216201.7,105681709300.902,809915707241.58,8451025214298.09,53187421847688.5,0.117485169880823,0.575801175269979,2290960.81267605,11228122.9177646
1973,2111,2261225113417.91,9976933766407.14,21412257937869.3,102961637967.405,786204522065.183,7999442871513.9,48568642004443.5,0.11596026222656,0.51163762904652,2261225.11341791,9976933.76640714
1974,2111,2209922282966.41,8837694514718.32,18870787370013.8,92910710596.4763,766934593788.005,7237820663714.71,42855618288807.1,0.113329347844431,0.453215103318888,2209922.28296641,8837694.51471832
1975,2111,2175583981527.23,8414723085964.28,18101477624288.9,85458087460.4381,761007485932.193,6782054766641.09,38561434630484.8,0.111568409309089,0.431524260818681,2175583.98152723,8414723.08596428
1976,2111,2154174451451.81,8206248470999.37,17732597056539.2,84307208620.42,757640712565.564,6517854745009.48,38546147370864.8,0.110470484689836,0.420833254923045,2154174.45145181,8206248.47099937
1977,2111,2119929779977.23,8024907153344.88,17388105247162.3,83372133643.5298,741614554686.501,6263151972854.17,38234581389834.1,0.10871434769114,0.411533700171532,2119929.77997723,8024907.15334488
1978,2111,2067959298423.86,7766201807313.72,16884596798611.3,81479735973.4544,725189425263.362,5959909490912.58,37738968044833.2,0.106049194790967,0.398266759349422,2067959.29842386,7766201.80731372
1979,2111,2014981915955.08,7530780141241.72,16416215947641.4,77960843489.8082,716742060422.912,5635275838352.12,37493209771516.8,0.103332405946414,0.386193853397011,2014981.91595508,7530780.14124172
