"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,11900336718.2719,1021848595498.8,4282558008319.01,1317687375.35501,5011834779.82479,61796690677.4546,5101639639536.55,0.000610273677860097,0.0524024920768617,11900.3367182719,1021848.5954988
1842,2111,11947165691.7385,1032275549570.97,4343053887830.39,1326413932.59981,5019148449.42601,61394548112.9762,5079612685400.14,0.000612675163678897,0.0529372076703061,11947.1656917385,1032275.54957097
1843,2111,12199851959.6756,1058936917335.94,4441172890363.92,1381328193.41762,5100224553.80256,62295681901.8989,5139487983063.83,0.000625633433829516,0.0543044572992788,12199.8519596756,1058936.91733594
1844,2111,12193816793.6259,1054133722416.53,4401133825109.82,1400872395.11639,5123762026.18925,62463359016.8324,5101152522877.11,0.00062532393813466,0.0540581396111039,12193.8167936259,1054133.72241653
1845,2111,12457086418.5178,1065832492399,4433065883915.25,1432927874.04186,5236438648.4532,63010494680.7556,5225497480671.8,0.000638824944539375,0.0546580765332822,12457.0864185178,1065832.492399
1846,2111,11787651454.4036,1011627142315.68,4241983493521.54,1346671297.62309,5011788240.28872,59353519895.1101,4927630379490.92,0.000604494946379671,0.0518783149905479,11787.6514544036,1011627.14231568
1847,2111,11788067501.1098,1021916370088.48,4333321200691.34,1320980932.39517,5045775834.42295,59173545479.5715,4949015830333.25,0.000604516282108195,0.052405967696845,11788.0675011098,1021916.37008848
1848,2111,11757089653.5564,1019822673959.76,4324414086029.62,1316819355.9823,5040304312.60858,58526104826.0118,4948627830631.5,0.000602927674541353,0.0522985986646033,11757.0896535564,1019822.67395976
1849,2111,11713262851.4029,1019625058769.17,4327535936371.91,1308484607.62124,4981307173.92294,58193951186.7554,4928878751452.93,0.000600680146225789,0.0522884645522649,11713.2628514029,1019625.05876917
1850,2111,12068527964.1782,1038767204657.16,4374541585729.79,1350047395.73683,5112901671.01523,59344556076.7467,5048622876519.59,0.000618898869957856,0.0532701130593416,12068.5279641782,1038767.20465716
1851,2111,11878382914.6602,1020538864938.25,4295935159019.56,1333471283.58116,5049005138.34833,58354825028.8274,4940295738021.76,0.000609147841777446,0.0523353264070895,11878.3829146602,1020538.86493825
1852,2111,11981534744.3766,1029667121719.83,4331930394714.25,1355771730.99021,5061666597.75734,58235914848.3107,4933930853235.02,0.000614437679198801,0.0528034421394785,11981.5347443766,1029667.12171983
1853,2111,12075629536.6326,1040342604418.63,4357253546498.82,1394326938.32345,5103538694.57616,58635808415.6539,4968270468941.4,0.000619263053160646,0.0533509027906988,12075.6295366326,1040342.60441863
1854,2111,11890281242.3543,1023857887986.75,4288006656374.15,1386921321.13071,5068642777.55336,57756176952.7322,4880444617420.34,0.000609758012428427,0.0525055327172691,11890.2812423543,1023857.88798675
1855,2111,11797616325.473,1018738581631.75,4284556490460.35,1369356705.4973,5050463713.42068,57199727974.8038,4835523072405.42,0.000605005965408872,0.0522430041862437,11797.616325473,1018738.58163175
1856,2111,11733082734.8554,1011482682786.87,4269927022876.34,1350178716.9306,5002466589.81973,56453110995.7853,4784440378021.2,0.000601696550505407,0.0518709068095828,11733.0827348554,1011482.68278687
1857,2111,11896218486.1691,1026145611013.86,4339481994200.6,1364967655.72835,5048483279.92578,57067397053.0912,4885013129321.32,0.000610062486470209,0.0526228518468645,11896.2184861691,1026145.61101386
1858,2111,12208980517.9283,1046034478936.58,4411408146940.48,1394964777.94,5161747548.86217,58692176552.3624,5056236898977,0.000626101565021966,0.0536427937916197,12208.9805179283,1046034.47893658
1859,2111,11838754441.4676,1022613803203.22,4332591686442.15,1336819133.04455,5023400783.05657,58149027774.0537,4939810870140.83,0.000607115612382951,0.0524417334976011,11838.7544414676,1022613.80320322
