"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,587525806258.505,1741323747287.74,4384414597586.64,35742923305.3098,255541722139.714,1390236264803.39,6047642311006.68,0.0301295285260772,0.0892986537070636,587525.806258505,1741323.74728774
1842,2111,584117456536.697,1766099549743.51,4450568418375.2,35836874866.8824,256125890731.455,1430905594208.46,6108985531686.42,0.0299547413608562,0.0905692076791541,584117.456536697,1766099.5497435
1843,2111,590378439787.481,1804446577814.68,4552059387544.58,36305272176.9775,260635552496.747,1459863966338.21,6255340311396.65,0.030275817424999,0.0925357219392142,590378.439787481,1804446.57781468
1844,2111,589439116371.795,1797153122799.11,4511371513614.64,36172253942.2412,260828161071.496,1451362697024.71,6243719419133.86,0.0302276469934254,0.0921616986050825,589439.116371795,1797153.12279911
1845,2111,604450896277.041,1816266420097.74,4541998110558.33,36803917686.3245,267597514188.314,1461379737456.63,6400457244045.16,0.0309974818603611,0.0931418676973201,604450.896277041,1816266.42009774
1846,2111,578369745952.981,1735019026982.56,4347456820750.19,35390805027.0635,254268445729.037,1399326260726.61,5983742117583.63,0.0296599869719477,0.0889753347170541,578369.745952981,1735019.02698256
1847,2111,577311002934.405,1740757631308.06,4437126808418.14,34585942709.0497,250947953775.871,1385805447052.23,5911469322024.8,0.0296056924581746,0.0892696221183623,577311.002934405,1740757.63130806
1848,2111,575951209292.038,1744551184540.99,4431445271211.41,34597437327.424,250454073327.161,1396541582257.73,5930698386712.8,0.0295359594508737,0.0894641633097942,575951.209292038,1744551.18454099
1849,2111,571765859707.979,1742874972931.76,4435858022972.28,34255222841.743,249040441832.107,1397308292365.86,5933430985209.79,0.0293213261388707,0.0893782037400903,571765.859707979,1742874.97293176
1850,2111,587633079822.479,1778596266920.4,4485577616993.45,35029680174.531,256825678668.589,1435969974319.89,6125522911398.14,0.0301350297344861,0.091210064970277,587633.079822479,1778596.2669204
1851,2111,581316653490.923,1754069680318.67,4406356171626.86,34840943676.9863,255674513187.388,1418739868400.37,6016782921446.98,0.029811110435432,0.0899522912983935,581316.653490923,1754069.68031867
1852,2111,584479671716.441,1769544187688.82,4444605043653.93,35784199885.8973,258526324058.051,1439872057744.06,6037055751722.71,0.029973316498279,0.0907458557789141,584479.671716441,1769544.18768882
1853,2111,591313567717.408,1785241511469.81,4471094674329.34,36614453268.8575,262922143008.878,1448094858895.65,6102910102531.56,0.0303237727034568,0.0915508467420416,591313.567717408,1785241.51146981
1854,2111,584867974319.392,1758199083497.93,4399381369840.56,36311510384.8073,258627369672.125,1422904095544.23,6002381275074.44,0.0299932294522765,0.0901640555639963,584867.974319392,1758199.08349793
1855,2111,582385705991.295,1749798464729.02,4395349253146.6,36283162611.7038,256041952970.51,1412849378617.22,5948627771300.7,0.0298659336405793,0.089733254601488,582385.705991295,1749798.46472902
1856,2111,575385386225.864,1735068384117.85,4380066583275.28,35943306859.7225,253468705532.535,1393672010921.53,5874502256623.46,0.0295069428833776,0.0889778658521973,575385.386225864,1735068.38411785
1857,2111,581712571468.172,1756493268456.01,4449689338610.48,36286252192.53,254450992062.901,1394278414237.87,5942626726660.98,0.0298314139214447,0.0900765778695391,581712.571468172,1756493.26845601
1858,2111,597089515527.945,1787884471800.84,4521944469029.51,36316458704.6808,260040191097.167,1425066730343.23,6098972712867.23,0.0306199751552792,0.0916863831692738,597089.515527945,1787884.47180084
1859,2111,581548141864.943,1747707999998.12,4438763030228.33,34671546563.1175,251849307760.953,1386865082727.75,5921091795364.75,0.0298229816340997,0.0896260512819551,581548.141864943,1747707.99999813
1860,2111,561995692860.673,1716016576434.31,4370288577981.48,33371700331.6411,244629576659.297,1376099826388.68,5762445947406.15,0.028820291941573,0.0880008500735545,561995.692860673,1716016.57643431
1861,2111,578192732835.458,1771386895369.81,4537375033555.02,33511757467.6699,251478063918.837,1402907351825.77,5994304194802.97,0.0296509093761773,0.0908403536087083,578192.732835458,1771386.89536981
1862,2111,573007201131.942,1746599969393.9,4407554169218.38,33547029366.5539,250792176450.484,1413359494112.06,5868352415057.92,0.0293849846734329,0.0895692291996874,573007.201131942,1746599.9693939
1863,2111,583577061440.789,1773282863920.56,4465968155029.67,34772923711.4236,256960193079.719,1442625284660.97,5943741974608.06,0.0299270287918353,0.090937582765157,583577.061440789,1773282.86392056
1864,2111,580087701661.443,1765339054899.02,4437047760808.96,35224390218.3931,257116999813.641,1427264752814.21,5991712550406.62,0.0297480872646894,0.0905302079435393,580087.701661443,1765339.05489902
1865,2111,595961911026.838,1784206774830.36,4469629798096.81,36115176289.2015,262191247221.347,1441397478918.36,6203368384366,0.0305621492834276,0.0914977833246338,595961.911026838,1784206.77483036
1866,2111,569536032837.796,1702599286292.87,4270136230698.71,35043163572.4499,250971200442.865,1379115946441.35,5874621971819.72,0.0292069760429639,0.0873127839124549,569536.032837796,1702599.28629287
1867,2111,562027976148.151,1706689871134.63,4353327308429.85,34374147617.9668,246787874582.959,1344694186585.48,5782025068517.81,0.028821947494777,0.0875225574940838,562027.976148151,1706689.87113463
1868,2111,560442193759.286,1709729202572.8,4347617701792.97,34422179994.4759,245868457184.268,1372713955968.5,5820300406462.94,0.028740625320989,0.0876784206447592,560442.193759286,1709729.2025728
1869,2111,557075563848.999,1707337113387.01,4350203650457.85,34058692325.7036,244353080316.763,1362689467243.6,5817191587007.8,0.028567977633282,0.0875557494044618,557075.563848999,1707337.11338701
1870,2111,572513661771.482,1742662654302.13,4401659992873.32,34817960228.8036,252625010761.602,1399618768725.85,6086419828100.92,0.0293596749626401,0.0893673156052376,572513.661771482,1742662.65430213
1871,2111,569439530492.557,1718429805141.28,4323012556251.25,34558162421.353,250817362227.683,1394912592173.85,5980163292473.15,0.0292020272047465,0.0881246053918607,569439.530492557,1718429.80514128
1872,2111,570476312158.897,1733562808642.81,4360544193039.05,35375371778.0371,253123535132.68,1415750950352.74,6125599560356.15,0.0292551954953281,0.0889006568534774,570476.312158897,1733562.80864281
1873,2111,575835741908.599,1749497124188.26,4389024665678.07,36099097579.9375,255562808752.582,1431581321922.85,6274941223051.51,0.0295300380465948,0.0897178012404236,575835.741908599,1749497.12418826
1874,2111,568292307512.592,1723371072115.19,4319507073955.48,35775324794.453,252386265295.11,1409397290889.5,6148490989823.42,0.029143195257056,0.0883780036982146,568292.307512592,1723371.07211519
1875,2111,565612445708.677,1715285534526.27,4315376384419.52,35724073627.7453,250382984598.955,1396547119599.4,6032724544210.85,0.0290057664465988,0.0879633607449369,565612.445708677,1715285.53452627
1876,2111,558541402953.253,1701031924039.56,4300854123298.95,35370109529.727,247038170104.8,1378384941934.02,5932855064469.67,0.0286431488693976,0.0872324063610033,558541.402953253,1701031.92403956
1877,2111,568403814680.579,1722464433134.63,4370730303862.24,35656802669.3027,248304081423.98,1373918282457.18,6010743765930.48,0.029148913573363,0.0883315093915197,568403.814680579,1722464.43313463
1878,2111,578038473227.074,1754062723148.53,4445306158189.3,35546353595.1524,253236336888.083,1392387413586.41,6183693930186.4,0.0296429986270294,0.0899519345204372,578038.473227074,1754062.72314853
1879,2111,568182546101.514,1714615149330,4362644597113.85,33916374605.3766,247014012438.093,1353763926004.58,6056087314961.81,0.0291375664667443,0.0879289820169228,568182.546101514,1714615.14933
1880,2111,550553141812.15,1683306282260.1,4294243248686.06,32729485500.2372,239165610389.674,1351333753064.86,5802807509841.94,0.0282334944519051,0.0863233990902617,550553.14181215,1683306.2822601
1881,2111,565358538227.191,1738321953316.31,4461082506914.71,32829429177.9101,245962604654.986,1374242582851.09,6037611205580.19,0.0289927455501123,0.0891447155546824,565358.538227191,1738321.95331631
1882,2111,559158194868.016,1715134705441.92,4339059867525.14,32891151210.2136,244524726581.871,1389870532983.12,6022264330935.47,0.0286747792240008,0.0879556259200987,559158.194868015,1715134.70544192
1883,2111,567868903603.742,1742256345396.87,4399950628197.7,34082405511.0347,250759043673.081,1412008115918.9,6162554083306.83,0.0291214822360893,0.0893464792511216,567868.903603742,1742256.34539687
1884,2111,565502109791.663,1735718261492.53,4376138524075.66,34525098502.2569,250910237241.713,1400365344654.45,6129230629570.12,0.0290001081944443,0.0890111928970529,565502.109791663,1735718.26149253
1885,2111,579522780314.182,1755876897156.27,4414121522730.19,35265767165.0809,256532325971.753,1411506466307.28,6304241104970.1,0.0297191169391888,0.0900449690849368,579522.780314182,1755876.89715627
1886,2111,552139011535.971,1675692539575.98,4216658831751.43,34354290168.2442,244639865876.764,1356033273277.12,5914776099452.56,0.0283148211044088,0.085932950747486,552139.011535971,1675692.53957598
1887,2111,550108583085.395,1679494666452.1,4295364109791.81,33704434284.512,240937519819.683,1324537002398.92,5923684459541.29,0.0282106965684818,0.0861279316129284,550108.583085395,1679494.6664521
1888,2111,550053765900.436,1683313211164.64,4295303724760.96,33757000902.482,240235555705.274,1345485199356.84,5956831059015.7,0.0282078854307916,0.0863237544186993,550053.765900436,1683313.21116464
1889,2111,546331226135.346,1681503283801.71,4301045929796.12,33406345938.1078,238424595936.408,1338680636069.73,5978464918826.89,0.0280169859556588,0.0862309376308571,546331.226135346,1681503.28380171
1890,2111,560664787275.731,1718055171685.28,4361988053185.91,34016931633.5866,246374740459.566,1374808406392.19,6206513940859.21,0.0287520403731144,0.0881053934197582,560664.787275731,1718055.17168528
1891,2111,555376975932.251,1695239455459.6,4289898265830.48,33933140821.3665,244749431538.589,1369094887083.38,6116811485503.06,0.0284808705606283,0.0869353566902362,555376.975932251,1695239.4554596
1892,2111,557880276355.205,1711553070499.81,4335986241947.42,34743349408.1979,247787296730.848,1385929050836.13,6153316499306.98,0.0286092449412926,0.0877719523333237,557880.276355205,1711553.07049981
