"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,574502047603.041,1732358627115.06,4384437321462.22,29727531859.4519,252053928166.269,1372460179653.1,6046836183902.76,0.0294616434668226,0.0888389039546182,574502.047603041,1732358.62711506
1842,2111,572042677536.772,1757043719438.14,4450600495669.17,29699207508.7711,253001056622.854,1407644521556.88,6108693124856.29,0.0293355219249627,0.0901048061250328,572042.677536772,1757043.71943814
1843,2111,578552904437.279,1795263708340.39,4552096692747.3,30163349351.182,257094173194.665,1436137294535.28,6247514282537.11,0.0296693797147323,0.0920648055559173,578552.904437279,1795263.70834039
1844,2111,576202405023.189,1788005587627.01,4511405764779.61,30076806709.2201,256963827777.938,1432425510819.31,6235851847722.87,0.0295488412832404,0.0916925942372827,576202.405023189,1788005.58762701
1845,2111,593444667395.348,1807216098026.28,4542034005376.83,30628243160.0167,262373305887.936,1443536134157.12,6392636459942.91,0.0304330598664281,0.0926777486167323,593444.667395348,1807216.09802628
1846,2111,565868111811.326,1726134183722.04,4347489128355.23,29412238478.9811,250981201752.955,1388244237187.76,5983452681792.64,0.029018877528786,0.0885197017293354,565868.111811326,1726134.18372204
1847,2111,564074188157.046,1731938127657.93,4437155754965.1,29073165282.4195,247267301593.191,1360141712804.3,5911183940999.72,0.0289268814439511,0.0888173398798937,564074.188157046,1731938.12765793
1848,2111,565881107131.465,1735701029962.5,4431467927937.81,28990760753.6087,247359412415.027,1385764730374.82,5930409646903.02,0.0290195439554597,0.0890103092288461,565881.107131465,1735701.0299625
1849,2111,562935071239.511,1733984366036.51,4435878081423.86,28687525289.6735,246387636470.142,1377506227574.75,5933138866783.72,0.0288684651917698,0.0889222751813594,562935.071239511,1733984.36603651
1850,2111,577221452670.604,1769647984901.52,4485597811003.27,29368387230.0103,253937960409.832,1410956309705.42,6125228764340.52,0.029601100136954,0.0907511787128987,577221.452670604,1769647.98490152
1851,2111,569373920787.423,1745164169121.2,4406376542227.6,29076420206.4966,252346549041.352,1403871734340.21,6008959620386.51,0.0291986626044832,0.0894955984164719,569373.920787423,1745164.1691212
1852,2111,573675531392.604,1760614576296.97,4444631717072,29653045516.1309,254738883259.945,1421801293058.73,6029322524227.2,0.0294192580201335,0.0902879269895884,573675.531392604,1760614.57629697
1853,2111,576781596151.132,1776294434369.85,4471124800682.39,30373824747.8167,258528149752.387,1428359699888.28,6095158327349.64,0.0295785433923657,0.091092022275377,576781.596151132,1776294.43436985
1854,2111,568957286757.55,1749356235521.73,4399410062503.39,30162054226.2674,254859488920.103,1395829208385.14,5994661305810.76,0.0291772967567974,0.0897105761806017,568957.28675755,1749356.23552173
1855,2111,567105111859.829,1741053091353.4,4395379177775.71,30094020288.5765,252883746613.802,1391708598514.62,5940934440365.26,0.0290823134287092,0.0892847739155589,567105.111859829,1741053.0913534
1856,2111,561938767677.411,1726381427841.72,4380094132542.29,29817387310.7932,249277070011.707,1377012473646.84,5869037722538.52,0.0288173727014057,0.08853238091496,561938.767677411,1726381.42784172
1857,2111,571824508334.95,1747845657021.61,4449717691926.75,29866933221.3834,251177459482.262,1383463279157.1,5942338072438.88,0.0293243337607667,0.0896331106164927,571824.50833495,1747845.65702161
1858,2111,585766977253.769,1779212997425.77,4521975505459.69,30265239214.7813,256031363911.526,1414342163785.16,6098684668682.57,0.03003933216686,0.0912416921756805,585766.977253769,1779212.99742577
1859,2111,571304420815.157,1739073098250.41,4438791179846.02,29446987063.7708,249872286167.667,1370847951738.42,5920805409905.34,0.0292976626059055,0.0891832358077134,571304.420815157,1739073.09825041
1860,2111,552886183746.036,1707344009514.08,4370314938528.07,28359033757.1789,241634468861.491,1359947318233.05,5762153801332.05,0.0283531376280018,0.0875561030520043,552886.183746036,1707344.00951408
