"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"mesozooplankton","mesozooplankton",57961073096652.2,29010051730263.8,88736309407046.4,12528192882295.8,134372828304250,61830225864110.1,57961073.0966522,29010051.7302638,88736309.4070464,"Unexploited"
"other krill","mesozooplankton",897915192355.623,316300445796.755,3110929205862.76,66557108019.7775,6949719273529.35,1970545462653.58,897915.192355623,316300.445796755,3110929.20586276,"Unexploited"
"other macrozooplankton","mesozooplankton",66795687015679.5,46066021486665.2,87271935054220.4,17539225033937.3,123441344088996,67929469316010.8,66795687.0156795,46066021.4866652,87271935.0542204,"Unexploited"
"antarctic krill","mesozooplankton",6476251130716.87,2487013615163.9,13740655292310.1,354150555399.898,21956902007310.1,8522034743761.83,6476251.13071686,2487013.6151639,13740655.2923101,"Unexploited"
"salps","mesozooplankton",123562179892.381,76719137002.6755,273031882796.914,19800412704.8636,496915738858.676,188308982148.415,123562.179892381,76719.1370026755,273031.882796914,"Unexploited"
"mesopelagic fishes","mesozooplankton",73501278227.8775,42398876917.722,141860169201.575,18637923395.7473,311914259758.396,107506016153.001,73501.2782278775,42398.876917722,141860.169201575,"Unexploited"
"bathypelagic fishes","mesozooplankton",50602500581.522,28222202373.2,93139198081.9133,14751288927.0841,175746263137.812,69969552828.792,50602.500581522,28222.2023732,93139.1980819133,"Unexploited"
"shelf and coastal fishes","mesozooplankton",8134938597.80437,4949181730.50716,16062028284.2632,2825205404.13487,28517446295.208,11426769162.7729,8134.93859780437,4949.18173050716,16062.0282842632,"Unexploited"
"flying birds","mesozooplankton",29342.5637982835,13387.0457519776,92299.9897268911,5159.53441110995,215089.678292103,63642.5502464245,0.0293425637982835,0.0133870457519776,0.0922999897268911,"Unexploited"
"small divers","mesozooplankton",1109805.50550268,606391.367632136,2442150.39126298,323041.74633631,4655246.018815,1690419.68308075,1.10980550550268,0.606391367632136,2.44215039126298,"Unexploited"
"squids","mesozooplankton",1570589.12689579,933749.082384248,3148592.03843579,515536.567157583,6191904.6053857,2305190.04824911,1.57058912689579,0.933749082384248,3.14859203843579,"Unexploited"
