"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"mesozooplankton","mesozooplankton",58508870216350.8,29321174933958.5,89509974058719.7,12551622477662.9,135713874931095,62331871405143.8,58508870.2163508,29321174.9339585,89509974.0587197,"Exploited"
"other krill","mesozooplankton",896386086347.107,319674910697.728,3111018718211.82,66774420095.708,6915697179185.44,1972763864863.27,896386.086347107,319674.910697728,3111018.71821182,"Exploited"
"other macrozooplankton","mesozooplankton",66654574601625.6,46772008103360.7,87369029872442.9,17266893584842.3,123125662996011,68000738822585.5,66654574.6016256,46772008.1033607,87369029.8724429,"Exploited"
"antarctic krill","mesozooplankton",6435854974123.9,2282541926945.09,13672903969141.5,136800706799.528,21707023068284.8,8345540585740.09,6435854.9741239,2282541.92694509,13672903.9691415,"Exploited"
"salps","mesozooplankton",135764993965.301,85141076092.0606,308383654145.104,20401265450.3782,563344076564.616,209016395193.816,135764.993965301,85141.0760920606,308383.654145104,"Exploited"
"mesopelagic fishes","mesozooplankton",74127108900.276,42861201834.3857,145120638450.423,18078946720.1296,324440600526.86,109700098118.418,74127.108900276,42861.2018343857,145120.638450423,"Exploited"
"bathypelagic fishes","mesozooplankton",48942073260.5712,27668914665.5394,91931924411.8776,14111940889.1043,174912323010.612,70047394030.224,48942.0732605712,27668.9146655394,91931.9244118776,"Exploited"
"shelf and coastal fishes","mesozooplankton",8086246963.31671,4866681492.88986,15999759955.9634,2744133810.75434,28329154246.4709,11376913187.771,8086.24696331671,4866.68149288985,15999.7599559634,"Exploited"
"flying birds","mesozooplankton",29612.8513765679,13792.386448789,93802.4975077586,5009.74809702027,219208.585264656,64473.8594346877,0.0296128513765679,0.013792386448789,0.0938024975077586,"Exploited"
"small divers","mesozooplankton",1114549.85486255,608514.239342185,2465482.7277976,315350.683278686,4693211.21463789,1705782.48774012,1.11454985486255,0.608514239342185,2.4654827277976,"Exploited"
"squids","mesozooplankton",1577206.45577885,943479.53246388,3160658.58438227,510867.746564841,6276883.2938489,2331620.44929831,1.57720645577885,0.94347953246388,3.16065858438227,"Exploited"
"toothfishes","mesozooplankton",22096717.6125935,13192010.0968938,43247846.9207931,7213454.80457226,79086722.5048792,31424779.5405723,22.0967176125935,13.1920100968938,43.2478469207931,"Exploited"
"leopard seals","mesozooplankton",1723.01148034492,863.899497214187,4876.15594801326,314.054481819952,10321.5544176175,3250.5402625073,0.00172301148034492,0.000863899497214187,0.00487615594801326,"Exploited"
