"year","fishing_median","climate_median","ratio","difference"
1841,9401.36585165575,9401.36585165575,100,0
1842,9337.07859397946,9337.07859397946,100,0
1843,9541.90651681401,9541.90651681401,100,0
1844,9598.15923957607,9598.15923958927,99.9999999998624,-1.32040440803394e-08
1845,9780.44864753409,9780.44864753396,100.000000000001,1.25510268844664e-10
1846,9246.17890825558,9246.17890825757,99.9999999999785,-1.98815541807562e-09
1847,9286.08909396093,9286.08909396131,99.9999999999959,-3.8198777474463e-10
1848,9271.90005080423,9271.90005080455,99.9999999999965,-3.20142135024071e-10
1849,9229.86454167547,9229.86454167495,100.000000000006,5.25687937624753e-10
1850,9503.31310061156,9503.31310061002,100.000000000016,1.53886503539979e-09
1851,9333.90112332972,9333.90112333227,99.9999999999726,-2.55931809078902e-09
1852,9352.73488698985,9352.73488698819,100.000000000018,1.66073732543737e-09
1853,9490.03816585908,9490.03816585908,100,5.45696821063757e-12
1854,9349.25241821572,9349.25241821577,99.9999999999995,-4.36557456851006e-11
1855,9252.99720213521,9252.99720213321,100.000000000022,2.00088834390044e-09
1856,9211.89479077106,9211.89479077105,100,9.09494701772928e-12
1857,9387.18688940684,9387.18688940677,100.000000000001,6.91215973347425e-11
1858,9663.66858172906,9663.66858172264,100.000000000066,6.41193764749914e-09
1859,9500.48027870334,9500.48027870257,100.000000000008,7.67613528296351e-10
1860,9164.56966005142,9164.56966004247,100.000000000098,8.95124685484916e-09
1861,9568.14931664282,9568.14931664182,100.00000000001,9.98625182546675e-10
1862,9324.63963283788,9324.63963283804,99.9999999999983,-1.60071067512035e-10
1863,9478.76009997632,9478.76009997651,99.999999999998,-1.92812876775861e-10
1864,9418.26095496601,9418.260954966,100,3.63797880709171e-12
1865,9640.43151642252,9640.43151642255,99.9999999999997,-3.09228198602796e-11
1866,9117.25809446924,9117.25809446924,100,0
1867,9186.80315342809,9186.80315342813,99.9999999999996,-3.45607986673713e-11
1868,9146.46436731528,9146.46436731528,100,0
1869,9101.02103297477,9101.02103297355,100.000000000013,1.22599885798991e-09
1870,9363.95625361631,9363.95625361132,100.000000000053,4.98584995511919e-09
1871,9216.88319045462,9216.88319044361,100.000000000119,1.10103428596631e-08
1872,9293.09787277947,9293.09787277434,100.000000000055,5.12409314978868e-09
1873,9381.72688723843,9381.72688723866,99.9999999999976,-2.25554686039686e-10
1874,9255.1644889155,9255.16448891576,99.9999999999972,-2.60115484707057e-10
1875,9197.20806019343,9197.2080601923,100.000000000012,1.13504938781261e-09
1876,9082.68647936773,9082.68647936765,100.000000000001,7.82165443524718e-11
1877,9262.045831938,9262.04583193807,99.9999999999993,-6.73026079311967e-11
1878,9516.03788475211,9516.03788475225,99.9999999999985,-1.43700162880123e-10
1879,9379.57831362028,9379.57831362086,99.9999999999938,-5.82076609134674e-10
1880,9003.58273077362,9003.58273077322,100.000000000004,4.01996658183634e-10
1881,9381.20779126593,9381.2077912655,100.000000000005,4.29281499236822e-10
1882,9193.76842470943,9193.76842470944,99.9999999999999,-1.2732925824821e-11
1883,9271.8346194201,9271.83461942041,99.9999999999966,-3.12866177409887e-10
1884,9269.74303816977,9269.74303816979,99.9999999999998,-1.45519152283669e-11
1885,9488.28981097218,9488.2898109722,99.9999999999998,-1.45519152283669e-11
1886,8962.74923153326,8962.74923153622,99.999999999967,-2.95949575956911e-09
1887,9004.34280785774,9004.34280785791,99.9999999999981,-1.72803993336856e-10
1888,8984.95802321519,8984.95802321518,100,1.2732925824821e-11
1889,8956.54361999313,8956.54361999313,100,0
1890,9137.0143651299,9137.01436513002,99.9999999999987,-1.18234311230481e-10
1891,9032.00083850567,9032.00083850559,100.000000000001,8.00355337560177e-11
1892,9046.83307181021,9046.83307181043,99.9999999999976,-2.20097717829049e-10
1893,9126.33268477478,9126.33268477477,100,7.27595761418343e-12
1894,9010.15832396477,9010.15832396475,100,2.00088834390044e-11
1895,8974.43730423696,8974.43730423695,100,1.45519152283669e-11
1896,8887.77268354572,8887.77268354571,100,1.09139364212751e-11
1897,9052.84462817707,9052.84462817373,100.000000000037,3.34512151312083e-09
1898,9352.45783185188,9352.45783185515,99.9999999999651,-3.26690496876836e-09
1899,9205.93462547618,9205.93462548082,99.9999999999496,-4.63842297904193e-09
1900,8943.32285471647,8943.32285471648,99.9999999999999,-5.45696821063757e-12
1901,9247.15007810328,9247.15007810328,100,0
1902,9030.47870467752,9030.47870467664,100.00000000001,8.80390871316195e-10
1903,9100.84877330269,9100.84877330269,100,3.63797880709171e-12
1904,9108.80301404565,9108.80301404565,100,5.45696821063757e-12
1905,9330.87177778372,9330.8717777847,99.9999999999896,-9.74978320300579e-10
1906,8890.06148044227,8890.06148043307,100.000000000103,9.1949914349243e-09
1907,8955.40107229424,8955.40107229425,99.9999999999998,-1.63709046319127e-11
1908,8914.30271670869,8914.30271670869,100,0
1909,8860.87397145127,8860.87397145127,100,0
1910,9116.99632973775,9116.99632973775,100,0
1911,8961.87754457788,8961.87754457774,100.000000000002,1.41881173476577e-10
1912,8998.96222429405,8998.96222429424,99.9999999999979,-1.87355908565223e-10
1913,9074.56176545075,9074.56176545059,100.000000000002,1.65528035722673e-10
1914,8958.27197175886,8958.27197175885,100,1.81898940354586e-12
1915,8909.77015176225,8909.77015176225,100,3.63797880709171e-12
1916,8868.20893641715,8868.20893641772,99.9999999999936,-5.63886715099216e-10
1917,9050.21821410786,9050.21821410728,100.000000000006,5.80257619731128e-10
1918,9309.7874095138,9309.78740951378,100,2.18278728425503e-11
1919,9171.73626234693,9171.73626234693,100,0
1920,8871.12674261938,8871.12674261938,100,0
1921,9190.05965042404,9190.05965042405,99.9999999999999,-7.27595761418343e-12
1922,9004.62684367287,9004.62684367287,100,0
1923,9103.93565691254,9103.93565691257,99.9999999999997,-2.72848410531878e-11
1924,9058.10185424095,9058.10185424094,100,9.09494701772928e-12
1925,9228.64687712367,9228.64687712367,100,0
1926,8850.83233818297,8850.83233818378,99.9999999999908,-8.11269273981452e-10
1927,8847.66060201284,8847.66060201284,100,0
1928,8800.69228323426,8800.69228323426,100,0
1929,8731.74674027006,8731.74674027016,99.9999999999989,-1.00044417195022e-10
1930,8982.63094525359,8982.63094525036,100.000000000036,3.23416315950453e-09
1931,8838.37919673319,8839.13815047435,99.9914137133254,-0.758953741164078
1932,8869.62270159885,8878.1048815399,99.9044595659296,-8.48217994104925
1933,8982.21225803812,8988.48855547201,99.9301740510081,-6.27629743388752
1934,8819.76198230441,8872.66032953247,99.4038051129717,-52.8983472280579
1935,8773.5895765849,8810.26953011745,99.583668202123,-36.6799535325481
1936,8675.26135167391,8745.87138588224,99.1926472378464,-70.6100342083246
1937,8813.69006217448,8912.11773507012,98.8955748137357,-98.4276728956447
1938,9055.28654371159,9198.92488698656,98.4385311866372,-143.638343274968
1939,8766.3287124037,9077.24467470371,96.5747760092172,-310.915962300009
1940,8483.25904858337,8723.51484946005,97.2458830526144,-240.255800876681
1941,8768.43556721618,9102.306316964,96.3320202801176,-333.870749747817
1942,8545.46670340963,8895.06660031248,96.0697326663011,-349.599896902848
1943,8571.04897781373,9025.08067154892,94.969222877237,-454.031693735191
1944,8520.97761063352,8995.1067369645,94.7290327931009,-474.129126330974
1945,8755.34460860555,9230.65878652302,94.8507014622679,-475.314177917471
1946,8254.94511088604,8761.18412635732,94.221796869349,-506.239015471276
1947,8328.3467087463,8766.52842501921,95.0016506531553,-438.181716272906
1948,8290.50790420694,8703.24898593366,95.2576206610451,-412.741081726717
1949,8244.21078345099,8698.73077301272,94.7748700192924,-454.519989561724
1950,8395.02159239976,8898.04958682764,94.3467611691831,-503.027994427883
1951,8281.13125432328,8772.7890826546,94.3956497335219,-491.657828331319
1952,8338.42050720108,8781.14394269501,94.9582487386256,-442.723435493932
1953,8417.0993455073,8908.74594523273,94.4813040718877,-491.646599725431
1954,8309.29313612632,8807.07371347571,94.3479458269126,-497.780577349391
1955,8222.37137962532,8723.43273359454,94.2561446935953,-501.061353969219
1956,8157.32267219731,8666.43596993973,94.1254594217471,-509.113297742415
1957,8306.7797194428,8796.28629444007,94.4350768197862,-489.506574997269
1958,8545.40580027162,9067.6209562875,94.2408801764726,-522.215156015878
1959,8376.54547006137,8904.10319693545,94.0751166601972,-527.557726874078
1960,8131.25660805632,8597.06232185476,94.5818036864255,-465.805713798439
1961,8471.2621092532,8960.02937947247,94.5450260315102,-488.767270219261
1962,8250.30204376054,8766.17927025368,94.1151417215061,-515.877226493139
1963,8382.94724163343,8870.5670714748,94.5029463628159,-487.619829841364
1964,8354.64318689871,8851.49546980893,94.3867984273967,-496.852282910224
1965,8482.10216411355,9059.7402249093,93.6241211507636,-577.638060795754
1966,8026.80132038535,8629.38334108284,93.0170905975551,-602.582020697485
1967,8048.35250490739,8579.15940347074,93.8128332439119,-530.806898563348
1968,7979.92248032423,8511.31990588057,93.7565802785866,-531.397425556336
1969,7961.36217951649,8505.65373543692,93.6008263109423,-544.291555920429
1970,8169.21507982184,8732.42330362419,93.5503788098704,-563.208223802358
1971,8017.02999508859,8610.28681662489,93.1099063925393,-593.256821536302
1972,8057.08396549376,8671.91439594998,92.910095713775,-614.830430456223
1973,6668.53561022067,8725.14948708859,76.4288980961154,-2056.61387686792
1974,4773.16809845415,8644.86532769205,55.2139092689424,-3871.6972292379
1975,4114.33127636641,8596.60052856432,47.8599797989395,-4482.26925219791
1976,3773.72632218239,8475.68387492091,44.5241514180188,-4701.95755273853
1977,3615.63833959902,8644.67698567575,41.8250253374434,-5029.03864607673
1978,3302.46424376276,8951.51174199936,36.8928102754758,-5649.0474982366
1979,2757.62575702481,8819.75910561739,31.2664521105622,-6062.13334859258
1980,2405.94458407446,8586.63472563228,28.019645192224,-6180.69014155782
1981,2322.33801833222,8888.80647806802,26.126544931114,-6566.4684597358
1982,2224.27709199638,8750.76366335792,25.4180912382549,-6526.48657136155
1983,2310.82640534443,8648.9844839185,26.7178928305522,-6338.15807857406
1984,2398.93036663189,8660.93007586122,27.6982996701234,-6261.99970922933
1985,2534.39519541994,8948.72589457411,28.3212965206211,-6414.33069915417
1986,2594.3735629549,8960.54198823349,28.9533107077864,-6366.16842527859
1987,2699.1829420022,8968.27643212006,30.0970087444565,-6269.09349011786
1988,2758.24053221992,9081.49113799763,30.372110596235,-6323.25060577771
1989,2864.36277470413,8948.42493119227,32.009686584279,-6084.06215648814
1990,2879.25007772105,8699.05400624565,33.0984274342226,-5819.8039285246
1991,3128.7521242884,8990.38153162109,34.8011050841826,-5861.62940733269
1992,3226.12376892117,9028.9949065888,35.7307075958914,-5802.87113766763
1993,3121.54648507445,8902.37142697393,35.0642130659282,-5780.82494189948
1994,3215.63644522944,8790.03514714411,36.5827484350185,-5574.39870191467
1995,3215.15821301522,8818.67790939103,36.4585059807139,-5603.5196963758
1996,3206.96839866255,8728.92220703035,36.7395690166609,-5521.9538083678
1997,3173.01286519033,8960.83371820865,35.4097951705396,-5787.82085301832
1998,3180.50066901656,8740.87702182664,36.3865166055374,-5560.37635281009
1999,3217.60746401953,8967.55641848733,35.8805377280501,-5749.94895446781
2000,3352.00434002774,9047.38742762602,37.0494174903184,-5695.38308759828
2001,3332.36225318133,8871.68048557313,37.5617929275104,-5539.31823239181
2002,3360.8698416723,8772.62246762495,38.3108911169433,-5411.75262595265
2003,3411.70990606631,9006.99083197474,37.8784654021716,-5595.28092590842
2004,3406.86833108804,8783.81464858765,38.7857493285771,-5376.94631749961
2005,3386.7689504216,8706.99931266248,38.8970853080953,-5320.23036224088
2006,3665.012204231,9171.93856671771,39.95897026099,-5506.92636248671
2007,3027.88502822436,9145.92874778409,33.1063701863845,-6118.04371955973
2008,3129.87808964233,9051.29717981174,34.5793318622142,-5921.4190901694
2009,2951.33727784752,8813.66230481146,33.4859355371077,-5862.32502696394
2010,3078.15950141978,8771.6512736803,35.0921326598553,-5693.49177226052
