"predator","median_Mt","q25_Mt","q75_Mt","pct_of_total","scenario"
"mesozooplankton",0.0001199768523687,6.44199748536073e-05,0.000251799019569063,0.00181437190283636,"Exploited (fishing)"
"other krill",1.8853145603601e-07,5.28080602774647e-08,8.29427188766303e-07,2.85110144064595e-06,"Exploited (fishing)"
"other macrozooplankton",0.0977061917196408,0.0600982846725377,0.131327585259272,1.47757976217342,"Exploited (fishing)"
"antarctic krill",8.90497043550357e-06,3.15206327455242e-06,1.95695442051482e-05,0.000134667044807231,"Exploited (fishing)"
"salps",3.13841866854559e-08,1.69146208028104e-08,7.33825533230954e-08,4.74613105705362e-07,"Exploited (fishing)"
"mesopelagic fishes",1.36196472961774,0.558825582364454,2.66062837015728,20.5965608305726,"Exploited (fishing)"
"bathypelagic fishes",1.30167972200527,0.597231878555884,2.43713903064726,19.6848897722403,"Exploited (fishing)"
"shelf and coastal fishes",3.68807480358001,1.90521419186542,6.74127024418549,55.7735860465034,"Exploited (fishing)"
"flying birds",0.0202182365762709,0.00932631204925726,0.0390078371223906,0.305753982077751,"Exploited (fishing)"
"small divers",0.014874369340686,0.00597130405251875,0.0280714275769846,0.224940372007892,"Exploited (fishing)"
"squids",0.0744115129482723,0.0315310693547878,0.140928923977066,1.12530172008506,"Exploited (fishing)"
"toothfishes",0.0459442886188637,0.0200320594023689,0.0974161703607199,0.694800911343281,"Exploited (fishing)"
"leopard seals",7.83768917743428e-05,3.5961123646504e-05,0.000147988207926402,0.00118526888695167,"Exploited (fishing)"
"medium divers",0.0039075055256486,0.00153964080400744,0.00826632416143213,0.0590919672915528,"Exploited (fishing)"
"large divers",0.00033505738060588,0.00012488306601202,0.000781275621050307,0.00506696654568891,"Exploited (fishing)"
"minke whales",0.00301784260188126,0.00139219223757861,0.00651111222806862,0.0456378769398724,"Exploited (fishing)"
"orca",3.96874095589235e-09,1.45606641164631e-09,8.08357981437985e-09,6.00180112900311e-08,"Exploited (fishing)"
"sperm whales",1.01515919548162e-05,2.98769379177219e-06,4.56448804575188e-05,0.000153519306834919,"Exploited (fishing)"
"baleen whales",0.000231346471435361,0.000121004355710847,0.000329566394569213,0.00349857934514509,"Exploited (fishing)"
"mesozooplankton",0.000126219162819852,6.78669573501003e-05,0.000256796492202218,0.00200050827828301,"Unexploited (climate-only)"
"other krill",2.01241918707876e-07,5.99845784619727e-08,8.64283401076804e-07,3.1895800551875e-06,"Unexploited (climate-only)"
"other macrozooplankton",0.105573516968876,0.0667378931130079,0.13635679462074,1.67328549758429,"Unexploited (climate-only)"
"antarctic krill",9.14593302389532e-06,3.94162158237352e-06,1.93120778054851e-05,0.000144958295699034,"Unexploited (climate-only)"
"salps",2.94422304223797e-08,1.59299864963273e-08,6.63886043832297e-08,4.66644084584458e-07,"Unexploited (climate-only)"
"mesopelagic fishes",1.27754305312209,0.558177110667354,2.46009759248232,20.2483949072092,"Unexploited (climate-only)"
"bathypelagic fishes",1.2042751254028,0.593622978290036,2.1595459188005,19.0871362467927,"Unexploited (climate-only)"
"shelf and coastal fishes",3.55509175206458,1.97340918038908,6.5116446316983,56.3463607361391,"Unexploited (climate-only)"
"flying birds",0.0205530730432694,0.0105568946503572,0.0393180459854526,0.325755549701278,"Unexploited (climate-only)"
"small divers",0.015372273363553,0.00672313734820425,0.0296188831747684,0.243642561341569,"Unexploited (climate-only)"
"squids",0.0741154768293291,0.0352396044975884,0.142704043979452,1.17469187430425,"Unexploited (climate-only)"
"toothfishes",0.0427492113397982,0.0213948666797911,0.0929717984486146,0.677552831636161,"Unexploited (climate-only)"
"leopard seals",7.89586956924046e-05,3.97589744896446e-05,0.000144617010533677,0.00125145438177665,"Unexploited (climate-only)"
"medium divers",0.00436247214385047,0.00184794715474833,0.0087408800134327,0.0691429212694738,"Unexploited (climate-only)"
"large divers",0.000360670734412336,0.000143238766847131,0.000821936996037566,0.00571644411044065,"Unexploited (climate-only)"
"minke whales",0.00866249029348263,0.00395957319028619,0.023570846800384,0.137295979116831,"Unexploited (climate-only)"
"orca",4.4473463744591e-09,1.78184045030322e-09,9.33887396438086e-09,7.04881338121034e-08,"Unexploited (climate-only)"
"sperm whales",0.000246224784194779,8.02025462169012e-05,0.000773232331531634,0.00390253514676799,"Unexploited (climate-only)"
"baleen whales",0.000234787995704535,0.000132976816061492,0.000333272300503226,0.00372126797987702,"Unexploited (climate-only)"
