"predator","prey","n_sims","median_g_yr","mean_g_yr","q25_g_yr","q75_g_yr","median_tonnes","mean_tonnes","q25_tonnes","q75_tonnes","scenario"
"baleen whales","antarctic krill",2111,231346471.435361,222479394.175167,121004355.710847,329566394.569213,231.346471435361,222.479394175167,121.004355710847,329.566394569213,"fishing"
"baleen whales","other krill",2111,0.000401025256413712,0.00376314537704511,8.70566778442082e-05,0.00202511059311206,4.01025256413712e-10,3.76314537704511e-09,8.70566778442082e-11,2.02511059311206e-09,"fishing"
"baleen whales","mesozooplankton",2111,0.000588621882685902,0.00320561965356358,0.000155669009590304,0.00168868860799618,5.88621882685902e-10,3.20561965356358e-09,1.55669009590304e-10,1.68868860799618e-09,"fishing"
"baleen whales","other macrozooplankton",2111,7229159.80886354,8111791.83167257,4455653.68958933,10725865.2783591,7.22915980886354,8.11179183167256,4.45565368958933,10.7258652783591,"fishing"
"baleen whales","salps",2111,170536902583.701,359667193934.205,42307595677.0468,421504778961.712,170536.902583701,359667.193934205,42307.5956770468,421504.778961712,"fishing"
"minke whales","antarctic krill",2111,3017842601.88126,300679315532.836,1392192237.57861,6511112228.06862,3017.84260188126,300679.315532836,1392.19223757861,6511.11222806862,"fishing"
"minke whales","other krill",2111,40568160.7964249,78212994.2050361,14248683.3603845,117664854.519923,40.5681607964249,78.2129942050361,14.2486833603845,117.664854519923,"fishing"
"minke whales","mesozooplankton",2111,5.13518704046096e-07,3.00500832113818e-05,2.94043918454429e-07,1.05548622882266e-06,5.13518704046096e-13,3.00500832113818e-11,2.94043918454429e-13,1.05548622882266e-12,"fishing"
"minke whales","other macrozooplankton",2111,98246792.8959286,108146144.341198,67533832.9148546,139904598.021189,98.2467928959286,108.146144341198,67.5338329148546,139.904598021189,"fishing"
"minke whales","salps",2111,326756140.289233,13431797104.0471,184474754.641018,712046804.765404,326.756140289233,13431.7971040471,184.474754641018,712.046804765404,"fishing"
"sperm whales","antarctic krill",2111,10151591.9548162,636786042.384947,2987693.79177219,45644880.4575188,10.1515919548162,636.786042384947,2.98769379177219,45.6448804575188,"fishing"
"sperm whales","other krill",2111,175036.615664671,5163066.58848624,46182.5021423628,613941.273990894,0.175036615664671,5.16306658848624,0.0461825021423628,0.613941273990894,"fishing"
"sperm whales","mesozooplankton",2111,0.418977066498404,2.86895244503919,0.155315876021256,1.45908667679961,4.18977066498404e-07,2.86895244503919e-06,1.55315876021256e-07,1.45908667679961e-06,"fishing"
"sperm whales","other macrozooplankton",2111,1736760.34459694,38919441.0410342,760306.925882225,5618121.67954589,1.73676034459694,38.9194410410342,0.760306925882225,5.61812167954589,"fishing"
"sperm whales","salps",2111,7407737.86660571,247617980.622495,3221129.52588769,36962518.1415085,7.40773786660571,247.617980622495,3.22112952588769,36.9625181415085,"fishing"
"orca","antarctic krill",2111,3968.74095589235,5713.92071531333,1456.06641164631,8083.57981437985,0.00396874095589235,0.00571392071531333,0.00145606641164631,0.00808357981437985,"fishing"
"orca","other krill",2111,7.07188194879287,16.5784105368291,2.28239197345164,24.3441860563035,7.07188194879287e-06,1.65784105368291e-05,2.28239197345164e-06,2.43441860563035e-05,"fishing"
"orca","mesozooplankton",2111,1.93120678705313e-05,2.926052358541e-05,9.81458020715469e-06,3.66125670165592e-05,1.93120678705313e-11,2.926052358541e-11,9.81458020715469e-12,3.66125670165592e-11,"fishing"
"orca","other macrozooplankton",2111,42.5465587254177,50.1370697404402,29.0326106937021,64.9615598557838,4.25465587254177e-05,5.01370697404402e-05,2.90326106937021e-05,6.49615598557838e-05,"fishing"
"orca","salps",2111,16325.8905897548,20396.6246476015,10187.9399627217,26522.008789625,0.0163258905897548,0.0203966246476015,0.0101879399627217,0.026522008789625,"fishing"
"leopard seals","antarctic krill",2111,78376891.7743428,103879352.879184,35961123.646504,147988207.926402,78.3768917743428,103.879352879184,35.961123646504,147.988207926402,"fishing"
"leopard seals","other krill",2111,5139716.31250245,12082907.0044654,1879803.18290881,16273645.1530338,5.13971631250245,12.0829070044654,1.87980318290881,16.2736451530338,"fishing"
"leopard seals","mesozooplankton",2111,1723.01148034492,3250.5402625073,863.899497214187,4876.15594801326,0.00172301148034492,0.0032505402625073,0.000863899497214187,0.00487615594801326,"fishing"
"leopard seals","other macrozooplankton",2111,9406229.66623715,10154491.8115315,6385110.86672068,13112166.0722478,9.40622966623715,10.1544918115315,6.38511086672068,13.1121660722478,"fishing"
"leopard seals","salps",2111,27192061.7898173,31052662.7337859,18940229.6071992,41116455.7336449,27.1920617898173,31.0526627337859,18.9402296071992,41.1164557336449,"fishing"
"small divers","antarctic krill",2111,14874369340.686,21414509209.132,5971304052.51875,28071427576.9846,14874.369340686,21414.509209132,5971.30405251875,28071.4275769846,"fishing"
"small divers","other krill",2111,1532905018.41382,4448262595.47337,519715498.870282,5732034733.12209,1532.90501841382,4448.26259547337,519.715498870282,5732.03473312209,"fishing"
"small divers","mesozooplankton",2111,1114549.85486255,1705782.48774012,608514.239342185,2465482.7277976,1.11454985486255,1.70578248774012,0.608514239342185,2.4654827277976,"fishing"
"small divers","other macrozooplankton",2111,2503076691.51721,3337558387.33985,1621626313.17912,4394054503.32864,2503.07669151721,3337.55838733985,1621.62631317912,4394.05450332864,"fishing"
"small divers","salps",2111,2316391939.06063,2845486403.27707,1255216261.49641,3911348233.29736,2316.39193906063,2845.48640327707,1255.21626149641,3911.34823329736,"fishing"
"medium divers","antarctic krill",2111,3907505525.6486,6322124308.9228,1539640804.00744,8266324161.43213,3907.5055256486,6322.1243089228,1539.64080400744,8266.32416143213,"fishing"
"medium divers","other krill",2111,33985754.6127333,77784531.1837262,11210237.4756377,113029075.43014,33.9857546127333,77.7845311837262,11.2102374756377,113.02907543014,"fishing"
"medium divers","mesozooplankton",2111,252.125508804803,622.150978920009,113.374212667971,864.419072218268,0.000252125508804803,0.000622150978920009,0.000113374212667971,0.000864419072218268,"fishing"
"medium divers","other macrozooplankton",2111,486227864.720399,598715322.089692,304144825.638673,782647174.475052,486.227864720399,598.715322089692,304.144825638673,782.647174475052,"fishing"
"medium divers","salps",2111,4449295785.77695,5514873623.99174,2717451760.05375,7291245241.55156,4449.29578577695,5514.87362399174,2717.45176005375,7291.24524155156,"fishing"
"large divers","antarctic krill",2111,335057380.60588,931283468.367031,124883066.01202,781275621.050307,335.05738060588,931.283468367031,124.88306601202,781.275621050307,"fishing"
"large divers","other krill",2111,5098864.10225046,17195310.8043219,1408743.77989184,16065281.742199,5.09886410225046,17.1953108043219,1.40874377989184,16.065281742199,"fishing"
"large divers","mesozooplankton",2111,14.7676297411161,38.8336324512262,6.18092891695946,51.6630709428314,1.47676297411161e-05,3.88336324512262e-05,6.18092891695946e-06,5.16630709428314e-05,"fishing"
"large divers","other macrozooplankton",2111,54306971.0768757,135237705.994379,32745107.0300919,99928847.7208244,54.3069710768757,135.237705994379,32.7451070300919,99.9288477208244,"fishing"
"large divers","salps",2111,236040744.553411,588751677.808729,128739094.003084,475617651.650977,236.040744553411,588.751677808729,128.739094003084,475.617651650977,"fishing"
"baleen whales","antarctic krill",2111,234787995.704535,228970617.257092,132976816.061492,333272300.503226,234.787995704535,228.970617257092,132.976816061492,333.272300503226,"climate_only"
"baleen whales","other krill",2111,0.00125999243319618,0.00831026559741932,0.00035307680228797,0.00447983404231585,1.25999243319618e-09,8.31026559741932e-09,3.5307680228797e-10,4.47983404231585e-09,"climate_only"
"baleen whales","mesozooplankton",2111,0.00138141523780801,0.00607353730550562,0.00069545785001824,0.00456576346922576,1.38141523780801e-09,6.07353730550562e-09,6.9545785001824e-10,4.56576346922576e-09,"climate_only"
"baleen whales","other macrozooplankton",2111,7543393.84324521,8330444.81446885,4580180.65289303,10910168.9235425,7.54339384324521,8.33044481446885,4.58018065289303,10.9101689235425,"climate_only"
"baleen whales","salps",2111,369259511755.716,600743842155.61,176371697792.879,674175709219.715,369259.511755716,600743.84215561,176371.697792879,674175.709219715,"climate_only"
"minke whales","antarctic krill",2111,8662490293.48263,1314775772279.21,3959573190.2862,23570846800.384,8662.49029348263,1314775.77227921,3959.5731902862,23570.846800384,"climate_only"
"minke whales","other krill",2111,44814108.8730072,86578566.0313399,15699804.4395839,131425424.793941,44.8141088730072,86.5785660313399,15.6998044395839,131.425424793941,"climate_only"
"minke whales","mesozooplankton",2111,1.48896569674955e-06,0.000148875602756802,7.87865627570939e-07,3.31792187715199e-06,1.48896569674955e-12,1.48875602756802e-10,7.87865627570939e-13,3.31792187715199e-12,"climate_only"
"minke whales","other macrozooplankton",2111,110947877.746175,120775324.458454,77450485.0945787,156476779.041851,110.947877746175,120.775324458454,77.4504850945787,156.476779041851,"climate_only"
"minke whales","salps",2111,890784906.513318,53508082563.7242,483293215.357795,2149705978.11488,890.784906513318,53508.0825637242,483.293215357795,2149.70597811488,"climate_only"
"sperm whales","antarctic krill",2111,246224784.194779,3523012199.68137,80202546.2169012,773232331.531634,246.224784194779,3523.01219968137,80.2025462169012,773.232331531634,"climate_only"
"sperm whales","other krill",2111,2676473.92731216,39074752.7326935,621691.711414412,9067836.43436268,2.67647392731216,39.0747527326935,0.621691711414412,9.06783643436268,"climate_only"
"sperm whales","mesozooplankton",2111,1.59638359294696,15.4964027817084,0.476100549461638,6.05692804571683,1.59638359294696e-06,1.54964027817084e-05,4.76100549461638e-07,6.05692804571683e-06,"climate_only"
"sperm whales","other macrozooplankton",2111,28128902.2550262,401078611.301512,15376654.5029438,80213309.2777923,28.1289022550261,401.078611301512,15.3766545029438,80.2133092777923,"climate_only"
"sperm whales","salps",2111,174270566.202462,2423819461.18941,88091230.6849555,531083090.964035,174.270566202462,2423.81946118941,88.0912306849555,531.083090964035,"climate_only"
"orca","antarctic krill",2111,4447.3463744591,6606.72844466188,1781.84045030322,9338.87396438086,0.0044473463744591,0.00660672844466188,0.00178184045030322,0.00933887396438086,"climate_only"
"orca","other krill",2111,8.15103849789625,19.3585345383226,2.5300859036435,27.3240730162362,8.15103849789625e-06,1.93585345383226e-05,2.5300859036435e-06,2.73240730162362e-05,"climate_only"
"orca","mesozooplankton",2111,2.35517417930222e-05,3.53977914791852e-05,1.00884576003298e-05,4.43208657809236e-05,2.35517417930222e-11,3.53977914791852e-11,1.00884576003298e-11,4.43208657809236e-11,"climate_only"
"orca","other macrozooplankton",2111,51.5318129221749,62.1801060373363,33.3162822895467,78.5290508904494,5.15318129221749e-05,6.21801060373363e-05,3.33162822895467e-05,7.85290508904494e-05,"climate_only"
"orca","salps",2111,16677.5759837292,21187.075260645,10214.0068510183,28258.540098101,0.0166775759837292,0.021187075260645,0.0102140068510183,0.028258540098101,"climate_only"
