"scenario","predator_group","predator","n_sims","median_g_yr","mean_g_yr","sd_g_yr","q05_g_yr","q25_g_yr","q75_g_yr","q95_g_yr","median_tonnes","mean_tonnes","q05_tonnes","q25_tonnes","q75_tonnes","q95_tonnes"
"fishing","baleen_whales","Baleen whales (baleen+minke combined)",2111,199796566050.889,674195256895.647,3284263184563.23,6808607201.22313,64309462911.1281,496216602463.158,1933161203652.1,199796.566050889,674195.256895647,6808.60720122313,64309.4629111281,496216.602463158,1933161.2036521
"climate_only","baleen_whales","Baleen whales (baleen+minke combined)",2111,485224896249.318,1969472351951.12,7403335872750.77,28184050527.8831,215619613090.926,1182856303272.81,6012987666032.07,485224.896249318,1969472.35195112,28184.0505278831,215619.613090926,1182856.30327281,6012987.66603207
"fishing","all_whales","All whales (baleen+minke+sperm+orca)",2111,200019795518.816,675123769606.414,3284238289734.16,7117932595.40008,64630239387.9462,500492476272.378,1933175390740.39,200019.795518816,675123.769606414,7117.93259540008,64630.2393879462,500492.476272378,1933175.39074039
"climate_only","all_whales","All whales (baleen+minke+sperm+orca)",2111,492944130653.927,1975859364866.86,7403499550266.57,29527896417.7267,218319198639.888,1187002754210.02,6023103969167.33,492944.130653927,1975859.36486686,29527.8964177267,218319.198639888,1187002.75421002,6023103.96916733
"fishing","seals","All seals (leopard+small+medium+large divers)",2111,38572237025.7427,46390661652.8263,33795454765.5382,8996541761.24935,24414494368.319,61285843270.8584,101040650599.473,38572.2370257427,46390.6616528263,8996.54176124935,24414.494368319,61285.8432708584,101040.650599473
"climate_only","seals","All seals (leopard+small+medium+large divers)",2111,39531074251.2933,47318638215.9656,33420012796.2701,9698342541.24901,25348034064.2402,62256440913.4676,103118882160.477,39531.0742512933,47318.6382159656,9698.34254124901,25348.0340642402,62256.4409134676,103118.882160477
"fishing","individual_species","baleen whales",2111,170762778367.198,359897785120.218,531795596604.784,3394666440.48981,42592922512.6051,421659385452.134,1415628566807.13,170762.778367198,359897.785120218,3394.66644048981,42592.9225126051,421659.385452134,1415628.56680713
"fishing","individual_species","minke whales",2111,3604276168.95859,314297471775.429,3258927296574.18,635139412.446477,1851389679.17394,7502452892.52093,201384224193.845,3604.27616895859,314297.471775429,635.139412446477,1851.38967917394,7502.45289252093,201384.224193845
"fishing","individual_species","sperm whales",2111,21089887.4249814,928486533.505914,11374592655.2554,3602992.90186852,8673534.69486495,103662475.886388,1503409718.3742,21.0898874249814,928.486533505914,3.60299290186852,8.67353469486495,103.662475886388,1503.4097183742
"fishing","individual_species","orca",2111,22284.9042166937,26177.2608724526,17702.2030965446,8185.5162234201,14185.4621664599,33226.106569956,58619.9723867931,0.0222849042166937,0.0261772608724526,0.0081855162234201,0.0141854621664599,0.033226106569956,0.0586199723867931
