"period","start_year","end_year","median_mean","index_median","mean_mean","index_mean","scenario","metric"
"Pre-whaling",1841,1880,565311.209468186,1,1737632.24418722,1,"Fishing","LTL"
"Early whaling",1900,1920,533587.667234629,0.94388304759886,1732479.86548086,0.997034827867867,"Fishing","LTL"
"Peak whaling",1930,1965,341500.580449466,0.604093063660866,1674454.05229747,0.96364121804191,"Fishing","LTL"
"Post-whaling",1970,1976,253841.961649016,0.4490304763067,1303525.39315789,0.750173345089839,"Fishing","LTL"
"Krill fishing",1977,1995,211342.02307703,0.373850756074427,733633.320574225,0.422202870042495,"Fishing","LTL"
"Modern",2001,2010,200688.136217869,0.355004699812455,674195.256895647,0.387996516035534,"Fishing","LTL"
"Pre-whaling",1841,1880,565311.209468186,1,1737632.24418722,1,"Climate-only","LTL"
"Early whaling",1900,1920,533587.667234629,0.94388304759886,1732479.86548086,0.997034827867867,"Climate-only","LTL"
"Peak whaling",1930,1965,512548.652508096,0.906666352840012,1883641.12839781,1.08402749471243,"Climate-only","LTL"
"Post-whaling",1970,1976,497703.592889442,0.880406375379774,1910300.5236856,1.09936986383396,"Climate-only","LTL"
"Krill fishing",1977,1995,494636.756743333,0.874981334986547,1950915.86382191,1.1227438201312,"Climate-only","LTL"
"Modern",2001,2010,485579.633018981,0.858959852354224,1969472.35195112,1.13342300048785,"Climate-only","LTL"
"Pre-whaling",1841,1880,9345.91961761852,1,1013209.97565209,1,"Fishing","Krill"
"Early whaling",1900,1920,9032.07771410059,0.966419366273353,1032299.44912742,1.01884058974355,"Fishing","Krill"
"Peak whaling",1930,1965,8521.14473846947,0.911750270396696,1181118.80336673,1.16571967484487,"Fishing","Krill"
"Post-whaling",1970,1976,6224.72719251826,0.666036885314493,900308.299739912,0.888570307611198,"Fishing","Krill"
"Krill fishing",1977,1995,2819.74036464825,0.301708176403807,352567.137374517,0.347970456121505,"Fishing","Krill"
"Modern",2001,2010,3275.08513837946,0.350429414373029,300901.794927011,0.29697871335441,"Fishing","Krill"
"Pre-whaling",1841,1880,9345.91961761785,1,1013209.97565209,1,"Climate-only","Krill"
"Early whaling",1900,1920,9032.07771410015,0.966419366273376,1032299.44912742,1.01884058974355,"Climate-only","Krill"
"Peak whaling",1930,1965,8878.82312519394,0.950021344978894,1200486.64176327,1.18483500025812,"Climate-only","Krill"
"Post-whaling",1970,1976,8636.70339063785,0.924114880504315,1239158.25338427,1.22300242117806,"Climate-only","Krill"
"Krill fishing",1977,1995,8846.79171432698,0.946594029939015,1283973.27725823,1.26723315809428,"Climate-only","Krill"
"Modern",2001,2010,8909.65858192282,0.953320694640617,1315004.74289646,1.29786004332433,"Climate-only","Krill"
