Year,mesozooplankton,other krill,other macrozooplankton,antarctic krill,salps,mesopelagic fishes,bathypelagic fishes,shelf and coastal fishes,flying birds,small divers,squids,toothfishes,leopard seals,medium divers,large divers,minke whales,orca,sperm whales,baleen whales
1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50155688130
1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35374E+11
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142075116.8,3.06612E+11
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3108915827,4.96515E+11
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5993267003,2.79493E+11
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3701390973,2.20991E+11
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4019223651,1.84531E+11
1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3685440062,1.98882E+11
1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1668498793,1.00816E+11
1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12378212374,1.75933E+11
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10394602302,91089607711
1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482162647.4,15053021635
1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16878522088,2.06013E+11
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25569171790,3.18264E+11
1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8682212655,17742070725
1950,0,0,0,0,0,0,0,8152369.901,0,0,0,0,0,0,0,0,0,7771174865,87701531580
1951,0,0,0,0,0,0,0,17529140,0,0,0,0,0,0,0,0,0,28387881599,1.28915E+11
1952,0,0,0,0,0,0,0,7376227518,0,0,0,0,0,0,0,0,0,6699980412,1.98748E+11
