"sim_index","valid_sim_index","rmse","rank"
446,446,1.53886830359134,1
1512,1512,1.5500142020635,2
1819,1819,1.55324172044129,3
2082,2082,1.55648831423755,4
2085,2085,1.55648831423755,5
2088,2088,1.55648831423755,6
2091,2091,1.55648831423755,7
2095,2095,1.55648831423755,8
2111,2111,1.55648831423755,9
1776,1776,1.57508492717937,10
173,173,1.61740950747679,11
1767,1767,1.6223550621567,12
71,71,1.62694918605854,13
1806,1806,1.6273246427864,14
1807,1807,1.62900750827492,15
1857,1857,1.62937837486181,16
325,325,1.63014340504478,17
2080,2080,1.63051782512448,18
2083,2083,1.63051782512448,19
2086,2086,1.63051782512448,20
2089,2089,1.63051782512448,21
2093,2093,1.63051782512448,22
2109,2109,1.63051782512448,23
531,531,1.63186798831645,24
136,136,1.63206680622676,25
384,384,1.6382822908572,26
892,892,1.6386509559184,27
1366,1366,1.6422250926456,28
479,479,1.64379513231046,29
1952,1952,1.65384614332327,30
2011,2011,1.65384614332327,31
1994,1994,1.65398337528144,32
2077,2077,1.65398337528144,33
441,441,1.65569688864763,34
1553,1553,1.65706892170178,35
373,373,1.65718948812201,36
55,55,1.65906463650839,37
335,335,1.65913786108362,38
1101,1101,1.65983573557674,39
1653,1653,1.65988577038674,40
1436,1436,1.66445535464604,41
1569,1569,1.66584169273599,42
812,812,1.66962505749389,43
315,315,1.66996380525449,44
365,365,1.67024882293844,45
1414,1414,1.67024882293844,46
43,43,1.6703843289013,47
1315,1315,1.67072469322023,48
1639,1639,1.67470294593179,49
1087,1087,1.6747178905676,50
620,620,1.67472731640154,51
1805,1805,1.67484161421558,52
163,163,1.67506703225332,53
2098,2098,1.67740092680891,54
2101,2101,1.67740092680891,55
2106,2106,1.67740092680891,56
757,757,1.67962426550436,57
398,398,1.67988234152074,58
1381,1381,1.67989723147054,59
470,470,1.68104908140387,60
1502,1502,1.68111593944783,61
1500,1500,1.68132687023561,62
348,348,1.68194841433079,63
1769,1769,1.6829313595947,64
1832,1832,1.68386633893099,65
723,723,1.68475885636133,66
323,323,1.68481181589971,67
1003,1003,1.684876339932,68
744,744,1.68506743582556,69
1356,1356,1.68566545997915,70
141,141,1.68590794212027,71
822,822,1.68694444658504,72
1887,1887,1.68802484060727,73
568,568,1.6887087300593,74
517,517,1.69015357960704,75
26,26,1.69041496767365,76
797,797,1.69130526997336,77
1866,1866,1.69230718958648,78
284,284,1.69327898448882,79
534,534,1.69451358820636,80
1507,1507,1.69453534168489,81
1562,1562,1.69558134023662,82
1296,1296,1.69686572434743,83
1802,1802,1.69715861838193,84
263,263,1.69737145931066,85
599,599,1.69802421686238,86
810,810,1.69975194354618,87
1757,1757,1.69996849505869,88
1396,1396,1.70163375338823,89
576,576,1.70191327896767,90
1761,1761,1.70427057488336,91
792,792,1.70458836562992,92
1452,1452,1.70528170760469,93
1057,1057,1.7057499142603,94
729,729,1.70591113636699,95
849,849,1.70630629771676,96
1582,1582,1.7065547132664,97
366,366,1.70699958612865,98
435,435,1.70914731423012,99
453,453,1.70922570826121,100
2081,2081,1.70981280421434,101
2084,2084,1.70981280421434,102
2087,2087,1.70981280421434,103
2090,2090,1.70981280421434,104
2092,2092,1.70981280421434,105
2094,2094,1.70981280421434,106
2110,2110,1.70981280421434,107
1774,1774,1.71031038442418,108
1864,1864,1.71180226015504,109
665,665,1.71251197198007,110
1423,1423,1.71294033745641,111
487,487,1.71418715966479,112
837,837,1.71422972660769,113
1454,1454,1.71490220784258,114
527,527,1.71648723863493,115
327,327,1.71698660972924,116
739,739,1.7171395541351,117
649,649,1.71798191757356,118
409,409,1.71814361098116,119
573,573,1.71832682930897,120
694,694,1.71876723472915,121
41,41,1.71922823785251,122
1811,1811,1.72055345958112,123
1861,1861,1.72076520119513,124
346,346,1.72151518658402,125
1603,1603,1.72168001334599,126
437,437,1.72205049194165,127
269,269,1.72310015272484,128
701,701,1.72346951557116,129
894,894,1.72350810917116,130
1836,1836,1.72396999879023,131
234,234,1.72437945475164,132
1271,1271,1.72439720108746,133
1061,1061,1.72441969611297,134
257,257,1.72481553762347,135
1394,1394,1.72517859597314,136
208,208,1.72542068769334,137
946,946,1.72569254448037,138
196,196,1.72571284118143,139
1958,1958,1.72588862064955,140
2019,2019,1.72588862064955,141
749,749,1.7263458124202,142
292,292,1.72642423203335,143
397,397,1.72683137309261,144
331,331,1.72729810397754,145
1374,1374,1.72729810397754,146
675,675,1.7275234685159,147
108,108,1.72815034340585,148
1763,1763,1.72839579418731,149
29,29,1.72858550890437,150
653,653,1.72885533862624,151
2045,2045,1.72900137157198,152
337,337,1.7291937083184,153
1592,1592,1.73022623438446,154
671,671,1.73040319821339,155
1096,1096,1.73073184499417,156
1326,1326,1.73092982289794,157
1838,1838,1.731189286042,158
1648,1648,1.7319131818922,159
405,405,1.73203557805615,160
1433,1433,1.73203628183727,161
140,140,1.73291720094843,162
282,282,1.73349172799753,163
1788,1788,1.73434986050133,164
614,614,1.7345353701582,165
85,85,1.73484499256276,166
135,135,1.73499730669941,167
863,863,1.73506259140584,168
1348,1348,1.73511706549662,169
742,742,1.73538928814675,170
